,Player,League,Squad,Pos,Player Type,"Minutes
Played (%)",Goals,Assists,onxG,onxGA
0,Marcos Acuña,Spanish La Liga,Sevilla,DF,4,66.1,1,3,1.08,0.8
1,Martin Agirregabiria,Spanish La Liga,Alavés,DF,4,47.4,0,1,0.93,0.97
2,Joseph Aidoo,Spanish La Liga,Celta Vigo,DF,5,77.1,0,0,1.02,0.95
3,Carlos Akapo,Spanish La Liga,Cádiz,DF,4,53.9,0,0,0.96,0.94
4,David Alaba,Spanish La Liga,Real Madrid,DF,5,77.4,2,3,0.99,0.91
5,Tomás Alarcón,Spanish La Liga,Cádiz,MF,3,41.6,0,1,0.76,1.08
6,Jordi Alba,Spanish La Liga,Barcelona,DF,4,77.4,2,10,1.03,1.05
7,Raúl Albiol,Spanish La Liga,Villarreal,DF,5,72.1,0,0,0.92,0.93
8,Paco Alcácer,Spanish La Liga,Villarreal,FW,1,22.9,1,3,0.88,1.03
9,Rubén Alcaraz,Spanish La Liga,Cádiz,MF,3,32.4,2,0,1.14,0.78
10,Omar Alderete,Spanish La Liga,Valencia,DF,5,70.3,2,0,1.0,0.99
11,Iván Alejo,Spanish La Liga,Cádiz,MF,2,31.1,2,2,0.97,0.84
12,Carles Aleñá,Spanish La Liga,Getafe,MF,3,67.9,1,2,0.9,0.88
13,Yeray Álvarez,Spanish La Liga,Athletic Club,DF,5,54.5,0,0,1.05,0.93
14,Dani Alves,Spanish La Liga,Barcelona,DF,4,32.1,1,3,0.96,0.99
15,Amath,Spanish La Liga,Mallorca,FW,2,25.8,0,1,1.11,0.91
16,José Ángel,Spanish La Liga,Osasuna,DF,4,31.6,1,1,1.12,1.42
17,Mauro Arambarri,Spanish La Liga,Getafe,MF,3,77.9,0,5,1.08,0.94
18,Néstor Araujo,Spanish La Liga,Celta Vigo,DF,5,76.6,0,0,0.92,0.92
19,Ronald Araújo,Spanish La Liga,Barcelona,DF,5,66.3,4,0,0.97,1.0
20,Marco Asensio,Spanish La Liga,Real Madrid,FW,2,50.5,10,0,1.09,1.03
21,Iago Aspas,Spanish La Liga,Celta Vigo,FW,2,90.3,18,5,0.99,1.02
22,Pierre-Emerick Aubameyang,Spanish La Liga,Barcelona,FW,1,31.6,11,1,1.0,1.04
23,Ludwig Augustinsson,Spanish La Liga,Sevilla,DF,4,23.2,0,1,0.92,1.36
24,Serge Aurier,Spanish La Liga,Villarreal,DF,4,29.5,0,1,1.16,1.13
25,Ezequiel Ávila,Spanish La Liga,Osasuna,FW,2,54.7,6,1,0.92,1.08
26,Iddrisu Baba,Spanish La Liga,Mallorca,MF,3,56.6,1,0,0.86,0.99
27,Mikel Balenziaga,Spanish La Liga,Athletic Club,DF,4,59.2,0,0,0.94,1.15
28,Iván Balliu,Spanish La Liga,Rayo Vallecano,DF,4,92.1,1,2,1.0,1.04
29,Enis Bardhi,Spanish La Liga,Levante,MF,2,49.7,3,3,0.99,1.01
30,Keidi Bare,Spanish La Liga,Espanyol,MF,3,43.4,1,1,0.85,0.91
31,Kike Barja,Spanish La Liga,Osasuna,MF,2,25.3,2,0,1.09,0.75
32,Antonio Barragán,Spanish La Liga,Elche,DF,4,29.7,0,0,0.64,1.05
33,Marc Bartra,Spanish La Liga,Betis,DF,5,58.2,1,0,1.01,0.96
34,Rodrigo Battaglia,Spanish La Liga,Mallorca,MF,3,34.5,0,0,0.9,1.37
35,Bebé,Spanish La Liga,Rayo Vallecano,FW,2,25.3,1,2,1.25,1.21
36,Héctor Bellerín,Spanish La Liga,Betis,DF,4,57.9,0,2,1.09,0.96
37,Fran Beltrán,Spanish La Liga,Celta Vigo,MF,3,76.1,1,0,0.95,0.98
38,Karim Benzema,Spanish La Liga,Real Madrid,FW,1,75.8,27,12,1.03,0.9
39,Yuri Berchiche,Spanish La Liga,Athletic Club,DF,4,29.7,1,2,1.11,0.76
40,Álex Berenguer,Spanish La Liga,Athletic Club,MF,2,63.4,3,6,1.04,0.85
41,Pedro Bigas,Spanish La Liga,Elche,DF,5,45.3,1,0,1.02,0.84
42,Lucas Boyé,Spanish La Liga,Elche,FW,1,50.0,7,3,0.99,1.02
43,Darko Brašanac,Spanish La Liga,Osasuna,MF,2,70.3,1,2,0.99,0.96
44,Bryan,Spanish La Liga,Valencia,MF,2,22.1,0,1,0.89,0.78
45,Ante Budimir,Spanish La Liga,Osasuna,FW,1,50.8,8,2,1.03,0.96
46,Sergio Busquets,Spanish La Liga,Barcelona,MF,3,93.4,2,0,0.98,0.99
47,Leandro Cabrera,Spanish La Liga,Espanyol,DF,5,97.4,2,0,0.98,0.98
48,Cala,Spanish La Liga,Cádiz,DF,5,27.6,0,0,0.73,1.32
49,Fernando Calero,Spanish La Liga,Espanyol,DF,5,31.8,0,0,0.85,0.87
50,Eduardo Camavinga,Spanish La Liga,Real Madrid,MF,3,36.1,2,1,1.04,1.17
51,José Campaña,Spanish La Liga,Levante,MF,3,41.6,2,2,0.91,0.91
52,Sergio Canales,Spanish La Liga,Betis,FW,2,81.6,5,8,0.88,0.91
53,Étienne Capoue,Spanish La Liga,Villarreal,MF,3,66.8,1,1,0.88,0.95
54,Isaac Carcelen,Spanish La Liga,Cádiz,DF,4,45.3,0,1,0.94,1.16
55,Diego Carlos,Spanish La Liga,Sevilla,DF,5,86.6,3,0,1.03,0.97
56,Yannick Carrasco,Spanish La Liga,Atlético Madrid,FW,2,75.5,6,6,1.03,0.96
57,Guido Carrillo,Spanish La Liga,Elche,FW,1,34.2,2,0,1.11,0.88
58,Dani Carvajal,Spanish La Liga,Real Madrid,DF,4,45.3,1,3,1.02,0.85
59,William Carvalho,Spanish La Liga,Betis,MF,3,52.9,2,3,1.13,1.27
60,Casemiro,Spanish La Liga,Real Madrid,MF,3,75.0,1,3,0.95,1.0
61,Catena,Spanish La Liga,Rayo Vallecano,DF,5,94.7,2,2,1.03,0.99
62,Franco Cervi,Spanish La Liga,Celta Vigo,MF,2,52.6,4,3,0.97,0.97
63,Samuel Chukwueze,Spanish La Liga,Villarreal,MF,2,38.9,3,3,1.01,1.19
64,Víctor Chust,Spanish La Liga,Cádiz,DF,5,53.4,0,0,0.94,0.94
65,Pathé Ciss,Spanish La Liga,Rayo Vallecano,MF,3,32.1,2,1,1.01,1.06
66,Carlos Clerc,Spanish La Liga,Levante,DF,4,44.2,0,0,0.78,0.95
67,Álex Collado,Spanish La Liga,Granada,MF,2,29.7,2,1,0.96,0.93
68,Santi Comesaña,Spanish La Liga,Rayo Vallecano,MF,3,78.4,1,2,1.02,0.91
69,Francis Coquelin,Spanish La Liga,Villarreal,MF,3,24.2,2,1,0.67,1.07
70,Jesús Corona,Spanish La Liga,Sevilla,FW,2,33.9,2,4,1.01,0.99
71,Ángel Correa,Spanish La Liga,Atlético Madrid,FW,2,54.2,12,5,1.07,0.9
72,Thierry Correia,Spanish La Liga,Valencia,DF,4,41.3,0,1,0.9,0.75
73,Hélder Costa,Spanish La Liga,Valencia,MF,2,32.6,0,1,1.02,1.18
74,Jaume Costa,Spanish La Liga,Mallorca,DF,4,53.4,0,4,0.96,0.98
75,Juan Cruz Armada,Spanish La Liga,Osasuna,DF,5,56.6,0,0,0.88,0.86
76,Jorge Cuenca,Spanish La Liga,Getafe,DF,5,78.4,1,0,0.99,1.05
77,Matheus Cunha,Spanish La Liga,Atlético Madrid,FW,1,31.1,6,4,1.35,1.26
78,Sergi Darder,Spanish La Liga,Espanyol,MF,3,91.3,3,9,0.98,1.01
79,Rodrigo De Paul,Spanish La Liga,Atlético Madrid,MF,3,62.9,3,1,1.08,0.96
80,Thomas Delaney,Spanish La Liga,Sevilla,MF,3,45.3,2,1,0.87,1.16
81,Ousmane Dembélé,Spanish La Liga,Barcelona,FW,2,41.3,1,13,1.09,0.94
82,Memphis Depay,Spanish La Liga,Barcelona,FW,2,54.2,12,2,0.95,1.05
83,Sergiño Dest,Spanish La Liga,Barcelona,DF,4,44.2,0,3,0.98,0.89
84,Boulaye Dia,Spanish La Liga,Villarreal,FW,1,37.1,5,5,1.1,0.95
85,Mouctar Diakhaby,Spanish La Liga,Valencia,DF,5,56.8,0,1,0.87,1.18
86,Víctor Díaz,Spanish La Liga,Granada,DF,5,43.9,1,0,1.03,1.04
87,Djené,Spanish La Liga,Getafe,DF,5,91.1,0,1,1.03,0.92
88,Domingos Duarte,Spanish La Liga,Granada,DF,5,49.2,1,0,1.01,0.98
89,Óscar Duarte,Spanish La Liga,Levante,DF,5,51.8,2,0,0.93,0.91
90,Rubén Duarte,Spanish La Liga,Alavés,DF,4,76.6,0,4,1.05,0.92
91,Hugo Duro,Spanish La Liga,Valencia,FW,1,53.7,7,1,0.94,0.87
92,Aritz Elustondo,Spanish La Liga,Real Sociedad,DF,5,61.6,4,1,0.96,0.94
93,Adri Embarba,Spanish La Liga,Espanyol,FW,2,58.2,0,2,0.99,0.96
94,Youssef En-Nesyri,Spanish La Liga,Sevilla,FW,1,37.4,5,1,1.04,0.93
95,Gonzalo Escalante,Spanish La Liga,Alavés,MF,3,37.9,5,0,1.11,0.99
96,Sergio Escudero,Spanish La Liga,Granada,DF,4,41.8,2,1,1.15,0.87
97,Alfonso Espino,Spanish La Liga,Cádiz,DF,4,97.4,2,2,1.01,1.02
98,Pervis Estupiñán,Spanish La Liga,Villarreal,DF,4,46.1,0,1,1.11,0.97
99,Radamel Falcao,Spanish La Liga,Rayo Vallecano,FW,1,24.5,6,0,1.12,1.11
100,Fali,Spanish La Liga,Cádiz,DF,5,52.6,0,2,1.04,1.01
101,Nabil Fekir,Spanish La Liga,Betis,MF,2,81.6,6,8,0.99,0.97
102,Felipe,Spanish La Liga,Atlético Madrid,DF,5,43.9,2,1,1.06,1.13
103,João Félix,Spanish La Liga,Atlético Madrid,FW,1,36.8,8,4,0.96,1.09
104,Álex Fernández,Spanish La Liga,Cádiz,MF,3,60.0,3,2,1.03,1.14
105,Fernando,Spanish La Liga,Sevilla,MF,5,54.2,1,1,0.95,0.98
106,Fidel,Spanish La Liga,Elche,MF,2,66.1,5,6,0.91,0.96
107,Dimitri Foulquier,Spanish La Liga,Valencia,DF,4,68.4,0,1,0.95,0.91
108,Juan Foyth,Spanish La Liga,Villarreal,DF,4,56.3,1,1,0.92,0.92
109,Jorge de Frutos,Spanish La Liga,Levante,MF,2,51.6,4,7,0.83,0.96
110,Javi Galán,Spanish La Liga,Celta Vigo,DF,4,96.3,0,3,1.01,1.01
111,Iñigo Ruiz de Galarreta,Spanish La Liga,Mallorca,MF,3,40.3,0,0,0.95,0.83
112,Thiago Galhardo,Spanish La Liga,Celta Vigo,FW,1,33.7,2,2,1.37,0.92
113,Álvaro García,Spanish La Liga,Rayo Vallecano,FW,2,87.6,7,4,1.07,0.99
114,Dani García,Spanish La Liga,Athletic Club,MF,3,63.7,0,0,0.9,1.02
115,David García,Spanish La Liga,Osasuna,DF,5,90.8,4,0,1.04,0.97
116,Eric García,Spanish La Liga,Barcelona,DF,5,59.7,0,0,1.12,1.04
117,Francisco Garcia,Spanish La Liga,Rayo Vallecano,DF,4,88.4,1,0,1.0,0.99
118,Manu García,Spanish La Liga,Alavés,MF,3,31.6,0,1,0.95,0.89
119,Raúl García,Spanish La Liga,Athletic Club,FW,1,52.6,6,2,0.91,1.0
120,Rubén García,Spanish La Liga,Osasuna,MF,2,69.5,1,6,1.02,0.88
121,Unai García,Spanish La Liga,Osasuna,DF,5,41.1,0,0,0.74,0.92
122,Gavi,Spanish La Liga,Barcelona,MF,2,67.6,2,5,0.95,0.83
123,Óscar Gil,Spanish La Liga,Espanyol,DF,4,49.5,0,2,1.06,0.87
124,Dani Gómez,Spanish La Liga,Levante,FW,1,31.1,4,2,1.13,1.22
125,Maxi Gómez,Spanish La Liga,Valencia,FW,1,57.1,5,1,1.01,1.01
126,Moi Gómez,Spanish La Liga,Villarreal,MF,2,37.6,2,2,0.97,0.99
127,Papu Gómez,Spanish La Liga,Sevilla,FW,2,52.1,5,1,0.91,0.91
128,Sergi Gómez,Spanish La Liga,Espanyol,DF,5,79.5,1,2,1.11,1.08
129,Maxime Gonalons,Spanish La Liga,Granada,MF,3,45.3,0,2,0.8,1.08
130,Diego González,Spanish La Liga,Elche,DF,5,52.4,0,0,0.97,1.15
131,Édgar González,Spanish La Liga,Betis,DF,5,42.9,1,1,1.07,1.16
132,Nicolás González,Spanish La Liga,Barcelona,MF,2,32.6,2,1,1.02,1.17
133,Andoni Gorosabel,Spanish La Liga,Real Sociedad,DF,4,66.8,0,4,1.04,0.9
134,Antoine Griezmann,Spanish La Liga,Atlético Madrid,FW,2,49.5,3,4,0.89,0.89
135,Arnaut Groeneveld,Spanish La Liga,Villarreal,FW,2,43.2,10,3,0.92,1.03
136,Andrés Guardado,Spanish La Liga,Betis,MF,3,40.8,0,1,0.92,1.03
137,Sergi Guardiola,Spanish La Liga,Rayo Vallecano,FW,1,50.0,8,2,1.02,0.81
138,Nemanja Gudelj,Spanish La Liga,Sevilla,DF,5,30.5,0,0,0.78,1.1
139,Gonçalo Guedes,Spanish La Liga,Valencia,FW,2,76.3,11,6,1.02,0.97
140,Ander Guevara,Spanish La Liga,Real Sociedad,MF,3,25.3,0,0,0.86,0.83
141,Hugo Guillamón,Spanish La Liga,Valencia,MF,3,68.9,1,0,0.93,1.02
142,Gerard Gumbau,Spanish La Liga,Elche,MF,3,55.3,0,4,0.89,1.08
143,Raúl Guti,Spanish La Liga,Elche,MF,3,47.6,0,0,0.91,0.94
144,Varazdat Haroyan,Spanish La Liga,Cádiz,DF,5,42.1,1,0,0.82,1.09
145,Eden Hazard,Spanish La Liga,Real Madrid,FW,2,21.1,0,1,0.95,0.94
146,Mario Hermoso,Spanish La Liga,Atlético Madrid,DF,5,54.5,2,1,1.05,0.9
147,Aridane Hernández,Spanish La Liga,Osasuna,DF,5,33.9,0,0,1.15,1.24
148,Luis Hernández,Spanish La Liga,Cádiz,DF,5,40.0,0,0,1.27,0.69
149,Héctor Herrera,Spanish La Liga,Atlético Madrid,MF,3,25.0,0,0,0.94,1.04
150,Yangel Herrera,Spanish La Liga,Espanyol,MF,3,48.2,1,1,0.82,1.02
151,Vicente Iborra,Spanish La Liga,Villarreal,MF,3,30.3,0,1,1.33,1.08
152,Oussama Idrissi,Spanish La Liga,Cádiz,MF,2,26.3,1,1,1.46,0.6
153,Iglesias,Spanish La Liga,Getafe,DF,4,21.1,0,1,1.04,1.09
154,Borja Iglesias,Spanish La Liga,Betis,FW,1,46.1,10,0,0.98,0.99
155,Alexander Isak,Spanish La Liga,Real Sociedad,FW,1,62.6,6,2,0.98,0.96
156,Adnan Januzaj,Spanish La Liga,Real Sociedad,FW,2,47.6,3,0,0.95,0.94
157,Luis Javier Suárez,Spanish La Liga,Granada,FW,1,83.2,8,4,0.99,1.0
158,Frenkie de Jong,Spanish La Liga,Barcelona,MF,2,72.4,3,3,0.94,0.94
159,Joan Jordán,Spanish La Liga,Sevilla,MF,3,73.4,0,1,1.01,0.95
160,Josan,Spanish La Liga,Elche,DF,4,35.5,2,3,1.21,1.04
161,Willian José,Spanish La Liga,Betis,FW,1,46.8,8,4,1.08,0.94
162,Joselu,Spanish La Liga,Alavés,FW,1,91.3,14,4,1.05,0.97
163,Juanmi,Spanish La Liga,Betis,FW,1,62.4,16,4,1.03,0.81
164,Vinicius Júnior,Spanish La Liga,Real Madrid,FW,2,78.7,17,10,0.98,0.92
165,Jens Jønsson,Spanish La Liga,Cádiz,MF,3,38.2,0,1,0.83,1.11
166,Lee Kangin,Spanish La Liga,Mallorca,MF,2,41.3,1,2,1.0,0.92
167,Kike,Spanish La Liga,Osasuna,FW,1,54.5,5,1,1.08,0.94
168,Koke,Spanish La Liga,Atlético Madrid,MF,3,73.4,1,2,1.02,0.95
169,Geoffrey Kondogbia,Spanish La Liga,Atlético Madrid,MF,3,55.0,1,2,0.9,1.09
170,Jules Koundé,Spanish La Liga,Sevilla,DF,5,80.0,2,1,1.03,1.06
171,Toni Kroos,Spanish La Liga,Real Madrid,MF,3,61.6,1,3,0.92,0.92
172,Takefusa Kubo,Spanish La Liga,Mallorca,FW,2,46.8,1,0,1.11,1.0
173,Víctor Laguardia,Spanish La Liga,Alavés,DF,5,88.9,3,2,1.06,0.94
174,Érik Lamela,Spanish La Liga,Sevilla,FW,2,29.7,5,2,1.29,0.85
175,Robin Le Normand,Spanish La Liga,Real Sociedad,DF,5,97.4,1,1,0.98,1.0
176,Florian Lejeune,Spanish La Liga,Alavés,DF,5,78.9,0,0,1.07,0.97
177,Iñigo Lekue,Spanish La Liga,Athletic Club,DF,4,56.3,0,2,0.88,1.15
178,Thomas Lemar,Spanish La Liga,Atlético Madrid,MF,2,42.1,4,5,1.01,1.07
179,Clément Lenglet,Spanish La Liga,Barcelona,DF,5,24.2,0,1,0.84,1.08
180,Marcos Llorente,Spanish La Liga,Atlético Madrid,MF,4,71.6,0,2,0.88,1.07
181,Giovani Lo Celso,Spanish La Liga,Villarreal,FW,2,28.9,1,1,0.9,1.11
182,Renan Lodi,Spanish La Liga,Atlético Madrid,DF,4,34.5,2,2,0.85,0.91
183,David López,Spanish La Liga,Espanyol,MF,5,21.8,0,0,0.84,1.09
184,Unai López,Spanish La Liga,Rayo Vallecano,MF,3,33.9,0,0,1.06,1.08
185,Anthony Lozano,Spanish La Liga,Cádiz,FW,1,48.9,7,2,1.02,0.91
186,Florentino Luís,Spanish La Liga,Getafe,MF,3,28.9,0,1,0.85,1.08
187,José Luis Gayà,Spanish La Liga,Valencia,DF,4,54.7,2,4,1.13,1.03
188,José Luis Morales,Spanish La Liga,Levante,FW,2,79.5,13,7,1.05,0.97
189,Darwin Machís,Spanish La Liga,Granada,MF,2,40.3,4,2,1.01,0.89
190,Pablo Maffeo,Spanish La Liga,Mallorca,DF,4,86.1,1,4,0.93,0.98
191,Nemanja Maksimović,Spanish La Liga,Getafe,MF,3,85.8,1,2,0.94,0.95
192,Hugo Mallo,Spanish La Liga,Celta Vigo,DF,4,53.4,1,1,1.01,0.95
193,Mickael Malsa,Spanish La Liga,Levante,MF,3,33.4,1,2,1.04,1.18
194,Reinildo Mandava,Spanish La Liga,Atlético Madrid,DF,4,37.9,0,0,0.92,1.21
195,Aïssa Mandi,Spanish La Liga,Villarreal,DF,5,40.3,1,0,1.1,1.09
196,Maranhão,Spanish La Liga,Valencia,FW,1,28.4,1,3,1.2,0.96
197,Nikola Maraš,Spanish La Liga,Rayo Vallecano,DF,5,30.5,0,0,0.73,0.9
198,Iván Marcone,Spanish La Liga,Elche,MF,3,23.7,0,0,1.13,1.17
199,Óscar de Marcos,Spanish La Liga,Athletic Club,DF,4,49.2,1,2,1.17,0.79
200,José María Giménez,Spanish La Liga,Atlético Madrid,DF,5,59.7,1,1,1.03,0.98
201,Roger Martí,Spanish La Liga,Levante,FW,1,61.8,7,3,0.82,0.96
202,Iñigo Martínez,Spanish La Liga,Athletic Club,DF,5,68.4,3,0,0.92,0.98
203,Javi Martínez,Spanish La Liga,Osasuna,MF,2,25.8,1,1,1.07,1.23
204,Omar Mascarell,Spanish La Liga,Elche,MF,3,72.9,0,0,0.95,0.97
205,Borja Mayoral,Spanish La Liga,Getafe,FW,1,30.5,6,1,1.21,0.84
206,Óscar Melendo,Spanish La Liga,Espanyol,MF,2,28.9,0,0,1.26,1.02
207,Gonzalo Melero,Spanish La Liga,Levante,MF,3,49.5,7,2,0.89,1.04
208,Brais Méndez,Spanish La Liga,Celta Vigo,MF,2,88.4,4,5,0.96,0.93
209,Édgar Méndez,Spanish La Liga,Alavés,FW,2,47.1,1,1,1.07,1.06
210,Ferland Mendy,Spanish La Liga,Real Madrid,DF,4,50.8,2,1,1.06,0.91
211,Mikel Merino,Spanish La Liga,Real Sociedad,MF,2,84.5,3,2,1.01,0.97
212,Matt Miazga,Spanish La Liga,Alavés,DF,5,24.5,0,0,0.79,1.16
213,Miguel,Spanish La Liga,Alavés,FW,1,24.2,1,1,1.08,0.95
214,Éder Militão,Spanish La Liga,Real Madrid,DF,5,88.7,1,2,0.96,1.0
215,Luis Milla,Spanish La Liga,Granada,MF,3,81.1,3,3,0.97,0.94
216,Pere Milla,Spanish La Liga,Elche,MF,2,48.2,8,3,1.04,1.04
217,Santi Mina,Spanish La Liga,Celta Vigo,FW,1,69.2,7,3,0.86,0.99
218,Óscar Mingueza,Spanish La Liga,Barcelona,DF,4,26.1,0,1,0.9,0.9
219,Rafa Mir,Spanish La Liga,Sevilla,FW,1,52.9,10,0,1.05,1.06
220,Jorge Miramón,Spanish La Liga,Levante,DF,4,57.9,1,0,1.08,1.11
221,Juan Miranda,Spanish La Liga,Betis,DF,4,22.9,0,2,0.91,0.76
222,Stefan Mitrović,Spanish La Liga,Getafe,DF,5,77.9,0,0,1.02,0.97
223,Luka Modrić,Spanish La Liga,Real Madrid,MF,3,59.5,2,8,0.99,0.92
224,Johan Mojica,Spanish La Liga,Elche,DF,4,83.4,2,5,1.01,0.99
225,Jorge Molina,Spanish La Liga,Granada,FW,1,57.4,10,5,1.23,0.94
226,Jon Moncayola,Spanish La Liga,Osasuna,MF,3,85.3,2,3,0.94,0.94
227,Gonzalo Montiel,Spanish La Liga,Sevilla,DF,4,31.1,1,2,0.8,1.0
228,Ángel Montoro,Spanish La Liga,Granada,MF,3,38.9,1,1,0.96,1.12
229,Alberto Moreno,Spanish La Liga,Villarreal,MF,4,35.8,3,2,1.0,0.96
230,Álex Moreno,Spanish La Liga,Betis,DF,4,70.3,5,3,1.06,1.04
231,Gerard Moreno,Spanish La Liga,Villarreal,FW,2,34.7,9,3,1.05,0.91
232,Tete Morente,Spanish La Liga,Elche,MF,2,47.6,3,3,1.16,1.01
233,Ilaix Moriba,Spanish La Liga,Valencia,MF,2,23.9,0,0,0.95,0.95
234,Manu Morlanes,Spanish La Liga,Espanyol,MF,3,33.4,2,0,1.41,1.11
235,Toni Moya,Spanish La Liga,Alavés,MF,3,40.5,0,1,0.92,1.1
236,Iker Muniain,Spanish La Liga,Athletic Club,MF,2,81.3,4,10,1.01,0.88
237,Aihen Muñoz,Spanish La Liga,Real Sociedad,DF,4,39.2,0,0,1.07,1.12
238,Jeison Murillo,Spanish La Liga,Celta Vigo,DF,5,32.6,0,0,1.02,1.13
239,Vedat Muriqi,Spanish La Liga,Mallorca,FW,1,42.1,5,3,1.08,0.96
240,Yunus Musah,Spanish La Liga,Valencia,MF,2,36.8,1,0,0.83,1.02
241,Nacho,Spanish La Liga,Real Madrid,DF,5,45.5,3,0,1.07,1.3
242,Ximo Navarro,Spanish La Liga,Alavés,DF,4,39.5,0,0,0.86,1.05
243,Jesús Navas,Spanish La Liga,Sevilla,DF,4,52.1,0,3,1.13,1.06
244,Loum Ndiaye,Spanish La Liga,Alavés,MF,3,67.6,2,0,1.11,0.99
245,Álvaro Negredo,Spanish La Liga,Cádiz,FW,1,63.2,7,2,1.07,0.94
246,Carlos Neva,Spanish La Liga,Granada,DF,4,61.6,0,0,0.8,1.03
247,Fernando Niño,Spanish La Liga,Mallorca,FW,1,25.8,2,0,1.12,1.09
248,Nolito,Spanish La Liga,Celta Vigo,MF,2,40.5,2,0,0.98,1.17
249,Randy Ntekja,Spanish La Liga,Rayo Vallecano,FW,1,42.6,3,0,1.05,0.93
250,Lucas Ocampos,Spanish La Liga,Sevilla,FW,2,62.1,6,4,0.93,1.02
251,Brian Oliván,Spanish La Liga,Mallorca,DF,4,63.9,1,0,1.03,1.01
252,Mathías Olivera,Spanish La Liga,Getafe,DF,4,81.8,1,3,0.94,0.87
253,Mikel Oyarzabal,Spanish La Liga,Real Sociedad,FW,2,48.9,9,3,0.96,1.04
254,Helibelton Palacios,Spanish La Liga,Elche,DF,4,56.6,0,0,0.87,1.01
255,Isaac Palazón Camacho,Spanish La Liga,Rayo Vallecano,FW,2,66.8,2,4,0.87,0.89
256,Daniel Parejo,Spanish La Liga,Villarreal,MF,3,78.9,2,10,1.05,0.96
257,Gabriel Paulista,Spanish La Liga,Valencia,DF,5,46.6,2,1,0.91,0.83
258,Alfonso Pedraza,Spanish La Liga,Villarreal,DF,4,49.7,4,4,0.94,1.01
259,Pedri,Spanish La Liga,Barcelona,MF,2,25.8,3,1,1.38,1.0
260,Pedrosa,Spanish La Liga,Espanyol,DF,4,79.5,1,1,1.01,0.96
261,Alberto Perea,Spanish La Liga,Cádiz,MF,2,22.6,0,1,1.38,1.21
262,Lucas Pérez,Spanish La Liga,Elche,FW,2,37.1,2,1,0.94,1.07
263,Lucas Pérez,Spanish La Liga,Cádiz,FW,2,31.1,3,2,1.31,0.8
264,Njegoš Petrović,Spanish La Liga,Granada,MF,3,26.8,0,1,0.93,1.11
265,Germán Pezzella,Spanish La Liga,Betis,DF,5,58.2,1,0,0.87,1.0
266,Tomás Pina Isla,Spanish La Liga,Alavés,MF,3,42.1,0,0,0.94,1.0
267,Yeremi Pino,Spanish La Liga,Villarreal,MF,2,48.9,6,4,0.94,0.95
268,Gerard Piqué,Spanish La Liga,Barcelona,DF,5,61.1,1,0,1.14,0.98
269,Pere Pons,Spanish La Liga,Alavés,MF,1,40.0,1,0,0.84,0.94
270,Portu,Spanish La Liga,Real Sociedad,FW,1,46.6,1,2,0.93,1.05
271,Sergio Postigo,Spanish La Liga,Levante,DF,5,24.7,0,0,1.13,1.17
272,Javi Puado,Spanish La Liga,Espanyol,MF,2,65.5,4,1,0.92,1.0
273,Antonio Puertas,Spanish La Liga,Granada,MF,2,66.1,6,1,1.0,0.9
274,Quini,Spanish La Liga,Granada,DF,4,67.4,0,1,0.91,1.0
275,Uroš Račić,Spanish La Liga,Valencia,MF,3,35.3,0,0,0.97,1.06
276,Nemanja Radoja,Spanish La Liga,Levante,MF,3,35.5,0,0,0.96,0.98
277,Rafinha,Spanish La Liga,Real Sociedad,MF,3,30.8,1,0,1.02,0.86
278,Antonio Raillo,Spanish La Liga,Mallorca,DF,5,44.7,2,0,1.09,0.92
279,Ivan Rakitić,Spanish La Liga,Sevilla,MF,3,63.7,4,6,1.0,0.96
280,Sandro Ramírez,Spanish La Liga,Getafe,FW,2,42.6,3,0,1.02,0.96
281,Karim Rekik,Spanish La Liga,Sevilla,DF,5,32.1,0,2,0.96,0.91
282,Nico Ribaudo,Spanish La Liga,Espanyol,MF,2,32.6,2,0,1.06,1.02
283,Diego Rico,Spanish La Liga,Real Sociedad,DF,4,48.2,0,0,1.0,0.89
284,Luis Rioja,Spanish La Liga,Alavés,MF,2,91.1,1,3,1.04,0.95
285,Rober,Spanish La Liga,Levante,DF,5,58.7,1,0,1.19,1.04
286,Rubén Rochina,Spanish La Liga,Granada,MF,3,21.8,1,3,0.85,0.84
287,Enzo Roco,Spanish La Liga,Elche,DF,5,74.7,1,0,1.09,1.04
288,Rodrigo,Spanish La Liga,Betis,FW,2,25.8,1,2,1.1,1.34
289,Ángel Rodríguez,Spanish La Liga,Mallorca,FW,1,45.3,4,2,1.06,1.02
290,Óscar Rodríguez Arnaiz,Spanish La Liga,Getafe,MF,3,27.6,0,1,1.16,0.9
291,Dani Rodríguez,Spanish La Liga,Mallorca,MF,2,82.9,3,3,0.94,0.92
292,Guido Rodríguez,Spanish La Liga,Betis,MF,3,73.9,1,2,1.01,0.91
293,Rodrygo,Spanish La Liga,Real Madrid,FW,2,44.5,4,4,0.99,1.15
294,Aitor Ruibal,Spanish La Liga,Betis,FW,2,25.0,0,0,0.82,0.94
