,0,1,2,3,4,5,6,7,8,9,10
0,0,896,97,313,2114,3222,1220,2209,1464,14,1397
1,1,933,2657,3269,985,251,764,2302,2908,661,1138
2,2,1995,1475,750,2109,966,3215,2658,1072,1258,322
3,3,2515,2656,659,221,3398,506,549,1093,3243,608
4,4,423,2792,2826,799,3054,3040,1394,1426,1445,1629
5,5,1698,2076,2041,464,142,2235,1650,1736,1101,1056
6,6,774,339,2756,1620,58,805,2567,243,1226,419
7,7,440,265,295,2864,2047,737,584,424,1080,1390
8,8,1757,858,3053,685,2095,420,597,1738,402,937
9,9,1408,573,2195,769,1183,2176,579,2356,2459,2733
10,10,633,1543,1477,3470,3403,3108,3383,3268,3409,3334
11,11,2185,1877,93,3385,2213,1153,1598,2736,2096,475
12,12,3298,1010,2635,3195,2653,2626,768,621,527,2731
13,13,1898,1831,2274,936,2457,1943,1946,1786,1187,343
14,14,1550,1319,110,3192,2819,97,3271,2453,1397,1220
15,15,631,598,1476,2720,216,272,468,3018,431,71
16,16,3348,2141,1942,2357,1885,3299,2164,1820,153,2519
17,17,2723,215,184,1815,2694,2638,1122,2403,3448,1448
18,18,1409,1667,1304,1488,2142,1497,2614,2339,1531,1415
19,19,763,513,2090,2088,947,1412,138,2957,405,3418
20,20,2581,1906,2483,2107,571,546,2508,455,2610,1827
21,21,388,376,2307,3464,2031,850,732,82,3309,253
22,22,937,402,1738,2095,420,2119,685,2647,597,858
23,23,2129,3088,107,3132,2682,450,74,512,246,3139
24,24,2621,1547,1024,408,2084,1002,968,3043,2954,27
25,25,209,418,3416,73,3380,1801,635,1597,40,3457
26,26,1058,1134,3345,2026,2408,3406,943,1395,1525,2553
27,27,1002,2954,2084,3429,408,3203,1032,3127,2856,242
28,28,1959,2222,3081,1710,2471,1505,1753,3237,1006,2048
29,29,2714,1503,1852,3377,1380,1567,3328,1494,2504,2117
30,30,1912,704,3406,1044,2018,1860,2516,1609,1134,3244
31,31,786,1923,725,791,1972,1149,101,1119,815,797
32,32,2732,876,2466,2703,680,1974,2734,3387,1075,2824
