,Player,League,Nation,Pos,Squad,Born,90s,Gls/90,Sh/90,AvgShotDist,npxG/90,npxG/Sh,np:G-xG,TotDist/pass,PrgDist/Pass,Short%,Med%,Long%,Ast,xAG,xA,A-xAG,PropShort,PropMed,PropLong,PropAssistShots,PropFinalThirdPasses,PropPassinPA,PropCrossinPA,TotPassAtt,Sw,Crs,TI,PropPassBlocked,Shot-Creating Pass/90,Shot-Creating Drib/90,Shot-CreatingSh/90,Prop Def Pen Touches,Prop Def 3rd Touches,Prop Mid 3rd Touches,Prop Att 3rd Touches,Prop Att Pen Touches,AttDribbles,DribSucc%,RecPass/Misplayed,Dis,PropPassRecProg,TotalTouches,Tkl,PropTkl Def 3rd,PropTkl Mid 3rd,PropTkl Att 3rd,DribTkl,DribTkl%,Past,Blocks,PropBlockSh,PropBlockPass,Int,Clr,Starts,Mn/Start,onG,onGA,+/-,On-Off,onxG,onxGA,xG+/-,onG-xG,onGA-xGA,G-xG+/-,Fls,Fld,TimesOffside,Recov,DuelWin%,AerialDuels
1,Marcos Acuña,La-Liga,ARG,DF,Sevilla,1991.0,0.6605263157894737,0.0398406374501992,0.64,21.7,0.0597609561752988,0.09,-0.0199203187250996,19.007128969539856,6.614387556707713,0.917,0.8340000000000001,0.5589999999999999,0.1195219123505976,3.5,0.1633466135458167,-0.5,0.36780438104941415,0.39072847682119205,0.19969434538970962,0.027867790019442642,0.07453013609850939,0.01036941023979261,0.017498379779650033,0.1213247183975669,0.034307215582115975,0.2035561457872215,9.163346613545816,0.034307215582115975,1.9123505976095616,0.0796812749003984,0.1195219123505976,0.02409090909090909,0.26454545454545453,0.4340909090909091,0.2690909090909091,0.00818181818181818,4.426737494466578,0.667,38.60526315789474,1.0756972111553784,1.1292433537832312,0.12800942737371354,4.906482444605812,0.54,0.28,0.18,1.8725099601593624,0.638,17.0,2.1588522756265576,0.22727272727272727,0.7727272727272727,1.3738150844896275,0.99601593625498,26,83.0,2.1462969670140986,0.8719331428494775,1.2459016393442623,0.45,1.076026472621909,0.8006771988259433,3.5384615384615383,-0.7898839424909057,1.1269208878770633,0.41340782122905034,3.7289266579004177,3.219445450521148,0.0,6.892430278884461,0.40700000000000003,2.151394422310757
2,Martin Agirregabiria,La-Liga,ESP,DF,Alavés,1996.0,0.47368421052631576,0.0,0.22,19.1,0.011111111111111112,0.06,-0.011111111111111112,16.468007312614258,8.294332723948811,0.799,0.735,0.4,0.05555555555555555,0.6,0.03888888888888889,0.4,0.4406565656565657,0.37121212121212116,0.13888888888888887,0.025594149908592323,0.09323583180987204,0.014625228519195616,0.021937842778793418,0.10605977415399255,0.007973251028806584,0.07175925925925926,9.555555555555555,0.02551440329218107,1.3888888888888888,0.1111111111111111,0.0,0.04365904365904366,0.25987525987525983,0.46153846153846156,0.22245322245322247,0.012474012474012473,2.5132275132275135,0.737,21.0,0.4444444444444444,0.8181818181818181,0.1101409452187694,3.2567049808429114,0.5,0.3235294117647059,0.1764705882352941,2.0555555555555554,0.486,19.0,1.9157088122605364,0.15,0.85,2.3946360153256703,2.111111111111111,17,83.0,1.7195767195767195,4.100529100529101,1.1235955056179776,-0.2,0.9348472560151391,0.9705882352941176,1.032258064516129,1.0869086908690861,6.861111111111107,0.6132075471698112,2.298850574712643,2.9100529100529102,0.05555555555555555,4.388888888888889,0.534,3.2222222222222223
5,Joseph Aidoo,La-Liga,GHA,DF,Celta Vigo,1995.0,0.7710526315789474,0.0,0.2,13.3,0.017064846416382253,0.08,-0.017064846416382253,20.488188976377952,6.560629921259843,0.855,0.892,0.5720000000000001,0.0,0.5,0.017064846416382253,-0.5,0.26802807913209953,0.5296745373324824,0.17740906190172304,0.004724409448818898,0.07952755905511812,0.003149606299212598,0.0007874015748031497,0.10687895734872285,0.010776134496271015,0.002938945771710277,0.6484641638225256,0.008816837315130832,0.4778156996587031,0.0,0.034129692832764506,0.10675381263616557,0.3796296296296296,0.48747276688453156,0.0196078431372549,0.0065359477124183,0.6801206905079882,0.818,82.92857142857143,0.20477815699658702,0.07571059431524547,0.09586377911978398,2.9711116528522674,0.717948717948718,0.2564102564102564,0.02564102564102564,1.0580204778156996,0.5479999999999999,14.0,1.7521940516821066,0.5652173913043478,0.4347826086956521,2.8949293027791323,3.2764505119453924,30,87.0,2.1640203788890537,1.916703764158876,inf,0.6,1.0164363338717102,0.9543928217549267,-0.0,0.5608338714140743,1.0807736063708748,1.392857142857143,0.7618235007313505,1.112924766285799,0.034129692832764506,5.597269624573379,0.569,3.720136518771331
6,Carlos Akapo,La-Liga,EQG,DF,Cádiz,1993.0,0.5394736842105263,0.0,0.49,19.8,0.024390243902439025,0.05,-0.024390243902439025,16.729950900163665,6.414075286415711,0.853,0.764,0.47700000000000004,0.0,0.4,0.05365853658536586,-0.4,0.4098557692307692,0.3870192307692308,0.1310096153846154,0.011456628477905075,0.06219312602291326,0.00490998363338789,0.01800327332242226,0.0999725952315703,0.004200542005420054,0.06300813008130082,6.829268292682927,0.02800361336946703,0.7804878048780488,0.04878048780487805,0.04878048780487805,0.07882676443629698,0.29055912007332724,0.4161319890009166,0.2062328139321723,0.008249312557286894,2.4803637866887147,0.5710000000000001,17.0,0.43902439024390244,1.116557734204793,0.10819867655099427,3.5733577097270124,0.6046511627906976,0.34883720930232553,0.046511627906976744,1.8048780487804879,0.568,16.0,2.1606348942535423,0.2692307692307693,0.7307692307692308,4.23816844642041,2.975609756097561,21,84.0,1.7716884190633675,3.1890391543140617,1.4047619047619047,-0.36,0.9617651830620301,0.9403104212860309,0.8461538461538461,1.541656604684858,0.41707317073170513,1.2295081967213115,1.9113308679935184,2.952814031772279,0.0975609756097561,5.463414634146342,0.536,3.3658536585365857
9,David Alaba,La-Liga,AUT,DF,Real Madrid,1992.0,0.7736842105263158,0.06802721088435375,0.72,21.8,0.05782312925170068,0.09,0.010204081632653062,16.54642058165548,6.097874720357942,0.955,0.9359999999999999,0.634,0.10204081632653061,2.1,0.10204081632653061,0.9,0.4420731707317073,0.43648373983739835,0.0818089430894309,0.011744966442953019,0.07997762863534674,0.006711409395973154,0.0016778523489932886,0.10747730054364843,0.0019526329050138576,0.03905265810027715,1.1564625850340136,0.008786848072562359,1.2585034013605443,0.0,0.1360544217687075,0.09090909090909091,0.3248058474189128,0.4559159433531293,0.10963910461397902,0.01873001370488808,0.5678398237425187,0.4,94.16666666666667,0.10204081632653061,0.8325663716814159,0.09937898587605046,1.9509050502994216,0.6521739130434782,0.2608695652173913,0.08695652173913043,0.6462585034013606,0.474,10.0,2.205370926425433,0.5769230769230769,0.4230769230769231,1.8660830915907511,2.380952380952381,30,88.0,3.4070389424551126,1.4763835417305489,0.8992248062015503,-0.58,0.9894553512152643,0.9117339882010894,1.1111111111111112,-0.47000618429190305,0.6011707008384743,0.4153005464480875,1.357151339338728,0.34070389424551123,0.06802721088435375,4.795918367346939,0.389,1.2244897959183674
10,Tomás Alarcón,La-Liga,CHI,MF,Cádiz,1999.0,0.41578947368421054,0.0,0.95,24.1,0.07594936708860758,0.08,-0.07594936708860758,20.042713567839197,5.992462311557789,0.8240000000000001,0.7509999999999999,0.573,0.06329113924050632,1.3,0.08860759493670885,-0.3,0.3374125874125874,0.32342657342657344,0.25,0.035175879396984924,0.10301507537688442,0.007537688442211056,0.010050251256281405,0.09709043623138346,0.027250351617440226,0.11626816690107829,0.18987341772151897,0.032700421940928266,0.8860759493670886,0.06329113924050632,0.0,0.07343124165554073,0.2176234979973298,0.48998664886515353,0.20694259012016025,0.012016021361815754,1.2259784840776042,0.5,23.933333333333334,0.6329113924050632,0.5281337047353761,0.09637752956306729,3.3424622086127704,0.5483870967741935,0.32258064516129026,0.1290322580645161,1.9620253164556962,0.32299999999999995,21.0,2.048605869794924,0.3684210526315789,0.631578947368421,3.2346408470446164,1.9620253164556962,16,81.0,1.8389677261164066,3.524688141723113,1.6428571428571428,-0.47,0.7625810435319543,1.0800920598388952,2.5384615384615383,0.5476876801604215,1.0221518987341753,0.0819672131147541,2.048605869794924,1.379225794587305,0.06329113924050632,6.772151898734177,0.441,2.151898734177215
11,Jordi Alba,La-Liga,ESP,DF,Barcelona,1989.0,0.7736842105263158,0.06802721088435375,1.06,23.2,0.06122448979591837,0.06,0.006802721088435375,15.592116538131963,5.440874035989718,0.9159999999999999,0.872,0.564,0.3401360544217687,6.7,0.19727891156462585,3.3,0.4754919499105546,0.3559928443649374,0.09767441860465118,0.02485004284490146,0.0908311910882605,0.017994858611825194,0.007712082262210798,0.1352237079823052,0.011715797430083146,0.1181342907533384,9.115646258503402,0.03710002519526329,2.7891156462585034,0.0,0.06802721088435375,0.027215399933620973,0.19117158977763027,0.48423498174576834,0.27514105542648526,0.02223697311649519,1.1655752643736623,0.273,85.39999999999999,0.1360544217687075,1.6249180327868853,0.13518775788858953,4.465473340174059,0.2553191489361702,0.5531914893617021,0.19148936170212766,1.598639455782313,0.574,20.0,2.4702618477558627,0.23076923076923075,0.7692307692307692,3.1353323452285946,1.3945578231292517,30,88.0,2.8609574670989892,1.695382202725327,0.9493670886075949,-0.18,1.0328680955395453,1.0521997743821148,1.0136986301369864,-0.430839002267593,0.28722600151171657,0.1428571428571431,2.4702618477558627,1.006633182868163,0.3741496598639456,7.278911564625851,0.361,1.2244897959183674
12,Raúl Albiol,La-Liga,ESP,DF,Villarreal,1985.0,0.7210526315789473,0.0,0.18,7.5,0.018248175182481754,0.09,-0.018248175182481754,20.950709484690066,7.23076923076923,0.9059999999999999,0.9179999999999999,0.6709999999999999,0.0,0.1,0.007299270072992701,-0.1,0.2512820512820513,0.5448717948717948,0.17756410256410257,0.002987303958177745,0.04705003734129947,0.0007468259895444362,0.0,0.11299515559699794,0.012570965125709653,0.003142741281427413,0.03649635036496351,0.012570965125709653,0.29197080291970806,0.0,0.03649635036496351,0.14127423822714685,0.385595567867036,0.45207756232686985,0.016066481994459834,0.004986149584487535,0.2570165518659402,0.75,166.57142857142858,0.21897810218978103,0.023499142367066895,0.1028930359461074,2.1965396052987294,0.7692307692307692,0.1923076923076923,0.038461538461538464,0.6569343065693432,0.778,4.0,2.02757502027575,0.625,0.37500000000000006,1.7741281427412814,4.598540145985401,28,88.0,2.698673794592372,1.606353449162126,0.9117647058823529,-0.23,0.9245742092457421,0.934564696771973,0.8863636363636364,0.9245742092457416,0.9279000157538199,0.6702127659574469,1.5206812652068127,0.7710496555978206,0.07299270072992702,5.0,0.603,2.4817518248175183
13,Paco Alcácer,La-Liga,ESP,FW,Villarreal,1993.0,0.22894736842105262,0.1149425287356322,2.06,13.5,0.37931034482758624,0.18,-0.26436781609195403,11.934959349593495,1.6422764227642277,0.7290000000000001,0.778,0.625,0.3448275862068966,2.0,0.13793103448275862,1.0,0.5485714285714286,0.20571428571428574,0.04571428571428572,0.056910569105691054,0.032520325203252036,0.04065040650406504,0.0,0.0357765245394661,0.006598552575564071,0.0032992762877820355,0.2298850574712644,0.016496381438910176,1.3793103448275863,0.1149425287356322,0.2298850574712644,0.008,0.072,0.388,0.38,0.152,2.0236360692892994,0.5,8.31578947368421,0.8045977011494253,2.6981012658227845,0.0448828156927332,2.3946360153256703,0.22222222222222224,0.4444444444444445,0.3333333333333333,0.574712643678161,0.2,4.0,1.8624946785866325,0.0,1.0,1.5964240102171137,0.1149425287356322,10,65.0,3.237817710862879,2.2259996762182293,0.838235294117647,-0.15,0.8800340570455513,1.029740532484249,0.40909090909090906,-2.3295019157088124,0.31423137352187236,0.3617021276595745,1.3303533418475948,1.4165452485025094,0.9195402298850576,3.218390804597701,0.28600000000000003,4.022988505747127
14,Rubén Alcaraz,La-Liga,ESP,MF,Cádiz,1991.0,0.3236842105263158,0.16260162601626016,1.87,23.1,0.13008130081300812,0.07,0.03252032520325203,18.958633093525176,5.875899280575538,0.925,0.889,0.659,0.0,1.1,0.09756097560975609,-1.1,0.40029985007496255,0.33883058470764615,0.20689655172413793,0.025179856115107913,0.1528776978417266,0.01618705035971223,0.00539568345323741,0.15447154471544716,0.03733815115928937,0.05367359229147847,0.16260162601626016,0.030337247816922614,2.2764227642276422,0.08130081300813008,0.16260162601626016,0.022004889975550123,0.1650366748166259,0.6246943765281173,0.1662591687041565,0.022004889975550123,3.3465225693419165,0.647,24.952380952380953,0.8943089430894309,0.2816793893129771,0.1352070232488746,5.6785917092561045,0.34146341463414637,0.5853658536585367,0.07317073170731708,3.6585365853658534,0.489,23.0,1.385022368111245,0.2,0.8,1.8005290785446186,1.1382113821138211,12,87.0,1.968542687848186,2.362251225417823,0.380952380952381,0.38,1.1439799542119589,0.7807834441980783,-0.8846153846153846,2.0494244546405853,1.4674796747967471,0.7868852459016393,4.155067104333735,6.889899407468651,0.08130081300813008,6.991869918699186,0.489,3.6585365853658534
