,Squad,League,90s,Gls/90,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,AvgShotDist,npxG/90,npxG/Sh,np:G-xG,TotDist/pass,PrgDist/Pass,Short%,Med%,Long%,Ast,xAG,xA,A-xAG,PropShort,PropMed,PropLong,PropAssistShots,PropFinalThirdPasses,PropPassinPA,PropCrossinPA,TotPassAtt,Sw,Crs,TI,PropPassBlocked,SCA90,Shot-Creating Pass/90,Shot-Creating Drib/90,Shot-CreatingSh/90,Shot-Creating Def/90,Poss,Prop Def Pen Touches,Prop Def 3rd Touches,Prop Mid 3rd Touches,Prop Att 3rd Touches,Prop Att Pen Touches,AttDribbles,DribSucc%,RecPass/Misplayed,Dis,PropPassRecProg,OppPoss,TotalTouches,Tkl,Tkl%,PropTkl Def 3rd,PropTkl Mid 3rd,PropTkl Att 3rd,DribTkl,DribTkl%,Past,Blocks,PropBlockSh,PropBlockPass,Int,Clr,Age,Starts,Mn/Start,onG,onGA,+/-,onxG,onxGA,xG+/-,onG-xG,onGA-xGA,G-xG+/-,CrdY,Fls,Fld,TimesOffside,PKwon,PKcon,Recov,DuelWin%,AerialDuels
0,Alavés,La-Liga,38.0,0.7631578947368421,0.298,9.82,2.92,0.06,0.21,18.2,0.9368421052631579,0.1,-0.33157894736842103,19.744212484497726,8.861616370400991,0.804,0.762,0.483,0.5263157894736842,27.8,0.6,-7.8,0.36500881834215165,0.3494885361552028,0.22278659611992946,0.02687060768912774,0.08629599007854485,0.011885076477883422,0.0086812732534105,319.5263157894737,0.01548344589029814,0.06242793608960632,21.710526315789473,0.025531213968044798,16.68,10.131578947368421,1.0,1.1842105263157894,0.6842105263157895,0.42,0.12066814903194317,0.21557568197841534,0.4369000488095884,0.19420792884646676,0.03264819133358642,13.263157894736842,0.5379999999999999,15.425324675324676,7.315789473684211,2.7314249631656495,0.5800000000000001,485.2368421052631,14.473684210526315,0.5890909090909092,0.4927272727272728,0.40181818181818185,0.10545454545454547,16.763157894736842,0.41100000000000003,375,9.81578947368421,0.2841823056300268,0.7158176943699732,9.894736842105264,23.42105263157895,27.9,418,82,0.8157894736842105,1.7105263157894737,-0.89,1.0815789473684212,1.7,-0.62,-0.2657894736842107,0.010526315789473717,-10.600000000000001,93,13.921052631578947,11.973684210526315,1.894736842105263,0.15789473684210525,0.23684210526315788,50.26315789473684,0.563,40.60526315789474
1,Athletic Club,La-Liga,38.0,1.0526315789473684,0.326,12.11,3.95,0.08,0.25,16.8,1.2842105263157895,0.11,-0.3105263157894737,17.702633814783347,7.065497798717849,0.856,0.8079999999999999,0.508,0.8947368421052632,41.3,0.9473684210526315,-7.3,0.39495457964473757,0.37227333217612685,0.16374472024532777,0.02711052753533637,0.08156329651656755,0.017301305321696145,0.006333513555263768,399.86842105263156,0.015154010871355624,0.06572228627903146,23.157894736842106,0.027343106572228625,21.53,15.105263157894736,1.1578947368421053,1.105263157894737,0.47368421052631576,0.48100000000000004,0.09677268475210477,0.19396632366697847,0.4438260056127222,0.22787652011225445,0.03755846585594013,13.947368421052632,0.56,22.444639718804922,8.973684210526315,3.3325503092944952,0.5189999999999999,562.6315789473684,13.368421052631579,0.5748031496062992,0.4271653543307086,0.4251968503937008,0.14763779527559054,15.31578947368421,0.385,358,10.81578947368421,0.3114355231143552,0.6885644768856448,8.921052631578947,20.736842105263158,26.9,418,81,1.131578947368421,0.9473684210526315,0.18,1.431578947368421,1.1421052631578947,0.29,-0.30000000000000004,-0.1947368421052632,-4.0,90,12.81578947368421,12.710526315789474,2.3421052631578947,0.13157894736842105,0.07894736842105263,55.21052631578947,0.506,30.44736842105263
2,Atlético Madrid,La-Liga,38.0,1.6578947368421053,0.332,12.05,4.0,0.13,0.39,17.5,1.4552631578947368,0.12,0.09736842105263159,16.790925975059697,5.884916423454497,0.89,0.841,0.536,1.1842105263157894,42.8,1.0421052631578949,2.2,0.4340245051837889,0.32809718295109436,0.16022620169651272,0.023016715309100558,0.06560095516052003,0.01717962324223932,0.004377819050145927,449.5263157894737,0.018777796079723272,0.05789820457914676,21.894736842105264,0.02454290891121726,21.79,15.394736842105264,1.4473684210526316,1.0789473684210527,0.5526315789473685,0.506,0.08692637691207697,0.2064826450578498,0.4628851237162543,0.2067859773800754,0.03691987693374356,15.789473684210526,0.638,26.809009009009007,9.289473684210526,2.6279991934941864,0.494,607.2894736842105,16.736842105263158,0.5440251572327044,0.4559748427672956,0.4386792452830189,0.10534591194968554,16.289473684210527,0.473,326,9.789473684210526,0.2634408602150538,0.7365591397849462,9.605263157894736,17.07894736842105,28.1,418,79,1.7105263157894737,1.131578947368421,0.58,1.5421052631578949,1.0184210526315791,0.52,0.1684210526315788,0.1131578947368419,2.1000000000000014,111,12.447368421052632,13.236842105263158,2.236842105263158,0.10526315789473684,0.21052631578947367,52.68421052631579,0.509,28.894736842105264
3,Barcelona,La-Liga,38.0,1.7894736842105263,0.34600000000000003,13.45,4.66,0.12,0.35,17.1,1.6368421052631579,0.12,-0.005263157894736842,16.7192517101773,5.348457350272232,0.919,0.897,0.669,1.368421052631579,50.4,1.4394736842105265,1.6,0.44425337918899466,0.37594977205470687,0.11645205150763817,0.018707245567499652,0.07901717157615525,0.013541812089906466,0.0046070082367723015,607.7105263157895,0.01589523966397628,0.06572228627903146,18.736842105263158,0.025448855213309175,24.74,18.92105263157895,1.736842105263158,0.8947368421052632,0.5263157894736842,0.642,0.07744645398687819,0.16763286701149024,0.4953309959384872,0.22359148817995628,0.03599819488318812,19.657894736842106,0.635,34.08667736757624,9.421052631578947,2.4747598417781127,0.358,758.078947368421,15.447368421052632,0.5638841567291312,0.4020442930153322,0.4599659284497445,0.13798977853492334,12.973684210526315,0.495,249,9.105263157894736,0.24566473988439308,0.7543352601156069,8.552631578947368,12.289473684210526,26.2,418,82,1.7894736842105263,1.0,0.79,1.7815789473684212,1.0473684210526315,0.73,0.007894736842105177,-0.047368421052631504,2.1000000000000014,97,13.131578947368421,12.868421052631579,2.6052631578947367,0.15789473684210525,0.07894736842105263,54.36842105263158,0.525,22.736842105263158
4,Betis,La-Liga,38.0,1.5789473684210527,0.358,13.39,4.79,0.11,0.3,18.4,1.4289473684210525,0.11,-0.007894736842105263,17.42032862055789,6.331613807158323,0.888,0.8640000000000001,0.551,1.1842105263157894,42.3,0.9236842105263158,2.7,0.4260440238634026,0.3759000205718988,0.1477576630322979,0.025156031078843462,0.07234747165966118,0.015475735575085975,0.0032479938861291555,460.86842105263156,0.014906934607148741,0.04505023884038873,19.710526315789473,0.025531213968044798,23.58,17.289473684210527,1.4473684210526316,1.2105263157894737,0.5789473684210527,0.537,0.09711275026343519,0.2111696522655427,0.4591780821917808,0.19793466807165436,0.034604847207586935,17.236842105263158,0.568,26.318027210884356,9.578947368421053,2.612730210016155,0.46299999999999997,624.3421052631579,17.42105263157895,0.5921450151057401,0.48640483383685795,0.39425981873111776,0.11933534743202416,18.289473684210527,0.466,371,10.157894736842104,0.2901554404145078,0.7098445595854923,9.5,20.44736842105263,28.9,418,82,1.631578947368421,1.0526315789473684,0.58,1.5526315789473684,1.2842105263157895,0.27,0.07894736842105265,-0.2315789473684211,11.8,87,12.763157894736842,12.368421052631579,1.868421052631579,0.10526315789473684,0.07894736842105263,50.21052631578947,0.49700000000000005,26.736842105263158
5,Cádiz,La-Liga,38.0,0.9210526315789473,0.29100000000000004,10.66,3.11,0.08,0.27,17.9,1.0605263157894735,0.1,-0.21842105263157896,19.29617205998421,7.681728492501972,0.846,0.787,0.47100000000000003,0.5526315789473685,28.6,0.7605263157894736,-7.6,0.34901144640998955,0.35060700659035726,0.22837322233784252,0.027328334648776636,0.08178768745067086,0.011148382004735596,0.011838989739542225,327.89473684210526,0.015071652116619996,0.07124032284631857,20.92105263157895,0.02569593147751606,18.11,11.842105263157896,1.0,1.236842105263158,0.6842105263157895,0.413,0.11861323631694398,0.23000374511797123,0.4201487346851426,0.19720721202717884,0.03402707185276336,13.657894736842104,0.541,17.296875,7.657894736842105,2.727090233865302,0.587,491.8684210526316,17.026315789473685,0.5873261205564142,0.5347758887171561,0.3678516228748068,0.0973724884080371,18.710526315789473,0.423,410,10.263157894736842,0.2717948717948718,0.7282051282051282,10.868421052631579,20.210526315789473,28.5,418,81,0.9210526315789473,1.3421052631578947,-0.42,1.186842105263158,1.4473684210526316,-0.26,-0.2657894736842106,-0.10526315789473695,-6.1,105,12.842105263157896,11.81578947368421,1.8157894736842106,0.13157894736842105,0.34210526315789475,54.6578947368421,0.46399999999999997,34.05263157894737
6,Celta Vigo,La-Liga,38.0,1.131578947368421,0.33299999999999996,10.66,3.55,0.1,0.3,18.3,1.1026315789473684,0.11,-0.049999999999999996,17.91534953457862,5.9846317236209154,0.8690000000000001,0.8440000000000001,0.546,0.7631578947368421,31.9,0.8315789473684211,-2.9,0.38764508765965716,0.3785634500509931,0.16346947695595163,0.017867183107390515,0.06903229836946335,0.012557006309739487,0.005247704129443369,488.89473684210526,0.0139186295503212,0.0632515236369626,23.63157894736842,0.02964915170482622,18.68,14.18421052631579,0.6578947368421053,1.3157894736842106,0.5263157894736842,0.552,0.09150932002093483,0.20886509118724586,0.47203993719553927,0.1989210515721245,0.02866460002415556,15.552631578947368,0.585,27.608391608391607,8.157894736842104,2.399062816616008,0.44799999999999995,653.6578947368421,18.31578947368421,0.5876436781609197,0.46551724137931044,0.4008620689655173,0.1336206896551724,20.05263157894737,0.375,476,11.131578947368421,0.21513002364066194,0.784869976359338,9.894736842105264,16.68421052631579,28.4,418,82,1.131578947368421,1.131578947368421,0.0,1.2289473684210528,1.305263157894737,-0.07,-0.09736842105263177,-0.17368421052631589,2.8,87,13.342105263157896,12.18421052631579,2.1842105263157894,0.07894736842105263,0.21052631578947367,56.421052631578945,0.46399999999999997,34.18421052631579
7,Elche,La-Liga,38.0,1.0263157894736843,0.317,8.79,2.79,0.11,0.36,18.0,0.9342105263157895,0.11,0.06578947368421052,18.31865925239419,7.189759036144578,0.8740000000000001,0.8440000000000001,0.536,0.7631578947368421,28.9,0.6526315789473685,0.1,0.3903540033262058,0.35756711808030417,0.18585174625801854,0.02015755329008341,0.0664967562557924,0.009731232622798886,0.006024096385542169,389.9736842105263,0.01482457585241311,0.05929830340965244,20.07894736842105,0.027590182836435512,15.5,11.0,1.0526315789473684,0.6052631578947368,0.5263157894736842,0.484,0.11913875598086125,0.24612440191387558,0.43191387559808614,0.17923444976076555,0.02358851674641148,15.710526315789474,0.568,19.655384615384616,8.68421052631579,2.2099248591108327,0.516,550.0,15.5,0.5517826825127334,0.568760611205433,0.3242784380305603,0.10696095076400679,16.36842105263158,0.431,354,9.657894736842104,0.34332425068119893,0.6566757493188011,8.026315789473685,20.236842105263158,29.1,418,80,1.0526315789473684,1.368421052631579,-0.32,0.9552631578947368,1.7052631578947368,-0.75,0.09736842105263155,-0.33684210526315783,16.6,104,13.631578947368421,12.394736842105264,1.9473684210526316,0.02631578947368421,0.2631578947368421,52.1578947368421,0.506,27.421052631578945
8,Espanyol,La-Liga,38.0,1.0263157894736843,0.318,10.61,3.37,0.08,0.27,19.5,0.9605263157894737,0.09,-0.06578947368421052,17.80434131736527,6.632410179640718,0.892,0.858,0.524,0.6578947368421053,28.4,0.6526315789473685,-3.4,0.3997281163189314,0.3712394349547845,0.1664992020805012,0.02245508982035928,0.07432634730538923,0.011452095808383234,0.004416167664670658,394.8157894736842,0.016142315928183167,0.051638939219239004,17.342105263157894,0.02363696260912535,19.29,13.578947368421053,1.2105263157894737,1.0526315789473684,0.7894736842105263,0.469,0.12369470286690716,0.23338712739700018,0.4334535788874122,0.1820770837288779,0.027387507119802545,16.210526315789473,0.606,23.369449378330373,8.710526315789474,2.310557117884016,0.531,554.421052631579,14.657894736842104,0.606822262118492,0.5529622980251346,0.3518850987432675,0.09515260323159784,17.0,0.426,371,9.473684210526315,0.3166666666666667,0.6833333333333333,8.578947368421053,23.473684210526315,27.6,418,81,1.0526315789473684,1.394736842105263,-0.34,1.063157894736842,1.5,-0.44,-0.010526315789473717,-0.10526315789473695,3.6000000000000014,99,11.578947368421053,13.578947368421053,1.8421052631578947,0.07894736842105263,0.13157894736842105,45.68421052631579,0.43799999999999994,26.86842105263158
9,Getafe,La-Liga,38.0,0.8157894736842105,0.275,10.63,2.92,0.07,0.25,20.6,0.7763157894736842,0.07,-0.039473684210526314,19.33693325549718,8.016540182914964,0.828,0.775,0.48200000000000004,0.6842105263157895,22.9,0.5184210526315789,3.1,0.3718764975696584,0.3488053672896556,0.2217429999315397,0.028021015761821366,0.07861451644288772,0.009048453006421483,0.007102549134072777,332.2368421052632,0.015977598418711908,0.05114478669082523,22.157894736842106,0.02462526766595289,18.39,12.078947368421053,0.8421052631578947,1.0789473684210527,0.6052631578947368,0.415,0.10701126715437605,0.21263416457521228,0.4632349014791478,0.18807070005873874,0.029048966732525234,11.894736842105264,0.535,16.77943615257048,7.921052631578948,2.467483692429334,0.585,492.81578947368416,15.447368421052632,0.6132879045996592,0.45315161839863716,0.41396933560477,0.13287904599659286,15.631578947368421,0.418,346,10.526315789473685,0.23999999999999996,0.7599999999999999,10.552631578947368,18.92105263157895,26.6,418,83,0.868421052631579,1.0789473684210527,-0.21,0.8789473684210526,1.1105263157894738,-0.23,-0.010526315789473606,-0.03157894736842115,0.8000000000000007,121,14.710526315789474,12.657894736842104,1.394736842105263,0.02631578947368421,0.10526315789473684,50.63157894736842,0.501,37.84210526315789
