,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
0,1,Dickson Abiama,ng NGA,FW,Greuther Fürth,22,1998,8.1,15,1.85,10,0,0,2,2,1,2,0.25,1,0,0,1,0,0,Matches
1,2,Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,23,1998,2.9,7,2.43,3,0,1,2,1,0,1,0.35,0,0,0,1,0,0,Matches
2,3,Tyler Adams,us USA,MF,RB Leipzig,22,1999,15.0,26,1.73,23,1,1,1,0,0,4,0.27,4,0,0,0,0,0,Matches
3,4,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,28,1993,3.7,11,2.98,8,0,2,0,0,1,1,0.27,1,0,0,0,0,0,Matches
4,5,Amine Adli,fr FRA,"FW,MF",Leverkusen,21,2000,14.0,47,3.37,37,1,3,4,2,0,6,0.43,5,0,0,1,0,0,Matches
5,6,Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,19,2002,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6,7,Manuel Akanji,ch SUI,DF,Dortmund,26,1995,25.1,16,0.64,11,2,1,1,0,1,1,0.04,1,0,0,0,0,0,Matches
7,8,Kevin Akpoguma,ng NGA,"DF,FW",Hoffenheim,26,1995,17.0,33,1.94,22,1,3,3,2,2,2,0.12,1,0,0,1,0,0,Matches
8,9,Lucas Alario,ar ARG,FW,Leverkusen,28,1992,7.3,27,3.69,17,0,6,2,2,0,4,0.55,3,0,1,0,0,0,Matches
9,10,Nadiem Amiri,de GER,"MF,FW",Leverkusen,24,1996,4.1,7,1.71,5,1,0,0,1,0,1,0.24,0,0,0,0,1,0,Matches
10,11,Sebastian Andersson,se SWE,FW,Köln,30,1991,14.0,20,1.43,16,0,0,1,2,1,4,0.29,3,0,0,0,1,0,Matches
11,12,Andrés Andrade Cedeño,pa PAN,DF,Arminia,22,1998,11.6,9,0.77,6,0,0,1,0,2,2,0.17,1,0,0,0,0,1,Matches
12,13,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,22,1998,3.9,9,2.29,7,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
13,14,Robert Andrich,de GER,MF,Leverkusen,26,1994,20.2,38,1.88,27,0,2,5,3,1,6,0.30,3,0,0,3,0,0,Matches
14,15,Angeliño,es ESP,DF,RB Leipzig,24,1997,25.5,83,3.25,53,22,3,4,1,0,8,0.31,5,3,0,0,0,0,Matches
15,16,Waldemar Anton,de GER,DF,Stuttgart,25,1996,28.8,40,1.39,31,0,1,2,2,4,2,0.07,2,0,0,0,0,0,Matches
16,17,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,27,1994,12.6,28,2.23,15,1,1,5,6,0,2,0.16,1,0,0,0,1,0,Matches
17,18,Charles Aránguiz,cl CHI,MF,Leverkusen,32,1989,17.5,40,2.28,34,3,1,1,1,0,5,0.28,4,0,1,0,0,0,Matches
18,19,Maximilian Arnold,de GER,MF,Wolfsburg,27,1994,33.3,106,3.19,56,45,2,0,3,0,4,0.12,2,1,0,0,1,0,Matches
19,20,Takuma Asano,jp JPN,"FW,MF",Bochum,26,1994,17.9,48,2.69,34,0,4,6,3,1,7,0.39,6,0,0,0,1,0,Matches
20,21,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,24,1997,26.4,38,1.44,32,1,1,1,1,2,1,0.04,1,0,0,0,0,0,Matches
21,22,Fisnik Asllani,xk KVX,"MF,FW",Hoffenheim,18,2002,0.1,1,10.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
22,23,Simon Asta,de GER,DF,Greuther Fürth,20,2001,8.7,11,1.26,8,3,0,0,0,0,1,0.11,0,1,0,0,0,0,Matches
23,24,Taiwo Awoniyi,ng NGA,FW,Union Berlin,23,1997,24.2,67,2.77,46,0,8,10,3,0,6,0.25,2,0,2,1,1,0,Matches
24,25,Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,26,1995,4.0,13,3.26,12,0,0,1,0,0,1,0.25,1,0,0,0,0,0,Matches
25,26,Mitchel Bakker,nl NED,DF,Leverkusen,21,2000,20.2,38,1.88,33,0,1,1,1,2,6,0.30,6,0,0,0,0,0,Matches
26,27,Ridle Baku,de GER,"DF,FW",Wolfsburg,23,1998,27.2,83,3.05,60,4,4,7,7,1,10,0.37,5,0,0,1,3,1,Matches
27,28,Aymen Barkok,ma MAR,"MF,DF",Eint Frankfurt,23,1998,1.8,3,1.69,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
28,29,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,21,2000,19.9,33,1.66,19,0,2,5,5,2,4,0.20,2,0,0,0,2,0,Matches
29,30,Jacob Barrett Laursen,dk DEN,DF,Arminia,26,1994,18.1,22,1.21,12,9,1,0,0,0,1,0.06,1,0,0,0,0,0,Matches
30,31,Abdourahmane Barry,fr FRA,DF,Greuther Fürth,21,2000,2.3,3,1.29,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
31,32,Maximilian Bauer,de GER,DF,Greuther Fürth,21,2000,18.8,11,0.59,7,0,0,1,0,3,0,0.00,0,0,0,0,0,0,Matches
32,33,Oliver Baumann,de GER,GK,Hoffenheim,31,1990,33.0,1,0.03,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
33,34,Timo Baumgartl,de GER,DF,Union Berlin,25,1996,24.1,28,1.16,20,1,1,5,0,1,2,0.08,1,0,0,1,0,0,Matches
34,35,Julian Baumgartlinger,at AUT,"MF,FW",Leverkusen,33,1988,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
35,36,Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,21,1999,21.0,52,2.48,42,0,3,1,4,2,4,0.19,3,0,0,0,0,1,Matches
