,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
0,1,Dickson Abiama,ng NGA,FW,Greuther Fürth,22,1998,8.1,84,137,61.3,1009,278,53,78,67.9,23,36,63.9,1,3,33.3,1,1.4,0.6,-0.4,7,5,6,0,15,Matches
1,2,Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,23,1998,2.9,37,64,57.8,481,117,22,32,68.8,10,18,55.6,1,3,33.3,1,0.5,0.3,+0.5,3,3,3,2,2,Matches
2,3,Tyler Adams,us USA,MF,RB Leipzig,22,1999,15.0,794,918,86.5,11903,3451,424,460,92.2,278,307,90.6,49,71,69.0,1,0.8,1.4,+0.2,7,85,8,0,65,Matches
3,4,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,28,1993,3.7,73,101,72.3,991,255,44,57,77.2,28,35,80.0,0,3,0.0,0,0.5,0.5,-0.5,4,5,4,2,6,Matches
4,5,Amine Adli,fr FRA,"FW,MF",Leverkusen,21,2000,14.0,376,516,72.9,5007,1530,219,272,80.5,125,166,75.3,9,18,50.0,2,2.0,1.5,0.0,14,27,19,4,49,Matches
5,6,Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,19,2002,0.7,28,32,87.5,501,62,14,15,93.3,10,11,90.9,4,6,66.7,0,0.0,0.0,0.0,0,1,0,0,3,Matches
6,7,Manuel Akanji,ch SUI,DF,Dortmund,26,1995,25.1,1819,2013,90.4,36320,13836,585,629,93.0,973,1018,95.6,235,314,74.8,0,0.1,0.7,-0.1,2,122,2,0,90,Matches
7,8,Kevin Akpoguma,ng NGA,"DF,FW",Hoffenheim,26,1995,17.0,691,917,75.4,11479,4667,332,384,86.5,289,358,80.7,52,111,46.8,2,2.6,2.0,-0.6,11,57,11,2,71,Matches
8,9,Lucas Alario,ar ARG,FW,Leverkusen,28,1992,7.3,115,171,67.3,1392,257,68,92,73.9,30,44,68.2,3,6,50.0,0,1.2,1.5,-1.2,7,5,5,0,9,Matches
9,10,Nadiem Amiri,de GER,"MF,FW",Leverkusen,24,1996,4.1,183,222,82.4,2857,575,97,105,92.4,59,72,81.9,18,28,64.3,0,0.4,0.4,-0.4,3,10,8,0,16,Matches
10,11,Sebastian Andersson,se SWE,FW,Köln,30,1991,14.0,147,234,62.8,1595,243,108,149,72.5,22,38,57.9,2,4,50.0,1,1.1,0.9,-0.1,12,5,7,1,7,Matches
11,12,Andrés Andrade Cedeño,pa PAN,DF,Arminia,22,1998,11.6,350,535,65.4,5920,2921,164,214,76.6,144,212,67.9,32,69,46.4,0,0.3,0.5,-0.3,4,32,2,1,42,Matches
