,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
0,1,Dickson Abiama,ng NGA,FW,Greuther Fürth,22,1998,8.1,137,129,6,0,2,0,3,0,0,0,0,0,84,2,6,Matches
1,2,Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,23,1998,2.9,64,61,2,0,0,1,6,2,0,0,0,0,37,1,4,Matches
2,3,Tyler Adams,us USA,MF,RB Leipzig,22,1999,15.0,918,882,32,16,1,0,2,14,0,0,0,0,794,4,15,Matches
3,4,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,28,1993,3.7,101,95,5,0,0,0,5,5,0,0,0,0,73,1,3,Matches
4,5,Amine Adli,fr FRA,"FW,MF",Leverkusen,21,2000,14.0,516,494,17,1,6,0,21,11,1,0,0,0,376,5,27,Matches
5,6,Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,19,2002,0.7,32,32,0,0,0,0,0,0,0,0,0,0,28,0,0,Matches
6,7,Manuel Akanji,ch SUI,DF,Dortmund,26,1995,25.1,2013,1944,66,59,1,26,3,7,0,0,0,0,1819,3,10,Matches
7,8,Kevin Akpoguma,ng NGA,"DF,FW",Hoffenheim,26,1995,17.0,917,742,172,13,0,7,31,159,0,0,0,0,691,3,24,Matches
8,9,Lucas Alario,ar ARG,FW,Leverkusen,28,1992,7.3,171,159,12,0,1,1,1,2,0,0,0,0,115,0,9,Matches
9,10,Nadiem Amiri,de GER,"MF,FW",Leverkusen,24,1996,4.1,222,209,12,2,0,2,8,3,6,1,5,0,183,1,5,Matches
10,11,Sebastian Andersson,se SWE,FW,Köln,30,1991,14.0,234,227,7,0,0,1,9,1,0,0,0,0,147,0,10,Matches
11,12,Andrés Andrade Cedeño,pa PAN,DF,Arminia,22,1998,11.6,535,441,93,5,1,1,21,88,0,0,0,0,350,1,18,Matches
12,13,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,22,1998,3.9,166,131,35,3,1,0,5,32,0,0,0,0,133,0,5,Matches
13,14,Robert Andrich,de GER,MF,Leverkusen,26,1994,20.2,1011,987,18,16,8,1,6,2,0,0,0,0,811,6,9,Matches
14,15,Angeliño,es ESP,DF,RB Leipzig,24,1997,25.5,1516,1201,304,47,0,6,187,205,52,26,9,0,1082,11,20,Matches
15,16,Waldemar Anton,de GER,DF,Stuttgart,25,1996,28.8,1826,1744,80,45,1,20,11,32,0,0,0,0,1541,2,14,Matches
16,17,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,27,1994,12.6,264,233,30,1,3,0,29,28,1,0,0,0,161,1,21,Matches
17,18,Charles Aránguiz,cl CHI,MF,Leverkusen,32,1989,17.5,1094,1035,53,44,7,13,9,8,1,0,1,0,916,6,27,Matches
18,19,Maximilian Arnold,de GER,MF,Wolfsburg,27,1994,33.3,1869,1602,255,145,5,40,182,7,102,63,33,1,1453,12,21,Matches
19,20,Takuma Asano,jp JPN,"FW,MF",Bochum,26,1994,17.9,378,372,5,0,4,2,34,4,0,0,0,0,244,1,24,Matches
20,21,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,24,1997,26.4,1168,1100,63,55,1,4,2,6,0,0,0,0,959,5,24,Matches
21,22,Fisnik Asllani,xk KVX,"MF,FW",Hoffenheim,18,2002,0.1,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
22,23,Simon Asta,de GER,DF,Greuther Fürth,20,2001,8.7,401,308,92,2,0,2,16,90,0,0,0,0,282,1,13,Matches
23,24,Taiwo Awoniyi,ng NGA,FW,Union Berlin,23,1997,24.2,474,458,12,0,5,0,10,2,0,0,0,0,313,4,17,Matches
24,25,Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,26,1995,4.0,108,103,3,0,3,0,2,0,0,0,0,0,79,2,3,Matches
25,26,Mitchel Bakker,nl NED,DF,Leverkusen,21,2000,20.2,1228,1046,181,15,2,6,37,166,0,0,0,0,994,1,28,Matches
26,27,Ridle Baku,de GER,"DF,FW",Wolfsburg,23,1998,27.2,1338,1109,222,17,2,5,73,200,5,1,0,0,1011,7,31,Matches
27,28,Aymen Barkok,ma MAR,"MF,DF",Eint Frankfurt,23,1998,1.8,70,59,11,0,0,2,2,9,2,1,1,0,52,0,0,Matches
28,29,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,21,2000,19.9,536,525,6,5,2,1,8,1,0,0,0,0,375,5,18,Matches
29,30,Jacob Barrett Laursen,dk DEN,DF,Arminia,26,1994,18.1,783,574,209,23,0,3,54,169,17,7,2,0,541,0,33,Matches
30,31,Abdourahmane Barry,fr FRA,DF,Greuther Fürth,21,2000,2.3,111,90,20,3,0,0,7,17,0,0,0,0,85,1,5,Matches
31,32,Maximilian Bauer,de GER,DF,Greuther Fürth,21,2000,18.8,897,849,45,42,0,3,1,2,0,0,0,0,723,3,8,Matches
32,33,Oliver Baumann,de GER,GK,Hoffenheim,31,1990,33.0,1523,1232,286,70,0,2,0,0,0,0,0,0,1225,5,2,Matches
33,34,Timo Baumgartl,de GER,DF,Union Berlin,25,1996,24.1,1205,1134,66,57,0,10,10,4,0,0,0,0,950,5,8,Matches
34,35,Julian Baumgartlinger,at AUT,"MF,FW",Leverkusen,33,1988,1.0,70,68,2,1,0,0,1,0,0,0,0,0,62,0,0,Matches
35,36,Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,21,1999,21.0,729,695,32,6,4,4,35,23,2,1,0,0,514,2,18,Matches
36,37,Noah Joel Sarenren Bazee,ng NGA,"MF,FW",Augsburg,24,1996,2.7,51,48,3,0,0,0,10,3,0,0,0,0,30,0,6,Matches
37,38,Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,27,1994,23.2,629,561,65,1,0,1,49,58,0,0,0,0,431,3,31,Matches
38,39,Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,26,1995,19.5,605,597,6,1,3,2,123,2,1,0,0,0,374,2,28,Matches
39,40,Kevin Behrens,de GER,FW,Union Berlin,30,1991,5.5,195,194,0,0,0,0,2,0,0,0,0,0,125,1,3,Matches
40,41,Ishak Belfodil,dz ALG,FW,Hertha BSC,29,1992,18.2,471,432,36,1,1,0,12,2,0,0,0,0,327,3,16,Matches
41,42,Stefan Bell,de GER,DF,Mainz 05,29,1991,31.8,1545,1495,45,39,0,4,16,6,0,0,0,0,1180,5,21,Matches
42,43,Armel Bella Kotchap,de GER,DF,Bochum,19,2001,19.6,765,744,19,11,0,9,2,8,0,0,0,0,585,2,4,Matches
43,44,Karim Bellarabi,de GER,"FW,MF",Leverkusen,31,1990,7.6,268,257,11,0,2,1,25,8,3,0,2,0,200,0,10,Matches
44,45,Jude Bellingham,eng ENG,MF,Dortmund,18,2003,31.0,1517,1475,33,23,12,18,14,9,1,0,0,0,1256,9,25,Matches
45,46,George Bello,us USA,DF,Arminia,19,2002,4.8,171,134,37,0,1,0,11,35,2,0,2,0,130,0,0,Matches
46,47,László Bénes,sk SVK,MF,M'Gladbach,23,1997,2.7,187,160,25,14,0,0,15,1,10,6,1,0,138,2,1,Matches
47,48,Keanan Bennetts,eng ENG,"FW,DF",M'Gladbach,22,1999,0.6,25,23,2,0,0,0,2,2,0,0,0,0,17,0,1,Matches
48,49,Ramy Bensebaini,dz ALG,DF,M'Gladbach,26,1995,22.4,1322,1178,136,32,2,5,15,99,1,0,0,0,1063,8,27,Matches
49,50,Louis Beyer,de GER,DF,M'Gladbach,21,2000,15.4,955,917,37,17,0,5,8,20,0,0,0,0,833,1,6,Matches
50,51,Bartosz Bialek,pl POL,"FW,DF",Wolfsburg,19,2001,2.0,42,42,0,0,0,0,0,0,0,0,0,0,23,0,2,Matches
51,52,Ermin Bičakčić,ba BIH,DF,Hoffenheim,31,1990,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
52,53,Tom Bischof,de GER,MF,Hoffenheim,16,2005,0.2,5,5,0,0,0,0,1,0,0,0,0,0,2,0,0,Matches
53,54,Danny Blum,de GER,FW,Bochum,30,1991,3.8,181,154,26,11,0,3,31,4,11,6,5,0,112,1,5,Matches
54,55,Kevin-Prince Boateng,gh GHA,"MF,FW",Hertha BSC,34,1987,7.7,335,309,24,16,2,8,5,2,0,0,0,0,256,2,4,Matches
55,56,Herbert Bockhorn,de GER,DF,Bochum,26,1995,9.4,374,307,65,4,0,2,27,61,0,0,0,0,261,2,13,Matches
56,57,Jean-Paul Boëtius,nl NED,MF,Mainz 05,27,1994,20.0,937,855,71,42,4,10,50,5,24,14,9,0,695,11,14,Matches
57,58,Tarsis Bonga,de GER,"MF,FW",Bochum,24,1997,0.2,8,8,0,0,0,0,1,0,0,0,0,0,4,0,2,Matches
58,59,Solomon Bonnah,nl NED,DF,RB Leipzig,17,2003,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
59,60,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,22,1999,22.3,1177,1136,36,31,0,4,0,3,0,0,0,0,1007,5,2,Matches
60,61,Rafael Borré,co COL,FW,Eint Frankfurt,25,1995,26.4,694,644,48,1,4,1,20,7,1,0,0,0,489,2,31,Matches
61,62,Dedryck Boyata,be BEL,DF,Hertha BSC,30,1990,21.1,805,784,19,19,0,2,0,0,0,0,0,0,675,2,4,Matches
62,63,Julian Brandt,de GER,"MF,FW",Dortmund,25,1996,23.1,1324,1202,117,17,7,5,128,11,89,38,40,0,1022,5,22,Matches
63,64,Iker Bravo,es ESP,FW,Leverkusen,16,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
64,65,Fabian Bredlow,de GER,GK,Stuttgart,26,1995,4.0,129,89,40,3,0,0,0,0,0,0,0,0,116,0,0,Matches
65,66,Josip Brekalo,hr CRO,FW,Wolfsburg,23,1998,0.2,17,17,0,0,0,1,2,0,0,0,0,0,12,0,1,Matches
66,67,Brian Brobbey,nl NED,"FW,MF",RB Leipzig,19,2002,1.5,32,31,1,0,0,0,1,0,0,0,0,0,28,0,0,Matches
67,68,John Brooks,us USA,DF,Wolfsburg,28,1993,29.1,1736,1654,77,67,1,34,4,9,0,0,0,0,1443,5,13,Matches
68,69,Daniel Brosinski,de GER,DF,Mainz 05,33,1988,4.3,243,174,69,5,0,0,23,58,6,3,2,0,160,0,5,Matches
69,70,Cédric Brunner,ch SUI,DF,Arminia,27,1994,24.3,1126,838,284,22,1,4,70,251,11,3,3,0,731,4,23,Matches
70,71,Jacob Bruun Larsen,dk DEN,"FW,MF",Hoffenheim,22,1998,9.0,286,273,12,1,2,1,10,9,1,1,0,0,207,1,10,Matches
71,72,Sascha Burchert,de GER,GK,Greuther Fürth,31,1989,14.0,560,399,157,42,0,0,0,0,0,0,0,0,334,4,0,Matches
72,73,Delano Burgzorg,nl NED,MF,Mainz 05,22,1998,0.3,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
73,74,Jonathan Burkardt,de GER,"FW,MF",Mainz 05,21,2000,29.0,602,563,34,0,0,4,35,3,0,0,0,0,399,5,30,Matches
74,75,Roman Bürki,ch SUI,GK,Dortmund,30,1990,1.0,23,20,3,0,0,0,0,0,0,0,0,0,16,0,0,Matches
75,76,Jamie Bynoe-Gittens,eng ENG,FW,Dortmund,16,2004,1.5,43,40,2,1,2,0,0,1,0,0,0,0,29,1,0,Matches
76,77,Daniel Caligiuri,it ITA,"DF,MF",Augsburg,33,1988,22.3,931,668,253,63,1,8,109,145,41,19,20,1,629,10,29,Matches
77,78,Emre Can,de GER,"DF,MF",Dortmund,27,1994,18.8,1436,1367,65,29,1,9,7,35,0,0,0,0,1223,4,11,Matches
78,79,Koen Casteels,be BEL,GK,Wolfsburg,29,1992,28.0,1079,817,260,56,0,4,0,0,0,0,0,0,843,2,2,Matches
79,80,Gonzalo Castro,de GER,"MF,FW",Arminia,34,1987,4.8,169,136,31,13,2,2,21,0,11,5,6,0,112,2,7,Matches
80,81,Julian Chabot,de GER,DF,Köln,23,1998,2.3,158,149,9,7,0,1,0,1,0,0,0,0,124,0,0,Matches
81,82,Timothy Chandler,us USA,DF,Eint Frankfurt,31,1990,13.5,562,420,140,3,0,4,30,136,1,1,0,0,352,2,23,Matches
82,83,Justin Che,us USA,"FW,DF",Hoffenheim,17,2003,0.5,27,20,7,1,0,1,2,6,0,0,0,0,22,0,2,Matches
83,84,Max Christiansen,de GER,MF,Greuther Fürth,24,1996,22.8,935,917,16,14,0,2,3,2,0,0,0,0,739,2,17,Matches
84,85,Kingsley Coman,fr FRA,"FW,DF",Bayern Munich,25,1996,15.1,707,675,29,2,4,4,79,20,7,4,0,0,547,3,14,Matches
85,86,Lucas Copado,de GER,FW,Bayern Munich,17,2004,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
86,87,Sergio Córdova,ve VEN,"FW,MF",Augsburg,23,1997,3.6,51,46,5,0,0,1,3,3,0,0,0,0,34,0,0,Matches
87,88,Danny da Costa,de GER,"DF,MF",Eint Frankfurt,28,1993,8.1,319,247,71,1,0,0,22,70,0,0,0,0,213,1,10,Matches
88,89,Tanguy Coulibaly,fr FRA,"FW,MF",Stuttgart,20,2001,12.0,326,282,43,1,2,1,14,38,0,0,0,0,239,1,10,Matches
89,90,Mickaël Cuisance,fr FRA,MF,Bayern Munich,21,1999,0.1,11,11,0,0,1,0,0,0,0,0,0,0,10,0,0,Matches
90,91,Matheus Cunha,br BRA,FW,Hertha BSC,22,1999,0.7,13,9,4,0,0,0,0,0,0,0,0,0,11,0,1,Matches
91,92,Rafael Czichos,de GER,DF,Köln,31,1990,15.6,1080,1030,48,46,2,7,3,1,0,0,0,0,879,2,15,Matches
92,93,Lennart-Marten Czyborra,de GER,DF,Arminia,22,1999,1.5,54,34,20,2,0,0,5,18,0,0,0,0,26,0,1,Matches
93,94,Moanes Dabbur,il ISR,"FW,MF",Hoffenheim,29,1992,14.6,497,460,37,0,8,2,4,3,0,0,0,0,365,0,23,Matches
94,95,Finn Dahmen,de GER,GK,Mainz 05,23,1998,2.0,79,55,24,4,0,0,0,0,0,0,0,0,66,0,0,Matches
95,96,Mahmoud Dahoud,de GER,MF,Dortmund,25,1996,18.4,1063,1031,28,13,15,12,29,2,13,5,5,0,833,4,24,Matches
96,97,Márton Dárdai,de GER,DF,Hertha BSC,19,2002,8.4,375,338,34,21,0,4,8,6,7,3,4,0,265,3,2,Matches
97,98,Vladimír Darida,cz CZE,MF,Hertha BSC,30,1990,19.8,946,847,94,37,2,9,64,14,29,9,18,0,680,5,35,Matches
98,99,Alphonso Davies,ca CAN,DF,Bayern Munich,20,2000,19.3,1322,1147,175,24,4,7,41,151,0,0,0,0,1106,0,24,Matches
99,100,Saulo Decarli,ch SUI,DF,Bochum,29,1992,0.1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
