,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
0,1,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,24,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
1,2,Dickson Abiama,ng NGA,FW,Greuther Fürth,22,1998,24,726,30,23.7,8.1,5,79,2,19,17,8,0.46,8,29,-21,-2.60,-1.33,7.6,20.0,-12.4,-1.53,-0.71,Matches
2,3,Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,23,1998,13,259,20,8.5,2.9,1,72,0,12,16,6,1.23,5,4,+1,+0.35,+0.51,4.1,5.1,-0.9,-0.33,-0.23,Matches
3,4,Tyler Adams,us USA,MF,RB Leipzig,22,1999,24,1351,56,44.2,15.0,12,84,8,12,29,6,1.88,27,14,+13,+0.87,-0.29,30.8,20.8,+10.0,+0.67,-0.15,Matches
4,5,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,28,1993,13,331,25,10.8,3.7,2,76,0,11,16,3,1.85,8,6,+2,+0.54,+0.68,7.5,5.2,+2.3,+0.63,+0.54,Matches
5,6,Amine Adli,fr FRA,"FW,MF",Leverkusen,21,2000,25,1256,50,41.0,14.0,13,75,3,12,23,0,1.76,24,23,+1,+0.07,-1.52,25.4,22.0,+3.4,+0.24,-0.52,Matches
6,7,Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,19,2002,3,61,20,2.0,0.7,0,,0,3,20,9,0.00,1,1,0,0.00,+0.54,1.2,0.8,+0.3,+0.52,+0.89,Matches
7,8,Manuel Akanji,ch SUI,DF,Dortmund,26,1995,26,2261,87,73.9,25.1,25,89,23,1,45,0,2.00,64,44,+20,+0.80,-0.67,50.3,41.3,+8.9,+0.36,-0.57,Matches
8,9,Kevin Akpoguma,ng NGA,"DF,FW",Hoffenheim,26,1995,26,1527,59,49.9,17.0,19,71,5,7,24,4,1.50,33,30,+3,+0.18,+0.47,29.8,27.6,+2.2,+0.13,-0.02,Matches
9,10,Lucas Alario,ar ARG,FW,Leverkusen,28,1992,27,655,24,21.4,7.3,5,79,3,22,12,2,1.74,17,9,+8,+1.10,+0.16,18.2,9.2,+9.0,+1.23,+0.86,Matches
10,11,Julian Albrecht,de GER,MF,Hertha BSC,19,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
11,12,Nadiem Amiri,de GER,"MF,FW",Leverkusen,24,1996,13,369,28,12.1,4.1,3,80,1,10,13,5,2.00,6,6,0,0.00,-1.10,7.7,6.8,+0.9,+0.23,-0.37,Matches
12,13,Sebastian Andersson,se SWE,FW,Köln,30,1991,26,1257,48,41.1,14.0,13,77,3,13,20,1,1.38,15,17,-2,-0.14,-0.39,20.9,22.6,-1.7,-0.12,-0.21,Matches
13,14,Andrés Andrade Cedeño,pa PAN,DF,Arminia,22,1998,17,1046,62,34.2,11.6,12,81,9,5,15,9,1.00,12,18,-6,-0.52,+0.38,10.4,23.9,-13.5,-1.16,-0.06,Matches
14,15,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,22,1998,9,353,39,11.5,3.9,2,90,2,7,25,1,0.56,4,16,-12,-3.06,-2.33,5.2,12.0,-6.8,-1.73,-1.25,Matches
15,16,Robert Andrich,de GER,MF,Leverkusen,26,1994,26,1817,70,59.4,20.2,21,81,14,5,22,1,1.92,48,31,+17,+0.84,-0.32,37.4,28.6,+8.8,+0.44,-0.29,Matches
16,17,Angeliño,es ESP,DF,RB Leipzig,24,1997,29,2298,79,75.1,25.5,26,86,21,3,20,2,1.66,48,31,+17,+0.67,-1.46,50.0,33.3,+16.7,+0.65,-0.40,Matches
17,18,Waldemar Anton,de GER,DF,Stuttgart,25,1996,29,2595,89,84.8,28.8,29,89,27,0,,0,1.07,35,48,-13,-0.45,+0.52,43.2,51.7,-8.5,-0.29,+0.40,Matches
18,19,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,27,1994,25,1130,45,36.9,12.6,12,77,3,13,16,4,1.04,13,18,-5,-0.40,+0.02,18.4,22.8,-4.3,-0.34,+0.05,Matches
19,20,Charles Aránguiz,cl CHI,MF,Leverkusen,32,1989,26,1578,61,51.6,17.5,16,84,10,10,23,0,2.12,46,22,+24,+1.37,+0.82,36.8,24.2,+12.7,+0.72,+0.35,Matches
20,21,Maximilian Arnold,de GER,MF,Wolfsburg,27,1994,34,2994,88,97.8,33.3,34,88,31,0,,0,1.24,43,53,-10,-0.30,+1.06,49.8,52.1,-2.3,-0.07,-1.32,Matches
21,22,Bright Arrey-Mbi,de GER,DF,Bayern Munich,18,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
22,23,Bright Arrey-Mbi,de GER,DF,Köln,18,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
23,24,Takuma Asano,jp JPN,"FW,MF",Bochum,26,1994,27,1608,60,52.5,17.9,20,72,3,7,23,1,1.52,21,24,-3,-0.17,+0.51,22.8,31.9,-9.2,-0.51,-0.29,Matches
24,25,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,24,1997,28,2375,85,77.6,26.4,27,87,20,1,33,6,0.96,29,52,-23,-0.87,+0.57,27.5,43.5,-16.0,-0.61,+0.06,Matches
25,26,Fisnik Asllani,xk KVX,"MF,FW",Hoffenheim,18,2002,2,9,5,0.3,0.1,0,,0,2,5,5,1.50,0,0,0,0.00,+0.06,0.4,0.1,+0.3,+3.08,+2.95,Matches
26,27,Simon Asta,de GER,DF,Greuther Fürth,20,2001,13,783,60,25.6,8.7,9,83,6,4,10,13,0.31,9,22,-13,-1.49,+0.13,7.6,17.7,-10.1,-1.16,-0.23,Matches
27,28,Christalino Atemona,de GER,DF,Hertha BSC,19,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
28,29,Noah Atubolu,de GER,GK,Freiburg,19,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
29,30,Taiwo Awoniyi,ng NGA,FW,Union Berlin,23,1997,31,2174,70,71.0,24.2,29,73,1,2,26,0,1.61,33,31,+2,+0.08,-0.32,37.2,29.2,+8.0,+0.33,+0.01,Matches
30,31,Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,26,1995,9,359,40,11.7,4.0,4,73,0,5,13,0,2.11,7,5,+2,+0.50,-0.53,8.9,5.7,+3.2,+0.80,+0.28,Matches
31,32,Mitchel Bakker,nl NED,DF,Leverkusen,21,2000,25,1822,73,59.5,20.2,19,86,13,6,31,1,2.00,49,29,+20,+0.99,+0.04,41.5,33.2,+8.3,+0.41,-0.35,Matches
32,33,Ridle Baku,de GER,"DF,FW",Wolfsburg,23,1998,34,2446,72,79.9,27.2,28,83,18,6,21,0,1.24,40,40,0,0.00,+1.61,41.6,41.0,+0.6,+0.02,+0.32,Matches
33,34,Aymen Barkok,ma MAR,"MF,DF",Eint Frankfurt,23,1998,5,160,32,5.2,1.8,2,51,0,3,19,4,1.20,2,5,-3,-1.69,-1.66,1.7,4.7,-2.9,-1.66,-1.62,Matches
34,35,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,21,2000,31,1789,58,58.5,19.9,20,78,7,11,22,2,1.48,25,24,+1,+0.05,-0.23,31.6,27.4,+4.2,+0.21,-0.07,Matches
35,36,Jacob Barrett Laursen,dk DEN,DF,Arminia,26,1994,24,1632,68,53.3,18.1,20,76,8,4,27,4,0.83,12,27,-15,-0.83,-0.13,18.7,37.3,-18.5,-1.02,+0.21,Matches
36,37,Abdourahmane Barry,fr FRA,DF,Greuther Fürth,21,2000,8,210,26,6.9,2.3,1,76,0,7,19,10,0.00,3,12,-9,-3.86,-2.44,1.8,5.9,-4.1,-1.78,-0.84,Matches
