,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
0,1,Dickson Abiama,ng NGA,FW,Greuther Fürth,22,1998,8.1,243,6,24,106,114,23,243,7,20,35.0,29,10,156,35,Matches
1,2,Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,23,1998,2.9,113,1,7,45,62,16,113,6,11,54.5,16,9,96,25,Matches
2,3,Tyler Adams,us USA,MF,RB Leipzig,22,1999,15.0,1061,28,187,735,150,10,1061,13,23,56.5,20,9,747,17,Matches
3,4,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,28,1993,3.7,146,2,17,69,64,9,146,6,12,50.0,12,5,94,22,Matches
4,5,Amine Adli,fr FRA,"FW,MF",Leverkusen,21,2000,14.0,722,9,114,345,278,57,722,21,37,56.8,47,18,523,81,Matches
5,6,Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,19,2002,0.7,38,0,5,27,6,0,38,0,0,,3,0,31,1,Matches
6,7,Manuel Akanji,ch SUI,DF,Dortmund,26,1995,25.1,2191,198,960,1182,64,21,2191,8,9,88.9,8,1,1645,9,Matches
7,8,Kevin Akpoguma,ng NGA,"DF,FW",Hoffenheim,26,1995,17.0,1116,53,363,514,248,34,1116,21,47,44.7,30,9,625,22,Matches
8,9,Lucas Alario,ar ARG,FW,Leverkusen,28,1992,7.3,261,6,17,112,134,44,260,12,14,85.7,30,13,196,48,Matches
9,10,Nadiem Amiri,de GER,"MF,FW",Leverkusen,24,1996,4.1,272,1,42,155,80,6,272,3,12,25.0,9,9,206,23,Matches
10,11,Sebastian Andersson,se SWE,FW,Köln,30,1991,14.0,392,14,26,160,209,68,392,6,15,40.0,53,19,298,79,Matches
11,12,Andrés Andrade Cedeño,pa PAN,DF,Arminia,22,1998,11.6,676,66,267,298,116,11,676,9,18,50.0,15,7,286,6,Matches
12,13,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,22,1998,3.9,210,14,89,91,36,2,210,4,9,44.4,7,3,103,8,Matches
13,14,Robert Andrich,de GER,MF,Leverkusen,26,1994,20.2,1211,66,327,725,169,25,1211,13,14,92.9,13,9,742,25,Matches
14,15,Angeliño,es ESP,DF,RB Leipzig,24,1997,25.5,1698,46,400,698,613,62,1698,14,19,73.7,30,19,1034,76,Matches
15,16,Waldemar Anton,de GER,DF,Stuttgart,25,1996,28.8,2151,295,1116,970,94,34,2151,17,22,77.3,25,13,1405,8,Matches
16,17,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,27,1994,12.6,454,4,43,152,266,51,454,13,34,38.2,57,18,277,63,Matches
17,18,Charles Aránguiz,cl CHI,MF,Leverkusen,32,1989,17.5,1281,32,324,813,151,14,1281,7,9,77.8,22,8,826,14,Matches
18,19,Maximilian Arnold,de GER,MF,Wolfsburg,27,1994,33.3,2162,104,513,1277,396,5,2162,12,14,85.7,31,17,1262,16,Matches
19,20,Takuma Asano,jp JPN,"FW,MF",Bochum,26,1994,17.9,579,6,66,245,287,57,579,20,36,55.6,60,19,386,85,Matches
20,21,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,24,1997,26.4,1455,82,459,856,156,16,1455,12,23,52.2,26,13,765,18,Matches
21,22,Fisnik Asllani,xk KVX,"MF,FW",Hoffenheim,18,2002,0.1,9,0,0,4,5,0,9,0,1,0.0,0,0,9,2,Matches
22,23,Simon Asta,de GER,DF,Greuther Fürth,20,2001,8.7,475,21,154,212,114,11,475,4,5,80.0,8,3,222,18,Matches
23,24,Taiwo Awoniyi,ng NGA,FW,Union Berlin,23,1997,24.2,828,32,56,391,398,131,826,35,63,55.6,140,41,601,160,Matches
24,25,Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,26,1995,4.0,147,9,18,77,53,15,147,4,6,66.7,6,2,104,25,Matches
25,26,Mitchel Bakker,nl NED,DF,Leverkusen,21,2000,20.2,1429,66,390,769,289,26,1429,28,49,57.1,36,14,886,49,Matches
26,27,Ridle Baku,de GER,"DF,FW",Wolfsburg,23,1998,27.2,1671,50,453,733,505,60,1671,36,71,50.7,60,23,983,113,Matches
27,28,Aymen Barkok,ma MAR,"MF,DF",Eint Frankfurt,23,1998,1.8,102,7,25,51,30,0,102,4,7,57.1,5,8,51,4,Matches
28,29,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,21,2000,19.9,802,31,188,393,229,35,802,5,13,38.5,41,13,404,46,Matches
29,30,Jacob Barrett Laursen,dk DEN,DF,Arminia,26,1994,18.1,927,60,289,436,210,7,927,12,23,52.2,16,5,405,10,Matches
30,31,Abdourahmane Barry,fr FRA,DF,Greuther Fürth,21,2000,2.3,143,13,47,61,37,4,143,1,4,25.0,9,2,70,6,Matches
31,32,Maximilian Bauer,de GER,DF,Greuther Fürth,21,2000,18.8,1103,165,687,400,20,12,1103,1,2,50.0,5,2,634,0,Matches
32,33,Oliver Baumann,de GER,GK,Hoffenheim,31,1990,33.0,1609,1277,1592,23,0,0,1609,1,1,100.0,0,0,895,0,Matches
33,34,Timo Baumgartl,de GER,DF,Union Berlin,25,1996,24.1,1452,133,681,694,88,30,1452,4,6,66.7,15,8,845,7,Matches
34,35,Julian Baumgartlinger,at AUT,"MF,FW",Leverkusen,33,1988,1.0,79,3,30,44,5,0,79,0,0,,0,0,50,1,Matches
