,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
0,1,Dickson Abiama,ng NGA,FW,Greuther Fürth,22,1998,8.1,0,18,4,22.2,2.23,0.50,0.00,0.00,16.7,0,0,0,2.1,2.1,0.12,-2.1,-2.1,Matches
1,2,Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,23,1998,2.9,0,10,2,20.0,3.47,0.69,0.00,0.00,16.1,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
2,3,Tyler Adams,us USA,MF,RB Leipzig,22,1999,15.0,0,2,0,0.0,0.13,0.00,0.00,,21.6,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
3,4,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,28,1993,3.7,1,3,2,66.7,0.82,0.54,0.33,0.50,17.2,0,0,0,0.4,0.4,0.15,+0.6,+0.6,Matches
4,5,Amine Adli,fr FRA,"FW,MF",Leverkusen,21,2000,14.0,3,37,19,51.4,2.65,1.36,0.08,0.16,15.1,0,0,0,4.8,4.8,0.13,-1.8,-1.8,Matches
5,6,Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,19,2002,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
6,7,Manuel Akanji,ch SUI,DF,Dortmund,26,1995,25.1,1,13,3,23.1,0.52,0.12,0.08,0.33,11.2,1,0,0,1.9,1.9,0.15,-0.9,-0.9,Matches
7,8,Kevin Akpoguma,ng NGA,"DF,FW",Hoffenheim,26,1995,17.0,2,12,4,33.3,0.71,0.24,0.17,0.50,12.8,0,0,0,1.4,1.4,0.12,+0.6,+0.6,Matches
8,9,Lucas Alario,ar ARG,FW,Leverkusen,28,1992,7.3,6,22,13,59.1,3.02,1.79,0.27,0.46,11.7,0,0,1,6.2,5.4,0.25,-0.2,+0.6,Matches
9,10,Nadiem Amiri,de GER,"MF,FW",Leverkusen,24,1996,4.1,1,8,2,25.0,1.95,0.49,0.13,0.50,21.1,1,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
10,11,Sebastian Andersson,se SWE,FW,Köln,30,1991,14.0,3,35,12,34.3,2.51,0.86,0.09,0.25,11.8,0,0,0,4.6,4.6,0.13,-1.6,-1.6,Matches
11,12,Andrés Andrade Cedeño,pa PAN,DF,Arminia,22,1998,11.6,0,7,3,42.9,0.60,0.26,0.00,0.00,19.6,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
12,13,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,22,1998,3.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
13,14,Robert Andrich,de GER,MF,Leverkusen,26,1994,20.2,4,30,7,23.3,1.49,0.35,0.13,0.57,18.4,1,0,0,3.8,3.4,0.11,+0.2,+0.6,Matches
14,15,Angeliño,es ESP,DF,RB Leipzig,24,1997,25.5,2,12,6,50.0,0.47,0.23,0.17,0.33,16.1,0,0,0,1.1,1.1,0.09,+0.9,+0.9,Matches
15,16,Waldemar Anton,de GER,DF,Stuttgart,25,1996,28.8,2,24,6,25.0,0.83,0.21,0.08,0.33,14.1,0,0,0,2.4,2.4,0.10,-0.4,-0.4,Matches
16,17,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,27,1994,12.6,1,29,10,34.5,2.31,0.80,0.03,0.10,14.9,0,0,0,2.8,2.8,0.10,-1.8,-1.8,Matches
17,18,Charles Aránguiz,cl CHI,MF,Leverkusen,32,1989,17.5,1,10,3,30.0,0.57,0.17,0.10,0.33,19.6,0,0,0,1.7,1.7,0.17,-0.7,-0.7,Matches
18,19,Maximilian Arnold,de GER,MF,Wolfsburg,27,1994,33.3,4,39,15,38.5,1.17,0.45,0.10,0.27,32.0,12,0,0,1.7,1.7,0.04,+2.3,+2.3,Matches
19,20,Takuma Asano,jp JPN,"FW,MF",Bochum,26,1994,17.9,3,33,11,33.3,1.85,0.62,0.09,0.27,16.8,0,0,0,4.4,4.4,0.13,-1.4,-1.4,Matches
20,21,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,24,1997,26.4,0,13,1,7.7,0.49,0.04,0.00,0.00,17.7,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
21,22,Fisnik Asllani,xk KVX,"MF,FW",Hoffenheim,18,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
22,23,Simon Asta,de GER,DF,Greuther Fürth,20,2001,8.7,0,3,0,0.0,0.34,0.00,0.00,,14.3,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
23,24,Taiwo Awoniyi,ng NGA,FW,Union Berlin,23,1997,24.2,15,65,30,46.2,2.69,1.24,0.20,0.43,13.1,0,2,2,13.7,12.2,0.19,+1.3,+0.8,Matches
24,25,Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,26,1995,4.0,1,11,4,36.4,2.76,1.00,0.09,0.25,12.7,0,0,0,2.7,2.7,0.25,-1.7,-1.7,Matches
25,26,Mitchel Bakker,nl NED,DF,Leverkusen,21,2000,20.2,1,9,3,33.3,0.44,0.15,0.11,0.33,20.6,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches
26,27,Ridle Baku,de GER,"DF,FW",Wolfsburg,23,1998,27.2,3,36,8,22.2,1.32,0.29,0.08,0.38,21.2,0,0,0,2.2,2.2,0.06,+0.8,+0.8,Matches
27,28,Aymen Barkok,ma MAR,"MF,DF",Eint Frankfurt,23,1998,1.8,0,2,1,50.0,1.13,0.56,0.00,0.00,30.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
