,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
0,1,Rolando Aarons,eng ENG,MF,Huddersfield,25,1995,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
1,2,Kelvin Abrefa,,DF,Reading,,,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,Matches
2,3,Tosin Adarabioyo,eng ENG,DF,Fulham,23,1997,40.9,36,27,21,15,0,19,28,67.9,9,41,26,15,50,86,150,1,Matches
3,4,Elijah Adebayo,eng ENG,FW,Luton Town,23,1998,37.4,33,15,3,14,16,8,32,25.0,24,39,4,35,14,47,49,0,Matches
4,5,Victor Adeboyejo,eng ENG,"MF,FW",Barnsley,23,1998,10.7,10,6,3,4,3,5,13,38.5,8,6,2,4,5,15,4,0,Matches
5,6,Albert Adomah,gh GHA,"DF,MF",QPR,33,1987,24.5,75,51,39,29,7,26,45,57.8,19,33,3,30,28,103,30,0,Matches
6,7,Benik Afobe,cd COD,"FW,MF",Millwall,28,1993,33.8,18,15,7,7,4,11,38,28.9,27,10,1,9,4,22,11,0,Matches
7,8,Osazee Aghatiste,eng ENG,FW,Derby County,18,2002,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
8,9,Semi Ajayi,ng NGA,DF,West Brom,27,1993,27.5,47,33,33,13,1,18,37,48.6,19,30,21,9,30,77,96,1,Matches
9,10,Chuba Akpom,eng ENG,FW,Middlesbrough,25,1995,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
10,11,Jamie Allen,eng ENG,MF,Coventry City,26,1995,29.1,46,22,17,18,11,17,56,30.4,39,24,4,20,36,82,15,0,Matches
11,12,Joe Allen,wls WAL,MF,Stoke City,31,1990,38.6,84,56,42,35,7,42,77,54.5,35,43,14,29,79,163,56,1,Matches
12,13,Ryan Allsop,eng ENG,GK,Derby County,29,1992,29.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,14,1,Matches
13,14,Luke Amos,eng ENG,MF,QPR,24,1997,15.0,30,19,12,15,3,15,32,46.9,17,21,5,16,23,53,16,0,Matches
14,15,Keshi Anderson,eng ENG,"MF,FW",Blackpool,26,1995,29.0,55,28,19,30,6,19,40,47.5,21,31,6,25,28,83,21,0,Matches
15,16,Chuks Aneke,eng ENG,"FW,MF",Birmingham City,28,1993,4.4,13,6,2,7,4,4,6,66.7,2,6,3,3,0,13,4,0,Matches
16,17,Faustino Anjorin,eng ENG,"FW,MF",Huddersfield,19,2001,1.6,2,0,1,1,0,1,4,25.0,3,5,0,5,1,3,2,0,Matches
17,18,Jaidon Anthony,eng ENG,FW,Bournemouth,21,1999,36.1,60,31,19,26,15,30,77,39.0,47,58,4,54,21,81,28,0,Matches
18,19,Felipe Araruna,br BRA,DF,Reading,25,1996,0.5,1,1,1,0,0,1,2,50.0,1,1,1,0,0,1,2,0,Matches
19,20,Cameron Archer,eng ENG,FW,Preston,19,2001,18.0,12,6,1,2,9,3,5,60.0,2,13,1,12,3,15,3,0,Matches
20,21,Tyrell Ashcroft,eng ENG,DF,Reading,19,2002,3.4,6,5,3,1,2,2,6,33.3,4,2,2,0,2,8,12,0,Matches
