,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
0,1,Rolando Aarons,eng ENG,MF,Huddersfield,25,1995,0.1,1,10.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1,2,Kelvin Abrefa,,DF,Reading,,,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2,3,Tosin Adarabioyo,eng ENG,DF,Fulham,23,1997,40.9,40,0.98,33,2,0,4,0,1,3,0.07,2,0,0,1,0,0,Matches
3,4,Elijah Adebayo,eng ENG,FW,Luton Town,23,1998,37.4,69,1.84,41,1,10,9,7,1,15,0.40,7,0,3,3,1,1,Matches
4,5,Victor Adeboyejo,eng ENG,"MF,FW",Barnsley,23,1998,10.7,19,1.77,13,0,4,0,1,1,3,0.28,2,0,1,0,0,0,Matches
5,6,Albert Adomah,gh GHA,"DF,MF",QPR,33,1987,24.5,55,2.24,40,6,6,2,1,0,3,0.12,3,0,0,0,0,0,Matches
6,7,Benik Afobe,cd COD,"FW,MF",Millwall,28,1993,33.8,54,1.60,33,1,8,4,8,0,9,0.27,5,0,2,0,2,0,Matches
7,8,Osazee Aghatiste,eng ENG,FW,Derby County,18,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
8,9,Semi Ajayi,ng NGA,DF,West Brom,27,1993,27.5,20,0.73,16,0,0,2,1,1,5,0.18,4,0,0,0,0,1,Matches
9,10,Chuba Akpom,eng ENG,FW,Middlesbrough,25,1995,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
10,11,Jamie Allen,eng ENG,MF,Coventry City,26,1995,29.1,65,2.23,60,0,0,2,2,1,4,0.14,4,0,0,0,0,0,Matches
11,12,Joe Allen,wls WAL,MF,Stoke City,31,1990,38.6,56,1.45,50,1,0,1,0,4,3,0.08,3,0,0,0,0,0,Matches
12,13,Ryan Allsop,eng ENG,GK,Derby County,29,1992,29.2,7,0.24,3,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
13,14,Luke Amos,eng ENG,MF,QPR,24,1997,15.0,35,2.34,25,0,0,3,2,5,6,0.40,4,0,0,0,1,1,Matches
14,15,Keshi Anderson,eng ENG,"MF,FW",Blackpool,26,1995,29.0,96,3.31,73,4,6,1,10,2,7,0.24,5,0,1,0,1,0,Matches
15,16,Chuks Aneke,eng ENG,"FW,MF",Birmingham City,28,1993,4.4,13,2.97,6,0,5,2,0,0,1,0.23,0,0,0,1,0,0,Matches
16,17,Faustino Anjorin,eng ENG,"FW,MF",Huddersfield,19,2001,1.6,10,6.43,6,1,2,0,1,0,1,0.64,1,0,0,0,0,0,Matches
17,18,Jaidon Anthony,eng ENG,FW,Bournemouth,21,1999,36.1,147,4.07,100,28,6,6,4,3,24,0.66,17,3,1,2,0,1,Matches
18,19,Felipe Araruna,br BRA,DF,Reading,25,1996,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
19,20,Cameron Archer,eng ENG,FW,Preston,19,2001,18.0,41,2.28,25,0,5,7,1,3,5,0.28,1,0,1,2,0,1,Matches
20,21,Tyrell Ashcroft,eng ENG,DF,Reading,19,2002,3.4,2,0.59,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
21,22,Zachary Ashworth,wls WAL,DF,West Brom,18,2002,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
22,23,Robert Atkinson,eng ENG,DF,Bristol City,23,1998,29.6,16,0.54,11,1,1,1,1,1,1,0.03,1,0,0,0,0,0,Matches
23,24,Charlie Austin,eng ENG,"FW,MF",QPR,32,1989,17.4,32,1.84,19,0,2,8,3,0,3,0.17,1,0,0,2,0,0,Matches
24,25,Daniel Ayala,es ESP,DF,Blackburn,30,1990,16.1,5,0.31,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
25,26,Femi Azeez,eng ENG,"FW,MF",Reading,20,2001,6.2,7,1.13,4,0,2,0,0,1,1,0.16,0,0,1,0,0,0,Matches
26,27,Fin Back,eng ENG,DF,Nott'ham Forest,18,2002,2.8,1,0.35,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
27,28,Juninho Bacuna,cw CUW,"MF,FW",Birmingham City,23,1997,14.5,38,2.62,24,10,2,1,1,0,4,0.28,3,1,0,0,0,0,Matches
28,29,Leandro Bacuna,cw CUW,"MF,FW",Cardiff City,29,1991,11.4,17,1.50,15,0,1,0,1,0,1,0.09,1,0,0,0,0,0,Matches
29,30,Joel Bagan,ie IRL,"DF,MF",Cardiff City,21,2000,22.8,42,1.84,30,1,3,3,1,4,5,0.22,4,0,0,0,0,1,Matches
30,31,Lewis Baker,eng ENG,MF,Stoke City,26,1995,20.0,58,2.90,20,27,1,3,4,3,3,0.15,1,1,0,1,0,0,Matches
31,32,Nathan Baker,eng ENG,DF,Bristol City,30,1991,11.1,4,0.36,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
32,33,Tyreeq Bakinson,eng ENG,MF,Bristol City,22,1998,9.5,12,1.26,8,0,1,3,0,0,1,0.11,0,0,0,1,0,0,Matches
33,34,George Baldock,gr GRE,DF,Sheffield Utd,28,1993,22.6,52,2.30,46,0,2,2,1,1,6,0.27,5,0,0,0,0,1,Matches
34,35,Sam Baldock,eng ENG,FW,Derby County,32,1989,8.9,11,1.24,6,0,1,1,1,2,0,0.00,0,0,0,0,0,0,Matches
35,36,Dominic Ball,eng ENG,"MF,DF",QPR,25,1995,13.5,19,1.41,17,0,0,1,0,1,4,0.30,3,0,0,0,0,1,Matches
36,37,Daniel Ballard,nir NIR,DF,Millwall,21,1999,29.3,33,1.13,25,0,0,3,2,3,5,0.17,3,0,0,1,1,0,Matches
37,38,Folarin Balogun,eng ENG,FW,Middlesbrough,20,2001,9.9,20,2.02,12,1,3,1,2,1,6,0.61,4,0,1,0,1,0,Matches
38,39,Sol Bamba,ci CIV,DF,Middlesbrough,36,1985,18.5,13,0.70,9,0,0,2,1,1,1,0.05,1,0,0,0,0,0,Matches
39,40,Yoann Barbet,fr FRA,DF,QPR,28,1993,41.0,69,1.68,50,5,2,6,1,5,3,0.07,2,0,0,1,0,0,Matches
40,41,Brandon Barker,eng ENG,"FW,MF",Reading,24,1996,0.3,1,3.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
41,42,Tom Barkhuizen,eng ENG,"DF,FW",Preston,28,1993,8.8,21,2.40,17,0,0,2,1,1,4,0.46,3,0,0,0,0,1,Matches
42,43,Kyle Bartley,eng ENG,DF,West Brom,30,1991,38.2,27,0.71,20,0,0,5,1,1,3,0.08,1,0,0,1,1,0,Matches
43,44,Chris Basham,eng ENG,DF,Sheffield Utd,33,1988,24.5,26,1.06,24,0,1,0,0,1,2,0.08,2,0,0,0,0,0,Matches
44,45,Amine Bassi,fr FRA,"MF,FW",Barnsley,23,1997,13.3,74,5.55,43,26,0,3,2,0,10,0.75,6,2,0,1,1,0,Matches
45,46,Danny Batth,eng ENG,DF,Stoke City,30,1990,10.1,4,0.39,2,0,0,1,0,1,1,0.10,1,0,0,0,0,0,Matches
46,47,Patrick Bauer,de GER,DF,Preston,28,1992,31.8,11,0.35,9,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
47,48,Nathan Baxter,eng ENG,GK,Hull City,22,1998,16.0,4,0.25,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
48,49,Jake Beesley,eng ENG,FW,Blackpool,24,1996,3.8,8,2.09,4,0,0,2,2,0,1,0.26,1,0,0,0,0,0,Matches
49,50,Mark Beevers,eng ENG,DF,P'borough Utd,31,1989,12.8,7,0.55,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
50,51,Jérémie Bela,ao ANG,"DF,MF",Birmingham City,28,1993,25.6,74,2.90,44,22,3,2,3,0,6,0.23,4,1,1,0,0,0,Matches
51,52,Amari'i Bell,jm JAM,"DF,FW",Luton Town,27,1994,39.8,50,1.26,37,6,2,2,2,1,5,0.13,3,0,0,0,1,1,Matches
52,53,Sam Bell,eng ENG,DF,Bristol City,19,2002,2.7,4,1.49,2,0,0,1,1,0,1,0.37,1,0,0,0,0,0,Matches
53,54,Jobe Bellingham,eng ENG,"MF,DF",Birmingham City,15,2005,0.4,2,4.50,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
