,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
0,1,Rolando Aarons,eng ENG,MF,Huddersfield,25,1995,0.1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,Matches
1,2,Kelvin Abrefa,,DF,Reading,,,0.4,0,0,0,1,1,0,1,0,0,0,0,0,3,0,0,,Matches
2,3,Tosin Adarabioyo,eng ENG,DF,Fulham,23,1997,40.9,3,1,0,19,9,0,3,50,27,0,1,1,200,122,42,74.4,Matches
3,4,Elijah Adebayo,eng ENG,FW,Luton Town,23,1998,37.4,6,0,0,76,51,43,25,14,15,1,0,0,111,167,228,42.3,Matches
4,5,Victor Adeboyejo,eng ENG,"MF,FW",Barnsley,23,1998,10.7,2,0,0,9,6,2,11,5,6,0,0,0,46,10,35,22.2,Matches
5,6,Albert Adomah,gh GHA,"DF,MF",QPR,33,1987,24.5,3,0,0,19,17,8,164,28,51,0,0,1,169,22,30,42.3,Matches
6,7,Benik Afobe,cd COD,"FW,MF",Millwall,28,1993,33.8,4,0,0,19,38,26,19,4,15,2,0,0,91,104,180,36.6,Matches
7,8,Osazee Aghatiste,eng ENG,FW,Derby County,18,2002,0.1,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,100.0,Matches
8,9,Semi Ajayi,ng NGA,DF,West Brom,27,1993,27.5,3,0,0,23,17,0,17,30,33,0,0,0,151,87,48,64.4,Matches
9,10,Chuba Akpom,eng ENG,FW,Middlesbrough,25,1995,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,66.7,Matches
10,11,Jamie Allen,eng ENG,MF,Coventry City,26,1995,29.1,1,0,0,28,23,3,23,36,22,1,0,0,165,24,36,40.0,Matches
11,12,Joe Allen,wls WAL,MF,Stoke City,31,1990,38.6,7,1,1,51,41,1,18,79,56,0,0,0,315,52,57,47.7,Matches
12,13,Ryan Allsop,eng ENG,GK,Derby County,29,1992,29.2,3,0,0,0,3,0,0,0,0,0,0,0,45,4,1,80.0,Matches
13,14,Luke Amos,eng ENG,MF,QPR,24,1997,15.0,4,0,0,18,15,1,5,23,19,1,0,0,86,16,29,35.6,Matches
14,15,Keshi Anderson,eng ENG,"MF,FW",Blackpool,26,1995,29.0,6,0,0,32,68,4,32,28,28,1,0,0,190,24,43,35.8,Matches
15,16,Chuks Aneke,eng ENG,"FW,MF",Birmingham City,28,1993,4.4,1,0,0,15,2,2,4,0,6,0,0,0,17,26,29,47.3,Matches
16,17,Faustino Anjorin,eng ENG,"FW,MF",Huddersfield,19,2001,1.6,0,0,0,3,5,0,7,1,0,0,0,0,6,3,1,75.0,Matches
17,18,Jaidon Anthony,eng ENG,FW,Bournemouth,21,1999,36.1,3,0,0,46,32,2,152,21,31,1,1,0,179,22,50,30.6,Matches
18,19,Felipe Araruna,br BRA,DF,Reading,25,1996,0.5,0,0,0,0,1,0,1,0,1,0,0,0,3,1,0,100.0,Matches
19,20,Cameron Archer,eng ENG,FW,Preston,19,2001,18.0,1,0,0,17,18,12,8,3,6,0,0,0,59,7,33,17.5,Matches
20,21,Tyrell Ashcroft,eng ENG,DF,Reading,19,2002,3.4,0,0,0,1,1,0,5,2,5,0,0,0,20,7,11,38.9,Matches
21,22,Zachary Ashworth,wls WAL,DF,West Brom,18,2002,0.8,1,0,0,1,1,0,2,1,2,0,0,0,1,0,0,,Matches
22,23,Robert Atkinson,eng ENG,DF,Bristol City,23,1998,29.6,4,0,0,23,29,0,6,59,44,0,1,0,148,146,67,68.5,Matches
23,24,Charlie Austin,eng ENG,"FW,MF",QPR,32,1989,17.4,4,0,0,15,18,13,9,2,3,0,0,0,30,32,55,36.8,Matches
24,25,Daniel Ayala,es ESP,DF,Blackburn,30,1990,16.1,3,0,0,20,6,0,0,21,8,0,0,0,77,83,30,73.5,Matches
25,26,Femi Azeez,eng ENG,"FW,MF",Reading,20,2001,6.2,0,0,0,7,4,3,10,1,4,0,0,0,19,11,43,20.4,Matches
26,27,Fin Back,eng ENG,DF,Nott'ham Forest,18,2002,2.8,0,0,0,3,2,0,3,6,2,0,0,0,20,6,6,50.0,Matches
27,28,Juninho Bacuna,cw CUW,"MF,FW",Birmingham City,23,1997,14.5,4,0,0,26,15,0,42,17,15,0,0,0,76,14,19,42.4,Matches
28,29,Leandro Bacuna,cw CUW,"MF,FW",Cardiff City,29,1991,11.4,4,1,0,17,4,4,15,5,4,0,0,0,32,12,18,40.0,Matches
29,30,Joel Bagan,ie IRL,"DF,MF",Cardiff City,21,2000,22.8,5,0,0,19,2,2,69,19,36,0,0,0,110,36,50,41.9,Matches
30,31,Lewis Baker,eng ENG,MF,Stoke City,26,1995,20.0,1,0,0,19,21,1,87,16,16,0,0,1,122,5,6,45.5,Matches
31,32,Nathan Baker,eng ENG,DF,Bristol City,30,1991,11.1,1,0,0,9,10,0,3,17,3,0,1,0,33,63,33,65.6,Matches
32,33,Tyreeq Bakinson,eng ENG,MF,Bristol City,22,1998,9.5,3,0,0,5,3,2,3,8,6,0,0,0,69,17,16,51.5,Matches
33,34,George Baldock,gr GRE,DF,Sheffield Utd,28,1993,22.6,6,0,0,33,25,10,59,19,16,0,0,0,126,23,20,53.5,Matches
34,35,Sam Baldock,eng ENG,FW,Derby County,32,1989,8.9,0,0,0,10,1,7,2,1,4,0,0,0,15,2,36,5.3,Matches
35,36,Dominic Ball,eng ENG,"MF,DF",QPR,25,1995,13.5,4,0,0,28,17,1,4,25,15,0,0,0,91,24,17,58.5,Matches
36,37,Daniel Ballard,nir NIR,DF,Millwall,21,1999,29.3,6,0,0,37,42,1,3,50,33,0,0,0,169,119,63,65.4,Matches
37,38,Folarin Balogun,eng ENG,FW,Middlesbrough,20,2001,9.9,0,0,0,13,13,4,8,3,3,1,0,0,19,4,19,17.4,Matches
38,39,Sol Bamba,ci CIV,DF,Middlesbrough,36,1985,18.5,4,0,0,11,18,0,1,39,21,0,0,1,122,63,26,70.8,Matches
39,40,Yoann Barbet,fr FRA,DF,QPR,28,1993,41.0,5,0,0,17,21,1,63,77,37,1,0,1,249,70,50,58.3,Matches
40,41,Brandon Barker,eng ENG,"FW,MF",Reading,24,1996,0.3,0,0,0,0,1,0,3,0,0,0,0,0,4,0,0,,Matches
41,42,Tom Barkhuizen,eng ENG,"DF,FW",Preston,28,1993,8.8,2,0,0,6,11,1,29,7,10,0,0,0,45,14,14,50.0,Matches
42,43,Kyle Bartley,eng ENG,DF,West Brom,30,1991,38.2,7,0,0,40,23,1,2,45,27,1,1,0,182,243,107,69.4,Matches
43,44,Chris Basham,eng ENG,DF,Sheffield Utd,33,1988,24.5,1,0,0,10,25,3,22,45,31,0,0,0,166,53,36,59.6,Matches
44,45,Amine Bassi,fr FRA,"MF,FW",Barnsley,23,1997,13.3,0,0,0,10,13,9,75,6,5,0,0,0,71,4,17,19.0,Matches
45,46,Danny Batth,eng ENG,DF,Stoke City,30,1990,10.1,3,0,0,14,3,0,0,15,10,0,0,0,56,49,16,75.4,Matches
