,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
0,1,Rolando Aarons,eng ENG,MF,Huddersfield,25,1995,0.1,7,10,70.0,95,24,4,5,80.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
1,2,Kelvin Abrefa,,DF,Reading,,,0.4,30,38,78.9,468,104,20,23,87.0,7,11,63.6,3,3,100.0,0,0.0,0.0,0.0,0,4,0,0,0,Matches
2,3,Tosin Adarabioyo,eng ENG,DF,Fulham,23,1997,40.9,2675,3093,86.5,57214,21529,651,732,88.9,1638,1767,92.7,363,530,68.5,2,1.2,1.2,+0.8,10,151,12,1,123,Matches
3,4,Elijah Adebayo,eng ENG,FW,Luton Town,23,1998,37.4,358,666,53.8,4159,987,243,365,66.6,80,168,47.6,5,24,20.8,4,4.9,3.8,-0.9,26,27,14,1,32,Matches
4,5,Victor Adeboyejo,eng ENG,"MF,FW",Barnsley,23,1998,10.7,180,247,72.9,1989,512,113,134,84.3,31,48,64.6,5,10,50.0,1,0.8,0.7,+0.2,4,20,4,1,10,Matches
5,6,Albert Adomah,gh GHA,"DF,MF",QPR,33,1987,24.5,666,1058,62.9,10865,4244,352,444,79.3,234,369,63.4,62,173,35.8,3,3.1,3.9,-0.1,31,35,45,30,51,Matches
6,7,Benik Afobe,cd COD,"FW,MF",Millwall,28,1993,33.8,409,619,66.1,5393,798,260,352,73.9,104,161,64.6,19,30,63.3,3,2.1,1.8,+0.9,22,18,9,2,20,Matches
7,8,Osazee Aghatiste,eng ENG,FW,Derby County,18,2002,0.1,3,4,75.0,31,8,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
8,9,Semi Ajayi,ng NGA,DF,West Brom,27,1993,27.5,737,1046,70.5,14572,5637,251,332,75.6,389,485,80.2,89,196,45.4,2,1.3,1.0,+0.7,10,71,7,2,58,Matches
9,10,Chuba Akpom,eng ENG,FW,Middlesbrough,25,1995,0.2,1,2,50.0,29,0,0,1,0.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
10,11,Jamie Allen,eng ENG,MF,Coventry City,26,1995,29.1,871,1056,82.5,13592,3894,464,518,89.6,328,388,84.5,56,88,63.6,2,3.5,2.6,-1.5,31,96,20,4,96,Matches
11,12,Joe Allen,wls WAL,MF,Stoke City,31,1990,38.6,1428,1749,81.6,23934,6337,609,732,83.2,675,751,89.9,94,144,65.3,1,1.8,1.8,-0.8,21,126,15,3,115,Matches
12,13,Ryan Allsop,eng ENG,GK,Derby County,29,1992,29.2,1143,1698,67.3,29050,20445,351,352,99.7,496,509,97.4,293,818,35.8,0,0.1,0.1,-0.1,2,68,0,0,0,Matches
13,14,Luke Amos,eng ENG,MF,QPR,24,1997,15.0,387,505,76.6,5838,1449,197,238,82.8,151,180,83.9,16,41,39.0,0,0.9,0.4,-0.9,9,38,9,1,34,Matches
14,15,Keshi Anderson,eng ENG,"MF,FW",Blackpool,26,1995,29.0,806,1037,77.7,12497,2887,433,511,84.7,286,355,80.6,54,102,52.9,4,5.5,4.2,-1.5,55,62,41,5,66,Matches
15,16,Chuks Aneke,eng ENG,"FW,MF",Birmingham City,28,1993,4.4,49,89,55.1,654,185,31,51,60.8,11,24,45.8,3,5,60.0,0,0.0,0.2,0.0,1,7,2,1,6,Matches
16,17,Faustino Anjorin,eng ENG,"FW,MF",Huddersfield,19,2001,1.6,49,59,83.1,871,289,26,29,89.7,16,18,88.9,6,10,60.0,0,0.9,0.4,-0.9,5,7,1,0,5,Matches
17,18,Jaidon Anthony,eng ENG,FW,Bournemouth,21,1999,36.1,1238,1636,75.7,20895,6138,620,737,84.1,438,559,78.4,129,230,56.1,6,9.1,8.5,-3.1,71,79,92,19,157,Matches
18,19,Felipe Araruna,br BRA,DF,Reading,25,1996,0.5,6,8,75.0,106,82,3,3,100.0,2,2,100.0,1,3,33.3,0,0.0,0.0,0.0,1,1,1,1,0,Matches
19,20,Cameron Archer,eng ENG,FW,Preston,19,2001,18.0,228,297,76.8,2790,585,138,161,85.7,59,76,77.6,6,8,75.0,1,2.1,1.4,-1.1,16,14,11,1,19,Matches
