,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
0,1,Rolando Aarons,eng ENG,MF,Huddersfield,25,1995,0.1,12,0,1,4,7,0,12,0,1,0.0,0,0,13,0,Matches
1,2,Kelvin Abrefa,,DF,Reading,,,0.4,42,2,13,22,8,1,42,1,3,33.3,1,0,26,1,Matches
2,3,Tosin Adarabioyo,eng ENG,DF,Fulham,23,1997,40.9,3422,379,1682,1658,94,31,3422,12,14,85.7,18,7,2444,1,Matches
3,4,Elijah Adebayo,eng ENG,FW,Luton Town,23,1998,37.4,1305,57,96,466,755,211,1300,45,136,33.1,197,68,917,215,Matches
4,5,Victor Adeboyejo,eng ENG,"MF,FW",Barnsley,23,1998,10.7,387,6,33,162,195,39,387,15,36,41.7,47,14,256,61,Matches
5,6,Albert Adomah,gh GHA,"DF,MF",QPR,33,1987,24.5,1351,52,368,483,525,33,1351,50,82,61.0,59,37,652,86,Matches
6,7,Benik Afobe,cd COD,"FW,MF",Millwall,28,1993,33.8,937,17,63,384,500,142,935,25,50,50.0,103,52,724,184,Matches
7,8,Osazee Aghatiste,eng ENG,FW,Derby County,18,2002,0.1,8,0,1,6,1,0,8,0,0,,1,1,5,0,Matches
8,9,Semi Ajayi,ng NGA,DF,West Brom,27,1993,27.5,1314,132,641,584,105,32,1314,11,16,68.8,16,17,663,9,Matches
9,10,Chuba Akpom,eng ENG,FW,Middlesbrough,25,1995,0.2,3,0,0,1,2,0,3,0,0,,0,0,3,1,Matches
10,11,Jamie Allen,eng ENG,MF,Coventry City,26,1995,29.1,1294,27,230,733,344,36,1294,10,16,62.5,49,22,878,89,Matches
11,12,Joe Allen,wls WAL,MF,Stoke City,31,1990,38.6,2142,97,501,1334,331,20,2142,16,27,59.3,46,25,1189,33,Matches
12,13,Ryan Allsop,eng ENG,GK,Derby County,29,1992,29.2,1756,914,1697,59,1,1,1756,2,2,100.0,0,0,1167,0,Matches
13,14,Luke Amos,eng ENG,MF,QPR,24,1997,15.0,684,23,160,379,157,21,684,9,20,45.0,35,18,424,35,Matches
14,15,Keshi Anderson,eng ENG,"MF,FW",Blackpool,26,1995,29.0,1439,36,237,658,578,70,1439,45,94,47.9,106,41,958,125,Matches
15,16,Chuks Aneke,eng ENG,"FW,MF",Birmingham City,28,1993,4.4,179,7,12,75,96,34,179,10,19,52.6,20,7,116,30,Matches
16,17,Faustino Anjorin,eng ENG,"FW,MF",Huddersfield,19,2001,1.6,86,4,15,42,32,6,85,6,8,75.0,8,1,62,10,Matches
