,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
0,1,Rolando Aarons,eng ENG,MF,Huddersfield,25,1995,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1,2,Kelvin Abrefa,,DF,Reading,,,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2,3,Tosin Adarabioyo,eng ENG,DF,Fulham,23,1997,40.9,2,27,9,33.3,0.66,0.22,0.07,0.22,18.0,1,0,0,2.3,2.3,0.08,-0.3,-0.3,Matches
3,4,Elijah Adebayo,eng ENG,FW,Luton Town,23,1998,37.4,16,73,28,38.4,1.95,0.75,0.18,0.46,13.1,0,3,5,16.1,12.6,0.17,-0.1,+0.4,Matches
4,5,Victor Adeboyejo,eng ENG,"MF,FW",Barnsley,23,1998,10.7,3,15,8,53.3,1.40,0.75,0.20,0.38,13.9,0,0,0,2.7,2.7,0.18,+0.3,+0.3,Matches
5,6,Albert Adomah,gh GHA,"DF,MF",QPR,33,1987,24.5,2,17,4,23.5,0.69,0.16,0.12,0.50,19.6,0,0,0,1.2,1.2,0.07,+0.8,+0.8,Matches
6,7,Benik Afobe,cd COD,"FW,MF",Millwall,28,1993,33.8,12,68,32,47.1,2.01,0.95,0.15,0.31,14.1,0,2,2,11.3,9.7,0.14,+0.7,+0.3,Matches
7,8,Osazee Aghatiste,eng ENG,FW,Derby County,18,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
8,9,Semi Ajayi,ng NGA,DF,West Brom,27,1993,27.5,1,15,1,6.7,0.55,0.04,0.07,1.00,8.8,0,0,0,2.9,2.9,0.19,-1.9,-1.9,Matches
9,10,Chuba Akpom,eng ENG,FW,Middlesbrough,25,1995,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
10,11,Jamie Allen,eng ENG,MF,Coventry City,26,1995,29.1,1,26,7,26.9,0.89,0.24,0.04,0.14,18.6,0,0,0,3.2,3.2,0.12,-2.2,-2.2,Matches
11,12,Joe Allen,wls WAL,MF,Stoke City,31,1990,38.6,0,12,0,0.0,0.31,0.00,0.00,,20.5,0,0,0,1.0,1.0,0.09,-1.0,-1.0,Matches
12,13,Ryan Allsop,eng ENG,GK,Derby County,29,1992,29.2,0,1,0,0.0,0.03,0.00,0.00,,6.8,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
13,14,Luke Amos,eng ENG,MF,QPR,24,1997,15.0,6,15,8,53.3,1.00,0.53,0.40,0.75,14.7,0,0,0,3.5,3.5,0.23,+2.5,+2.5,Matches
14,15,Keshi Anderson,eng ENG,"MF,FW",Blackpool,26,1995,29.0,4,33,12,36.4,1.14,0.41,0.12,0.33,18.5,4,0,0,3.8,3.8,0.11,+0.2,+0.2,Matches
15,16,Chuks Aneke,eng ENG,"FW,MF",Birmingham City,28,1993,4.4,2,27,6,22.2,6.15,1.37,0.07,0.33,11.1,0,0,0,5.3,5.3,0.23,-3.3,-3.3,Matches
16,17,Faustino Anjorin,eng ENG,"FW,MF",Huddersfield,19,2001,1.6,1,3,0,0.0,1.93,0.00,0.00,,22.4,0,1,1,1.0,0.2,0.06,0.0,-0.2,Matches
17,18,Jaidon Anthony,eng ENG,FW,Bournemouth,21,1999,36.1,8,61,21,34.4,1.69,0.58,0.13,0.38,17.0,1,0,0,7.9,7.9,0.13,+0.1,+0.1,Matches
18,19,Felipe Araruna,br BRA,DF,Reading,25,1996,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
