,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
0,1,Trustin van 't Loo,nl NED,MF,Heerenveen,17,2004,0.3,1,3.75,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1,2,Dirk Abels,nl NED,"DF,MF",Sparta R'dam,24,1997,32.2,28,0.87,16,5,0,3,0,4,3,0.09,1,0,0,1,0,1,Matches
2,3,Zakaria Aboukhlal,ma MAR,"FW,MF",AZ Alkmaar,21,2000,9.1,25,2.76,14,0,4,3,4,0,4,0.44,1,0,0,2,1,0,Matches
3,4,Paulos Abraham,se SWE,"FW,MF",Groningen,19,2002,15.0,,,,,,,,,,,,,,,,,Matches
4,5,Shawn Adewoye,be BEL,DF,RKC Waalwijk,21,2000,19.1,15,0.79,11,1,2,0,0,1,1,0.05,1,0,0,0,0,0,Matches
5,6,Luka Adžić,rs SRB,"FW,MF",Zwolle,22,1998,8.1,38,4.72,17,14,1,3,2,1,2,0.25,1,1,0,0,0,0,Matches
6,7,Joost van Aken,nl NED,DF,Heerenveen,27,1994,2.2,5,2.26,3,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
7,8,Ali Akman,tr TUR,FW,NEC Nijmegen,19,2002,17.4,57,3.27,43,1,6,2,3,2,2,0.11,0,0,2,0,0,0,Matches
8,9,Hamdi Akujobi,nl NED,"DF,FW",Heerenveen,21,2000,1.6,4,2.54,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
9,10,Pontus Almqvist,se SWE,"FW,MF",Utrecht,22,1999,2.9,7,2.43,5,1,0,0,1,0,1,0.35,1,0,0,0,0,0,Matches
10,11,Edson Álvarez,mx MEX,MF,Ajax,23,1997,25.9,40,1.54,32,0,0,6,1,1,4,0.15,2,0,0,2,0,0,Matches
11,12,Mohamed Amissi,bi BDI,"FW,MF",Heracles Almelo,20,2000,1.4,4,2.81,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
12,13,Djavan Anderson,nl NED,"DF,MF",Zwolle,26,1995,11.4,13,1.14,13,0,0,0,0,0,2,0.18,2,0,0,0,0,0,Matches
13,14,Martin Angha,ch SUI,DF,Fortuna Sittard,27,1994,28.8,15,0.52,7,0,0,2,2,4,2,0.07,2,0,0,0,0,0,Matches
14,15,Vurnon Anita,cw CUW,MF,RKC Waalwijk,32,1989,30.3,37,1.22,33,0,0,1,0,3,2,0.07,2,0,0,0,0,0,Matches
15,16,Antony,br BRA,FW,Ajax,21,2000,19.2,107,5.59,89,2,6,6,4,0,8,0.42,7,0,0,0,1,0,Matches
16,17,Samuel Armenteros,se SWE,FW,Heracles Almelo,31,1990,2.3,4,1.70,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
17,18,Adil Auassar,nl NED,"DF,MF",Sparta R'dam,34,1986,27.5,26,0.95,15,2,1,1,1,6,2,0.07,1,0,0,0,0,1,Matches
18,19,Sebbe Augustijns,be BEL,MF,RKC Waalwijk,21,1999,1.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
19,20,Fredrik Aursnes,no NOR,MF,Feyenoord,25,1995,27.6,83,3.00,73,6,0,2,0,2,8,0.29,6,1,0,0,0,1,Matches
20,21,Aventis Aventisian,gr GRE,DF,Go Ahead Eag,18,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
21,22,Ayman Azhil,ma MAR,MF,RKC Waalwijk,20,2001,18.6,29,1.56,29,0,0,0,0,0,2,0.11,2,0,0,0,0,0,Matches
22,23,Ismail Azzaoui,be BEL,"FW,MF",Heracles Almelo,23,1998,4.8,16,3.30,10,0,2,1,1,2,1,0.21,1,0,0,0,0,0,Matches
23,24,Aliou Badara Baldé,sn SEN,FW,Feyenoord,18,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
24,25,Nikolai Baden Frederiksen,dk DEN,FW,Vitesse,21,2000,14.5,29,2.00,16,0,4,4,5,0,2,0.14,1,0,1,0,0,0,Matches
25,26,Samy Baghdadi,fr FRA,"FW,MF",Fortuna Sittard,24,1997,4.8,8,1.65,5,1,1,1,0,0,2,0.41,1,0,1,0,0,0,Matches
26,27,Saïd Bakari,km COM,"DF,MF",RKC Waalwijk,26,1994,26.3,88,3.35,69,7,3,6,2,1,6,0.23,4,0,0,1,0,1,Matches
27,28,Johan Bakayoko,be BEL,FW,PSV Eindhoven,18,2003,0.4,2,5.29,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
28,29,Navajo Bakboord,nl NED,DF,Heracles Almelo,22,1999,5.4,6,1.12,3,2,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
29,30,Sinan Bakış,tr TUR,FW,Heracles Almelo,27,1994,17.0,26,1.53,16,0,0,6,4,0,0,0.00,0,0,0,0,0,0,Matches
30,31,Justin Bakker,nl NED,DF,Go Ahead Eag,23,1998,8.2,25,3.06,18,4,0,0,0,3,1,0.12,0,1,0,0,0,0,Matches
31,32,Nick Bakker,nl NED,DF,Heerenveen,29,1992,18.2,13,0.72,12,0,0,0,0,1,2,0.11,2,0,0,0,0,0,Matches
32,33,Remco Balk,nl NED,"FW,MF",Utrecht,20,2001,5.0,15,3.01,7,0,3,2,2,1,2,0.40,1,0,1,0,0,0,Matches
33,34,Alex Bangura,sl SLE,DF,Cambuur,22,1999,26.8,38,1.42,26,0,3,1,7,1,6,0.22,3,0,1,0,2,0,Matches
34,35,Naoufal Bannis,nl NED,"MF,FW",Feyenoord,19,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
35,36,Yusuf Barasi,tr TUR,FW,AZ Alkmaar,18,2003,0.6,2,3.21,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
36,37,Édgar Barreto,py PAR,"MF,DF",NEC Nijmegen,37,1984,13.8,20,1.45,17,0,0,2,0,1,1,0.07,1,0,0,0,0,0,Matches
37,38,Bilal Başaçıkoğlu,tr TUR,"FW,MF",Heracles Almelo,26,1995,16.4,52,3.17,25,15,3,2,6,1,5,0.30,3,1,0,0,1,0,Matches
38,39,Cole Bassett,us USA,"MF,DF",Feyenoord,20,2001,1.0,4,3.96,4,0,0,0,0,0,1,0.99,1,0,0,0,0,0,Matches
39,40,Riechedly Bazoer,nl NED,DF,Vitesse,24,1996,21.8,53,2.43,42,3,1,3,2,2,7,0.32,6,0,0,0,0,1,Matches
40,41,Sven van Beek,nl NED,DF,Heerenveen,27,1994,28.5,25,0.88,17,1,1,4,1,1,2,0.07,1,0,0,1,0,0,Matches
41,42,Thomas Beekman,nl NED,MF,NEC Nijmegen,21,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
42,43,Thomas Beelen,nl NED,"MF,DF",Zwolle,20,2001,0.8,2,2.40,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
43,44,Iliass Bel Hassani,ma MAR,"MF,FW",RKC Waalwijk,28,1992,9.3,29,3.10,17,7,2,0,1,2,4,0.43,3,0,1,0,0,0,Matches
44,45,Benaissa Benamar,ma MAR,DF,Utrecht,24,1997,1.0,1,0.97,0,1,0,0,0,0,1,0.97,0,1,0,0,0,0,Matches
45,46,Charlison Benschop,cw CUW,FW,Fortuna Sittard,31,1989,6.4,10,1.56,7,0,1,2,0,0,1,0.16,0,0,0,1,0,0,Matches
46,47,Martijn Berden,nl NED,"FW,MF",Go Ahead Eag,24,1997,6.9,20,2.90,17,0,2,1,0,0,2,0.29,2,0,0,0,0,0,Matches
47,48,Mitchell van Bergen,nl NED,FW,Heerenveen,21,1999,1.0,3,3.00,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
48,49,Steven Berghuis,nl NED,"MF,FW",Ajax,29,1991,26.5,138,5.20,100,23,3,5,5,2,17,0.64,11,4,0,0,1,1,Matches
49,50,Emil Bergström,se SWE,DF,Willem II,28,1993,8.3,9,1.08,6,0,0,2,0,1,0,0.00,0,0,0,0,0,0,Matches
50,51,Matúš Bero,sk SVK,MF,Vitesse,25,1995,24.2,60,2.48,46,2,0,3,8,1,5,0.21,5,0,0,0,0,0,Matches
51,52,Tom Beugelsdijk,nl NED,DF,Sparta R'dam,30,1990,17.0,10,0.59,7,0,0,1,1,1,1,0.06,0,0,0,0,0,1,Matches
52,53,Sam Beukema,nl NED,DF,AZ Alkmaar,22,1998,11.0,7,0.63,5,0,0,2,0,0,1,0.09,1,0,0,0,0,0,Matches
53,54,Justin Bijlow,nl NED,GK,Feyenoord,23,1998,22.0,4,0.18,2,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
54,55,Janis Blaswich,de GER,GK,Heracles Almelo,30,1991,22.0,5,0.23,4,1,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
55,56,Daley Blind,nl NED,DF,Ajax,31,1990,31.2,113,3.62,95,9,3,3,2,1,16,0.51,13,1,1,1,0,0,Matches
56,57,Tom Boere,nl NED,FW,Cambuur,28,1992,14.1,27,1.92,21,0,3,1,2,0,6,0.43,3,0,2,1,0,0,Matches
