,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
0,1,Trustin van 't Loo,nl NED,MF,Heerenveen,17,2004,0.3,2,7,28.6,23,2,1,3,33.3,1,2,50.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
1,2,Dirk Abels,nl NED,"DF,MF",Sparta R'dam,24,1997,32.2,1049,1460,71.8,18151,8357,469,565,83.0,460,602,76.4,94,218,43.1,0,0.9,1.0,-0.9,12,90,7,3,81,Matches
2,3,Zakaria Aboukhlal,ma MAR,"FW,MF",AZ Alkmaar,21,2000,9.1,170,249,68.3,2278,616,96,132,72.7,56,70,80.0,6,10,60.0,1,1.0,0.8,0.0,7,6,14,2,22,Matches
3,4,Paulos Abraham,se SWE,"FW,MF",Groningen,19,2002,15.0,,,,,,,,,,,,,,,2,,,,,,,,,Matches
4,5,Shawn Adewoye,be BEL,DF,RKC Waalwijk,21,2000,19.1,579,748,77.4,11420,3966,187,224,83.5,316,366,86.3,67,121,55.4,0,0.3,0.4,-0.3,6,35,1,0,32,Matches
5,6,Luka Adžić,rs SRB,"FW,MF",Zwolle,22,1998,8.1,191,298,64.1,3058,1014,99,134,73.9,51,80,63.8,24,47,51.1,1,2.0,1.9,-1.0,22,13,10,8,13,Matches
6,7,Joost van Aken,nl NED,DF,Heerenveen,27,1994,2.2,90,114,78.9,1674,693,34,40,85.0,44,51,86.3,11,22,50.0,0,0.0,0.0,0.0,1,4,0,0,2,Matches
7,8,Ali Akman,tr TUR,FW,NEC Nijmegen,19,2002,17.4,374,498,75.1,5166,930,219,270,81.1,102,133,76.7,23,36,63.9,0,2.3,1.7,-2.3,27,22,12,3,25,Matches
8,9,Hamdi Akujobi,nl NED,"DF,FW",Heerenveen,21,2000,1.6,82,103,79.6,1348,416,39,45,86.7,35,39,89.7,6,13,46.2,0,0.0,0.1,0.0,0,3,1,1,4,Matches
9,10,Pontus Almqvist,se SWE,"FW,MF",Utrecht,22,1999,2.9,33,48,68.8,484,75,20,28,71.4,10,14,71.4,1,2,50.0,0,0.1,0.1,-0.1,3,1,2,1,2,Matches
10,11,Edson Álvarez,mx MEX,MF,Ajax,23,1997,25.9,1533,1782,86.0,25731,6988,704,773,91.1,683,767,89.0,105,146,71.9,1,0.4,1.4,+0.6,9,124,12,0,105,Matches
11,12,Mohamed Amissi,bi BDI,"FW,MF",Heracles Almelo,20,2000,1.4,27,36,75.0,417,54,17,17,100.0,6,9,66.7,2,3,66.7,0,0.0,0.0,0.0,0,1,0,0,2,Matches
12,13,Djavan Anderson,nl NED,"DF,MF",Zwolle,26,1995,11.4,258,379,68.1,3941,1152,136,169,80.5,92,132,69.7,17,41,41.5,2,0.7,1.1,+1.3,9,14,7,2,18,Matches
13,14,Martin Angha,ch SUI,DF,Fortuna Sittard,27,1994,28.8,973,1264,77.0,20218,7109,302,356,84.8,522,596,87.6,139,271,51.3,0,0.1,0.3,-0.1,1,40,4,0,48,Matches
