,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
0,1,Trustin van 't Loo,nl NED,MF,Heerenveen,17,2004,0.3,7,7,0,0,0,0,1,0,0,0,0,0,2,0,0,Matches
1,2,Dirk Abels,nl NED,"DF,MF",Sparta R'dam,24,1997,32.2,1460,1175,279,31,1,5,19,248,0,0,0,0,1049,6,18,Matches
2,3,Zakaria Aboukhlal,ma MAR,"FW,MF",AZ Alkmaar,21,2000,9.1,249,240,8,0,0,0,7,5,0,0,0,0,170,1,17,Matches
3,4,Paulos Abraham,se SWE,"FW,MF",Groningen,19,2002,15.0,,,,,,,20,,,,,,,,,Matches
4,5,Shawn Adewoye,be BEL,DF,RKC Waalwijk,21,2000,19.1,748,718,27,20,0,9,0,7,0,0,0,0,579,3,11,Matches
5,6,Luka Adžić,rs SRB,"FW,MF",Zwolle,22,1998,8.1,298,246,49,4,0,4,75,3,41,27,13,0,191,3,7,Matches
6,7,Joost van Aken,nl NED,DF,Heerenveen,27,1994,2.2,114,112,2,1,0,0,1,0,0,0,0,0,90,0,0,Matches
7,8,Ali Akman,tr TUR,FW,NEC Nijmegen,19,2002,17.4,498,464,33,2,3,3,12,3,0,0,0,0,374,1,13,Matches
8,9,Hamdi Akujobi,nl NED,"DF,FW",Heerenveen,21,2000,1.6,103,84,19,1,0,2,6,18,0,0,0,0,82,0,1,Matches
9,10,Pontus Almqvist,se SWE,"FW,MF",Utrecht,22,1999,2.9,48,44,4,0,0,0,6,1,1,1,0,0,33,0,1,Matches
10,11,Edson Álvarez,mx MEX,MF,Ajax,23,1997,25.9,1782,1761,17,14,0,14,3,3,0,0,0,0,1533,4,25,Matches
11,12,Mohamed Amissi,bi BDI,"FW,MF",Heracles Almelo,20,2000,1.4,36,36,0,0,0,1,2,0,0,0,0,0,27,0,3,Matches
12,13,Djavan Anderson,nl NED,"DF,MF",Zwolle,26,1995,11.4,379,347,32,1,0,1,29,31,0,0,0,0,258,0,12,Matches
13,14,Martin Angha,ch SUI,DF,Fortuna Sittard,27,1994,28.8,1264,1231,27,25,0,11,8,2,0,0,0,0,973,6,6,Matches
14,15,Vurnon Anita,cw CUW,MF,RKC Waalwijk,32,1989,30.3,1143,1114,26,17,5,5,5,6,0,0,0,0,903,3,19,Matches
15,16,Antony,br BRA,FW,Ajax,21,2000,19.2,1156,1102,53,6,5,5,101,31,15,8,0,0,898,1,18,Matches
16,17,Samuel Armenteros,se SWE,FW,Heracles Almelo,31,1990,2.3,45,44,1,0,0,1,2,0,0,0,0,0,25,0,1,Matches
17,18,Adil Auassar,nl NED,"DF,MF",Sparta R'dam,34,1986,27.5,1062,1020,40,33,0,6,7,7,0,0,0,0,720,2,21,Matches
18,19,Sebbe Augustijns,be BEL,MF,RKC Waalwijk,21,1999,1.6,51,49,2,0,0,0,1,1,0,0,0,0,34,0,0,Matches
19,20,Fredrik Aursnes,no NOR,MF,Feyenoord,25,1995,27.6,2087,2005,76,36,3,7,54,19,21,11,8,0,1714,6,32,Matches
20,21,Aventis Aventisian,gr GRE,DF,Go Ahead Eag,18,2002,0.0,3,2,1,0,0,0,0,1,0,0,0,0,3,0,0,Matches
21,22,Ayman Azhil,ma MAR,MF,RKC Waalwijk,20,2001,18.6,622,604,16,6,1,3,5,5,3,1,1,0,467,2,10,Matches
22,23,Ismail Azzaoui,be BEL,"FW,MF",Heracles Almelo,23,1998,4.8,177,167,8,2,2,1,5,5,0,0,0,0,119,2,7,Matches
23,24,Aliou Badara Baldé,sn SEN,FW,Feyenoord,18,2002,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
24,25,Nikolai Baden Frederiksen,dk DEN,FW,Vitesse,21,2000,14.5,190,165,23,0,2,1,9,1,1,0,1,0,117,2,7,Matches
25,26,Samy Baghdadi,fr FRA,"FW,MF",Fortuna Sittard,24,1997,4.8,121,118,2,0,0,1,11,1,1,1,0,0,74,1,5,Matches
26,27,Saïd Bakari,km COM,"DF,MF",RKC Waalwijk,26,1994,26.3,1096,904,191,7,6,2,78,151,27,19,3,0,807,1,31,Matches
27,28,Johan Bakayoko,be BEL,FW,PSV Eindhoven,18,2003,0.4,17,15,2,0,0,0,1,2,0,0,0,0,13,0,0,Matches
28,29,Navajo Bakboord,nl NED,DF,Heracles Almelo,22,1999,5.4,239,170,69,7,0,0,4,62,0,0,0,0,172,0,8,Matches
29,30,Sinan Bakış,tr TUR,FW,Heracles Almelo,27,1994,17.0,341,306,35,0,2,5,0,0,1,0,0,0,238,0,8,Matches
30,31,Justin Bakker,nl NED,DF,Go Ahead Eag,23,1998,8.2,498,445,51,19,2,6,25,3,17,8,4,1,363,2,6,Matches
31,32,Nick Bakker,nl NED,DF,Heerenveen,29,1992,18.2,804,780,22,18,2,4,0,4,0,0,0,0,686,2,4,Matches
32,33,Remco Balk,nl NED,"FW,MF",Utrecht,20,2001,5.0,122,113,8,1,0,0,7,5,0,0,0,0,77,1,2,Matches
33,34,Alex Bangura,sl SLE,DF,Cambuur,22,1999,26.8,1266,1011,253,32,0,1,26,221,0,0,0,0,1044,2,29,Matches
34,35,Naoufal Bannis,nl NED,"MF,FW",Feyenoord,19,2002,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
35,36,Yusuf Barasi,tr TUR,FW,AZ Alkmaar,18,2003,0.6,17,17,0,0,0,0,0,0,0,0,0,0,14,0,1,Matches
36,37,Édgar Barreto,py PAR,"MF,DF",NEC Nijmegen,37,1984,13.8,684,665,17,16,4,9,2,1,0,0,0,0,553,2,10,Matches
37,38,Bilal Başaçıkoğlu,tr TUR,"FW,MF",Heracles Almelo,26,1995,16.4,497,404,92,29,1,2,123,16,45,18,20,0,296,1,20,Matches
38,39,Cole Bassett,us USA,"MF,DF",Feyenoord,20,2001,1.0,61,51,10,4,1,0,4,5,1,1,0,0,49,0,0,Matches
39,40,Riechedly Bazoer,nl NED,DF,Vitesse,24,1996,21.8,1380,1296,79,55,6,41,40,11,12,8,2,0,1129,5,10,Matches
40,41,Sven van Beek,nl NED,DF,Heerenveen,27,1994,28.5,1538,1466,68,52,1,16,4,16,0,0,0,0,1298,4,10,Matches
41,42,Thomas Beekman,nl NED,MF,NEC Nijmegen,21,2000,0.1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
42,43,Thomas Beelen,nl NED,"MF,DF",Zwolle,20,2001,0.8,36,36,0,0,0,0,0,0,0,0,0,0,30,0,1,Matches
43,44,Iliass Bel Hassani,ma MAR,"MF,FW",RKC Waalwijk,28,1992,9.3,364,307,56,22,1,7,37,8,18,7,8,0,245,1,15,Matches
44,45,Benaissa Benamar,ma MAR,DF,Utrecht,24,1997,1.0,82,79,3,2,0,0,0,1,0,0,0,0,68,0,0,Matches
45,46,Charlison Benschop,cw CUW,FW,Fortuna Sittard,31,1989,6.4,121,116,5,0,0,0,0,0,0,0,0,0,68,0,2,Matches
46,47,Martijn Berden,nl NED,"FW,MF",Go Ahead Eag,24,1997,6.9,147,144,3,0,2,0,14,2,0,0,0,0,99,0,13,Matches
47,48,Mitchell van Bergen,nl NED,FW,Heerenveen,21,1999,1.0,41,40,1,1,1,1,5,0,0,0,0,0,32,0,2,Matches
48,49,Steven Berghuis,nl NED,"MF,FW",Ajax,29,1991,26.5,1589,1446,139,25,5,31,144,30,82,45,5,0,1247,4,36,Matches
49,50,Emil Bergström,se SWE,DF,Willem II,28,1993,8.3,376,372,3,3,0,1,0,0,0,0,0,0,299,1,2,Matches
50,51,Matúš Bero,sk SVK,MF,Vitesse,25,1995,24.2,979,926,47,11,9,1,12,22,0,0,0,0,708,6,31,Matches
51,52,Tom Beugelsdijk,nl NED,DF,Sparta R'dam,30,1990,17.0,664,648,14,14,0,0,1,0,0,0,0,0,514,2,2,Matches
52,53,Sam Beukema,nl NED,DF,AZ Alkmaar,22,1998,11.0,646,631,15,11,0,3,2,3,0,0,0,0,540,0,5,Matches
53,54,Justin Bijlow,nl NED,GK,Feyenoord,23,1998,22.0,729,587,140,21,0,3,0,0,0,0,0,0,558,2,0,Matches
54,55,Janis Blaswich,de GER,GK,Heracles Almelo,30,1991,22.0,812,606,203,47,0,3,1,0,0,0,0,0,577,3,0,Matches
55,56,Daley Blind,nl NED,DF,Ajax,31,1990,31.2,3096,2822,264,48,3,20,73,184,8,0,1,0,2592,10,36,Matches
56,57,Tom Boere,nl NED,FW,Cambuur,28,1992,14.1,306,258,45,0,0,0,5,1,0,0,0,0,203,3,9,Matches
57,58,Melayro Bogarde,nl NED,MF,Groningen,19,2002,2.7,91,90,1,1,0,0,2,0,0,0,0,0,63,0,5,Matches
58,59,Wilfried Bony,ci CIV,FW,NEC Nijmegen,32,1988,0.2,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
59,60,Pieter Bos,nl NED,GK,Cambuur,24,1997,5.1,217,157,58,9,0,0,0,0,0,0,0,0,143,2,2,Matches
60,61,Olivier Boscagli,fr FRA,"DF,MF",PSV Eindhoven,23,1997,26.2,2081,2008,67,57,9,35,10,10,0,0,0,0,1718,6,16,Matches
61,62,Jesse Bosch,nl NED,MF,Twente,21,2000,9.7,414,407,6,3,4,1,2,1,0,0,0,0,300,1,9,Matches
62,63,Jordan Botaka,cd COD,"MF,DF",Fortuna Sittard,28,1993,1.8,87,70,17,1,0,0,4,16,0,0,0,0,66,0,2,Matches
63,64,Ioannis-Foivos Botos,gr GRE,"MF,FW",Go Ahead Eag,20,2000,11.5,305,293,11,0,0,1,7,0,0,0,0,0,206,1,13,Matches
64,65,Achraf El Bouchataoui,nl NED,MF,RKC Waalwijk,21,2000,4.1,300,274,26,13,3,3,22,4,9,4,4,0,217,0,4,Matches
65,66,Yacine Bourhane,km COM,MF,Go Ahead Eag,22,1998,0.5,27,26,1,0,0,0,0,0,0,0,0,0,24,0,0,Matches
66,67,Othman Boussaid,be BEL,"FW,MF",Utrecht,21,2000,13.8,555,500,51,7,2,3,52,22,15,5,4,0,379,4,16,Matches
67,68,Róbert Boženík,sk SVK,FW,Feyenoord,21,1999,0.2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
68,69,Wout Brama,nl NED,MF,Twente,34,1986,7.1,340,326,12,12,1,3,2,0,0,0,0,0,281,2,2,Matches
69,70,Mattijs Branderhorst,nl NED,GK,NEC Nijmegen,27,1993,34.0,1095,727,361,28,0,1,0,0,0,0,0,0,719,7,1,Matches
70,71,Myron van Brederode,nl NED,FW,AZ Alkmaar,18,2003,0.1,13,11,2,0,0,0,0,2,0,0,0,0,10,0,1,Matches
71,72,Michael Breij,nl NED,"MF,FW",Cambuur,24,1997,15.5,398,389,7,1,4,8,26,4,0,0,0,0,270,2,15,Matches
