,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
0,1,Trustin van 't Loo,nl NED,MF,Heerenveen,17,2004,1,24,24,0.8,0.3,0,,0,1,24,1,0.00,0,1,-1,-3.75,-3.39,0.5,0.2,+0.3,+1.14,+1.35,Matches
1,2,Dirk Abels,nl NED,"DF,MF",Sparta R'dam,24,1997,33,2897,88,94.7,32.2,33,88,29,0,,0,1.06,30,45,-15,-0.47,+1.19,32.0,47.1,-15.1,-0.47,+0.27,Matches
2,3,Zakaria Aboukhlal,ma MAR,"FW,MF",AZ Alkmaar,21,2000,31,815,26,26.6,9.1,5,71,0,26,18,1,1.76,18,14,+4,+0.44,-0.20,17.2,13.4,+3.8,+0.42,-0.06,Matches
3,4,Paulos Abraham,se SWE,"FW,MF",Groningen,19,2002,29,1353,47,44.2,15.0,16,66,1,13,23,2,0.97,23,22,+1,+0.07,+0.86,,,,,,Matches
4,5,Shawn Adewoye,be BEL,DF,RKC Waalwijk,21,2000,22,1717,78,56.1,19.1,18,89,15,4,30,9,1.27,23,27,-4,-0.21,+0.26,21.0,34.9,-13.9,-0.73,+0.19,Matches
5,6,Luka Adžić,rs SRB,"FW,MF",Zwolle,22,1998,16,725,45,23.7,8.1,7,69,0,9,27,7,0.38,4,10,-6,-0.74,+0.03,10.1,12.7,-2.6,-0.33,-0.01,Matches
6,7,Marouane Afaker,nl NED,MF,Sparta R'dam,22,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
7,8,Rohat Agca,nl NED,MF,Heracles Almelo,19,2001,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
8,9,Joost van Aken,nl NED,DF,Heerenveen,27,1994,3,199,66,6.5,2.2,2,76,1,1,48,2,1.67,2,2,0,0.00,+0.41,4.5,2.3,+2.2,+0.98,+1.26,Matches
9,10,Ali Akman,tr TUR,FW,NEC Nijmegen,19,2002,28,1569,56,51.3,17.4,19,71,2,9,24,3,1.14,19,24,-5,-0.29,+0.26,23.6,23.4,+0.2,+0.01,+0.79,Matches
10,11,Hamdi Akujobi,nl NED,"DF,FW",Heerenveen,21,2000,5,142,28,4.6,1.6,1,78,0,4,16,27,0.60,2,2,0,0.00,+0.40,3.1,2.9,+0.2,+0.14,+0.35,Matches
