,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
0,1,Trustin van 't Loo,nl NED,MF,Heerenveen,17,2004,0.3,10,0,0,4,6,3,10,0,0,,0,0,5,2,Matches
1,2,Dirk Abels,nl NED,"DF,MF",Sparta R'dam,24,1997,32.2,1806,152,645,915,259,14,1806,8,14,57.1,27,8,835,27,Matches
2,3,Zakaria Aboukhlal,ma MAR,"FW,MF",AZ Alkmaar,21,2000,9.1,434,4,44,140,257,60,434,19,45,42.2,53,16,296,80,Matches
3,4,Paulos Abraham,se SWE,"FW,MF",Groningen,19,2002,15.0,,,,,,,,,,,,,,,Matches
4,5,Shawn Adewoye,be BEL,DF,RKC Waalwijk,21,2000,19.1,990,170,587,385,26,10,990,8,12,66.7,14,4,490,6,Matches
5,6,Luka Adžić,rs SRB,"FW,MF",Zwolle,22,1998,8.1,396,2,28,132,241,35,396,18,39,46.2,38,16,277,62,Matches
6,7,Joost van Aken,nl NED,DF,Heerenveen,27,1994,2.2,132,15,58,60,15,11,132,0,0,,1,0,80,0,Matches
7,8,Ali Akman,tr TUR,FW,NEC Nijmegen,19,2002,17.4,674,2,47,336,300,58,674,28,47,59.6,66,30,495,105,Matches
8,9,Hamdi Akujobi,nl NED,"DF,FW",Heerenveen,21,2000,1.6,132,6,45,53,35,6,132,1,3,33.3,5,5,75,6,Matches
9,10,Pontus Almqvist,se SWE,"FW,MF",Utrecht,22,1999,2.9,93,2,11,44,42,9,93,8,14,57.1,18,7,63,13,Matches
10,11,Edson Álvarez,mx MEX,MF,Ajax,23,1997,25.9,2106,85,512,1237,369,42,2106,22,31,71.0,26,22,1339,32,Matches
11,12,Mohamed Amissi,bi BDI,"FW,MF",Heracles Almelo,20,2000,1.4,60,0,8,21,32,7,60,3,4,75.0,5,0,41,7,Matches
12,13,Djavan Anderson,nl NED,"DF,MF",Zwolle,26,1995,11.4,522,27,139,220,178,17,522,16,27,59.3,40,8,294,32,Matches
13,14,Martin Angha,ch SUI,DF,Fortuna Sittard,27,1994,28.8,1588,244,923,632,43,14,1588,4,6,66.7,14,5,889,3,Matches
14,15,Vurnon Anita,cw CUW,MF,RKC Waalwijk,32,1989,30.3,1374,51,397,824,169,12,1374,18,30,60.0,35,21,827,24,Matches
15,16,Antony,br BRA,FW,Ajax,21,2000,19.2,1404,7,81,405,937,110,1404,42,75,56.0,47,23,1117,177,Matches
16,17,Samuel Armenteros,se SWE,FW,Heracles Almelo,31,1990,2.3,78,1,3,42,33,7,78,3,7,42.9,14,4,63,9,Matches
17,18,Adil Auassar,nl NED,"DF,MF",Sparta R'dam,34,1986,27.5,1403,167,631,682,103,31,1403,10,17,58.8,27,17,712,9,Matches
18,19,Sebbe Augustijns,be BEL,MF,RKC Waalwijk,21,1999,1.6,69,5,26,32,11,3,69,0,3,0.0,3,3,31,4,Matches
19,20,Fredrik Aursnes,no NOR,MF,Feyenoord,25,1995,27.6,2374,92,439,1472,487,28,2374,34,45,75.6,42,15,1569,34,Matches
20,21,Aventis Aventisian,gr GRE,DF,Go Ahead Eag,18,2002,0.0,7,0,5,2,0,0,7,0,0,,0,1,1,0,Matches
21,22,Ayman Azhil,ma MAR,MF,RKC Waalwijk,20,2001,18.6,813,29,212,480,133,13,813,8,21,38.1,35,12,450,20,Matches
