,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
0,1,Luis Abram,pe PER,DF,Granada,25,1996,6.2,226,216,9,5,0,0,0,2,0,0,0,0,191,1,4,Matches
1,2,Marcos Acuña,ar ARG,DF,Sevilla,29,1991,25.1,1963,1624,333,63,3,30,178,230,40,0,31,0,1543,6,30,Matches
2,3,Martin Agirregabiria,es ESP,DF,Alavés,25,1996,18.0,792,610,179,6,0,5,45,172,1,0,0,0,547,3,16,Matches
3,4,Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,4.0,82,49,33,7,0,0,0,0,0,0,0,0,62,0,0,Matches
4,5,Sergio Agüero,ar ARG,FW,Barcelona,33,1988,1.7,42,40,2,0,0,0,3,0,0,0,0,0,30,0,0,Matches
5,6,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,21,2000,0.1,3,2,1,0,0,0,0,1,0,0,0,0,3,0,0,Matches
6,7,Joseph Aidoo,gh GHA,DF,Celta Vigo,25,1995,29.3,1567,1531,32,13,1,11,3,19,0,0,0,0,1270,4,9,Matches
7,8,Carlos Akapo,gq EQG,DF,Cádiz,28,1993,20.5,832,672,158,18,1,3,45,140,0,0,0,0,611,2,20,Matches
8,9,Ilias Akhomach,es ESP,FW,Barcelona,17,2004,1.4,55,55,0,0,1,0,6,0,0,0,0,0,45,0,2,Matches
9,10,Paul Akouokou,ci CIV,MF,Betis,23,1997,5.7,325,320,4,4,0,3,1,0,0,0,0,0,284,1,4,Matches
10,11,David Alaba,at AUT,DF,Real Madrid,29,1992,29.4,1968,1888,74,34,4,2,40,34,3,3,0,0,1788,6,9,Matches
11,12,Tomás Alarcón,cl CHI,MF,Cádiz,22,1999,15.8,572,503,65,29,2,15,64,3,33,14,14,0,398,4,18,Matches
12,13,Jordi Alba,es ESP,DF,Barcelona,32,1989,29.4,2795,2416,365,96,13,12,121,268,1,0,0,0,2334,14,38,Matches
13,14,Raúl Albiol,es ESP,DF,Villarreal,35,1985,27.4,1560,1502,57,55,0,12,3,1,0,0,0,0,1339,1,12,Matches
14,15,Paco Alcácer,es ESP,FW,Villarreal,27,1993,8.7,175,151,22,0,2,2,1,2,0,0,0,0,123,2,5,Matches
15,16,Rubén Alcaraz,es ESP,MF,Cádiz,30,1991,12.3,667,623,43,34,3,16,23,2,7,1,3,0,556,1,13,Matches
16,17,Omar Alderete,py PAR,DF,Valencia,24,1996,26.7,961,899,57,52,0,41,4,2,0,0,0,0,580,5,6,Matches
17,18,Iván Alejo,es ESP,"MF,FW",Cádiz,26,1995,11.8,329,319,9,3,0,2,97,6,0,0,0,0,193,1,18,Matches
18,19,Carles Aleñá,es ESP,MF,Getafe,23,1998,25.8,869,827,39,24,2,10,44,2,11,5,5,0,683,3,25,Matches
19,20,Mircea Alexandru Tirlea,ro ROU,DF,Alavés,21,2000,0.2,15,8,7,1,0,0,2,6,0,0,0,0,12,0,1,Matches
20,21,Hugo Álvarez,es ESP,FW,Celta Vigo,18,2003,0.1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
21,22,Yeray Álvarez,es ESP,DF,Athletic Club,26,1995,20.7,1019,966,51,50,0,10,3,1,0,0,0,0,832,2,9,Matches
