,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
0,1,Abdelkabir Abqar,ma MAR,DF,Alavés,22,1999,0,,,,,0,,0,0,,16,,,,,,,,,,,,Matches
1,2,Luis Abram,pe PER,DF,Granada,25,1996,8,560,70,16.4,6.2,6,80,4,2,39,12,1.38,8,5,+3,+0.48,+1.11,5.4,8.0,-2.6,-0.42,+0.11,Matches
2,3,Marcos Acuña,ar ARG,DF,Sevilla,29,1991,31,2260,73,66.1,25.1,26,83,17,5,22,1,1.87,32,13,+19,+0.76,+0.45,34.4,22.9,+11.6,+0.46,+0.96,Matches
3,4,Martin Agirregabiria,es ESP,DF,Alavés,25,1996,24,1616,67,47.3,18.0,17,83,11,7,28,13,0.96,13,31,-18,-1.00,-0.20,18.2,29.7,-11.5,-0.64,-0.04,Matches
4,5,Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,4,360,90,10.5,4.0,4,90,4,0,,10,1.25,5,5,0,0.00,-0.21,4.9,6.0,-1.1,-0.29,-0.64,Matches
5,6,Sergio Agüero,ar ARG,FW,Barcelona,33,1988,4,151,38,4.4,1.7,2,65,1,2,11,0,1.00,1,2,-1,-0.60,-1.45,3.8,2.3,+1.5,+0.90,+0.18,Matches
6,7,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,21,2000,1,9,9,0.3,0.1,0,,0,1,9,0,0.00,0,0,0,0.00,+0.29,0.1,0.1,0.0,-0.37,-0.33,Matches
7,8,Joseph Aidoo,gh GHA,DF,Celta Vigo,25,1995,32,2637,82,77.1,29.3,30,87,24,2,7,3,1.22,35,31,+4,+0.14,+0.60,36.6,36.5,+0.1,0.00,+0.34,Matches
8,9,Carlos Akapo,gq EQG,DF,Cádiz,28,1993,25,1844,74,53.9,20.5,21,84,14,4,21,5,1.08,15,27,-12,-0.59,-0.36,23.4,27.9,-4.5,-0.22,+0.08,Matches
9,10,Ilias Akhomach,es ESP,FW,Barcelona,17,2004,2,124,62,3.6,1.4,2,62,0,0,,3,3.00,1,0,+1,+0.73,-0.07,2.1,0.4,+1.7,+1.23,+0.52,Matches
10,11,Paul Akouokou,ci CIV,MF,Betis,23,1997,8,516,65,15.1,5.7,6,82,2,2,11,19,1.38,7,3,+4,+0.70,+0.14,7.2,5.4,+1.8,+0.32,+0.06,Matches
11,12,David Alaba,at AUT,DF,Real Madrid,29,1992,30,2642,88,77.3,29.4,30,88,27,0,,0,2.30,60,26,+34,+1.16,-0.58,60.4,34.0,+26.4,+0.90,+0.41,Matches
12,13,Jony Álamo,es ESP,MF,Elche,19,2001,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
13,14,Tomás Alarcón,cl CHI,MF,Cádiz,22,1999,23,1425,62,41.7,15.8,16,81,9,7,19,5,0.96,12,23,-11,-0.69,-0.47,14.3,24.7,-10.5,-0.66,-0.69,Matches
14,15,Jordi Alba,es ESP,DF,Barcelona,32,1989,30,2644,88,77.3,29.4,30,88,26,0,,1,2.00,54,32,+22,+0.75,-0.18,54.1,32.4,+21.7,+0.74,+0.03,Matches
15,16,Raúl Albiol,es ESP,DF,Villarreal,35,1985,28,2465,88,72.1,27.4,28,88,26,0,,6,1.50,42,25,+17,+0.62,-0.23,45.0,34.3,+10.7,+0.39,-0.17,Matches
16,17,Paco Alcácer,es ESP,FW,Villarreal,27,1993,18,787,44,23.0,8.7,10,65,0,8,17,8,1.44,16,11,+5,+0.57,-0.15,13.6,12.0,+1.6,+0.18,-0.33,Matches
17,18,Rubén Alcaraz,es ESP,MF,Cádiz,30,1991,14,1105,79,32.3,12.3,12,87,10,2,31,0,1.21,10,12,-2,-0.16,+0.38,16.7,13.9,+2.8,+0.23,+0.72,Matches
18,19,Omar Alderete,py PAR,DF,Valencia,24,1996,29,2403,83,70.3,26.7,28,84,20,1,45,3,1.21,32,34,-2,-0.07,+0.19,30.5,34.0,-3.5,-0.13,+0.04,Matches
19,20,Iván Alejo,es ESP,"MF,FW",Cádiz,26,1995,20,1065,53,31.1,11.8,11,73,2,9,29,7,1.20,14,9,+5,+0.42,+1.23,13.6,14.4,-0.8,-0.07,+0.28,Matches
20,21,Pedro Alemañ,es ESP,MF,Valencia,19,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
21,22,Carles Aleñá,es ESP,MF,Getafe,23,1998,33,2320,70,67.8,25.8,30,76,6,3,15,1,1.12,23,20,+3,+0.12,+1.02,20.5,25.3,-4.8,-0.19,+0.14,Matches
22,23,Mircea Alexandru Tirlea,ro ROU,DF,Alavés,21,2000,1,15,15,0.4,0.2,0,,0,1,15,3,0.00,0,0,0,0.00,+0.90,0.0,0.4,-0.4,-2.48,-1.87,Matches
23,24,Alfon,es ESP,FW,Celta Vigo,22,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
24,25,Ángel Algobia,es ESP,MF,Getafe,22,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
25,26,Gastón Álvarez,uy URU,DF,Getafe,21,2000,0,,,,,0,,0,0,,15,,,,,,,,,,,,Matches
26,27,Hugo Álvarez,es ESP,FW,Celta Vigo,18,2003,1,11,11,0.3,0.1,0,,0,1,11,5,3.00,0,0,0,0.00,0.00,0.3,0.0,+0.3,+2.35,+2.43,Matches
27,28,Iker Álvarez,ad AND,GK,Villarreal,20,2001,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
28,29,Yeray Álvarez,es ESP,DF,Athletic Club,26,1995,22,1860,85,54.4,20.7,21,88,20,1,15,6,1.23,20,20,0,0.00,-0.40,31.2,22.1,+9.1,+0.44,+0.33,Matches
29,30,Dani Alves,br BRA,DF,Barcelona,38,1983,14,1098,78,32.1,12.2,13,84,6,1,5,3,2.50,26,10,+16,+1.31,+0.77,20.9,12.7,+8.2,+0.67,-0.09,Matches
30,31,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,19,2001,3,79,26,2.3,0.9,1,63,0,2,8,8,1.00,2,1,+1,+1.14,+1.38,0.8,1.3,-0.4,-0.50,-0.28,Matches
31,32,Amath,sn SEN,"FW,MF",Mallorca,25,1996,19,884,47,25.8,9.8,9,68,1,10,27,4,0.89,10,13,-3,-0.31,+0.55,12.6,12.8,-0.2,-0.03,+0.33,Matches
32,33,Florin Andone,ro ROU,FW,Cádiz,28,1993,5,176,35,5.1,2.0,1,66,0,4,28,14,0.20,1,7,-6,-3.07,-2.79,1.4,4.4,-3.1,-1.57,-1.38,Matches
33,34,Lluis Andreu,es ESP,GK,Elche,22,1999,0,,,,,0,,0,0,,16,,,,,,,,,,,,Matches
34,35,Ángel,es ESP,GK,Granada,19,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
35,36,José Ángel,es ESP,DF,Osasuna,31,1989,23,1083,47,31.7,12.0,12,78,4,11,13,12,1.04,14,20,-6,-0.50,-0.19,14.3,21.9,-7.6,-0.63,-0.60,Matches
36,37,Josep Antoni Gayá,es ESP,DF,Mallorca,21,2000,1,58,58,1.7,0.6,1,58,0,0,,17,0.00,1,4,-3,-4.66,-4.01,1.0,2.6,-1.6,-2.52,-2.29,Matches
37,38,Mauro Arambarri,uy URU,MF,Getafe,25,1995,31,2663,86,77.9,29.6,31,86,27,0,,0,1.23,31,27,+4,+0.14,+1.56,28.1,31.0,-2.9,-0.10,+0.61,Matches
38,39,Arana,es ESP,FW,Villarreal,21,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
39,40,Néstor Araujo,mx MEX,DF,Celta Vigo,29,1991,34,2617,77,76.5,29.1,29,87,24,5,19,3,1.26,32,30,+2,+0.07,+0.29,33.0,34.8,-1.8,-0.06,+0.05,Matches
40,41,Ronald Araújo,uy URU,DF,Barcelona,22,1999,30,2272,76,66.4,25.2,25,86,22,5,25,1,2.13,48,29,+19,+0.75,-0.11,43.6,26.5,+17.1,+0.68,-0.17,Matches
41,42,Iván Arboleda,co COL,GK,Rayo Vallecano,25,1996,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
42,43,Jesús Areso,es ESP,DF,Osasuna,22,1999,3,188,63,5.5,2.1,2,86,1,1,16,15,1.00,2,5,-3,-1.44,-1.13,1.5,5.2,-3.7,-1.75,-1.62,Matches
43,44,Matias Arezo,uy URU,"FW,MF",Granada,18,2002,8,162,20,4.7,1.8,1,71,0,7,13,8,0.25,4,5,-1,-0.56,-0.11,3.4,5.9,-2.5,-1.41,-0.94,Matches
44,45,Santiago Arias,co COL,DF,Granada,29,1992,12,440,37,12.9,4.9,4,78,2,8,16,8,1.50,12,9,+3,+0.61,+1.22,8.7,9.7,-0.9,-0.19,+0.37,Matches
45,46,Juan Artola,es ESP,FW,Athletic Club,21,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
46,47,Santiago Arzamendia,py PAR,MF,Cádiz,23,1998,14,469,34,13.7,5.2,5,61,1,9,18,20,1.50,5,7,-2,-0.38,+0.04,3.4,7.9,-4.5,-0.86,-0.69,Matches
47,48,Sergio Asenjo,es ESP,GK,Villarreal,32,1989,6,540,90,15.8,6.0,6,90,6,0,,30,1.33,13,9,+4,+0.67,-0.02,12.8,11.1,+1.7,+0.28,-0.18,Matches
48,49,Alejandro Asensio,es ESP,FW,Rayo Vallecano,20,2000,2,12,6,0.4,0.1,0,,0,2,6,2,0.00,0,0,0,0.00,+0.29,1.2,0.0,+1.2,+8.08,+8.16,Matches
49,50,Marco Asensio,es ESP,"FW,MF",Real Madrid,25,1996,31,1731,56,50.6,19.2,19,79,7,12,20,2,2.39,42,13,+29,+1.51,+0.44,43.4,25.1,+18.3,+0.95,+0.30,Matches
50,51,Iago Aspas,es ESP,FW,Celta Vigo,33,1987,37,3087,83,90.3,34.3,36,85,26,1,11,0,1.22,41,39,+2,+0.06,+0.60,41.8,45.8,-4.0,-0.12,-0.42,Matches
51,52,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,32,1989,17,1082,64,31.6,12.0,13,74,0,4,29,0,2.24,26,10,+16,+1.33,+0.79,21.4,13.1,+8.4,+0.70,-0.06,Matches
52,53,Ludwig Augustinsson,se SWE,"DF,FW",Sevilla,27,1994,19,793,42,23.2,8.8,9,72,3,10,14,16,1.95,16,13,+3,+0.34,-0.34,10.3,13.6,-3.3,-0.37,-0.66,Matches
53,54,Serge Aurier,ci CIV,DF,Villarreal,28,1992,19,1010,53,29.5,11.2,10,86,8,9,17,2,1.68,22,12,+10,+0.89,+0.29,23.1,16.9,+6.2,+0.55,+0.16,Matches
