,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
0,1,Luis Abram,pe PER,DF,Granada,25,1996,6.2,285,45,178,105,5,4,285,0,0,,0,0,180,1,Matches
1,2,Marcos Acuña,ar ARG,DF,Sevilla,29,1991,25.1,2169,53,635,955,610,18,2169,44,66,66.7,38,27,1467,66,Matches
2,3,Martin Agirregabiria,es ESP,DF,Alavés,25,1996,18.0,950,42,292,444,226,12,950,14,19,73.7,22,8,462,21,Matches
3,4,Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,4.0,92,73,92,0,0,0,92,0,0,,0,0,23,0,Matches
4,5,Sergio Agüero,ar ARG,FW,Barcelona,33,1988,1.7,57,0,1,26,31,15,57,1,2,50.0,4,1,51,9,Matches
5,6,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,21,2000,0.1,4,0,1,2,1,0,4,0,0,,1,0,2,0,Matches
6,7,Joseph Aidoo,gh GHA,DF,Celta Vigo,25,1995,29.3,1827,196,893,895,48,12,1827,9,11,81.8,14,6,1161,3,Matches
7,8,Carlos Akapo,gq EQG,DF,Cádiz,28,1993,20.5,1078,86,403,454,234,9,1078,12,21,57.1,27,9,459,25,Matches
8,9,Ilias Akhomach,es ESP,FW,Barcelona,17,2004,1.4,74,0,8,21,45,6,74,1,3,33.3,1,1,57,3,Matches
9,10,Paul Akouokou,ci CIV,MF,Betis,23,1997,5.7,375,12,73,257,46,3,375,6,8,75.0,2,5,267,3,Matches
10,11,David Alaba,at AUT,DF,Real Madrid,29,1992,29.4,2180,199,910,998,281,41,2180,4,10,40.0,18,3,1695,48,Matches
11,12,Tomás Alarcón,cl CHI,MF,Cádiz,22,1999,15.8,742,55,218,367,164,9,742,4,8,50.0,15,10,359,12,Matches
12,13,Jordi Alba,es ESP,DF,Barcelona,32,1989,29.4,2997,82,658,1459,896,67,2997,6,22,27.3,25,4,2135,118,Matches
13,14,Raúl Albiol,es ESP,DF,Villarreal,35,1985,27.4,1798,255,951,816,38,9,1798,3,4,75.0,7,6,1166,1,Matches
14,15,Paco Alcácer,es ESP,FW,Villarreal,27,1993,8.7,250,2,20,97,133,38,250,5,10,50.0,19,7,158,49,Matches
15,16,Rubén Alcaraz,es ESP,MF,Cádiz,30,1991,12.3,805,18,153,511,154,18,805,11,17,64.7,21,11,524,12,Matches
16,17,Omar Alderete,py PAR,DF,Valencia,24,1996,26.7,1287,184,654,596,56,25,1287,13,14,92.9,19,4,543,3,Matches
17,18,Iván Alejo,es ESP,"MF,FW",Cádiz,26,1995,11.8,515,21,112,182,231,22,515,15,43,34.9,40,17,327,40,Matches
18,19,Carles Aleñá,es ESP,MF,Getafe,23,1998,25.8,1089,9,135,634,332,14,1089,17,35,48.6,45,32,772,60,Matches
19,20,Mircea Alexandru Tirlea,ro ROU,DF,Alavés,21,2000,0.2,17,2,5,10,3,0,17,2,3,66.7,0,0,3,0,Matches
20,21,Hugo Álvarez,es ESP,FW,Celta Vigo,18,2003,0.1,8,0,3,2,3,1,8,0,0,,2,0,4,0,Matches
21,22,Yeray Álvarez,es ESP,DF,Athletic Club,26,1995,20.7,1243,159,609,595,54,13,1243,2,3,66.7,11,3,653,4,Matches
22,23,Dani Alves,br BRA,DF,Barcelona,38,1983,12.2,1162,28,211,682,277,6,1162,12,12,100.0,10,6,793,13,Matches
23,24,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,19,2001,0.9,48,1,11,22,15,3,48,3,4,75.0,2,0,24,2,Matches
24,25,Amath,sn SEN,"FW,MF",Mallorca,25,1996,9.8,322,11,56,132,140,23,322,15,31,48.4,25,19,210,46,Matches
25,26,Florin Andone,ro ROU,FW,Cádiz,28,1993,2.0,61,1,6,26,30,7,61,2,2,100.0,9,3,43,11,Matches
26,27,José Ángel,es ESP,DF,Osasuna,31,1989,12.0,889,34,209,466,226,3,889,20,29,69.0,14,21,512,20,Matches
27,28,Josep Antoni Gayá,es ESP,DF,Mallorca,21,2000,0.6,36,11,28,8,0,0,36,0,0,,1,0,21,0,Matches
28,29,Mauro Arambarri,uy URU,MF,Getafe,25,1995,29.6,1550,32,283,967,327,15,1550,32,50,64.0,42,36,900,34,Matches
29,30,Néstor Araujo,mx MEX,DF,Celta Vigo,29,1991,29.1,1783,180,938,791,67,14,1783,5,8,62.5,11,4,1149,3,Matches
30,31,Ronald Araújo,uy URU,DF,Barcelona,22,1999,25.2,1863,176,784,997,94,28,1863,6,8,75.0,17,6,1323,9,Matches
31,32,Jesús Areso,es ESP,DF,Osasuna,22,1999,2.1,90,6,28,38,24,1,90,0,0,,5,4,27,2,Matches
32,33,Matias Arezo,uy URU,"FW,MF",Granada,18,2002,1.8,66,1,4,21,42,8,66,2,5,40.0,9,3,40,12,Matches
33,34,Santiago Arias,co COL,DF,Granada,29,1992,4.9,274,19,92,91,92,6,274,3,7,42.9,8,3,113,7,Matches
34,35,Santiago Arzamendia,py PAR,MF,Cádiz,23,1998,5.2,242,12,73,99,72,4,242,3,10,30.0,13,6,122,14,Matches
35,36,Sergio Asenjo,es ESP,GK,Villarreal,32,1989,6.0,249,208,248,1,0,0,249,0,0,,0,0,104,0,Matches
36,37,Alejandro Asensio,es ESP,FW,Rayo Vallecano,20,2000,0.1,11,0,1,4,6,2,11,0,0,,2,0,8,0,Matches
37,38,Marco Asensio,es ESP,"FW,MF",Real Madrid,25,1996,19.2,1055,11,91,409,562,79,1055,27,40,67.5,19,25,828,115,Matches
38,39,Iago Aspas,es ESP,FW,Celta Vigo,33,1987,34.3,1679,22,112,678,906,192,1674,51,83,61.4,67,32,1287,263,Matches
39,40,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,32,1989,12.0,341,5,11,163,168,63,341,4,6,66.7,29,8,259,86,Matches
40,41,Ludwig Augustinsson,se SWE,"DF,FW",Sevilla,27,1994,8.8,620,30,217,225,180,11,620,2,2,100.0,12,4,379,17,Matches
41,42,Serge Aurier,ci CIV,DF,Villarreal,28,1992,11.2,851,31,282,377,196,23,851,14,19,73.7,15,11,549,30,Matches
42,43,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,27,1994,20.8,782,20,90,308,393,52,781,18,32,56.3,48,22,550,83,Matches
43,44,Iddrisu Baba,gh GHA,MF,Mallorca,25,1996,21.5,1031,56,331,608,113,8,1031,22,31,71.0,29,20,511,5,Matches
44,45,Carlos Bacca,co COL,FW,Granada,34,1986,5.7,144,7,18,56,73,19,144,7,11,63.6,8,4,96,20,Matches
45,46,Édgar Badía,es ESP,GK,Elche,29,1992,24.0,905,800,901,4,0,0,905,0,0,,1,0,310,0,Matches
46,47,Miguel Baeza,es ESP,DF,Celta Vigo,21,2000,0.0,5,0,0,3,2,0,5,0,0,,0,0,4,0,Matches
47,48,Alejandro Balde,es ESP,"DF,FW",Barcelona,17,2003,2.1,177,2,23,95,59,6,177,1,5,20.0,4,3,142,6,Matches
48,49,Gareth Bale,wls WAL,FW,Real Madrid,32,1989,3.1,97,0,12,32,53,13,97,1,4,25.0,5,2,73,8,Matches
49,50,Mikel Balenziaga,es ESP,DF,Athletic Club,33,1988,22.5,1210,87,363,606,251,10,1210,6,12,50.0,13,12,563,21,Matches
50,51,Iván Balliu,al ALB,DF,Rayo Vallecano,29,1992,35.0,2069,88,531,929,641,37,2069,22,54,40.7,40,20,1095,46,Matches
51,52,Barbero,es ESP,"FW,MF",Osasuna,22,1998,0.2,18,1,1,6,11,3,18,0,0,,5,2,14,3,Matches
52,53,Barcia,es ESP,DF,Granada,20,2000,0.8,26,1,13,12,1,0,26,0,0,,0,1,8,0,Matches
53,54,Enis Bardhi,mk MKD,"MF,FW",Levante,26,1995,18.9,982,12,124,423,449,40,980,38,74,51.4,52,32,661,73,Matches
