,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
0,1,José Abella,mx MEX,DF,Atlas,27,1994,11.6,21,20,13,7,1,14,27,51.9,13,11,2,9,15,36,21,0,Matches
1,2,Diego Abitia,mx MEX,FW,Toluca,18,2003,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
2,3,Clifford Aboagye,gh GHA,MF,Puebla,26,1995,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
3,4,Luis Abram,pe PER,DF,Cruz Azul,25,1996,8.4,3,2,2,1,0,3,5,60.0,2,12,6,6,9,12,24,0,Matches
4,5,Carlos Acevedo,mx MEX,GK,Santos,25,1996,26.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,8,0,Matches
5,6,Daniel Aceves,mx MEX,DF,Pachuca,20,2001,15.5,36,22,21,14,1,19,21,90.5,2,19,5,14,17,53,36,0,Matches
6,7,Sergio Adrián Flores,mx MEX,MF,Guadalajara,26,1995,23.5,75,43,31,39,5,35,66,53.0,31,44,15,29,32,107,39,0,Matches
7,8,Juan Agüayo,mx MEX,MF,Guadalajara,24,1997,1.5,2,0,0,2,0,2,5,40.0,3,2,1,1,2,4,2,0,Matches
8,9,Juan Agüayo,mx MEX,DF,UNAM,24,1997,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
9,10,Washington Aguerre,uy URU,GK,Querétaro,28,1993,31.9,0,0,0,0,0,0,1,0.0,1,2,0,2,1,1,19,0,Matches
10,11,Daniel Aguilar,mx MEX,MF,Puebla,23,1998,2.0,5,2,1,4,0,3,3,100.0,0,1,0,1,2,7,0,0,Matches
11,12,Paul Aguilar,mx MEX,"DF,MF",FC Juárez,35,1986,4.6,6,4,2,4,0,5,9,55.6,4,5,0,5,8,14,9,0,Matches
12,13,Emanuel Aguilera,ar ARG,DF,América,32,1989,10.0,5,5,5,0,0,3,4,75.0,1,5,3,2,18,23,30,0,Matches
13,14,Emanuel Aguilera,ar ARG,DF,Atlas,32,1989,7.0,11,5,6,5,0,8,11,72.7,3,6,3,3,10,21,16,0,Matches
14,15,Eduardo Aguirre,mx MEX,FW,Santos,22,1998,20.4,17,11,2,12,3,2,14,14.3,12,22,2,20,6,23,9,0,Matches
15,16,Érick Aguirre,mx MEX,"DF,MF",Monterrey,24,1997,17.3,53,34,34,16,3,26,44,59.1,18,9,2,7,26,79,30,1,Matches
16,17,Gaddi Aguirre,mx MEX,DF,Atlas,25,1996,10.9,17,16,10,5,2,10,14,71.4,4,12,5,7,22,39,26,0,Matches
17,18,Rodrigo Aguirre,uy URU,FW,Necaxa,26,1994,24.0,23,13,6,14,3,6,18,33.3,12,11,1,10,3,26,22,0,Matches
18,19,Oswaldo Alanís,mx MEX,DF,Mazatlán,32,1989,9.0,9,6,4,5,0,5,6,83.3,1,11,7,4,15,24,22,1,Matches
19,20,Ricardo Alba,mx MEX,FW,Atlético,19,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
20,21,Jesús Alberto Angulo,mx MEX,DF,Atlas,23,1998,11.9,32,21,14,18,0,17,25,68.0,8,14,6,8,27,59,17,0,Matches
21,22,Jesús Alberto Angulo,mx MEX,DF,UANL,23,1998,16.1,29,20,17,11,1,15,23,65.2,8,19,13,6,29,58,47,0,Matches
22,23,Gil Alcalá,mx MEX,GK,Tijuana,29,1992,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
23,24,Jesús Alcantar Rodríguez,mx MEX,DF,Necaxa,18,2003,0.3,3,2,3,0,0,2,2,100.0,0,0,0,0,2,5,2,0,Matches
24,25,Adrián Aldrete,mx MEX,DF,Cruz Azul,33,1988,15.2,35,19,20,13,2,23,34,67.6,11,15,3,12,10,45,30,0,Matches
25,26,Daniel Alexis Parra,mx MEX,DF,Monterrey,22,1999,4.3,14,11,6,6,2,8,10,80.0,2,4,1,3,3,17,5,0,Matches
26,27,Luis Alfonso Rodríguez,mx MEX,"DF,MF",UANL,30,1991,14.9,38,23,18,14,6,19,40,47.5,21,17,6,11,18,56,24,0,Matches
27,28,David Alfredo Andrade,mx MEX,DF,Santos,28,1993,7.6,3,2,1,2,0,3,6,50.0,3,8,0,8,5,8,9,0,Matches
28,29,Carlos Alonso Vargas,mx MEX,"DF,MF",Mazatlán,22,1999,21.8,65,29,33,30,2,28,54,51.9,26,24,11,13,50,115,81,0,Matches
29,30,Alfonso Alvarado,mx MEX,"FW,MF",Monterrey,21,2000,5.3,6,5,2,4,0,2,6,33.3,4,2,0,2,0,6,3,0,Matches
30,31,Roberto Alvarado,mx MEX,"DF,MF",Cruz Azul,22,1998,10.1,20,13,6,13,1,14,31,45.2,17,9,0,9,15,35,10,0,Matches
31,32,Roberto Alvarado,mx MEX,"FW,MF",Guadalajara,22,1998,14.2,24,15,9,10,5,12,23,52.2,11,12,1,11,8,32,8,0,Matches
32,33,Ventura Alvarado,us USA,DF,FC Juárez,28,1992,8.7,8,4,4,4,0,5,11,45.5,6,4,2,2,10,18,23,1,Matches
33,34,Alek Álvarez,mx MEX,"MF,FW",UNAM,18,2003,2.3,8,6,3,2,3,4,7,57.1,3,4,0,4,1,9,1,0,Matches
34,35,Fabio Álvarez,ar ARG,"MF,FW",UNAM,28,1993,19.8,41,21,18,18,5,18,44,40.9,26,23,1,22,17,58,15,0,Matches
35,36,Kevin Álvarez,mx MEX,DF,Pachuca,22,1999,30.4,57,35,32,15,10,27,56,48.2,29,33,12,21,23,80,48,1,Matches
36,37,Daniel Álvarez López,mx MEX,"FW,MF",Toluca,27,1994,6.3,10,4,3,5,2,7,12,58.3,5,6,0,6,3,13,2,0,Matches
