,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
0,1,José Abella,mx MEX,DF,Atlas,27,1994,11.6,29,2.74,21,3,1,0,2,2,2,0.19,2,0,0,0,0,0,Matches
1,2,Diego Abitia,mx MEX,FW,Toluca,18,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2,3,Clifford Aboagye,gh GHA,MF,Puebla,26,1995,0.2,3,18.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3,4,Luis Abram,pe PER,DF,Cruz Azul,25,1996,8.4,4,0.48,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4,5,Carlos Acevedo,mx MEX,GK,Santos,25,1996,26.0,5,0.19,3,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5,6,Daniel Aceves,mx MEX,DF,Pachuca,20,2001,15.5,23,1.49,18,3,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
6,7,Sergio Adrián Flores,mx MEX,MF,Guadalajara,26,1995,23.5,40,1.70,35,0,0,1,0,4,2,0.09,2,0,0,0,0,0,Matches
7,8,Juan Agüayo,mx MEX,MF,Guadalajara,24,1997,1.5,1,0.67,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
8,9,Juan Agüayo,mx MEX,DF,UNAM,24,1997,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
9,10,Washington Aguerre,uy URU,GK,Querétaro,28,1993,31.9,6,0.19,3,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
10,11,Daniel Aguilar,mx MEX,MF,Puebla,23,1998,2.0,4,2.03,2,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
11,12,Paul Aguilar,mx MEX,"DF,MF",FC Juárez,35,1986,4.6,3,0.65,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
12,13,Emanuel Aguilera,ar ARG,DF,América,32,1989,10.0,8,0.80,5,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
13,14,Emanuel Aguilera,ar ARG,DF,Atlas,32,1989,7.0,1,0.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
14,15,Eduardo Aguirre,mx MEX,FW,Santos,22,1998,20.4,61,3.00,35,1,7,9,9,0,2,0.10,1,0,0,0,1,0,Matches
15,16,Érick Aguirre,mx MEX,"DF,MF",Monterrey,24,1997,17.3,46,2.66,39,2,1,0,1,3,2,0.12,2,0,0,0,0,0,Matches
16,17,Gaddi Aguirre,mx MEX,DF,Atlas,25,1996,10.9,5,0.50,2,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
17,18,Rodrigo Aguirre,uy URU,FW,Necaxa,26,1994,24.0,57,2.38,31,0,5,11,9,1,7,0.29,6,0,0,1,0,0,Matches
18,19,Oswaldo Alanís,mx MEX,DF,Mazatlán,32,1989,9.0,10,1.03,7,2,0,1,0,0,1,0.10,0,0,0,1,0,0,Matches
19,20,Ricardo Alba,mx MEX,FW,Atlético,19,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
20,21,Jesús Alberto Angulo,mx MEX,DF,Atlas,23,1998,11.9,21,1.77,17,3,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
21,22,Jesús Alberto Angulo,mx MEX,DF,UANL,23,1998,16.1,18,1.12,13,0,2,0,3,0,4,0.25,4,0,0,0,0,0,Matches
22,23,Gil Alcalá,mx MEX,GK,Tijuana,29,1992,6.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
23,24,Jesús Alcantar Rodríguez,mx MEX,DF,Necaxa,18,2003,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
