,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
0,1,José Abella,mx MEX,DF,Atlas,27,1994,11.6,2,0,0,6,9,0,34,15,20,0,0,0,41,16,12,57.1,Matches
1,2,Diego Abitia,mx MEX,FW,Toluca,18,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
2,3,Clifford Aboagye,gh GHA,MF,Puebla,26,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
3,4,Luis Abram,pe PER,DF,Cruz Azul,25,1996,8.4,0,0,0,5,2,1,2,9,2,0,0,0,25,18,11,62.1,Matches
4,5,Carlos Acevedo,mx MEX,GK,Santos,25,1996,26.0,1,0,0,1,3,0,0,0,0,0,1,0,33,4,1,80.0,Matches
5,6,Daniel Aceves,mx MEX,DF,Pachuca,20,2001,15.5,3,0,0,14,10,0,44,17,22,0,0,0,92,21,27,43.8,Matches
6,7,Sergio Adrián Flores,mx MEX,MF,Guadalajara,26,1995,23.5,3,0,0,36,12,0,3,32,43,0,0,0,171,50,29,63.3,Matches
7,8,Juan Agüayo,mx MEX,MF,Guadalajara,24,1997,1.5,0,0,0,2,0,0,3,2,0,0,0,0,4,2,0,100.0,Matches
8,9,Juan Agüayo,mx MEX,DF,UNAM,24,1997,0.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,Matches
9,10,Washington Aguerre,uy URU,GK,Querétaro,28,1993,31.9,9,0,0,1,1,0,0,1,0,0,1,0,50,14,0,100.0,Matches
10,11,Daniel Aguilar,mx MEX,MF,Puebla,23,1998,2.0,0,0,0,1,3,0,0,2,2,0,0,0,9,4,3,57.1,Matches
11,12,Paul Aguilar,mx MEX,"DF,MF",FC Juárez,35,1986,4.6,1,0,0,4,7,1,4,8,4,0,0,0,18,5,5,50.0,Matches
12,13,Emanuel Aguilera,ar ARG,DF,América,32,1989,10.0,2,2,0,7,5,0,0,18,5,0,1,0,58,25,13,65.8,Matches
13,14,Emanuel Aguilera,ar ARG,DF,Atlas,32,1989,7.0,0,0,0,13,1,0,1,10,5,0,0,0,36,14,5,73.7,Matches
14,15,Eduardo Aguirre,mx MEX,FW,Santos,22,1998,20.4,3,0,0,35,38,3,8,6,11,1,0,0,68,33,87,27.5,Matches
15,16,Érick Aguirre,mx MEX,"DF,MF",Monterrey,24,1997,17.3,1,0,0,25,9,2,34,26,34,0,0,0,96,14,14,50.0,Matches
16,17,Gaddi Aguirre,mx MEX,DF,Atlas,25,1996,10.9,6,0,0,17,9,1,2,22,16,0,1,0,54,40,22,64.5,Matches
17,18,Rodrigo Aguirre,uy URU,FW,Necaxa,26,1994,24.0,7,0,0,63,28,6,31,3,13,0,1,0,60,111,94,54.1,Matches
18,19,Oswaldo Alanís,mx MEX,DF,Mazatlán,32,1989,9.0,1,0,0,5,1,0,4,15,6,0,0,0,35,29,14,67.4,Matches
19,20,Ricardo Alba,mx MEX,FW,Atlético,19,2002,0.2,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,100.0,Matches
20,21,Jesús Alberto Angulo,mx MEX,DF,Atlas,23,1998,11.9,2,0,0,26,19,0,16,27,21,0,0,0,63,24,12,66.7,Matches
21,22,Jesús Alberto Angulo,mx MEX,DF,UANL,23,1998,16.1,2,0,0,28,31,0,6,29,20,0,1,0,96,25,24,51.0,Matches
22,23,Gil Alcalá,mx MEX,GK,Tijuana,29,1992,6.0,1,0,0,1,0,0,0,0,0,0,1,0,5,1,1,50.0,Matches
23,24,Jesús Alcantar Rodríguez,mx MEX,DF,Necaxa,18,2003,0.3,0,0,0,0,0,0,0,2,2,0,0,0,2,0,1,0.0,Matches
24,25,Adrián Aldrete,mx MEX,DF,Cruz Azul,33,1988,15.2,1,0,0,6,14,1,30,10,19,0,0,0,61,17,10,63.0,Matches
25,26,Daniel Alexis Parra,mx MEX,DF,Monterrey,22,1999,4.3,0,0,0,2,1,0,8,3,11,0,0,0,23,8,5,61.5,Matches
26,27,Luis Alfonso Rodríguez,mx MEX,"DF,MF",UANL,30,1991,14.9,6,1,1,31,11,0,38,18,23,0,0,0,84,8,16,33.3,Matches
27,28,David Alfredo Andrade,mx MEX,DF,Santos,28,1993,7.6,2,0,0,9,6,0,24,5,2,0,0,0,35,12,15,44.4,Matches
28,29,Carlos Alonso Vargas,mx MEX,"DF,MF",Mazatlán,22,1999,21.8,1,0,0,24,17,1,12,50,29,0,2,0,115,35,22,61.4,Matches
29,30,Alfonso Alvarado,mx MEX,"FW,MF",Monterrey,21,2000,5.3,0,0,0,6,13,4,2,0,5,0,0,0,13,16,27,37.2,Matches
30,31,Roberto Alvarado,mx MEX,"DF,MF",Cruz Azul,22,1998,10.1,3,0,0,20,11,0,17,15,13,0,0,0,58,14,12,53.8,Matches
31,32,Roberto Alvarado,mx MEX,"FW,MF",Guadalajara,22,1998,14.2,3,0,0,14,32,1,31,8,15,0,0,0,83,17,23,42.5,Matches
32,33,Ventura Alvarado,us USA,DF,FC Juárez,28,1992,8.7,3,0,0,14,1,0,1,10,4,0,1,1,27,19,16,54.3,Matches
33,34,Alek Álvarez,mx MEX,"MF,FW",UNAM,18,2003,2.3,0,0,0,2,5,0,12,1,6,0,0,0,11,1,1,50.0,Matches
34,35,Fabio Álvarez,ar ARG,"MF,FW",UNAM,28,1993,19.8,4,1,0,23,26,1,9,17,21,0,1,0,103,17,19,47.2,Matches
35,36,Kevin Álvarez,mx MEX,DF,Pachuca,22,1999,30.4,3,1,0,38,31,2,84,23,35,1,1,0,156,33,34,49.3,Matches
36,37,Daniel Álvarez López,mx MEX,"FW,MF",Toluca,27,1994,6.3,0,0,0,8,11,1,8,3,4,0,0,0,24,6,11,35.3,Matches
37,38,Daniel Álvarez López,mx MEX,"FW,MF",Puebla,27,1994,8.7,1,0,0,13,15,3,22,7,4,0,0,0,29,13,9,59.1,Matches
38,39,Daniel Amador,mx MEX,"FW,MF",Mazatlán,24,1997,4.3,1,0,0,7,10,0,8,1,5,0,0,0,19,4,18,18.2,Matches
39,40,Fidel Ambríz,mx MEX,MF,León,18,2003,10.7,2,0,0,17,10,2,3,4,16,0,0,0,57,24,19,55.8,Matches
40,41,Esteban Andrada,ar ARG,GK,Monterrey,30,1991,31.0,5,0,0,2,2,0,0,1,0,0,1,1,30,7,0,100.0,Matches
41,42,Miguel Ángel Herrera,mx MEX,DF,Pachuca,32,1989,8.1,2,1,0,8,6,1,2,16,4,0,0,0,32,24,18,57.1,Matches
42,43,Luis Ángel Mendoza,mx MEX,"FW,MF",Cruz Azul,31,1990,2.9,0,0,0,1,1,0,9,3,3,0,0,0,17,1,6,14.3,Matches
43,44,Miguel Ángel Ponce,mx MEX,DF,Guadalajara,32,1989,15.2,3,1,0,18,12,0,15,18,14,0,0,0,77,11,12,47.8,Matches
44,45,Brayan Angulo,ec ECU,FW,Cruz Azul,25,1995,14.4,2,0,0,13,24,3,5,4,6,1,0,0,39,27,43,38.6,Matches
45,46,Brayan Angulo,co COL,DF,Tijuana,31,1989,30.3,6,0,0,36,17,2,81,44,42,0,1,0,182,48,60,44.4,Matches
46,47,Jesús Angulo,mx MEX,"MF,FW",Guadalajara,24,1997,26.5,1,0,0,16,39,3,38,7,13,0,0,0,135,10,17,37.0,Matches
47,48,Francisco Antonio Figueroa,mx MEX,"FW,MF",Pachuca,22,1999,3.5,0,0,0,2,6,0,21,3,3,0,0,0,16,0,1,0.0,Matches
48,49,Francisco Antonio Figueroa,mx MEX,"MF,FW",Querétaro,22,1999,1.0,0,0,0,0,1,0,8,0,1,0,0,0,8,0,1,0.0,Matches
49,50,Jorge Antonio Padilla,mx MEX,DF,Mazatlán,27,1993,22.1,7,1,0,29,28,0,36,32,27,0,2,0,102,50,40,55.6,Matches
50,51,José Antonio Rodríguez,mx MEX,GK,Guadalajara,29,1992,5.0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,66.7,Matches
51,52,José Antonio Rodríguez,mx MEX,GK,Querétaro,29,1992,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
52,53,Uriel Antuna,mx MEX,"FW,MF",Cruz Azul,23,1997,14.0,2,0,0,14,30,7,76,14,6,3,0,0,46,8,18,30.8,Matches
53,54,Uriel Antuna,mx MEX,"FW,MF",Guadalajara,23,1997,9.6,2,0,0,5,24,5,41,7,6,0,0,0,29,8,10,44.4,Matches
54,55,Javier Aquino,mx MEX,"DF,MF",UANL,31,1990,32.9,4,0,0,28,61,1,84,71,59,0,0,0,204,30,25,54.5,Matches
55,56,Pedro Aquino,pe PER,MF,América,26,1995,15.4,5,0,0,40,24,0,0,26,29,0,0,0,110,51,34,60.0,Matches
56,57,Ángelo Araos,cl CHI,"MF,FW",Necaxa,24,1997,5.2,1,0,0,13,7,0,9,4,7,0,0,0,30,6,8,42.9,Matches
57,58,Maximiliano Araújo,uy URU,"MF,DF",Puebla,21,2000,29.2,2,0,0,40,84,7,113,20,24,0,1,0,164,19,27,41.3,Matches
