,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
0,1,José Abella,mx MEX,DF,Atlas,27,1994,11.6,314,444,70.7,6380,2551,122,149,81.9,130,171,76.0,57,105,54.3,1,1.0,1.3,0.0,10,26,14,8,28,Matches
1,2,Diego Abitia,mx MEX,FW,Toluca,18,2003,0.0,1,2,50.0,19,0,0,1,0.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
2,3,Clifford Aboagye,gh GHA,MF,Puebla,26,1995,0.2,9,10,90.0,195,90,3,3,100.0,4,4,100.0,2,3,66.7,0,0.1,0.0,-0.1,2,3,0,0,2,Matches
3,4,Luis Abram,pe PER,DF,Cruz Azul,25,1996,8.4,264,323,81.7,5740,2242,61,67,91.0,165,185,89.2,34,65,52.3,1,0.1,0.1,+0.9,2,17,0,0,15,Matches
4,5,Carlos Acevedo,mx MEX,GK,Santos,25,1996,26.0,398,665,59.8,13452,11346,70,71,98.6,158,163,96.9,167,425,39.3,0,0.0,0.1,0.0,0,17,0,0,0,Matches
5,6,Daniel Aceves,mx MEX,DF,Pachuca,20,2001,15.5,515,677,76.1,8871,4323,266,303,87.8,206,271,76.0,41,72,56.9,0,1.1,0.7,-1.1,13,48,10,9,36,Matches
6,7,Sergio Adrián Flores,mx MEX,MF,Guadalajara,26,1995,23.5,1057,1292,81.8,19882,8406,395,456,86.6,531,617,86.1,112,171,65.5,0,0.6,0.8,-0.6,10,129,6,0,109,Matches
7,8,Juan Agüayo,mx MEX,MF,Guadalajara,24,1997,1.5,38,57,66.7,598,286,21,24,87.5,16,22,72.7,1,8,12.5,0,0.2,0.2,-0.2,1,3,2,1,4,Matches
8,9,Juan Agüayo,mx MEX,DF,UNAM,24,1997,0.5,18,27,66.7,303,128,12,16,75.0,4,6,66.7,2,5,40.0,0,0.0,0.0,0.0,0,1,1,1,0,Matches
9,10,Washington Aguerre,uy URU,GK,Querétaro,28,1993,31.9,549,907,60.5,19518,15595,59,59,100.0,226,229,98.7,262,615,42.6,0,0.0,0.1,0.0,1,30,0,0,0,Matches
10,11,Daniel Aguilar,mx MEX,MF,Puebla,23,1998,2.0,62,77,80.5,1261,397,15,19,78.9,37,42,88.1,9,12,75.0,0,0.1,0.0,-0.1,2,4,1,0,6,Matches
11,12,Paul Aguilar,mx MEX,"DF,MF",FC Juárez,35,1986,4.6,133,172,77.3,2359,1019,55,66,83.3,65,74,87.8,12,24,50.0,0,0.1,0.1,-0.1,2,13,0,0,21,Matches
12,13,Emanuel Aguilera,ar ARG,DF,América,32,1989,10.0,454,525,86.5,10365,3626,109,122,89.3,264,278,95.0,80,118,67.8,0,0.0,0.1,0.0,0,22,0,0,16,Matches
13,14,Emanuel Aguilera,ar ARG,DF,Atlas,32,1989,7.0,236,312,75.6,4762,2276,81,88,92.0,119,147,81.0,36,73,49.3,0,0.1,0.1,-0.1,1,25,1,0,19,Matches
14,15,Eduardo Aguirre,mx MEX,FW,Santos,22,1998,20.4,264,376,70.2,3294,670,161,207,77.8,71,98,72.4,6,12,50.0,1,1.6,1.7,-0.6,17,15,10,0,25,Matches
15,16,Érick Aguirre,mx MEX,"DF,MF",Monterrey,24,1997,17.3,599,770,77.8,10936,4600,277,329,84.2,244,295,82.7,72,115,62.6,0,1.0,1.6,-1.0,15,46,25,8,53,Matches
16,17,Gaddi Aguirre,mx MEX,DF,Atlas,25,1996,10.9,403,506,79.6,8461,3691,118,141,83.7,222,252,88.1,59,102,57.8,0,0.1,0.1,-0.1,2,41,0,0,28,Matches
17,18,Rodrigo Aguirre,uy URU,FW,Necaxa,26,1994,24.0,283,456,62.1,4331,952,165,237,69.6,89,141,63.1,19,33,57.6,4,3.6,2.1,+0.4,23,21,17,5,31,Matches
18,19,Oswaldo Alanís,mx MEX,DF,Mazatlán,32,1989,9.0,357,456,78.3,7944,3638,109,127,85.8,167,196,85.2,79,116,68.1,0,0.2,0.2,-0.2,2,23,1,1,19,Matches
19,20,Ricardo Alba,mx MEX,FW,Atlético,19,2002,0.2,0,1,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
20,21,Jesús Alberto Angulo,mx MEX,DF,Atlas,23,1998,11.9,460,590,78.0,9406,4296,144,160,90.0,250,282,88.7,61,128,47.7,0,0.3,0.4,-0.3,7,80,8,4,60,Matches
21,22,Jesús Alberto Angulo,mx MEX,DF,UANL,23,1998,16.1,681,789,86.3,13500,5201,215,238,90.3,392,424,92.5,69,109,63.3,1,0.1,0.2,+0.9,4,55,2,0,35,Matches
22,23,Gil Alcalá,mx MEX,GK,Tijuana,29,1992,6.0,96,146,65.8,3158,2488,9,9,100.0,49,49,100.0,37,87,42.5,0,0.0,0.0,0.0,0,1,0,0,0,Matches
23,24,Jesús Alcantar Rodríguez,mx MEX,DF,Necaxa,18,2003,0.3,10,13,76.9,225,109,4,4,100.0,4,4,100.0,2,5,40.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
24,25,Adrián Aldrete,mx MEX,DF,Cruz Azul,33,1988,15.2,543,712,76.3,10983,4877,179,208,86.1,280,323,86.7,75,154,48.7,1,0.6,0.5,+0.4,6,47,4,3,28,Matches
25,26,Daniel Alexis Parra,mx MEX,DF,Monterrey,22,1999,4.3,125,168,74.4,1992,895,70,78,89.7,44,58,75.9,8,22,36.4,0,0.3,0.4,-0.3,3,6,4,1,10,Matches
26,27,Luis Alfonso Rodríguez,mx MEX,"DF,MF",UANL,30,1991,14.9,699,864,80.9,12401,4198,311,344,90.4,305,360,84.7,71,119,59.7,0,1.4,1.3,-1.4,12,53,12,5,47,Matches
27,28,David Alfredo Andrade,mx MEX,DF,Santos,28,1993,7.6,222,326,68.1,3928,1795,114,134,85.1,76,107,71.0,26,56,46.4,1,0.8,0.9,+0.2,13,25,11,5,24,Matches
28,29,Carlos Alonso Vargas,mx MEX,"DF,MF",Mazatlán,22,1999,21.8,566,801,70.7,10912,4754,211,256,82.4,281,352,79.8,70,159,44.0,1,0.4,0.5,+0.6,4,39,4,2,31,Matches
29,30,Alfonso Alvarado,mx MEX,"FW,MF",Monterrey,21,2000,5.3,75,98,76.5,1085,220,37,45,82.2,29,35,82.9,5,6,83.3,0,0.2,0.4,-0.2,5,6,4,1,6,Matches
30,31,Roberto Alvarado,mx MEX,"DF,MF",Cruz Azul,22,1998,10.1,408,510,80.0,6682,1972,209,233,89.7,165,197,83.8,29,54,53.7,1,0.3,0.6,+0.7,7,30,7,0,36,Matches
31,32,Roberto Alvarado,mx MEX,"FW,MF",Guadalajara,22,1998,14.2,432,575,75.1,7078,2104,228,270,84.4,147,179,82.1,42,75,56.0,4,2.4,2.0,+1.6,18,42,14,3,53,Matches
32,33,Ventura Alvarado,us USA,DF,FC Juárez,28,1992,8.7,229,319,71.8,4652,1880,71,87,81.6,120,149,80.5,34,70,48.6,0,0.2,0.3,-0.2,3,10,3,1,10,Matches
33,34,Alek Álvarez,mx MEX,"MF,FW",UNAM,18,2003,2.3,68,82,82.9,1206,305,32,36,88.9,27,30,90.0,6,9,66.7,1,0.2,0.3,+0.8,2,4,4,3,2,Matches
34,35,Fabio Álvarez,ar ARG,"MF,FW",UNAM,28,1993,19.8,782,980,79.8,14452,3905,330,394,83.8,325,370,87.8,106,153,69.3,3,4.0,2.4,-1.0,44,134,31,0,115,Matches
35,36,Kevin Álvarez,mx MEX,DF,Pachuca,22,1999,30.4,947,1329,71.3,16945,7424,424,505,84.0,412,550,74.9,98,207,47.3,4,3.4,3.3,+0.6,34,91,31,11,98,Matches
36,37,Daniel Álvarez López,mx MEX,"FW,MF",Toluca,27,1994,6.3,150,204,73.5,2170,639,90,105,85.7,50,67,74.6,6,13,46.2,0,0.5,0.5,-0.5,8,13,4,2,13,Matches
37,38,Daniel Álvarez López,mx MEX,"FW,MF",Puebla,27,1994,8.7,152,228,66.7,2804,996,66,82,80.5,61,92,66.3,21,36,58.3,2,2.2,0.9,-0.2,19,31,4,2,23,Matches
38,39,Daniel Amador,mx MEX,"FW,MF",Mazatlán,24,1997,4.3,81,125,64.8,1335,426,40,56,71.4,28,38,73.7,10,23,43.5,1,0.6,0.3,+0.4,8,15,5,0,17,Matches
39,40,Fidel Ambríz,mx MEX,MF,León,18,2003,10.7,441,541,81.5,8014,2312,170,206,82.5,227,258,88.0,39,56,69.6,0,0.5,0.5,-0.5,8,22,5,2,27,Matches
