,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
0,1,José Abella,mx MEX,DF,Atlas,27,1994,11.6,444,350,94,4,0,7,34,90,0,0,0,0,314,0,12,Matches
1,2,Diego Abitia,mx MEX,FW,Toluca,18,2003,0.0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Matches
2,3,Clifford Aboagye,gh GHA,MF,Puebla,26,1995,0.2,10,10,0,0,0,0,0,0,0,0,0,0,9,0,0,Matches
3,4,Luis Abram,pe PER,DF,Cruz Azul,25,1996,8.4,323,305,18,10,0,7,2,7,1,0,1,0,264,0,1,Matches
4,5,Carlos Acevedo,mx MEX,GK,Santos,25,1996,26.0,665,342,321,70,0,0,0,0,0,0,0,0,398,2,0,Matches
5,6,Daniel Aceves,mx MEX,DF,Pachuca,20,2001,15.5,677,488,186,12,0,4,44,174,0,0,0,0,515,3,18,Matches
6,7,Sergio Adrián Flores,mx MEX,MF,Guadalajara,26,1995,23.5,1292,1229,59,51,0,8,3,8,0,0,0,0,1057,4,14,Matches
7,8,Juan Agüayo,mx MEX,MF,Guadalajara,24,1997,1.5,57,49,8,0,0,0,3,8,0,0,0,0,38,0,3,Matches
8,9,Juan Agüayo,mx MEX,DF,UNAM,24,1997,0.5,27,23,4,2,0,0,1,2,0,0,0,0,18,0,0,Matches
9,10,Washington Aguerre,uy URU,GK,Querétaro,28,1993,31.9,907,546,359,73,0,3,0,0,0,0,0,0,549,2,0,Matches
10,11,Daniel Aguilar,mx MEX,MF,Puebla,23,1998,2.0,77,74,3,1,0,2,0,2,0,0,0,0,62,0,1,Matches
11,12,Paul Aguilar,mx MEX,"DF,MF",FC Juárez,35,1986,4.6,172,146,25,2,1,0,4,23,0,0,0,0,133,1,5,Matches
12,13,Emanuel Aguilera,ar ARG,DF,América,32,1989,10.0,525,485,40,32,1,10,0,8,0,0,0,0,454,0,3,Matches
13,14,Emanuel Aguilera,ar ARG,DF,Atlas,32,1989,7.0,312,241,69,13,0,9,1,56,0,0,0,0,236,2,2,Matches
14,15,Eduardo Aguirre,mx MEX,FW,Santos,22,1998,20.4,376,351,21,0,1,0,8,5,0,0,0,0,264,4,17,Matches
15,16,Érick Aguirre,mx MEX,"DF,MF",Monterrey,24,1997,17.3,770,644,123,7,0,7,34,116,0,0,0,0,599,3,17,Matches
16,17,Gaddi Aguirre,mx MEX,DF,Atlas,25,1996,10.9,506,422,82,12,1,8,2,70,0,0,0,0,403,2,4,Matches
17,18,Rodrigo Aguirre,uy URU,FW,Necaxa,26,1994,24.0,456,418,35,0,0,2,31,3,0,0,0,0,283,3,14,Matches
18,19,Oswaldo Alanís,mx MEX,DF,Mazatlán,32,1989,9.0,456,424,31,20,0,5,4,7,1,1,0,0,357,1,5,Matches
19,20,Ricardo Alba,mx MEX,FW,Atlético,19,2002,0.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
20,21,Jesús Alberto Angulo,mx MEX,DF,Atlas,23,1998,11.9,590,488,102,16,0,6,16,83,3,2,1,0,460,0,11,Matches
21,22,Jesús Alberto Angulo,mx MEX,DF,UANL,23,1998,16.1,789,731,56,24,0,5,6,32,0,0,0,0,681,2,6,Matches
22,23,Gil Alcalá,mx MEX,GK,Tijuana,29,1992,6.0,146,85,61,14,0,0,0,0,0,0,0,0,96,0,0,Matches
23,24,Jesús Alcantar Rodríguez,mx MEX,DF,Necaxa,18,2003,0.3,13,12,1,1,0,1,0,0,0,0,0,0,10,0,0,Matches
24,25,Adrián Aldrete,mx MEX,DF,Cruz Azul,33,1988,15.2,712,584,125,22,0,7,30,100,3,0,3,0,543,3,11,Matches
25,26,Daniel Alexis Parra,mx MEX,DF,Monterrey,22,1999,4.3,168,123,45,3,1,2,8,42,0,0,0,0,125,0,6,Matches
26,27,Luis Alfonso Rodríguez,mx MEX,"DF,MF",UANL,30,1991,14.9,864,718,144,12,1,3,38,132,0,0,0,0,699,2,18,Matches
27,28,David Alfredo Andrade,mx MEX,DF,Santos,28,1993,7.6,326,274,52,3,0,2,24,49,0,0,0,0,222,0,14,Matches
28,29,Carlos Alonso Vargas,mx MEX,"DF,MF",Mazatlán,22,1999,21.8,801,674,124,20,0,7,12,104,0,0,0,0,566,3,18,Matches
29,30,Alfonso Alvarado,mx MEX,"FW,MF",Monterrey,21,2000,5.3,98,93,5,0,0,0,2,1,0,0,0,0,75,0,2,Matches
30,31,Roberto Alvarado,mx MEX,"DF,MF",Cruz Azul,22,1998,10.1,510,455,53,11,0,2,17,37,5,1,3,0,408,2,13,Matches
31,32,Roberto Alvarado,mx MEX,"FW,MF",Guadalajara,22,1998,14.2,575,543,30,7,1,4,31,10,12,4,5,0,432,2,19,Matches
32,33,Ventura Alvarado,us USA,DF,FC Juárez,28,1992,8.7,319,281,37,12,0,5,1,25,0,0,0,0,229,1,4,Matches
33,34,Alek Álvarez,mx MEX,"MF,FW",UNAM,18,2003,2.3,82,73,9,3,0,1,12,3,3,1,2,0,68,0,1,Matches
34,35,Fabio Álvarez,ar ARG,"MF,FW",UNAM,28,1993,19.8,980,939,31,15,8,12,9,5,1,0,0,0,782,10,16,Matches
35,36,Kevin Álvarez,mx MEX,DF,Pachuca,22,1999,30.4,1329,979,348,13,1,12,84,334,1,0,1,0,947,2,36,Matches
36,37,Daniel Álvarez López,mx MEX,"FW,MF",Toluca,27,1994,6.3,204,201,3,1,1,1,8,2,0,0,0,0,150,0,7,Matches
37,38,Daniel Álvarez López,mx MEX,"FW,MF",Puebla,27,1994,8.7,228,215,13,3,3,1,22,5,5,4,0,0,152,0,6,Matches
38,39,Daniel Amador,mx MEX,"FW,MF",Mazatlán,24,1997,4.3,125,115,8,4,1,2,8,1,3,1,2,0,81,2,1,Matches
39,40,Fidel Ambríz,mx MEX,MF,León,18,2003,10.7,541,534,6,6,2,3,3,0,0,0,0,0,441,1,6,Matches
40,41,Esteban Andrada,ar ARG,GK,Monterrey,30,1991,31.0,1070,771,297,85,1,1,0,0,0,0,0,0,851,2,0,Matches
41,42,Miguel Ángel Herrera,mx MEX,DF,Pachuca,32,1989,8.1,284,261,19,18,0,9,2,1,0,0,0,0,205,4,2,Matches
42,43,Luis Ángel Mendoza,mx MEX,"FW,MF",Cruz Azul,31,1990,2.9,124,113,9,3,2,0,9,2,1,1,0,0,85,2,5,Matches
43,44,Miguel Ángel Ponce,mx MEX,DF,Guadalajara,32,1989,15.2,829,644,182,33,0,11,15,145,4,0,4,0,702,3,10,Matches
44,45,Brayan Angulo,ec ECU,FW,Cruz Azul,25,1995,14.4,324,298,25,1,1,2,5,0,1,0,1,0,237,1,7,Matches
45,46,Brayan Angulo,co COL,DF,Tijuana,31,1989,30.3,1574,1260,304,36,4,18,81,248,20,3,15,0,1214,10,32,Matches
46,47,Jesús Angulo,mx MEX,"MF,FW",Guadalajara,24,1997,26.5,1169,1082,84,37,8,19,38,16,21,5,8,0,968,3,26,Matches
47,48,Francisco Antonio Figueroa,mx MEX,"FW,MF",Pachuca,22,1999,3.5,128,118,8,4,1,1,21,2,2,0,1,0,93,2,3,Matches
48,49,Francisco Antonio Figueroa,mx MEX,"MF,FW",Querétaro,22,1999,1.0,52,50,0,0,0,0,8,0,0,0,0,0,35,2,1,Matches
49,50,Jorge Antonio Padilla,mx MEX,DF,Mazatlán,27,1993,22.1,885,678,206,21,0,2,36,185,0,0,0,0,585,1,23,Matches
50,51,José Antonio Rodríguez,mx MEX,GK,Guadalajara,29,1992,5.0,132,84,46,2,0,0,0,0,0,0,0,0,92,2,0,Matches
51,52,José Antonio Rodríguez,mx MEX,GK,Querétaro,29,1992,1.0,22,15,7,1,0,0,0,0,0,0,0,0,18,0,0,Matches
52,53,Uriel Antuna,mx MEX,"FW,MF",Cruz Azul,23,1997,14.0,368,350,16,0,2,2,76,10,6,0,5,0,245,2,16,Matches
53,54,Uriel Antuna,mx MEX,"FW,MF",Guadalajara,23,1997,9.6,278,261,16,3,0,1,41,12,0,0,0,0,199,1,4,Matches
54,55,Javier Aquino,mx MEX,"DF,MF",UANL,31,1990,32.9,1830,1569,251,26,1,14,84,225,0,0,0,0,1509,10,23,Matches
55,56,Pedro Aquino,pe PER,MF,América,26,1995,15.4,723,708,15,15,1,12,0,0,0,0,0,0,599,0,9,Matches
56,57,Ángelo Araos,cl CHI,"MF,FW",Necaxa,24,1997,5.2,210,208,2,0,0,3,9,1,0,0,0,0,149,0,8,Matches
57,58,Maximiliano Araújo,uy URU,"MF,DF",Puebla,21,2000,29.2,715,628,85,18,1,5,113,21,46,25,9,0,468,2,29,Matches
58,59,Fernando Arce Jr.,us USA,MF,FC Juárez,24,1996,12.7,494,471,21,20,0,9,2,1,0,0,0,0,401,2,12,Matches
59,60,Fernando Arce Jr.,us USA,"FW,MF",Necaxa,24,1996,0.2,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
60,61,Sagir Arce,us USA,"FW,MF",Mazatlán,19,2002,3.6,83,78,5,1,0,1,6,0,2,0,1,0,64,0,2,Matches
61,62,Fernando Aristeguieta,ve VEN,FW,Puebla,29,1992,16.9,416,398,17,0,1,4,9,5,0,0,0,0,281,1,9,Matches
62,63,Blas Armoa,py PAR,"FW,MF",FC Juárez,21,2000,1.5,25,25,0,0,0,0,2,0,0,0,0,0,13,0,1,Matches
63,64,Alejandro Arribas,es ESP,DF,FC Juárez,32,1989,13.9,684,623,60,32,0,5,0,27,0,0,0,0,545,1,9,Matches
64,65,Giovanni Augusto,br BRA,"FW,MF",Mazatlán,31,1989,8.0,275,248,25,8,2,5,29,4,11,2,9,0,190,2,10,Matches
65,66,Erick Ávalos,mx MEX,DF,UANL,21,2000,1.6,65,54,11,2,0,0,3,9,0,0,0,0,49,0,2,Matches
66,67,José Ávila,mx MEX,"MF,DF",Santos,23,1998,1.1,49,40,8,2,0,2,5,2,4,1,3,0,34,1,2,Matches
67,68,David Ayala,mx MEX,MF,UANL,21,2000,2.7,156,156,0,0,0,4,0,0,0,0,0,0,138,0,2,Matches
