,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
0,1,José Abella,mx MEX,DF,Atlas,27,1994,13,1041,80,34.0,11.6,11,88,8,2,34,20,1.45,11,12,-1,-0.09,-0.89,11.6,12.4,-0.9,-0.08,-0.23,Matches
1,2,Diego Abitia,mx MEX,FW,Toluca,18,2003,1,1,1,0.0,0.0,0,,0,1,1,0,0.00,0,1,-1,-90.00,-89.59,0.0,0.4,-0.4,-38.14,-37.78,Matches
2,3,Clifford Aboagye,gh GHA,MF,Puebla,26,1995,1,15,15,0.5,0.2,0,,0,1,15,5,0.00,0,1,-1,-6.00,-6.21,0.4,0.3,+0.1,+0.89,+0.94,Matches
3,4,Luis Abram,pe PER,DF,Cruz Azul,25,1996,13,753,58,24.6,8.4,8,84,7,5,16,1,1.38,9,10,-1,-0.12,-0.43,8.0,11.2,-3.2,-0.39,-0.56,Matches
4,5,Iván Acero,mx MEX,,Toluca,21,2000,0,,,,,0,,0,0,,16,,,,,,,,,,,,Matches
5,6,Carlos Acevedo,mx MEX,GK,Santos,25,1996,26,2340,90,76.5,26.0,26,90,26,0,,0,1.41,38,31,+7,+0.27,+0.27,35.4,36.7,-1.3,-0.05,-0.10,Matches
6,7,Daniel Aceves,mx MEX,DF,Pachuca,20,2001,16,1391,87,45.5,15.5,16,87,13,0,,3,2.09,26,12,+14,+0.91,+0.96,21.8,17.0,+4.8,+0.31,+0.04,Matches
7,8,Sergio Adrián Flores,mx MEX,MF,Guadalajara,26,1995,29,2117,73,69.2,23.5,26,79,16,3,23,2,1.22,23,24,-1,-0.04,-0.52,22.8,22.0,+0.8,+0.03,-0.21,Matches
8,9,Juan Agüayo,mx MEX,MF,Guadalajara,24,1997,2,135,68,4.4,1.5,2,68,1,0,,1,2.00,3,1,+2,+1.33,+1.27,1.5,1.8,-0.3,-0.19,-0.30,Matches
9,10,Juan Agüayo,mx MEX,DF,UNAM,24,1997,1,45,45,1.5,0.5,0,,0,1,45,2,0.00,1,2,-1,-2.00,-1.94,0.8,1.4,-0.7,-1.35,-1.13,Matches
10,11,Washington Aguerre,uy URU,GK,Querétaro,28,1993,32,2874,90,93.9,31.9,32,90,31,0,,0,1.00,29,34,-5,-0.16,+2.75,35.7,41.4,-5.7,-0.19,+0.38,Matches
11,12,Bernardo Aguilar,mx MEX,GK,León,20,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
12,13,Daniel Aguilar,mx MEX,MF,Puebla,23,1998,4,177,44,5.8,2.0,2,62,0,2,27,0,0.43,0,2,-2,-1.02,-1.27,2.3,3.6,-1.4,-0.69,-0.69,Matches
13,14,Paul Aguilar,mx MEX,"DF,MF",FC Juárez,35,1986,8,414,52,13.5,4.6,6,65,1,2,12,2,1.63,4,5,-1,-0.22,+0.73,2.9,4.4,-1.5,-0.32,+0.08,Matches
14,15,Emanuel Aguilera,ar ARG,DF,América,32,1989,11,899,82,29.4,10.0,10,87,8,1,34,1,1.54,11,5,+6,+0.60,+0.10,12.7,8.6,+4.1,+0.41,-0.18,Matches
15,16,Emanuel Aguilera,ar ARG,DF,Atlas,32,1989,7,630,90,20.6,7.0,7,90,7,0,,3,1.92,11,5,+6,+0.86,+0.45,7.6,10.0,-2.4,-0.34,-0.53,Matches
16,17,Eduardo Aguirre,mx MEX,FW,Santos,22,1998,27,1832,68,59.9,20.4,22,77,6,5,28,0,1.40,29,25,+4,+0.20,-0.02,30.0,29.7,+0.3,+0.01,+0.10,Matches
17,18,Érick Aguirre,mx MEX,"DF,MF",Monterrey,24,1997,22,1558,71,50.9,17.3,16,90,14,6,21,1,1.31,16,16,0,0.00,-0.42,26.5,17.0,+9.5,+0.55,+0.08,Matches
18,19,Gaddi Aguirre,mx MEX,DF,Atlas,25,1996,15,982,65,32.1,10.9,11,78,7,4,30,18,1.70,6,13,-7,-0.64,-1.68,9.2,10.5,-1.2,-0.12,-0.28,Matches
19,20,Rodrigo Aguirre,uy URU,FW,Necaxa,26,1994,31,2156,70,70.5,24.0,25,81,8,6,24,1,1.34,32,29,+3,+0.13,+1.02,32.7,27.1,+5.6,+0.23,+0.83,Matches
20,21,Oswaldo Alanís,mx MEX,DF,Mazatlán,32,1989,9,810,90,26.5,9.0,9,90,9,0,,6,1.36,12,11,+1,+0.11,+0.55,10.1,15.2,-5.1,-0.53,+0.12,Matches
21,22,Ricardo Alba,mx MEX,FW,Atlético,19,2002,1,15,15,0.5,0.2,0,,0,1,15,4,1.00,0,0,0,0.00,+0.15,0.1,0.0,+0.1,+0.60,+0.55,Matches
22,23,Jesús Alberto Angulo,mx MEX,DF,Atlas,23,1998,12,1070,89,35.0,11.9,12,89,10,0,,1,1.67,18,7,+11,+0.93,+0.65,16.7,12.7,+4.0,+0.34,+0.40,Matches
23,24,Jesús Alberto Angulo,mx MEX,DF,UANL,23,1998,17,1451,85,47.4,16.1,16,90,15,1,18,0,1.86,30,18,+12,+0.74,+0.18,27.4,16.9,+10.5,+0.65,+0.57,Matches
