,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
0,1,José Abella,mx MEX,DF,Atlas,27,1994,11.6,532,25,129,259,150,11,532,3,9,33.3,12,6,257,14,Matches
1,2,Diego Abitia,mx MEX,FW,Toluca,18,2003,0.0,4,0,0,3,1,0,4,0,0,,1,0,2,1,Matches
2,3,Clifford Aboagye,gh GHA,MF,Puebla,26,1995,0.2,12,1,2,8,2,0,12,0,1,0.0,0,0,9,1,Matches
3,4,Luis Abram,pe PER,DF,Cruz Azul,25,1996,8.4,384,40,205,167,13,6,384,0,0,,2,2,254,1,Matches
4,5,Carlos Acevedo,mx MEX,GK,Santos,25,1996,26.0,728,622,722,7,0,0,728,0,0,,0,0,148,0,Matches
5,6,Daniel Aceves,mx MEX,DF,Pachuca,20,2001,15.5,846,38,263,414,176,5,846,6,18,33.3,24,9,369,15,Matches
6,7,Sergio Adrián Flores,mx MEX,MF,Guadalajara,26,1995,23.5,1525,102,559,906,75,8,1525,3,6,50.0,14,6,895,4,Matches
7,8,Juan Agüayo,mx MEX,MF,Guadalajara,24,1997,1.5,67,5,13,43,11,0,67,0,0,,0,0,33,1,Matches
8,9,Juan Agüayo,mx MEX,DF,UNAM,24,1997,0.5,31,3,16,14,2,0,31,0,0,,1,0,14,1,Matches
9,10,Washington Aguerre,uy URU,GK,Querétaro,28,1993,31.9,1016,875,1006,9,1,1,1016,0,0,,1,0,268,0,Matches
10,11,Daniel Aguilar,mx MEX,MF,Puebla,23,1998,2.0,91,2,18,61,12,0,91,1,1,100.0,3,1,62,2,Matches
11,12,Paul Aguilar,mx MEX,"DF,MF",FC Juárez,35,1986,4.6,220,6,54,117,49,5,220,1,6,16.7,8,3,134,4,Matches
12,13,Emanuel Aguilera,ar ARG,DF,América,32,1989,10.0,597,40,268,325,11,7,596,0,1,0.0,8,0,384,0,Matches
13,14,Emanuel Aguilera,ar ARG,DF,Atlas,32,1989,7.0,360,28,135,210,17,0,360,2,2,100.0,1,3,183,1,Matches
14,15,Eduardo Aguirre,mx MEX,FW,Santos,22,1998,20.4,611,10,36,218,367,112,611,21,40,52.5,61,35,421,101,Matches
