,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
0,1,José Abella,mx MEX,DF,Atlas,27,1994,11.6,0,4,0,0.0,0.35,0.00,0.00,,22.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
1,2,Diego Abitia,mx MEX,FW,Toluca,18,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2,3,Clifford Aboagye,gh GHA,MF,Puebla,26,1995,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
3,4,Luis Abram,pe PER,DF,Cruz Azul,25,1996,8.4,2,3,2,66.7,0.36,0.24,0.67,1.00,3.8,0,0,0,1.2,1.2,0.40,+0.8,+0.8,Matches
4,5,Carlos Acevedo,mx MEX,GK,Santos,25,1996,26.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
5,6,Daniel Aceves,mx MEX,DF,Pachuca,20,2001,15.5,0,5,1,20.0,0.32,0.06,0.00,0.00,30.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
6,7,Sergio Adrián Flores,mx MEX,MF,Guadalajara,26,1995,23.5,0,6,4,66.7,0.26,0.17,0.00,0.00,21.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
7,8,Juan Agüayo,mx MEX,MF,Guadalajara,24,1997,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
8,9,Juan Agüayo,mx MEX,DF,UNAM,24,1997,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
9,10,Washington Aguerre,uy URU,GK,Querétaro,28,1993,31.9,0,1,0,0.0,0.03,0.00,0.00,,10.9,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
10,11,Daniel Aguilar,mx MEX,MF,Puebla,23,1998,2.0,0,1,1,100.0,0.51,0.51,0.00,0.00,32.7,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
11,12,Paul Aguilar,mx MEX,"DF,MF",FC Juárez,35,1986,4.6,0,4,0,0.0,0.87,0.00,0.00,,20.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
12,13,Emanuel Aguilera,ar ARG,DF,América,32,1989,10.0,1,4,1,25.0,0.40,0.10,0.00,0.00,20.2,1,1,1,1.2,0.4,0.10,-0.2,-0.4,Matches
13,14,Emanuel Aguilera,ar ARG,DF,Atlas,32,1989,7.0,0,1,1,100.0,0.14,0.14,0.00,0.00,32.4,1,0,0,0.0,0.0,0.02,0.0,0.0,Matches
14,15,Eduardo Aguirre,mx MEX,FW,Santos,22,1998,20.4,4,53,13,24.5,2.60,0.64,0.08,0.31,14.0,0,0,0,7.7,7.7,0.15,-3.7,-3.7,Matches
15,16,Érick Aguirre,mx MEX,"DF,MF",Monterrey,24,1997,17.3,1,10,3,30.0,0.58,0.17,0.10,0.33,20.9,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
16,17,Gaddi Aguirre,mx MEX,DF,Atlas,25,1996,10.9,0,9,2,22.2,0.82,0.18,0.00,0.00,13.1,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
17,18,Rodrigo Aguirre,uy URU,FW,Necaxa,26,1994,24.0,11,95,40,42.1,3.97,1.67,0.11,0.25,17.8,3,1,1,9.6,8.8,0.09,+1.4,+1.2,Matches
18,19,Oswaldo Alanís,mx MEX,DF,Mazatlán,32,1989,9.0,1,6,2,33.3,0.67,0.22,0.17,0.50,12.9,1,0,0,0.7,0.7,0.12,+0.3,+0.3,Matches
19,20,Ricardo Alba,mx MEX,FW,Atlético,19,2002,0.2,0,1,0,0.0,6.00,0.00,0.00,,10.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
20,21,Jesús Alberto Angulo,mx MEX,DF,Atlas,23,1998,11.9,0,4,1,25.0,0.34,0.08,0.00,0.00,23.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
21,22,Jesús Alberto Angulo,mx MEX,DF,UANL,23,1998,16.1,0,3,0,0.0,0.19,0.00,0.00,,20.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
22,23,Gil Alcalá,mx MEX,GK,Tijuana,29,1992,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
23,24,Jesús Alcantar Rodríguez,mx MEX,DF,Necaxa,18,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
24,25,Adrián Aldrete,mx MEX,DF,Cruz Azul,33,1988,15.2,0,9,1,11.1,0.59,0.07,0.00,0.00,19.6,1,0,0,0.9,0.9,0.10,-0.9,-0.9,Matches
25,26,Daniel Alexis Parra,mx MEX,DF,Monterrey,22,1999,4.3,0,3,0,0.0,0.70,0.00,0.00,,18.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
26,27,Luis Alfonso Rodríguez,mx MEX,"DF,MF",UANL,30,1991,14.9,0,6,3,50.0,0.40,0.20,0.00,0.00,28.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
27,28,David Alfredo Andrade,mx MEX,DF,Santos,28,1993,7.6,0,7,2,28.6,0.92,0.26,0.00,0.00,28.0,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
28,29,Carlos Alonso Vargas,mx MEX,"DF,MF",Mazatlán,22,1999,21.8,0,9,1,11.1,0.41,0.05,0.00,0.00,20.9,3,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
