,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
0,1,Yunis Abdelhamid,ma MAR,DF,Reims,33,1987,33.1,25,0.75,16,0,2,1,0,6,1,0.03,1,0,0,0,0,0,Matches
1,2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,21,2000,27.4,53,1.94,41,0,0,4,4,4,4,0.15,3,0,0,0,0,1,Matches
2,3,Laurent Abergel,fr FRA,MF,Lorient,28,1993,32.8,82,2.50,65,2,3,1,7,4,9,0.27,8,0,0,0,1,0,Matches
3,4,Charles Abi,fr FRA,FW,Saint-Étienne,21,2000,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4,5,Matthis Abline,fr FRA,FW,Rennes,18,2003,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5,6,Mohamed Achi,fr FRA,MF,Nantes,19,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6,7,Martin Adeline,fr FRA,"MF,FW",Reims,17,2003,3.9,10,2.56,8,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
7,8,Yacine Adli,fr FRA,"MF,FW",Bordeaux,21,2000,25.1,120,4.78,80,22,6,3,5,4,18,0.72,13,3,1,0,1,0,Matches
8,9,Lucien Agoume,fr FRA,MF,Brest,19,2002,20.8,35,1.69,28,1,1,4,1,0,2,0.10,2,0,0,0,0,0,Matches
9,10,Nayef Aguerd,ma MAR,DF,Rennes,25,1996,30.4,15,0.49,10,0,0,4,1,0,4,0.13,3,0,0,0,1,0,Matches
10,11,Ruben Aguilar,fr FRA,DF,Monaco,28,1993,23.8,31,1.30,23,1,1,1,2,3,3,0.13,3,0,0,0,0,0,Matches
11,12,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,22,1999,15.0,21,1.40,16,1,0,2,0,2,2,0.13,2,0,0,0,0,0,Matches
12,13,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,27,1994,11.2,24,2.15,19,0,1,1,1,2,3,0.27,3,0,0,0,0,0,Matches
13,14,Ludovic Ajorque,re REU,FW,Strasbourg,27,1994,30.4,83,2.73,62,0,2,9,9,1,10,0.33,6,0,0,2,2,0,Matches
14,15,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,19,2002,0.6,1,1.67,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
15,16,Sofiane Alakouch,ma MAR,"DF,MF",Metz,23,1998,1.8,4,2.28,2,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
16,17,Josué Albert,gf GUF,DF,Clermont Foot,29,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
17,18,Doğan Alemdar,tr TUR,GK,Rennes,18,2002,12.0,1,0.08,1,0,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
18,19,Mohamed Ali Cho,fr FRA,FW,Angers,17,2004,20.4,42,2.06,23,0,11,2,5,1,7,0.34,4,0,0,2,1,0,Matches
19,20,Jim Allevinah,ga GAB,FW,Clermont Foot,26,1995,16.5,52,3.15,31,4,9,6,1,1,3,0.18,2,0,0,1,0,0,Matches
20,21,Ibrahim Amadou,fr FRA,"DF,MF",Metz,28,1993,9.0,10,1.11,8,0,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
21,22,Jordan Amavi,fr FRA,DF,Nice,27,1994,4.6,5,1.09,3,0,0,0,2,0,1,0.22,0,0,0,0,1,0,Matches
22,23,Jordan Amavi,fr FRA,"DF,FW",Marseille,27,1994,1.4,2,1.41,2,0,0,0,0,0,1,0.70,1,0,0,0,0,0,Matches
23,24,Benjamin André,fr FRA,MF,Lille,30,1990,30.6,60,1.96,46,2,2,3,1,6,6,0.20,4,0,0,1,0,1,Matches
24,25,Houssem Aouar,fr FRA,"MF,FW",Lyon,23,1998,27.8,99,3.56,76,3,6,9,4,1,6,0.22,5,0,0,1,0,0,Matches
25,26,Adil Aouchiche,fr FRA,"MF,FW",Saint-Étienne,19,2002,12.0,38,3.17,21,10,1,1,5,0,5,0.42,3,2,0,0,0,0,Matches
26,27,Dennis Appiah,fr FRA,DF,Nantes,29,1992,23.3,12,0.51,11,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
27,28,Lorenz Assignon,tg TOG,DF,Rennes,21,2000,6.8,19,2.77,13,0,0,3,2,1,1,0.15,1,0,0,0,0,0,Matches
28,29,Youcef Atal,dz ALG,DF,Nice,25,1996,12.7,31,2.45,22,0,2,1,4,2,3,0.24,2,0,0,0,1,0,Matches
29,30,Jean-Kévin Augustin,fr FRA,"FW,MF",Nantes,24,1997,0.9,1,1.07,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
30,31,Karim Azamoum,fr FRA,DF,Troyes,31,1990,4.3,1,0.23,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
31,32,Loïc Bade,fr FRA,DF,Rennes,21,2000,10.9,6,0.55,3,0,0,2,0,1,2,0.18,0,0,0,1,0,1,Matches
32,33,Benoît Badiashile,fr FRA,DF,Monaco,20,2001,20.4,16,0.78,11,0,0,3,0,2,1,0.05,0,0,0,1,0,0,Matches
33,34,Youssouph Badji,sn SEN,"FW,MF",Brest,19,2001,1.5,3,1.99,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
