,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
0,1,Yunis Abdelhamid,ma MAR,DF,Reims,33,1987,33.1,1284,1578,81.4,25516,9586,415,469,88.5,715,787,90.9,145,266,54.5,0,0.9,0.6,-0.9,9,95,7,0,96,Matches
1,2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,21,2000,27.4,1535,1701,90.2,25518,5456,748,805,92.9,655,699,93.7,108,129,83.7,0,1.0,0.8,-1.0,17,87,13,1,80,Matches
2,3,Laurent Abergel,fr FRA,MF,Lorient,28,1993,32.8,1341,1659,80.8,23753,6845,605,678,89.2,535,620,86.3,152,236,64.4,2,4.4,2.6,-2.4,35,147,23,9,126,Matches
3,4,Charles Abi,fr FRA,FW,Saint-Étienne,21,2000,0.5,3,7,42.9,46,0,2,3,66.7,1,3,33.3,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
4,5,Matthis Abline,fr FRA,FW,Rennes,18,2003,1.1,7,9,77.8,72,15,5,7,71.4,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,Matches
5,6,Mohamed Achi,fr FRA,MF,Nantes,19,2002,0.1,6,9,66.7,102,10,1,1,100.0,3,6,50.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
6,7,Martin Adeline,fr FRA,"MF,FW",Reims,17,2003,3.9,107,147,72.8,1681,608,51,63,81.0,39,47,83.0,9,14,64.3,0,0.4,0.2,-0.4,3,8,3,0,11,Matches
7,8,Yacine Adli,fr FRA,"MF,FW",Bordeaux,21,2000,25.1,906,1251,72.4,17505,6047,410,480,85.4,310,407,76.2,157,279,56.3,7,6.2,4.3,+0.8,59,122,36,4,130,Matches
8,9,Lucien Agoume,fr FRA,MF,Brest,19,2002,20.8,836,996,83.9,15009,4514,371,417,89.0,328,377,87.0,112,141,79.4,0,0.9,0.6,-0.9,13,86,8,0,79,Matches
9,10,Nayef Aguerd,ma MAR,DF,Rennes,25,1996,30.4,1959,2204,88.9,40414,15329,613,660,92.9,1050,1106,94.9,277,398,69.6,2,0.3,0.3,+1.7,4,118,2,0,83,Matches
10,11,Ruben Aguilar,fr FRA,DF,Monaco,28,1993,23.8,1435,1728,83.0,23194,8766,745,806,92.4,559,658,85.0,93,178,52.2,2,1.6,2.9,+0.4,12,124,32,5,113,Matches
11,12,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,22,1999,15.0,766,858,89.3,14146,4562,310,333,93.1,353,381,92.7,89,120,74.2,1,1.0,0.4,0.0,11,39,5,1,54,Matches
12,13,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,27,1994,11.2,339,412,82.3,5149,1077,164,191,85.9,131,147,89.1,21,37,56.8,1,0.9,1.0,+0.1,6,23,9,1,29,Matches
