,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
0,1,Yunis Abdelhamid,ma MAR,DF,Reims,33,1987,34,2983,88,87.2,33.1,34,88,33,0,,0,1.12,38,41,-3,-0.09,-0.50,37.5,48.3,-10.8,-0.33,-0.40,Matches
1,2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,21,2000,31,2462,79,72.0,27.4,29,82,19,2,38,1,1.10,26,44,-18,-0.66,+0.56,32.9,41.1,-8.2,-0.30,+0.05,Matches
2,3,Laurent Abergel,fr FRA,MF,Lorient,28,1993,34,2956,87,86.4,32.8,34,87,26,0,,0,0.82,27,59,-32,-0.97,-1.75,41.4,52.1,-10.6,-0.32,-0.54,Matches
3,4,Charles Abi,fr FRA,FW,Saint-Étienne,21,2000,1,45,45,1.3,0.5,1,45,0,0,,0,1.00,0,0,0,0.00,+0.93,0.5,0.5,+0.1,+0.17,+0.68,Matches
4,5,Matthis Abline,fr FRA,FW,Rennes,18,2003,7,103,15,3.0,1.1,1,45,0,6,10,9,1.14,0,1,-1,-0.87,-2.04,1.3,2.1,-0.8,-0.71,-1.34,Matches
5,6,Mohamed Achi,fr FRA,MF,Nantes,19,2002,1,10,10,0.3,0.1,0,,0,1,10,4,1.00,0,0,0,0.00,-0.18,0.0,0.0,0.0,+0.21,+0.36,Matches
6,7,Martin Adeline,fr FRA,"MF,FW",Reims,17,2003,8,352,44,10.3,3.9,2,76,1,6,34,3,1.13,4,5,-1,-0.26,-0.26,3.7,5.7,-2.0,-0.51,-0.26,Matches
7,8,Yacine Adli,fr FRA,"MF,FW",Bordeaux,21,2000,36,2260,63,66.1,25.1,25,78,10,11,28,1,0.75,33,59,-26,-1.04,-0.03,29.8,46.8,-17.0,-0.68,-0.18,Matches
8,9,Lucien Agoume,fr FRA,MF,Brest,19,2002,27,1868,69,54.6,20.8,21,83,13,6,21,4,1.30,27,32,-5,-0.24,-0.07,29.7,34.6,-4.9,-0.23,+0.38,Matches
9,10,Nayef Aguerd,ma MAR,DF,Rennes,25,1996,31,2735,88,80.0,30.4,31,88,28,0,,0,1.94,66,29,+37,+1.22,+0.56,56.0,36.4,+19.6,+0.65,+0.28,Matches
