,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
0,1,Yunis Abdelhamid,ma MAR,DF,Reims,33,1987,33.1,2,18,6,33.3,0.54,0.18,0.11,0.33,18.3,0,0,0,1.5,1.5,0.08,+0.5,+0.5,Matches
1,2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,21,2000,27.4,1,18,5,27.8,0.66,0.18,0.06,0.20,21.5,0,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches
2,3,Laurent Abergel,fr FRA,MF,Lorient,28,1993,32.8,0,29,7,24.1,0.88,0.21,0.00,0.00,24.2,0,0,0,2.1,2.1,0.07,-2.1,-2.1,Matches
3,4,Charles Abi,fr FRA,FW,Saint-Étienne,21,2000,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
4,5,Matthis Abline,fr FRA,FW,Rennes,18,2003,1.1,0,2,0,0.0,1.75,0.00,0.00,,9.5,0,0,0,0.6,0.6,0.28,-0.6,-0.6,Matches
5,6,Mohamed Achi,fr FRA,MF,Nantes,19,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
6,7,Martin Adeline,fr FRA,"MF,FW",Reims,17,2003,3.9,0,4,1,25.0,1.02,0.26,0.00,0.00,11.8,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
7,8,Yacine Adli,fr FRA,"MF,FW",Bordeaux,21,2000,25.1,1,32,15,46.9,1.27,0.60,0.03,0.07,21.2,4,0,0,2.3,2.3,0.07,-1.3,-1.3,Matches
8,9,Lucien Agoume,fr FRA,MF,Brest,19,2002,20.8,0,15,1,6.7,0.72,0.05,0.00,0.00,11.9,0,0,0,1.3,1.2,0.08,-1.3,-1.2,Matches
9,10,Nayef Aguerd,ma MAR,DF,Rennes,25,1996,30.4,2,25,7,28.0,0.82,0.23,0.08,0.29,9.4,0,0,0,2.5,2.5,0.10,-0.5,-0.5,Matches
10,11,Ruben Aguilar,fr FRA,DF,Monaco,28,1993,23.8,0,10,2,20.0,0.42,0.08,0.00,0.00,22.8,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
11,12,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,22,1999,15.0,0,8,4,50.0,0.53,0.27,0.00,0.00,16.0,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
12,13,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,27,1994,11.2,1,17,2,11.8,1.52,0.18,0.06,0.50,21.2,0,0,0,2.2,2.2,0.13,-1.2,-1.2,Matches
13,14,Ludovic Ajorque,re REU,FW,Strasbourg,27,1994,30.4,12,56,24,42.9,1.84,0.79,0.16,0.38,13.5,0,3,3,11.1,8.7,0.16,+0.9,+0.3,Matches
14,15,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,19,2002,0.6,0,2,1,50.0,3.33,1.67,0.00,0.00,16.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
15,16,Sofiane Alakouch,ma MAR,"DF,MF",Metz,23,1998,1.8,0,1,0,0.0,0.57,0.00,0.00,,27.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
16,17,Josué Albert,gf GUF,DF,Clermont Foot,29,1992,0.2,0,1,0,0.0,4.09,0.00,0.00,,19.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
17,18,Doğan Alemdar,tr TUR,GK,Rennes,18,2002,12.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
18,19,Mohamed Ali Cho,fr FRA,FW,Angers,17,2004,20.4,4,42,15,35.7,2.06,0.73,0.10,0.27,15.3,0,0,0,6.6,6.6,0.16,-2.6,-2.6,Matches
19,20,Jim Allevinah,ga GAB,FW,Clermont Foot,26,1995,16.5,1,43,15,34.9,2.60,0.91,0.02,0.07,19.2,1,0,0,3.5,3.5,0.08,-2.5,-2.5,Matches
20,21,Ibrahim Amadou,fr FRA,"DF,MF",Metz,28,1993,9.0,1,3,2,66.7,0.33,0.22,0.33,0.50,9.4,0,0,0,0.4,0.4,0.14,+0.6,+0.6,Matches
21,22,Jordan Amavi,fr FRA,DF,Nice,27,1994,4.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
22,23,Jordan Amavi,fr FRA,"DF,FW",Marseille,27,1994,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
23,24,Benjamin André,fr FRA,MF,Lille,30,1990,30.6,2,18,5,27.8,0.59,0.16,0.11,0.40,14.5,0,0,0,1.6,1.6,0.09,+0.4,+0.4,Matches
24,25,Houssem Aouar,fr FRA,"MF,FW",Lyon,23,1998,27.8,6,76,24,31.6,2.73,0.86,0.08,0.25,17.9,0,0,0,8.9,8.9,0.12,-2.9,-2.9,Matches
25,26,Adil Aouchiche,fr FRA,"MF,FW",Saint-Étienne,19,2002,12.0,0,21,10,47.6,1.75,0.83,0.00,0.00,22.5,0,0,0,1.4,1.4,0.07,-1.4,-1.4,Matches
26,27,Dennis Appiah,fr FRA,DF,Nantes,29,1992,23.3,0,2,0,0.0,0.09,0.00,0.00,,22.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
27,28,Lorenz Assignon,tg TOG,DF,Rennes,21,2000,6.8,0,6,4,66.7,0.88,0.58,0.00,0.00,8.4,0,0,0,0.8,0.8,0.15,-0.8,-0.8,Matches
28,29,Youcef Atal,dz ALG,DF,Nice,25,1996,12.7,2,13,5,38.5,1.03,0.39,0.15,0.40,18.7,0,0,0,1.1,1.1,0.08,+0.9,+0.9,Matches
29,30,Jean-Kévin Augustin,fr FRA,"FW,MF",Nantes,24,1997,0.9,0,2,0,0.0,2.14,0.00,0.00,,18.0,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
30,31,Karim Azamoum,fr FRA,DF,Troyes,31,1990,4.3,0,3,3,100.0,0.70,0.70,0.00,0.00,22.4,1,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
31,32,Loïc Bade,fr FRA,DF,Rennes,21,2000,10.9,0,7,0,0.0,0.64,0.00,0.00,,14.6,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
32,33,Benoît Badiashile,fr FRA,DF,Monaco,20,2001,20.4,1,14,4,28.6,0.69,0.20,0.07,0.25,10.4,0,0,0,1.9,1.9,0.13,-0.9,-0.9,Matches
33,34,Youssouph Badji,sn SEN,"FW,MF",Brest,19,2001,1.5,0,2,0,0.0,1.33,0.00,0.00,,16.1,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
34,35,Stéphane Bahoken,cm CMR,FW,Angers,29,1992,12.2,3,24,14,58.3,1.97,1.15,0.13,0.21,17.0,0,0,0,4.0,4.0,0.17,-1.0,-1.0,Matches
35,36,Dénys Bain,fr FRA,DF,Brest,28,1993,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
36,37,Stefan Bajic,fr FRA,GK,Saint-Étienne,19,2001,5.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
37,38,Cédric Bakambu,cd COD,FW,Marseille,30,1991,4.0,4,19,8,42.1,4.80,2.02,0.21,0.50,13.4,0,0,0,2.8,2.8,0.15,+1.2,+1.2,Matches
38,39,Abdoulaye Bakayoko,fr FRA,DF,Saint-Étienne,18,2002,3.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
39,40,Dilane Bakwa,fr FRA,"FW,MF",Bordeaux,18,2002,0.5,0,2,1,50.0,4.19,2.09,0.00,0.00,18.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
40,41,Ibrahima Baldé,fr FRA,"FW,MF",Lens,18,2003,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
41,42,Leonardo Balerdi,ar ARG,DF,Marseille,22,1999,10.6,0,2,0,0.0,0.19,0.00,0.00,,10.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
42,43,Abdoulaye Bamba,ci CIV,"DF,FW",Angers,31,1990,5.1,0,1,0,0.0,0.20,0.00,0.00,,7.3,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
43,44,Jonathan Bamba,fr FRA,"MF,FW",Lille,25,1996,27.0,1,51,12,23.5,1.89,0.44,0.02,0.08,19.9,2,0,0,3.9,3.9,0.08,-2.9,-2.9,Matches
44,45,Simon Banza,fr FRA,FW,Lens,24,1996,1.4,1,6,4,66.7,4.35,2.90,0.17,0.25,15.5,0,0,0,1.1,1.1,0.18,-0.1,-0.1,Matches
45,46,Danilo Barbosa,br BRA,DF,Nice,25,1996,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
46,47,Bradley Barcola,fr FRA,"FW,MF",Lyon,18,2002,2.9,0,5,2,40.0,1.71,0.68,0.00,0.00,13.0,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
47,48,Melvin Bard,fr FRA,DF,Nice,20,2000,28.8,2,5,2,40.0,0.17,0.07,0.40,1.00,17.2,0,0,0,0.9,0.9,0.18,+1.1,+1.1,Matches
48,49,Toma Bašić,hr CRO,MF,Bordeaux,24,1996,2.3,0,2,0,0.0,0.86,0.00,0.00,,27.1,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
49,50,Amine Bassi,fr FRA,"MF,FW",Metz,23,1997,2.0,0,4,1,25.0,1.96,0.49,0.00,0.00,26.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
50,51,Paul Baysse,fr FRA,"MF,DF",Bordeaux,33,1988,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
51,52,Youcef Belaïli,dz ALG,"MF,FW",Brest,29,1992,9.2,3,16,6,37.5,1.75,0.65,0.19,0.50,15.9,2,0,1,3.2,2.3,0.14,-0.2,+0.7,Matches
52,53,Haris Belkebla,dz ALG,MF,Brest,27,1994,25.7,0,4,1,25.0,0.16,0.04,0.00,0.00,24.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
53,54,Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,23,1998,25.9,2,31,7,22.6,1.20,0.27,0.06,0.29,20.8,2,0,0,2.9,2.9,0.09,-0.9,-0.9,Matches
54,55,Jeanöel Belocian,fr FRA,DF,Rennes,16,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
55,56,Hatem Ben Arfa,fr FRA,"FW,MF",Lille,34,1987,3.5,0,3,1,33.3,0.86,0.29,0.00,0.00,16.6,1,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches
56,57,Salim Ben Seghir,fr FRA,MF,Marseille,18,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
57,58,Wissam Ben Yedder,fr FRA,FW,Monaco,30,1990,28.1,25,64,36,56.3,2.28,1.28,0.27,0.47,14.7,4,8,8,20.2,13.9,0.22,+4.8,+3.1,Matches
58,59,Darío Benedetto,ar ARG,"FW,MF",Marseille,31,1990,0.6,0,3,0,0.0,5.00,0.00,0.00,,12.7,0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches
59,60,Walter Benítez,ar ARG,GK,Nice,28,1993,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
60,61,Loris Benito,ch SUI,DF,Bordeaux,29,1992,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
61,62,Nabil Bentaleb,dz ALG,MF,Angers,26,1994,16.8,1,15,7,46.7,0.89,0.42,0.07,0.14,22.9,1,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches
62,63,Patrick Berg,no NOR,MF,Lens,23,1997,3.4,0,1,0,0.0,0.29,0.00,0.00,,19.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
63,64,Mitchell van Bergen,nl NED,"FW,MF",Reims,21,1999,10.9,0,12,5,41.7,1.10,0.46,0.00,0.00,18.0,0,0,0,1.4,1.4,0.11,-1.4,-1.4,Matches
64,65,Valon Berisha,xk KVX,"MF,FW",Reims,28,1993,5.1,0,4,0,0.0,0.79,0.00,0.00,,16.9,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
65,66,Paul Bernardoni,fr FRA,GK,Angers,24,1997,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
66,67,Paul Bernardoni,fr FRA,GK,Saint-Étienne,24,1997,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
67,68,Juan Bernat,es ESP,"DF,MF",Paris S-G,28,1993,10.6,0,1,1,100.0,0.09,0.09,0.00,0.00,15.3,0,0,0,0.2,0.2,0.24,-0.2,-0.2,Matches
68,69,Dimitry Bertaud,fr FRA,GK,Montpellier,23,1998,9.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
69,70,Jason Berthomier,fr FRA,MF,Clermont Foot,31,1990,19.2,1,23,4,17.4,1.20,0.21,0.04,0.25,20.8,6,0,0,1.8,1.8,0.08,-0.8,-0.8,Matches
70,71,Giulian Biancone,fr FRA,"DF,MF",Troyes,21,2000,25.5,1,28,9,32.1,1.10,0.35,0.04,0.11,18.3,1,0,0,2.2,2.2,0.08,-1.2,-1.2,Matches
71,72,El Bilal Touré,ml MLI,FW,Reims,19,2001,13.3,2,32,10,31.3,2.41,0.75,0.03,0.10,14.0,0,1,1,4.7,3.9,0.12,-2.7,-2.9,Matches
72,73,Jean-Claude Billong,cm CMR,DF,Clermont Foot,27,1993,10.9,0,5,1,20.0,0.46,0.09,0.00,0.00,10.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
73,74,Nathan Bitu Mazala,fr FRA,DF,Paris S-G,18,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
74,75,Marco Bizot,nl NED,GK,Brest,30,1991,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
75,76,Ludovic Blas,fr FRA,"MF,FW",Nantes,23,1997,32.9,10,85,32,37.6,2.58,0.97,0.06,0.16,20.6,1,5,5,12.1,8.2,0.10,-2.1,-3.2,Matches
76,77,Myron Boadu,nl NED,FW,Monaco,20,2001,10.7,4,21,8,38.1,1.97,0.75,0.19,0.50,10.5,0,0,0,5.8,5.8,0.28,-1.8,-1.8,Matches
77,78,Jérôme Boateng,de GER,DF,Lyon,32,1988,18.0,0,5,3,60.0,0.28,0.17,0.00,0.00,17.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
78,79,Antonin Bobichon,fr FRA,"MF,FW",Angers,25,1995,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
79,80,Quentin Boisgard,fr FRA,"MF,FW",Lorient,24,1997,10.6,1,16,8,50.0,1.50,0.75,0.06,0.13,24.6,1,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches
80,81,Charles Boli,fr FRA,"MF,DF",Lens,22,1998,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
81,82,Sven Botman,nl NED,DF,Lille,21,2000,25.0,3,15,5,33.3,0.60,0.20,0.20,0.60,10.8,0,0,0,1.8,1.8,0.12,+1.2,+1.2,Matches
82,83,Denis Bouanga,ga GAB,"FW,MF",Saint-Étienne,26,1994,27.1,9,84,30,35.7,3.10,1.11,0.11,0.30,18.9,4,0,0,8.7,8.7,0.10,+0.3,+0.3,Matches
