,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
0,1,Paxten Aaronson,us USA,"FW,MF",Philadelphia,18,2003,4.8,19,3.98,12,0,2,2,1,2,1,0.21,1,0,0,0,0,0,Matches
1,2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,27,1994,28.0,23,0.82,17,0,0,2,0,4,1,0.04,1,0,0,0,0,0,Matches
2,3,Nicolás Acevedo,uy URU,"MF,DF",NYCFC,22,1999,25.2,30,1.19,27,2,0,0,0,1,3,0.12,3,0,0,0,0,0,Matches
3,4,Ifunanyachi Achara,us USA,"FW,MF",Toronto FC,24,1997,4.2,6,1.41,6,0,0,0,0,0,1,0.23,1,0,0,0,0,0,Matches
4,5,Bryan Acosta,hn HON,MF,Colorado Rapids,28,1993,21.1,73,3.46,35,36,0,0,1,1,5,0.24,2,2,0,0,0,1,Matches
5,6,George Acosta,us USA,MF,Inter Miami,22,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6,7,Kellyn Acosta,us USA,"MF,DF",Los Angeles FC,26,1995,28.3,93,3.28,55,30,2,3,1,2,6,0.21,4,1,0,1,0,0,Matches
7,8,Luciano Acosta,ar ARG,MF,FC Cincinnati,27,1994,27.7,184,6.65,120,29,15,6,10,4,30,1.08,22,2,2,3,1,0,Matches
8,9,Mo Adams,eng ENG,MF,Inter Miami,25,1996,3.9,2,0.51,0,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
9,10,Samuel Adeniran,us USA,FW,Seattle,23,1998,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
10,11,Harrison Afful,gh GHA,DF,Charlotte,35,1986,14.5,17,1.17,13,4,0,0,0,0,2,0.14,0,2,0,0,0,0,Matches
11,12,Samuel Afriyie Owusu,gh GHA,"DF,MF",NYCFC,21,2000,0.1,1,7.50,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
12,13,William Agada,ng NGA,FW,Sporting KC,22,1999,10.2,24,2.35,18,1,0,4,1,0,2,0.20,2,0,0,0,0,0,Matches
13,14,Oskar Ågren,se SWE,DF,San Jose,23,1998,2.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
14,15,Daniel Aguirre,us USA,"MF,DF",LA Galaxy,22,1999,4.2,7,1.68,7,0,0,0,0,0,2,0.48,2,0,0,0,0,0,Matches
15,16,Ali Ahmed,ca CAN,DF,Vancouver,21,2000,0.6,2,3.21,1,0,0,1,0,0,1,1.61,0,0,0,1,0,0,Matches
16,17,Arnaud Ake,ci CIV,"FW,MF",Nashville,23,1998,3.5,9,2.54,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
17,18,Tesho Akindele,ca CAN,FW,Orlando City,29,1992,6.8,15,2.22,13,0,0,2,0,0,1,0.15,0,0,0,1,0,0,Matches
18,19,Matai Akinmboni,us USA,DF,D.C. United,15,2006,1.3,1,0.75,0,0,0,0,0,1,1,0.75,0,0,0,0,0,1,Matches
19,20,Ayo Akinola,ca CAN,FW,Toronto FC,22,2000,13.8,27,1.95,16,0,2,6,3,0,5,0.36,1,0,0,2,2,0,Matches
20,21,Jordy Alcivar,ec ECU,MF,Charlotte,22,1999,11.3,44,3.89,20,18,0,3,2,1,3,0.26,2,0,0,1,0,0,Matches
21,22,Caio Alexandre,br BRA,"MF,DF",Vancouver,22,1999,0.9,3,3.25,1,0,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches
22,23,Tony Alfaro,us USA,DF,D.C. United,28,1993,10.5,6,0.57,5,0,0,0,0,1,1,0.10,1,0,0,0,0,0,Matches
