,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
0,1,Paxten Aaronson,us USA,"FW,MF",Philadelphia,18,2003,4.8,1,0,0,9,8,3,5,3,11,0,0,0,24,3,5,37.5,Matches
1,2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,27,1994,28.0,9,0,0,42,8,4,1,49,16,0,2,0,147,74,33,69.2,Matches
2,3,Nicolás Acevedo,uy URU,"MF,DF",NYCFC,22,1999,25.2,8,0,0,41,28,2,27,42,41,0,0,0,218,26,20,56.5,Matches
3,4,Ifunanyachi Achara,us USA,"FW,MF",Toronto FC,24,1997,4.2,1,0,0,7,4,1,7,4,6,0,0,0,20,7,7,50.0,Matches
4,5,Bryan Acosta,hn HON,MF,Colorado Rapids,28,1993,21.1,11,1,1,52,21,0,106,18,29,0,1,0,121,21,19,52.5,Matches
5,6,George Acosta,us USA,MF,Inter Miami,22,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
6,7,Kellyn Acosta,us USA,"MF,DF",Los Angeles FC,26,1995,28.3,8,0,0,32,22,0,130,14,22,0,0,0,128,15,22,40.5,Matches
7,8,Luciano Acosta,ar ARG,MF,FC Cincinnati,27,1994,27.7,7,1,0,51,60,12,136,8,28,1,0,0,161,2,9,18.2,Matches
8,9,Mo Adams,eng ENG,MF,Inter Miami,25,1996,3.9,3,0,0,5,6,0,0,6,9,0,0,0,24,0,3,0.0,Matches
9,10,Samuel Adeniran,us USA,FW,Seattle,23,1998,0.8,0,0,0,2,0,0,3,1,1,0,0,0,2,3,2,60.0,Matches
10,11,Harrison Afful,gh GHA,DF,Charlotte,35,1986,14.5,4,0,0,17,7,1,27,13,5,0,1,0,82,14,13,51.9,Matches
11,12,Samuel Afriyie Owusu,gh GHA,"DF,MF",NYCFC,21,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
12,13,William Agada,ng NGA,FW,Sporting KC,22,1999,10.2,2,0,0,22,15,4,2,1,5,0,0,0,19,15,25,37.5,Matches
