,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
0,1,Paxten Aaronson,us USA,"FW,MF",Philadelphia,18,2003,4.8,97,121,80.2,1392,370,61,69,88.4,28,33,84.8,5,6,83.3,0,0.6,1.5,-0.6,5,5,5,1,11,Matches
1,2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,27,1994,28.0,1099,1271,86.5,20584,7113,383,417,91.8,619,673,92.0,87,153,56.9,1,0.5,1.1,+0.5,6,45,3,0,38,Matches
2,3,Nicolás Acevedo,uy URU,"MF,DF",NYCFC,22,1999,25.2,1374,1628,84.4,23515,7865,663,732,90.6,552,627,88.0,132,206,64.1,0,0.6,1.5,-0.6,10,125,18,4,115,Matches
3,4,Ifunanyachi Achara,us USA,"FW,MF",Toronto FC,24,1997,4.2,117,152,77.0,1518,296,77,92,83.7,29,36,80.6,5,8,62.5,1,0.4,0.5,+0.6,3,8,2,1,6,Matches
4,5,Bryan Acosta,hn HON,MF,Colorado Rapids,28,1993,21.1,777,975,79.7,17101,5484,245,274,89.4,345,397,86.9,173,267,64.8,2,3.7,3.3,-1.7,41,80,12,1,71,Matches
5,6,George Acosta,us USA,MF,Inter Miami,22,2000,0.1,6,8,75.0,107,34,1,2,50.0,5,5,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
6,7,Kellyn Acosta,us USA,"MF,DF",Los Angeles FC,26,1995,28.3,1184,1477,80.2,19324,6138,635,706,89.9,408,492,82.9,105,204,51.5,4,4.4,4.0,-0.4,51,123,34,1,124,Matches
7,8,Luciano Acosta,ar ARG,MF,FC Cincinnati,27,1994,27.7,944,1384,68.2,14843,5675,520,638,81.5,293,414,70.8,83,200,41.5,12,12.3,9.6,-0.3,93,119,70,8,147,Matches
8,9,Mo Adams,eng ENG,MF,Inter Miami,25,1996,3.9,96,110,87.3,1372,316,52,56,92.9,37,40,92.5,2,4,50.0,0,0.0,0.1,0.0,0,5,0,0,5,Matches
9,10,Samuel Adeniran,us USA,FW,Seattle,23,1998,0.8,9,16,56.3,126,8,5,8,62.5,4,7,57.1,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
10,11,Harrison Afful,gh GHA,DF,Charlotte,35,1986,14.5,891,1037,85.9,15754,5582,387,411,94.2,399,441,90.5,84,144,58.3,0,0.4,1.1,-0.4,7,91,20,5,59,Matches
11,12,Samuel Afriyie Owusu,gh GHA,"DF,MF",NYCFC,21,2000,0.1,11,11,100.0,138,70,9,9,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
12,13,William Agada,ng NGA,FW,Sporting KC,22,1999,10.2,118,151,78.1,1832,259,68,80,85.0,41,50,82.0,7,12,58.3,2,0.5,0.3,+1.5,10,7,4,1,9,Matches
13,14,Oskar Ågren,se SWE,DF,San Jose,23,1998,2.8,159,173,91.9,3379,884,37,42,88.1,99,102,97.1,22,28,78.6,0,0.0,0.0,0.0,0,7,0,0,4,Matches
14,15,Daniel Aguirre,us USA,"MF,DF",LA Galaxy,22,1999,4.2,175,205,85.4,2848,838,90,97,92.8,65,73,89.0,12,19,63.2,1,0.7,0.5,+0.3,2,22,1,0,19,Matches
15,16,Ali Ahmed,ca CAN,DF,Vancouver,21,2000,0.6,25,29,86.2,447,68,11,12,91.7,10,11,90.9,4,5,80.0,0,0.0,0.0,0.0,1,0,0,0,0,Matches
16,17,Arnaud Ake,ci CIV,"FW,MF",Nashville,23,1998,3.5,41,62,66.1,640,132,22,26,84.6,16,25,64.0,2,3,66.7,0,0.8,0.2,-0.8,6,3,4,0,7,Matches
17,18,Tesho Akindele,ca CAN,FW,Orlando City,29,1992,6.8,129,186,69.4,1801,320,81,103,78.6,36,51,70.6,6,13,46.2,0,0.6,0.3,-0.6,6,7,3,0,9,Matches
18,19,Matai Akinmboni,us USA,DF,D.C. United,15,2006,1.3,51,63,81.0,894,189,18,20,90.0,31,35,88.6,2,8,25.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
