,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
0,1,Paxten Aaronson,us USA,"FW,MF",Philadelphia,18,2003,4.8,121,120,1,0,1,0,5,1,0,0,0,0,97,0,5,Matches
1,2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,27,1994,28.0,1271,1250,20,17,0,7,1,3,0,0,0,0,1099,1,8,Matches
2,3,Nicolás Acevedo,uy URU,"MF,DF",NYCFC,22,1999,25.2,1628,1552,75,25,0,15,27,48,2,1,0,0,1374,1,19,Matches
3,4,Ifunanyachi Achara,us USA,"FW,MF",Toronto FC,24,1997,4.2,152,150,2,0,0,0,7,2,0,0,0,0,117,0,7,Matches
4,5,Bryan Acosta,hn HON,MF,Colorado Rapids,28,1993,21.1,975,820,150,72,3,21,106,3,70,34,35,0,777,5,13,Matches
5,6,George Acosta,us USA,MF,Inter Miami,22,2000,0.1,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
6,7,Kellyn Acosta,us USA,"MF,DF",Los Angeles FC,26,1995,28.3,1477,1273,200,58,8,10,130,53,89,71,12,1,1184,4,24,Matches
7,8,Luciano Acosta,ar ARG,MF,FC Cincinnati,27,1994,27.7,1384,1195,177,67,26,14,136,12,76,29,35,1,944,12,46,Matches
8,9,Mo Adams,eng ENG,MF,Inter Miami,25,1996,3.9,110,109,1,1,0,0,0,0,0,0,0,0,96,0,4,Matches
9,10,Samuel Adeniran,us USA,FW,Seattle,23,1998,0.8,16,15,1,0,0,0,3,0,0,0,0,0,9,0,1,Matches
10,11,Harrison Afful,gh GHA,DF,Charlotte,35,1986,14.5,1037,905,129,12,1,7,27,117,0,0,0,0,891,3,14,Matches
11,12,Samuel Afriyie Owusu,gh GHA,"DF,MF",NYCFC,21,2000,0.1,11,11,0,0,0,0,0,0,0,0,0,0,11,0,0,Matches
12,13,William Agada,ng NGA,FW,Sporting KC,22,1999,10.2,151,126,25,1,1,3,2,3,0,0,0,0,118,0,3,Matches
13,14,Oskar Ågren,se SWE,DF,San Jose,23,1998,2.8,173,167,6,4,0,0,0,2,0,0,0,0,159,0,0,Matches
14,15,Daniel Aguirre,us USA,"MF,DF",LA Galaxy,22,1999,4.2,205,201,4,2,0,2,3,2,0,0,0,0,175,0,4,Matches
15,16,Ali Ahmed,ca CAN,DF,Vancouver,21,2000,0.6,29,23,6,1,0,0,1,5,0,0,0,0,25,0,1,Matches
16,17,Arnaud Ake,ci CIV,"FW,MF",Nashville,23,1998,3.5,62,60,1,0,1,0,2,1,0,0,0,0,41,1,4,Matches
17,18,Tesho Akindele,ca CAN,FW,Orlando City,29,1992,6.8,186,176,10,0,0,0,4,1,0,0,0,0,129,0,5,Matches
18,19,Matai Akinmboni,us USA,DF,D.C. United,15,2006,1.3,63,62,1,1,0,1,0,0,0,0,0,0,51,0,0,Matches
19,20,Ayo Akinola,ca CAN,FW,Toronto FC,22,2000,13.8,219,189,28,0,0,0,4,0,0,0,0,0,157,2,9,Matches
20,21,Jordy Alcivar,ec ECU,MF,Charlotte,22,1999,11.3,527,452,74,25,2,8,67,1,46,12,26,2,411,1,7,Matches
21,22,Caio Alexandre,br BRA,"MF,DF",Vancouver,22,1999,0.9,44,43,1,1,0,0,1,0,0,0,0,0,40,0,1,Matches
22,23,Tony Alfaro,us USA,DF,D.C. United,28,1993,10.5,601,553,48,17,0,6,2,19,0,0,0,0,492,0,4,Matches
23,24,Noah Allen,us USA,"DF,MF",Inter Miami,17,2004,3.6,143,118,25,1,0,0,12,24,0,0,0,0,105,0,4,Matches
24,25,Thiago Almada,ar ARG,"MF,FW",Atlanta Utd,20,2001,26.4,1688,1529,145,50,21,31,102,8,79,51,19,0,1379,14,27,Matches
25,26,Osvaldo Alonso,cu CUB,MF,Atlanta Utd,36,1985,3.7,237,221,14,12,0,1,0,1,1,0,0,0,207,2,4,Matches
26,27,Jozy Altidore,us USA,"FW,MF",New England,32,1989,6.6,172,161,10,0,0,3,4,0,0,0,0,0,121,1,5,Matches
27,28,Efrain Alvarez,mx MEX,"MF,FW",LA Galaxy,19,2002,15.5,767,679,83,20,9,9,75,9,53,23,12,0,595,5,17,Matches
28,29,Luis Amarilla,py PAR,FW,Minnesota Utd,26,1995,26.1,613,542,67,2,6,3,4,4,0,0,0,0,447,4,15,Matches
29,30,Frankie Amaya,us USA,MF,NY Red Bulls,21,2000,22.0,806,730,74,45,1,8,43,2,24,17,0,1,615,2,16,Matches
30,31,Mikey Ambrose,us USA,DF,Atlanta Utd,28,1993,0.5,34,31,3,0,0,0,2,3,0,0,0,0,30,0,2,Matches
31,32,Malte Amundsen,dk DEN,DF,NYCFC,23,1998,23.3,1320,1105,210,14,1,4,81,196,0,0,0,0,1000,5,30,Matches
