,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
0,1,Paxten Aaronson,us USA,"FW,MF",Philadelphia,18,2003,23,432,19,14.1,4.8,2,69,0,21,14,7,2.08,8,5,+3,+0.62,-0.85,8.3,7.7,+0.6,+0.12,-0.59,Matches
1,2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,27,1994,32,2522,79,82.4,28.0,29,85,24,3,19,0,1.25,36,41,-5,-0.18,+0.83,41.9,38.2,+3.7,+0.13,+0.98,Matches
2,3,Nicolás Acevedo,uy URU,"MF,DF",NYCFC,22,1999,31,2264,73,74.0,25.2,27,79,11,4,33,1,1.76,38,28,+10,+0.40,-0.28,40.7,24.0,+16.7,+0.66,+0.25,Matches
3,4,Ifunanyachi Achara,us USA,"FW,MF",Toronto FC,24,1997,15,382,25,12.5,4.2,0,,0,15,25,14,0.67,7,6,+1,+0.24,+0.84,6.2,5.9,+0.3,+0.07,+0.63,Matches
4,5,Bryan Acosta,hn HON,MF,Colorado Rapids,28,1993,26,1898,73,62.0,21.1,22,83,12,4,20,4,1.46,32,33,-1,-0.05,+0.73,30.8,29.7,+1.1,+0.05,+0.24,Matches
5,6,George Acosta,us USA,MF,Inter Miami,22,2000,1,7,7,0.2,0.1,0,,0,1,7,4,0.00,0,1,-1,-12.86,-12.62,0.2,0.2,0.0,-0.07,+0.12,Matches
6,7,Kellyn Acosta,us USA,"MF,DF",Los Angeles FC,26,1995,32,2549,80,83.3,28.3,28,87,23,4,29,0,1.94,57,33,+24,+0.85,+0.14,51.8,29.1,+22.8,+0.80,-0.04,Matches
7,8,Luciano Acosta,ar ARG,MF,FC Cincinnati,27,1994,30,2491,83,81.4,27.7,28,87,17,2,25,0,1.53,54,47,+7,+0.25,+0.09,47.4,38.5,+8.9,+0.32,+0.57,Matches
8,9,Mo Adams,eng ENG,MF,Inter Miami,25,1996,8,354,44,11.6,3.9,5,63,1,3,13,6,0.88,2,8,-6,-1.53,-1.43,3.2,5.0,-1.8,-0.46,-0.30,Matches
9,10,Samuel Adeniran,us USA,FW,Seattle,23,1998,2,73,37,2.4,0.8,1,45,0,1,28,4,0.00,0,2,-2,-2.47,-2.56,0.2,1.5,-1.3,-1.66,-1.56,Matches
