,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
0,1,Paxten Aaronson,us USA,"FW,MF",Philadelphia,18,2003,4.8,200,1,21,74,112,22,200,7,15,46.7,20,4,123,26,Matches
1,2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,27,1994,28.0,1562,224,864,646,61,37,1562,5,8,62.5,12,4,1023,4,Matches
2,3,Nicolás Acevedo,uy URU,"MF,DF",NYCFC,22,1999,25.2,1901,65,531,1100,290,18,1901,16,27,59.3,36,18,1264,33,Matches
3,4,Ifunanyachi Achara,us USA,"FW,MF",Toronto FC,24,1997,4.2,218,4,31,78,109,22,218,1,7,14.3,19,4,144,41,Matches
4,5,Bryan Acosta,hn HON,MF,Colorado Rapids,28,1993,21.1,1145,54,275,674,215,11,1145,12,23,52.2,19,9,642,25,Matches
5,6,George Acosta,us USA,MF,Inter Miami,22,2000,0.1,11,0,1,9,2,0,11,0,1,0.0,0,0,7,0,Matches
6,7,Kellyn Acosta,us USA,"MF,DF",Los Angeles FC,26,1995,28.3,1684,35,253,853,591,34,1684,13,21,61.9,39,26,1117,68,Matches
7,8,Luciano Acosta,ar ARG,MF,FC Cincinnati,27,1994,27.7,1738,15,136,798,834,100,1734,64,136,47.1,92,61,1230,178,Matches
8,9,Mo Adams,eng ENG,MF,Inter Miami,25,1996,3.9,160,7,54,77,32,3,160,3,5,60.0,8,2,82,2,Matches
9,10,Samuel Adeniran,us USA,FW,Seattle,23,1998,0.8,26,1,3,9,16,1,26,0,0,,3,1,15,5,Matches
10,11,Harrison Afful,gh GHA,DF,Charlotte,35,1986,14.5,1142,47,316,641,196,3,1142,7,12,58.3,15,7,774,19,Matches
11,12,Samuel Afriyie Owusu,gh GHA,"DF,MF",NYCFC,21,2000,0.1,14,0,2,11,1,1,14,0,1,0.0,0,0,8,0,Matches
12,13,William Agada,ng NGA,FW,Sporting KC,22,1999,10.2,248,4,13,114,123,57,248,3,8,37.5,22,9,183,36,Matches
13,14,Oskar Ågren,se SWE,DF,San Jose,23,1998,2.8,199,23,95,102,4,1,199,0,1,0.0,1,0,139,0,Matches
14,15,Daniel Aguirre,us USA,"MF,DF",LA Galaxy,22,1999,4.2,248,7,47,138,66,10,248,1,2,50.0,6,2,176,15,Matches
15,16,Ali Ahmed,ca CAN,DF,Vancouver,21,2000,0.6,35,0,9,13,13,3,35,0,0,,1,1,24,0,Matches
16,17,Arnaud Ake,ci CIV,"FW,MF",Nashville,23,1998,3.5,113,0,14,42,63,17,113,8,15,53.3,21,6,79,33,Matches
17,18,Tesho Akindele,ca CAN,FW,Orlando City,29,1992,6.8,280,9,41,101,142,43,280,2,9,22.2,19,9,191,47,Matches
18,19,Matai Akinmboni,us USA,DF,D.C. United,15,2006,1.3,71,7,34,38,0,0,71,0,0,,1,0,52,0,Matches
19,20,Ayo Akinola,ca CAN,FW,Toronto FC,22,2000,13.8,320,11,26,121,177,54,320,9,16,56.3,32,15,238,85,Matches
20,21,Jordy Alcivar,ec ECU,MF,Charlotte,22,1999,11.3,622,10,99,341,192,8,621,8,15,53.3,16,16,390,15,Matches
21,22,Caio Alexandre,br BRA,"MF,DF",Vancouver,22,1999,0.9,58,1,12,33,13,0,58,0,1,0.0,4,1,43,2,Matches
22,23,Tony Alfaro,us USA,DF,D.C. United,28,1993,10.5,689,77,341,324,30,5,689,2,4,50.0,7,2,418,1,Matches
23,24,Noah Allen,us USA,"DF,MF",Inter Miami,17,2004,3.6,185,12,64,67,56,5,185,0,2,0.0,8,0,102,14,Matches
24,25,Thiago Almada,ar ARG,"MF,FW",Atlanta Utd,20,2001,26.4,1938,14,217,982,776,61,1938,72,101,71.3,57,54,1526,172,Matches
25,26,Osvaldo Alonso,cu CUB,MF,Atlanta Utd,36,1985,3.7,263,14,67,184,14,1,263,5,5,100.0,2,3,190,5,Matches
26,27,Jozy Altidore,us USA,"FW,MF",New England,32,1989,6.6,214,5,14,88,113,27,214,2,2,100.0,9,4,161,36,Matches
27,28,Efrain Alvarez,mx MEX,"MF,FW",LA Galaxy,19,2002,15.5,920,4,94,352,481,64,920,17,47,36.2,35,26,691,94,Matches
28,29,Luis Amarilla,py PAR,FW,Minnesota Utd,26,1995,26.1,873,33,59,385,439,109,873,27,53,50.9,67,21,618,170,Matches
29,30,Frankie Amaya,us USA,MF,NY Red Bulls,21,2000,22.0,1007,44,215,575,238,13,1007,23,28,82.1,24,13,488,15,Matches
30,31,Mikey Ambrose,us USA,DF,Atlanta Utd,28,1993,0.5,40,1,14,20,7,1,40,0,0,,1,0,26,0,Matches
31,32,Malte Amundsen,dk DEN,DF,NYCFC,23,1998,23.3,1532,59,471,643,433,41,1532,9,27,33.3,26,14,908,73,Matches
32,33,Max Anchor,ca CAN,GK,Vancouver,17,2004,1.0,23,23,23,0,0,0,23,0,0,,0,0,9,0,Matches
33,34,Sebastian Anderson,us USA,"DF,MF",Colorado Rapids,19,2002,0.1,8,0,1,3,4,0,8,0,0,,0,0,4,0,Matches
34,35,José Andrés Martínez,ve VEN,MF,Philadelphia,27,1994,28.0,1584,79,497,953,163,3,1584,35,63,55.6,44,25,927,21,Matches
35,36,Iván Angulo,co COL,FW,Orlando City,22,1999,6.1,232,2,23,88,125,25,232,4,19,21.1,15,5,165,20,Matches
36,37,Jalil Anibaba,us USA,DF,Columbus Crew,33,1988,2.5,141,24,84,57,1,1,141,0,0,,0,0,103,0,Matches
37,38,Themi Antonoglou,ca CAN,DF,Toronto FC,20,2001,0.5,21,0,2,9,10,1,21,1,1,100.0,0,0,13,2,Matches
38,39,Brian Anunga,cm CMR,MF,Nashville,25,1996,9.4,508,16,169,275,68,5,508,7,10,70.0,12,9,323,3,Matches
39,40,Cristian Arango,co COL,FW,Los Angeles FC,26,1995,26.0,813,28,60,286,482,148,811,36,74,48.6,75,42,569,177,Matches
40,41,César Araujo,uy URU,MF,Orlando City,20,2001,27.3,1751,69,478,1084,201,9,1751,7,16,43.8,19,15,1134,16,Matches
41,42,Julian Araujo,mx MEX,DF,LA Galaxy,20,2001,30.5,2108,116,570,939,616,37,2108,15,37,40.5,40,23,1329,93,Matches
42,43,Luiz Araújo,br BRA,"FW,MF",Atlanta Utd,25,1996,24.3,1266,13,134,510,659,109,1265,84,143,58.7,51,47,945,143,Matches
