,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
0,1,Paxten Aaronson,us USA,"FW,MF",Philadelphia,18,2003,4.8,1,12,5,41.7,2.50,1.04,0.08,0.20,17.6,0,0,0,1.3,1.3,0.11,-0.3,-0.3,Matches
1,2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,27,1994,28.0,4,22,5,22.7,0.79,0.18,0.18,0.80,8.8,0,0,0,2.4,2.4,0.11,+1.6,+1.6,Matches
2,3,Nicolás Acevedo,uy URU,"MF,DF",NYCFC,22,1999,25.2,0,20,5,25.0,0.80,0.20,0.00,0.00,27.5,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
3,4,Ifunanyachi Achara,us USA,"FW,MF",Toronto FC,24,1997,4.2,0,6,5,83.3,1.41,1.18,0.00,0.00,14.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
4,5,Bryan Acosta,hn HON,MF,Colorado Rapids,28,1993,21.1,0,12,1,8.3,0.57,0.05,0.00,0.00,24.0,2,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
5,6,George Acosta,us USA,MF,Inter Miami,22,2000,0.1,0,1,1,100.0,12.86,12.86,0.00,0.00,24.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
6,7,Kellyn Acosta,us USA,"MF,DF",Los Angeles FC,26,1995,28.3,2,32,9,28.1,1.13,0.32,0.06,0.22,21.8,4,0,0,2.0,2.0,0.06,0.0,0.0,Matches
7,8,Luciano Acosta,ar ARG,MF,FC Cincinnati,27,1994,27.7,10,58,19,32.8,2.10,0.69,0.12,0.37,20.1,4,3,4,9.3,6.1,0.11,+0.7,+0.9,Matches
8,9,Mo Adams,eng ENG,MF,Inter Miami,25,1996,3.9,0,1,0,0.0,0.25,0.00,0.00,,24.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
9,10,Samuel Adeniran,us USA,FW,Seattle,23,1998,0.8,0,1,0,0.0,1.23,0.00,0.00,,10.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
10,11,Harrison Afful,gh GHA,DF,Charlotte,35,1986,14.5,0,12,2,16.7,0.83,0.14,0.00,0.00,25.0,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
11,12,Samuel Afriyie Owusu,gh GHA,"DF,MF",NYCFC,21,2000,0.1,0,1,0,0.0,7.50,0.00,0.00,,15.7,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
12,13,William Agada,ng NGA,FW,Sporting KC,22,1999,10.2,8,41,21,51.2,4.02,2.06,0.20,0.38,11.9,0,0,0,7.3,7.2,0.18,+0.7,+0.8,Matches
13,14,Oskar Ågren,se SWE,DF,San Jose,23,1998,2.8,0,1,0,0.0,0.36,0.00,0.00,,7.4,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
14,15,Daniel Aguirre,us USA,"MF,DF",LA Galaxy,22,1999,4.2,1,4,2,50.0,0.96,0.48,0.25,0.50,20.1,0,0,0,0.3,0.3,0.08,+0.7,+0.7,Matches
15,16,Ali Ahmed,ca CAN,DF,Vancouver,21,2000,0.6,0,1,0,0.0,1.61,0.00,0.00,,12.8,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
16,17,Arnaud Ake,ci CIV,"FW,MF",Nashville,23,1998,3.5,1,4,1,25.0,1.13,0.28,0.25,1.00,10.9,0,0,0,0.6,0.6,0.16,+0.4,+0.4,Matches
17,18,Tesho Akindele,ca CAN,FW,Orlando City,29,1992,6.8,3,22,6,27.3,3.25,0.89,0.14,0.50,11.3,0,0,0,2.4,2.4,0.11,+0.6,+0.6,Matches
18,19,Matai Akinmboni,us USA,DF,D.C. United,15,2006,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
19,20,Ayo Akinola,ca CAN,FW,Toronto FC,22,2000,13.8,2,26,7,26.9,1.89,0.51,0.08,0.29,14.2,0,0,0,3.9,3.9,0.16,-1.9,-1.9,Matches
20,21,Jordy Alcivar,ec ECU,MF,Charlotte,22,1999,11.3,1,16,7,43.8,1.41,0.62,0.06,0.14,26.3,3,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches
21,22,Caio Alexandre,br BRA,"MF,DF",Vancouver,22,1999,0.9,0,1,0,0.0,1.11,0.00,0.00,,29.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
22,23,Tony Alfaro,us USA,DF,D.C. United,28,1993,10.5,0,1,0,0.0,0.10,0.00,0.00,,21.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
