,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
0,1,Max Aarons,eng ENG,DF,Norwich City,21,2000,32.0,47,1.47,34,3,2,3,3,2,3,0.09,3,0,0,0,0,0,Matches
1,2,Che Adams,sct SCO,FW,Southampton,25,1996,22.7,51,2.25,31,0,2,4,11,3,5,0.22,3,0,1,0,0,1,Matches
2,3,Rayan Aït Nouri,fr FRA,"DF,MF",Wolves,20,2001,20.3,47,2.31,30,8,4,0,2,3,6,0.30,4,1,0,0,1,0,Matches
3,4,Kristoffer Ajer,no NOR,DF,Brentford,23,1998,22.2,33,1.50,21,6,2,1,1,2,6,0.27,2,1,2,0,1,0,Matches
4,5,Nathan Aké,nl NED,DF,Manchester City,26,1995,10.3,5,0.49,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5,6,Marc Albrighton,eng ENG,"FW,DF",Leicester City,31,1989,12.6,20,1.59,12,4,0,0,3,1,3,0.24,2,0,0,0,0,1,Matches
6,7,Thiago Alcántara,es ESP,MF,Liverpool,30,1991,17.0,66,3.87,56,0,1,7,1,1,6,0.35,6,0,0,0,0,0,Matches
7,8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,31.7,161,5.08,95,53,3,7,1,2,18,0.57,13,4,0,1,0,0,Matches
8,9,Alisson,br BRA,GK,Liverpool,28,1992,36.0,3,0.08,2,0,0,0,0,1,1,0.03,1,0,0,0,0,0,Matches
9,10,Allan,br BRA,MF,Everton,30,1991,24.3,37,1.53,34,0,1,0,1,1,7,0.29,5,0,1,0,1,0,Matches
10,11,Dele Alli,eng ENG,MF,Tottenham,25,1996,7.3,8,1.10,4,0,0,0,3,1,1,0.14,0,0,0,0,1,0,Matches
11,12,Dele Alli,eng ENG,"MF,FW",Everton,25,1996,3.8,13,3.46,12,1,0,0,0,0,1,0.27,1,0,0,0,0,0,Matches
12,13,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,27,1994,19.1,49,2.57,36,0,3,8,2,0,4,0.21,3,0,1,0,0,0,Matches
13,14,Marcos Alonso,es ESP,DF,Chelsea,30,1990,24.1,92,3.82,66,16,3,5,2,0,10,0.42,7,2,0,1,0,0,Matches
14,15,Steven Alzate,co COL,MF,Brighton,22,1998,4.5,7,1.56,6,0,0,0,0,1,1,0.22,1,0,0,0,0,0,Matches
15,16,Daniel Amartey,gh GHA,DF,Leicester City,26,1994,23.6,17,0.72,17,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
16,17,Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,32.4,31,0.96,28,1,0,1,0,1,4,0.12,3,0,0,1,0,0,Matches
17,18,Michail Antonio,jm JAM,FW,West Ham,31,1990,33.0,96,2.91,64,1,11,11,9,0,17,0.51,10,0,1,4,2,0,Matches
18,19,Cameron Archer,eng ENG,"FW,MF",Aston Villa,19,2001,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
