,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
0,1,Max Aarons,eng ENG,DF,Norwich City,21,2000,32.0,1469,1130,332,17,5,4,50,315,0,0,0,0,1107,7,40,Matches
1,2,Che Adams,sct SCO,FW,Southampton,25,1996,22.7,472,468,2,0,4,5,8,1,0,0,0,0,304,2,22,Matches
2,3,Rayan Aït Nouri,fr FRA,"DF,MF",Wolves,20,2001,20.3,1025,811,211,10,1,7,96,172,29,11,16,0,763,3,19,Matches
3,4,Kristoffer Ajer,no NOR,DF,Brentford,23,1998,22.2,892,734,154,6,2,3,17,148,0,0,0,0,627,4,28,Matches
4,5,Nathan Aké,nl NED,DF,Manchester City,26,1995,10.3,878,836,41,15,1,2,1,26,0,0,0,0,796,1,5,Matches
5,6,Marc Albrighton,eng ENG,"FW,DF",Leicester City,31,1989,12.6,558,452,101,15,2,3,78,48,37,27,6,0,347,5,27,Matches
6,7,Thiago Alcántara,es ESP,MF,Liverpool,30,1991,17.0,1508,1488,18,10,4,17,4,4,1,0,1,0,1340,2,13,Matches
7,8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,31.7,2757,2204,548,93,17,69,273,324,131,29,89,0,2039,5,34,Matches
8,9,Alisson,br BRA,GK,Liverpool,28,1992,36.0,1388,1154,234,62,0,3,0,0,0,0,0,0,1214,0,0,Matches
9,10,Allan,br BRA,MF,Everton,30,1991,24.3,982,912,66,19,1,2,10,10,0,0,0,0,778,4,26,Matches
10,11,Dele Alli,eng ENG,MF,Tottenham,25,1996,7.3,228,210,17,4,1,1,5,4,0,0,0,0,177,1,6,Matches
11,12,Dele Alli,eng ENG,"MF,FW",Everton,25,1996,3.8,157,140,14,3,3,1,1,5,1,0,0,0,114,3,4,Matches
12,13,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,27,1994,19.1,511,500,8,3,0,2,20,3,0,0,0,0,402,3,19,Matches
13,14,Marcos Alonso,es ESP,DF,Chelsea,30,1990,24.1,1486,1190,293,27,2,8,149,199,67,38,23,0,1142,3,39,Matches
14,15,Steven Alzate,co COL,MF,Brighton,22,1998,4.5,233,230,3,2,1,0,0,1,0,0,0,0,204,0,4,Matches
15,16,Daniel Amartey,gh GHA,DF,Leicester City,26,1994,23.6,1546,1516,28,19,0,2,0,9,0,0,0,0,1399,2,16,Matches
16,17,Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,32.4,2351,2252,95,86,3,32,8,5,0,0,0,0,1911,4,11,Matches
17,18,Michail Antonio,jm JAM,FW,West Ham,31,1990,33.0,701,674,20,2,4,9,63,16,0,0,0,0,437,7,39,Matches
18,19,Cameron Archer,eng ENG,"FW,MF",Aston Villa,19,2001,0.3,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
19,20,Alphonse Areola,fr FRA,GK,West Ham,28,1993,1.0,40,23,17,3,0,0,0,0,0,0,0,0,21,0,0,Matches
20,21,Adam Armstrong,eng ENG,FW,Southampton,24,1997,15.7,324,283,40,0,4,1,18,2,0,0,0,0,229,1,6,Matches
21,22,Stuart Armstrong,sct SCO,MF,Southampton,29,1992,16.4,744,701,40,3,4,2,35,8,2,0,1,0,590,3,25,Matches
22,23,Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4.0,138,110,28,7,0,0,0,0,0,0,0,0,115,0,0,Matches
23,24,Harrison Ashby,sct SCO,DF,West Ham,19,2001,0.1,7,6,1,0,0,0,0,1,0,0,0,0,7,0,0,Matches
24,25,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,11.5,208,204,2,0,2,0,11,1,0,0,0,0,137,2,9,Matches
25,26,Jordan Ayew,gh GHA,FW,Crystal Palace,29,1991,22.4,754,738,14,3,8,2,74,9,2,0,0,0,576,2,30,Matches
26,27,Luke Ayling,eng ENG,DF,Leeds United,29,1991,25.2,1592,1412,171,36,5,24,31,134,0,0,0,0,1224,9,29,Matches
27,28,César Azpilicueta,es ESP,DF,Chelsea,31,1989,23.0,1787,1627,153,25,1,0,47,128,0,0,0,0,1486,7,31,Matches
28,29,Daniel Bachmann,at AUT,GK,Watford,27,1994,12.0,364,237,125,38,0,0,0,0,0,0,0,0,216,2,0,Matches
29,30,Leon Bailey,jm JAM,"FW,MF",Aston Villa,23,1997,8.5,226,209,16,1,1,3,33,4,11,10,1,0,150,1,8,Matches
30,31,Eric Bailly,ci CIV,DF,Manchester Utd,27,1994,2.4,85,81,4,4,0,1,0,0,0,0,0,0,68,0,1,Matches
31,32,Folarin Balogun,eng ENG,FW,Arsenal,20,2001,0.8,9,9,0,0,1,0,0,0,0,0,0,0,4,0,1,Matches
32,33,Patrick Bamford,eng ENG,FW,Leeds United,27,1993,6.2,108,89,19,0,1,0,3,1,0,0,0,0,88,0,3,Matches
33,34,Shandon Baptiste,gd GRN,MF,Brentford,23,1998,10.1,308,305,3,1,0,0,8,2,0,0,0,0,257,0,3,Matches
34,35,Ross Barkley,eng ENG,"MF,FW",Chelsea,27,1993,2.0,128,121,7,0,1,0,7,0,7,0,6,0,106,0,4,Matches
35,36,Ashley Barnes,eng ENG,FW,Burnley,31,1989,9.0,198,191,1,0,1,1,2,0,0,0,0,0,122,6,6,Matches
36,37,Harvey Barnes,eng ENG,"FW,MF",Leicester City,23,1997,23.3,756,747,7,0,7,2,45,5,0,0,0,0,550,2,24,Matches
37,38,Lewis Bate,eng ENG,MF,Leeds United,18,2002,1.6,61,60,1,0,0,1,0,0,0,0,0,0,45,0,3,Matches
38,39,Mads Bech Sørensen,dk DEN,DF,Brentford,22,1999,9.3,514,435,78,6,0,0,10,72,0,0,0,0,393,1,9,Matches
39,40,Jan Bednarek,pl POL,DF,Southampton,25,1996,29.2,1490,1399,90,45,0,6,1,43,0,0,0,0,1201,1,5,Matches
40,41,Donny van de Beek,nl NED,MF,Manchester Utd,24,1997,0.8,34,33,0,0,1,0,0,0,0,0,0,0,26,1,2,Matches
