,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
0,1,Max Aarons,eng ENG,DF,Norwich City,21,2000,34,2881,85,84.2,32.0,32,89,29,2,22,2,0.53,18,69,-51,-1.59,+0.08,27.9,66.2,-38.3,-1.20,+0.20,Matches
1,2,Tammy Abraham,eng ENG,FW,Chelsea,23,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
2,3,Che Adams,sct SCO,FW,Southampton,25,1996,30,2039,68,59.6,22.7,23,82,13,7,22,4,1.03,25,40,-15,-0.66,-0.08,31.6,37.8,-6.2,-0.27,+0.20,Matches
3,4,Omotayo Adaramola,ie IRL,DF,Crystal Palace,17,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
4,5,Adrián,es ESP,GK,Liverpool,34,1987,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
5,6,Rayan Aït Nouri,fr FRA,"DF,MF",Wolves,20,2001,23,1828,79,53.5,20.3,20,89,17,3,13,12,1.13,25,26,-1,-0.05,+0.18,20.5,38.5,-18.1,-0.89,-0.64,Matches
6,7,Kristoffer Ajer,no NOR,DF,Brentford,23,1998,24,1995,83,58.3,22.2,23,85,17,1,45,3,1.29,28,31,-3,-0.14,+0.18,30.6,32.7,-2.1,-0.10,-0.05,Matches
7,8,Nathan Aké,nl NED,DF,Manchester City,26,1995,14,923,66,27.0,10.3,10,82,8,4,25,22,2.64,19,3,+16,+1.56,-0.49,22.4,5.9,+16.5,+1.61,-0.33,Matches
8,9,Marc Albrighton,eng ENG,"FW,DF",Leicester City,31,1989,17,1132,67,33.1,12.6,11,90,11,6,24,17,1.35,17,24,-7,-0.56,-0.95,13.8,29.3,-15.5,-1.23,-1.18,Matches
9,10,Thiago Alcántara,es ESP,MF,Liverpool,30,1991,25,1534,61,44.9,17.0,17,80,5,8,22,1,2.64,43,7,+36,+2.11,+0.59,46.3,13.5,+32.8,+1.92,+0.73,Matches
10,11,Ryan Alebiousu,eng ENG,DF,Arsenal,19,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
11,12,Ajibola Alese,eng ENG,DF,West Ham,20,2001,0,,,,,0,,0,0,,11,,,,,,,,,,,,Matches
12,13,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,32,2853,89,83.4,31.7,32,89,30,0,,2,2.38,80,22,+58,+1.83,+0.24,78.8,32.1,+46.7,+1.47,-0.27,Matches
13,14,Alisson,br BRA,GK,Liverpool,28,1992,36,3240,90,94.7,36.0,36,90,36,0,,0,2.44,87,24,+63,+1.75,-0.75,89.7,35.2,+54.5,+1.51,-0.11,Matches
14,15,Allan,br BRA,MF,Everton,30,1991,28,2183,78,63.8,24.3,25,85,17,3,23,5,1.14,26,38,-12,-0.49,+0.31,31.5,36.7,-5.2,-0.21,+0.39,Matches
15,16,Dele Alli,eng ENG,MF,Tottenham,25,1996,10,657,66,19.2,7.3,8,80,5,2,11,9,1.40,6,13,-7,-0.96,-2.13,8.9,13.0,-4.1,-0.56,-1.38,Matches
16,17,Dele Alli,eng ENG,"MF,FW",Everton,25,1996,11,338,31,9.9,3.8,1,66,0,10,27,7,0.91,7,10,-3,-0.80,-0.21,4.1,9.4,-5.4,-1.43,-1.19,Matches
17,18,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,27,1994,30,1716,57,50.2,19.1,19,78,5,11,21,6,1.20,16,32,-16,-0.84,-0.73,20.2,33.0,-12.8,-0.67,-0.40,Matches
18,19,Marcos Alonso,es ESP,DF,Chelsea,30,1990,28,2167,77,63.4,24.1,25,83,16,3,28,6,1.64,42,22,+20,+0.83,-0.82,41.2,24.9,+16.3,+0.68,-0.49,Matches
19,20,Steven Alzate,co COL,MF,Brighton,22,1998,9,404,45,11.8,4.5,5,69,1,4,15,18,1.11,3,7,-4,-0.89,-0.95,4.7,7.7,-3.0,-0.67,-0.86,Matches
20,21,Daniel Amartey,gh GHA,DF,Leicester City,26,1994,28,2123,76,62.1,23.6,23,88,22,5,20,6,1.50,35,40,-5,-0.21,-0.77,28.6,42.6,-14.0,-0.59,-0.41,Matches
21,22,Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,34,2916,86,85.3,32.4,32,90,31,2,22,0,1.32,44,37,+7,+0.22,+0.75,47.0,39.9,+7.1,+0.22,+0.10,Matches
22,23,Elliot Anderson,sct SCO,MF,Newcastle Utd,18,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
23,24,Florin Andone,ro ROU,FW,Brighton,28,1993,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
24,25,Vincent Angelini,sct SCO,GK,Watford,17,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
25,26,Michail Antonio,jm JAM,FW,West Ham,31,1990,36,2971,83,86.9,33.0,34,85,23,2,33,1,1.56,55,43,+12,+0.36,+0.96,51.7,48.2,+3.5,+0.11,+0.82,Matches
26,27,Cameron Archer,eng ENG,"FW,MF",Aston Villa,19,2001,3,27,9,0.8,0.3,0,,0,3,9,9,1.00,1,0,+1,+3.33,+3.41,0.3,0.8,-0.5,-1.76,-1.60,Matches
27,28,Alphonse Areola,fr FRA,GK,West Ham,28,1993,1,90,90,2.6,1.0,1,90,1,0,,37,0.00,0,1,-1,-1.00,-1.27,0.4,1.9,-1.6,-1.58,-1.62,Matches
28,29,Adam Armstrong,eng ENG,FW,Southampton,24,1997,23,1413,61,41.3,15.7,17,80,10,6,10,14,0.87,12,31,-19,-1.21,-0.99,18.4,29.6,-11.1,-0.71,-0.61,Matches
29,30,Stuart Armstrong,sct SCO,MF,Southampton,29,1992,25,1473,59,43.1,16.4,15,84,8,10,21,2,1.32,17,30,-13,-0.79,-0.29,21.5,30.7,-9.2,-0.56,-0.37,Matches
30,31,Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4,360,90,10.5,4.0,4,90,4,0,,34,1.75,6,2,+4,+1.00,-0.15,5.2,3.2,+2.0,+0.49,-0.40,Matches
31,32,Harrison Ashby,sct SCO,DF,West Ham,19,2001,1,7,7,0.2,0.1,0,,0,1,7,7,0.00,0,1,-1,-12.86,-13.12,0.1,0.1,0.0,+0.27,+0.27,Matches
32,33,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,14,1037,74,30.3,11.5,12,83,7,2,18,0,1.64,17,16,+1,+0.09,-0.37,18.6,17.4,+1.2,+0.10,-0.46,Matches
33,34,Brandon Austin,eng ENG,GK,Tottenham,22,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
34,35,Zach Awe,eng ENG,DF,Arsenal,17,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
35,36,Jordan Ayew,gh GHA,FW,Crystal Palace,29,1991,31,2019,65,59.0,22.4,23,81,10,8,20,6,1.13,31,31,0,0.00,-0.26,31.9,28.8,+3.1,+0.14,-0.17,Matches
36,37,Luke Ayling,eng ENG,DF,Leeds United,29,1991,26,2272,87,66.4,25.2,26,87,23,0,,0,0.85,30,66,-36,-1.43,-1.35,33.7,53.7,-20.0,-0.79,-0.57,Matches
37,38,Miguel Azeez,eng ENG,MF,Arsenal,18,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
38,39,César Azpilicueta,es ESP,DF,Chelsea,31,1989,27,2070,77,60.5,23.0,24,84,16,3,20,7,1.78,36,23,+13,+0.57,-1.43,39.0,26.3,+12.6,+0.55,-0.77,Matches
39,40,Kwadwo Baah,eng ENG,FW,Watford,18,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
40,41,Daniel Bachmann,at AUT,GK,Watford,27,1994,12,1080,90,31.6,12.0,12,90,12,0,,25,0.25,10,28,-18,-1.50,-0.54,13.0,23.8,-10.8,-0.90,-0.23,Matches
41,42,Leon Bailey,jm JAM,"FW,MF",Aston Villa,23,1997,18,761,42,22.3,8.5,7,69,3,11,25,2,0.89,12,13,-1,-0.12,-0.08,11.6,7.7,+3.9,+0.47,+0.82,Matches
42,43,Eric Bailly,ci CIV,DF,Manchester Utd,27,1994,4,217,54,6.3,2.4,3,67,1,1,17,17,1.75,5,4,+1,+0.41,+0.44,4.8,5.7,-0.9,-0.37,-0.45,Matches
43,44,Folarin Balogun,eng ENG,FW,Arsenal,20,2001,2,70,35,2.0,0.8,1,58,0,1,12,0,0.00,0,1,-1,-1.29,-1.66,0.6,1.0,-0.4,-0.51,-0.95,Matches
44,45,Patrick Bamford,eng ENG,FW,Leeds United,27,1993,9,559,62,16.3,6.2,7,72,4,2,28,1,1.11,7,14,-7,-1.13,-0.18,8.3,12.9,-4.6,-0.74,-0.17,Matches
45,46,Scott Banks,sct SCO,MF,Crystal Palace,19,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
46,47,Jamal Baptiste,eng ENG,DF,West Ham,17,2003,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
47,48,Shandon Baptiste,gd GRN,MF,Brentford,23,1998,22,910,41,26.6,10.1,9,69,3,13,22,10,1.05,15,15,0,0.00,+0.29,12.4,12.4,-0.1,-0.01,+0.09,Matches
48,49,Phil Bardsley,sct SCO,DF,Burnley,36,1985,0,,,,,0,,0,0,,32,,,,,,,,,,,,Matches
49,50,Ross Barkley,eng ENG,"MF,FW",Chelsea,27,1993,6,179,30,5.2,2.0,1,72,0,5,21,21,2.33,10,2,+8,+4.02,+3.05,7.4,0.8,+6.6,+3.29,+2.57,Matches
50,51,Ashley Barnes,eng ENG,FW,Burnley,31,1989,23,808,35,23.6,9.0,8,76,2,15,13,7,0.78,6,19,-13,-1.45,-1.24,12.0,15.2,-3.2,-0.36,+0.22,Matches
51,52,Harvey Barnes,eng ENG,"FW,MF",Leicester City,23,1997,32,2101,66,61.4,23.3,24,79,13,8,25,3,1.34,38,30,+8,+0.34,+0.68,34.2,38.3,-4.1,-0.18,+0.68,Matches
52,53,Lewis Bate,eng ENG,MF,Leeds United,18,2002,3,146,49,4.3,1.6,1,58,0,2,44,13,1.00,3,4,-1,-0.62,+0.37,2.1,3.0,-0.9,-0.55,+0.05,Matches
53,54,Mads Bech Sørensen,dk DEN,DF,Brentford,22,1999,11,835,76,24.4,9.3,9,83,7,2,45,14,1.45,9,14,-5,-0.54,-0.43,13.5,14.8,-1.3,-0.14,-0.09,Matches
54,55,Owen Beck,wls WAL,DF,Liverpool,18,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
55,56,Jan Bednarek,pl POL,DF,Southampton,25,1996,31,2629,85,76.9,29.2,30,86,26,1,45,6,1.16,33,52,-19,-0.65,-0.08,38.9,48.3,-9.4,-0.32,+0.13,Matches
56,57,Donny van de Beek,nl NED,MF,Manchester Utd,24,1997,8,75,9,2.2,0.8,0,,0,8,9,14,1.75,2,2,0,0.00,0.00,2.0,1.7,+0.2,+0.27,+0.22,Matches
57,58,Donny van de Beek,nl NED,MF,Everton,24,1997,7,483,69,14.1,5.4,5,80,3,2,43,2,0.43,4,12,-8,-1.49,-1.03,5.2,9.1,-3.9,-0.73,-0.43,Matches
