,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
0,1,Rodrigo Abascal,uy URU,DF,Boavista,27,1994,26.5,9,1,1,37,3,3,9,43,45,0,3,1,153,46,35,56.8,Matches
1,2,Giorgi Aburjania,ge GEO,MF,Gil Vicente FC,26,1995,8.6,8,1,1,16,17,0,8,8,13,1,2,0,50,6,4,60.0,Matches
2,3,Antonio Adán,es ESP,GK,Sporting CP,34,1987,33.0,3,0,0,2,2,0,0,2,0,0,0,0,57,2,0,100.0,Matches
3,4,João Afonso Crispim,br BRA,MF,Gil Vicente FC,26,1995,0.2,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0.0,Matches
4,5,João Afonso,pt POR,DF,Santa Clara,31,1990,12.4,0,0,0,10,4,1,2,17,8,0,1,0,48,17,38,30.9,Matches
5,6,Lucas Áfrico,br BRA,DF,Estoril,26,1995,10.7,3,0,0,17,11,1,0,12,2,0,0,0,37,25,17,59.5,Matches
6,7,Salvador Agra,pt POR,"FW,MF",Tondela,29,1991,29.0,5,0,0,24,58,9,142,11,14,0,0,0,127,9,25,26.5,Matches
7,8,Mohamed Aidara,ci CIV,DF,FC Vizela,24,1996,15.0,1,0,0,19,7,0,2,23,8,0,1,0,68,39,32,54.9,Matches
8,9,Chima Akas,ng NGA,DF,B-SAD,27,1994,19.5,10,0,0,28,7,3,27,26,20,0,1,0,82,23,10,69.7,Matches
9,10,Alex,br BRA,DF,Famalicão,22,1999,16.4,5,0,0,18,18,0,0,17,22,1,0,1,72,26,11,70.3,Matches
10,11,Almoatasembellah Ali,ly LBY,MF,Braga,25,1996,28.5,10,0,0,39,20,0,3,43,34,0,0,0,234,49,38,56.3,Matches
11,12,Ali Alipour,ir IRN,FW,Marítimo,25,1995,20.0,4,0,0,24,36,13,10,2,10,2,0,0,43,52,57,47.7,Matches
12,13,Allano,br BRA,"FW,MF",Santa Clara,26,1995,12.1,7,2,1,31,40,4,24,10,16,0,0,0,73,9,15,37.5,Matches
13,14,André Almeida,pt POR,DF,Benfica,30,1990,8.9,3,1,1,13,7,0,38,3,9,0,0,0,30,11,12,47.8,Matches
14,15,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Vitória,21,2000,20.2,5,0,0,35,54,1,16,17,21,0,0,0,115,11,15,42.3,Matches
15,16,Baptiste Aloé,fr FRA,DF,Arouca,27,1994,0.7,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,,Matches
16,17,Omri Altman,il ISR,MF,Arouca,27,1994,1.5,0,0,0,8,6,1,4,2,1,0,0,0,8,7,4,63.6,Matches
17,18,Alejandro Alvarado Jr.,us USA,"MF,FW",FC Vizela,18,2003,0.7,1,0,0,1,0,0,0,0,4,0,0,0,6,2,0,100.0,Matches
18,19,Luís Alves,pt POR,DF,Paços,19,2001,3.4,2,0,0,4,1,0,17,6,6,0,0,0,26,2,2,50.0,Matches
19,20,Marcelo Alves,br BRA,DF,Tondela,23,1998,8.1,2,1,0,9,1,1,0,6,5,0,0,1,25,12,9,57.1,Matches
20,21,Ricardo Miguel Martins Alves,pt POR,"DF,MF",Tondela,30,1991,9.2,5,0,0,11,6,0,4,10,7,0,0,0,28,26,16,61.9,Matches
21,22,Pedro Amador,pt POR,"MF,DF",Moreirense,22,1998,13.3,3,0,0,17,9,2,66,22,13,0,0,0,57,19,19,50.0,Matches
22,23,Amarildo,br BRA,DF,Famalicão,22,1999,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
23,24,André Amaro,co COL,DF,Vitória,18,2002,6.3,3,0,0,6,4,0,0,6,6,0,0,0,32,17,7,70.8,Matches
24,25,Artur Jorge Marques Amorim,pt POR,DF,Moreirense,26,1994,22.2,9,0,0,28,9,1,4,34,18,0,1,0,115,41,44,48.2,Matches
25,26,Anderson,br BRA,"FW,MF",Portimonense,23,1998,11.4,2,0,0,14,19,1,12,5,11,1,0,0,71,1,10,9.1,Matches
26,27,Rodrigo Andrad,pt POR,MF,Marítimo,19,2001,0.1,0,0,0,2,0,0,0,1,0,0,0,0,1,2,1,66.7,Matches
27,28,Léo Andrade,br BRA,DF,Marítimo,23,1998,14.3,7,0,0,17,6,0,0,20,20,0,1,0,59,44,30,59.5,Matches
28,29,André André,pt POR,MF,Vitória,31,1989,10.4,5,0,0,25,38,0,6,8,15,0,0,0,58,6,8,42.9,Matches
29,30,Mauro Andrés Caballero,py PAR,FW,Arouca,26,1994,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,100.0,Matches
30,31,Andrew,br BRA,GK,Gil Vicente FC,20,2001,10.0,1,0,0,0,0,0,0,0,0,0,0,0,11,1,1,50.0,Matches
31,32,Iván Angulo,co COL,"FW,MF",Portimonense,22,1999,26.2,4,0,0,24,31,10,24,24,23,1,0,0,122,5,29,14.7,Matches
32,33,Antony,br BRA,"FW,MF",Arouca,19,2001,7.4,1,0,0,14,15,4,12,7,12,0,0,0,44,12,18,40.0,Matches
33,34,Vitorino Antunes,pt POR,DF,Paços,34,1987,28.2,11,0,0,45,58,0,203,31,29,0,1,0,161,28,34,45.2,Matches
34,35,Bilel Aouacheria,fr FRA,"FW,MF",Gil Vicente FC,27,1994,7.1,5,0,0,16,11,0,24,4,3,0,0,0,33,7,13,35.0,Matches
35,36,Wilinton Aponzá,co COL,"FW,MF",Portimonense,21,2000,8.3,4,0,0,25,10,14,3,1,1,0,0,0,18,24,32,42.9,Matches
