,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
0,1,Rodrigo Abascal,uy URU,DF,Boavista,27,1994,26.5,1080,1425,75.8,23691,10615,291,335,86.9,583,665,87.7,194,377,51.5,2,0.6,0.6,+1.4,9,80,5,2,57,Matches
1,2,Giorgi Aburjania,ge GEO,MF,Gil Vicente FC,26,1995,8.6,339,416,81.5,5869,1922,163,184,88.6,137,158,86.7,33,53,62.3,1,1.4,1.2,-0.4,11,48,6,0,40,Matches
2,3,Antonio Adán,es ESP,GK,Sporting CP,34,1987,33.0,925,1099,84.2,21972,14172,202,203,99.5,505,512,98.6,217,382,56.8,0,0.0,0.0,0.0,0,6,0,0,1,Matches
3,4,João Afonso Crispim,br BRA,MF,Gil Vicente FC,26,1995,0.2,21,22,95.5,426,104,7,7,100.0,6,6,100.0,6,6,100.0,0,0.0,0.0,0.0,0,2,1,0,2,Matches
4,5,João Afonso,pt POR,DF,Santa Clara,31,1990,12.4,387,483,80.1,8203,3322,110,129,85.3,218,246,88.6,58,97,59.8,0,0.6,0.3,-0.6,4,22,0,0,17,Matches
5,6,Lucas Áfrico,br BRA,DF,Estoril,26,1995,10.7,460,512,89.8,9923,2681,91,102,89.2,301,317,95.0,65,83,78.3,0,0.1,0.1,-0.1,2,17,1,0,20,Matches
6,7,Salvador Agra,pt POR,"FW,MF",Tondela,29,1991,29.0,616,950,64.8,10933,3255,288,356,80.9,229,339,67.6,78,188,41.5,3,5.3,5.1,-2.3,40,46,32,12,63,Matches
7,8,Mohamed Aidara,ci CIV,DF,FC Vizela,24,1996,15.0,449,572,78.5,9553,3448,120,144,83.3,261,285,91.6,68,125,54.4,0,0.0,0.1,0.0,0,15,1,0,7,Matches
8,9,Chima Akas,ng NGA,DF,B-SAD,27,1994,19.5,541,776,69.7,9633,4350,230,261,88.1,258,341,75.7,45,138,32.6,1,1.1,1.1,-0.1,9,31,8,5,42,Matches
9,10,Alex,br BRA,DF,Famalicão,22,1999,16.4,621,710,87.5,12190,4618,207,234,88.5,340,360,94.4,65,98,66.3,0,0.5,0.5,-0.5,4,31,0,0,24,Matches
10,11,Almoatasembellah Ali,ly LBY,MF,Braga,25,1996,28.5,1472,1757,83.8,30668,8353,503,576,87.3,651,726,89.7,279,367,76.0,2,2.3,1.9,-0.3,31,192,17,1,157,Matches
11,12,Ali Alipour,ir IRN,FW,Marítimo,25,1995,20.0,248,359,69.1,3479,484,161,202,79.7,68,108,63.0,11,24,45.8,1,1.3,0.6,-0.3,22,15,6,0,14,Matches
12,13,Allano,br BRA,"FW,MF",Santa Clara,26,1995,12.1,325,449,72.4,5015,1328,183,219,83.6,104,141,73.8,25,54,46.3,4,2.1,1.6,+1.9,15,23,11,0,33,Matches
13,14,André Almeida,pt POR,DF,Benfica,30,1990,8.9,481,609,79.0,8180,2674,206,241,85.5,232,286,81.1,28,52,53.8,0,1.2,2.1,-1.2,10,30,15,7,35,Matches
14,15,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Vitória,21,2000,20.2,655,784,83.5,10906,2803,325,357,91.0,247,274,90.1,56,88,63.6,0,1.8,1.9,-1.8,20,81,22,2,82,Matches
15,16,Baptiste Aloé,fr FRA,DF,Arouca,27,1994,0.7,31,33,93.9,511,221,14,15,93.3,16,16,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
16,17,Omri Altman,il ISR,MF,Arouca,27,1994,1.5,39,48,81.3,699,113,16,19,84.2,17,20,85.0,4,6,66.7,0,0.2,0.2,-0.2,2,4,0,0,3,Matches
17,18,Alejandro Alvarado Jr.,us USA,"MF,FW",FC Vizela,18,2003,0.7,13,24,54.2,147,29,9,11,81.8,2,7,28.6,1,4,25.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
18,19,Luís Alves,pt POR,DF,Paços,19,2001,3.4,163,205,79.5,3036,1108,69,71,97.2,78,98,79.6,15,29,51.7,0,0.3,0.3,-0.3,2,11,3,2,7,Matches
19,20,Marcelo Alves,br BRA,DF,Tondela,23,1998,8.1,267,303,88.1,4995,2228,94,100,94.0,149,165,90.3,23,35,65.7,0,0.0,0.0,0.0,1,2,0,0,5,Matches
20,21,Ricardo Miguel Martins Alves,pt POR,"DF,MF",Tondela,30,1991,9.2,302,384,78.6,5988,2288,106,121,87.6,146,171,85.4,43,76,56.6,0,0.1,0.1,-0.1,2,16,1,1,12,Matches
21,22,Pedro Amador,pt POR,"MF,DF",Moreirense,22,1998,13.3,340,527,64.5,5724,2222,164,203,80.8,126,185,68.1,39,100,39.0,3,1.9,1.6,+1.1,16,16,10,7,29,Matches
22,23,Amarildo,br BRA,DF,Famalicão,22,1999,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
23,24,André Amaro,co COL,DF,Vitória,18,2002,6.3,280,320,87.5,6044,2014,61,68,89.7,170,182,93.4,48,65,73.8,0,0.1,0.1,-0.1,2,16,0,0,13,Matches
24,25,Artur Jorge Marques Amorim,pt POR,DF,Moreirense,26,1994,22.2,617,816,75.6,13086,4871,171,202,84.7,358,406,88.2,85,188,45.2,0,0.0,0.3,0.0,1,43,0,0,32,Matches
