,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
0,1,Rodrigo Abascal,uy URU,DF,Boavista,27,1994,26.5,1425,1323,95,50,3,29,9,43,0,0,0,0,1080,7,22,Matches
1,2,Giorgi Aburjania,ge GEO,MF,Gil Vicente FC,26,1995,8.6,416,387,27,20,5,3,8,1,6,2,3,0,339,2,11,Matches
2,3,Antonio Adán,es ESP,GK,Sporting CP,34,1987,33.0,1099,826,272,82,0,1,0,1,0,0,0,0,925,1,0,Matches
3,4,João Afonso Crispim,br BRA,MF,Gil Vicente FC,26,1995,0.2,22,21,1,1,0,0,0,0,0,0,0,0,21,0,1,Matches
4,5,João Afonso,pt POR,DF,Santa Clara,31,1990,12.4,483,466,15,14,0,7,2,0,0,0,0,0,387,2,5,Matches
5,6,Lucas Áfrico,br BRA,DF,Estoril,26,1995,10.7,512,487,24,24,1,7,0,0,0,0,0,0,460,1,6,Matches
6,7,Salvador Agra,pt POR,"FW,MF",Tondela,29,1991,29.0,950,795,147,57,10,10,142,19,71,32,28,1,616,8,26,Matches
7,8,Mohamed Aidara,ci CIV,DF,FC Vizela,24,1996,15.0,572,538,31,31,0,4,2,0,0,0,0,0,449,3,8,Matches
8,9,Chima Akas,ng NGA,DF,B-SAD,27,1994,19.5,776,595,174,20,1,1,27,151,3,1,0,0,541,7,18,Matches
9,10,Alex,br BRA,DF,Famalicão,22,1999,16.4,710,683,25,24,0,8,0,0,0,0,0,0,621,2,6,Matches
10,11,Almoatasembellah Ali,ly LBY,MF,Braga,25,1996,28.5,1757,1704,44,44,9,30,3,0,0,0,0,0,1472,9,22,Matches
11,12,Ali Alipour,ir IRN,FW,Marítimo,25,1995,20.0,359,325,33,0,0,1,10,0,0,0,0,0,248,1,10,Matches
12,13,Allano,br BRA,"FW,MF",Santa Clara,26,1995,12.1,449,425,20,6,2,3,24,11,3,2,0,0,325,4,11,Matches
13,14,André Almeida,pt POR,DF,Benfica,30,1990,8.9,609,519,90,16,1,3,38,74,0,0,0,0,481,0,13,Matches
14,15,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Vitória,21,2000,20.2,784,722,53,27,6,20,16,8,0,0,0,0,655,9,17,Matches
15,16,Baptiste Aloé,fr FRA,DF,Arouca,27,1994,0.7,33,33,0,0,0,0,0,0,0,0,0,0,31,0,1,Matches
16,17,Omri Altman,il ISR,MF,Arouca,27,1994,1.5,48,39,9,5,0,1,4,0,3,1,1,0,39,0,1,Matches
17,18,Alejandro Alvarado Jr.,us USA,"MF,FW",FC Vizela,18,2003,0.7,24,24,0,0,0,1,0,0,0,0,0,0,13,0,1,Matches
18,19,Luís Alves,pt POR,DF,Paços,19,2001,3.4,205,165,39,9,0,1,17,21,9,4,4,0,163,1,3,Matches
19,20,Marcelo Alves,br BRA,DF,Tondela,23,1998,8.1,303,291,12,10,0,0,0,1,0,0,0,0,267,0,2,Matches
20,21,Ricardo Miguel Martins Alves,pt POR,"DF,MF",Tondela,30,1991,9.2,384,350,30,22,0,2,4,8,0,0,0,0,302,4,2,Matches
21,22,Pedro Amador,pt POR,"MF,DF",Moreirense,22,1998,13.3,527,385,141,23,0,2,66,98,20,10,10,0,340,1,12,Matches
22,23,Amarildo,br BRA,DF,Famalicão,22,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
23,24,André Amaro,co COL,DF,Vitória,18,2002,6.3,320,309,11,11,0,2,0,0,0,0,0,0,280,0,2,Matches
24,25,Artur Jorge Marques Amorim,pt POR,DF,Moreirense,26,1994,22.2,816,774,37,34,0,5,4,3,0,0,0,0,617,5,3,Matches
25,26,Anderson,br BRA,"FW,MF",Portimonense,23,1998,11.4,350,327,20,5,0,0,12,12,2,1,1,0,274,3,15,Matches
26,27,Rodrigo Andrad,pt POR,MF,Marítimo,19,2001,0.1,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
27,28,Léo Andrade,br BRA,DF,Marítimo,23,1998,14.3,737,704,33,31,0,8,0,2,0,0,0,0,614,0,8,Matches
28,29,André André,pt POR,MF,Vitória,31,1989,10.4,469,439,28,26,3,1,6,1,1,1,0,0,404,2,6,Matches
29,30,Mauro Andrés Caballero,py PAR,FW,Arouca,26,1994,0.0,3,2,1,0,0,0,0,0,0,0,0,0,2,0,0,Matches
30,31,Andrew,br BRA,GK,Gil Vicente FC,20,2001,10.0,292,182,109,19,0,1,0,0,0,0,0,0,220,1,0,Matches
31,32,Iván Angulo,co COL,"FW,MF",Portimonense,22,1999,26.2,658,630,24,6,3,2,24,18,0,0,0,0,528,4,20,Matches
32,33,Antony,br BRA,"FW,MF",Arouca,19,2001,7.4,238,233,5,0,0,1,12,3,0,0,0,0,168,0,9,Matches
33,34,Vitorino Antunes,pt POR,DF,Paços,34,1987,28.2,1633,1145,477,113,0,26,203,273,91,50,28,1,1102,11,42,Matches
34,35,Bilel Aouacheria,fr FRA,"FW,MF",Gil Vicente FC,27,1994,7.1,239,229,9,1,0,0,24,5,3,0,1,0,168,1,8,Matches
35,36,Wilinton Aponzá,co COL,"FW,MF",Portimonense,21,2000,8.3,138,119,18,1,0,1,3,0,0,0,0,0,97,1,3,Matches
36,37,Brian Araújo,fr FRA,GK,Gil Vicente FC,21,2000,1.0,29,13,16,7,0,0,0,0,0,0,0,0,20,0,0,Matches
37,38,Henrique Araújo,pt POR,FW,Benfica,19,2002,1.4,28,26,2,0,0,0,0,0,0,0,0,0,27,0,0,Matches
38,39,Guilherme Araújo Soares,pt POR,DF,Braga,20,2001,0.5,29,29,0,0,0,0,0,0,0,0,0,0,21,0,0,Matches
39,40,Tiago Araújo,pt POR,"DF,FW",Arouca,20,2001,5.3,223,174,49,9,0,1,34,29,11,4,5,0,152,0,7,Matches
40,41,Tomás Araújo,pt POR,DF,Benfica,19,2002,1.1,61,57,4,4,0,1,0,0,0,0,0,0,55,0,0,Matches
41,42,Telmo Arcanjo,cv CPV,"MF,FW",Tondela,20,2001,1.4,68,62,6,1,0,4,8,3,2,2,0,0,54,0,1,Matches
42,43,Arthur,br BRA,"FW,MF",Estoril,23,1998,24.4,676,601,70,16,3,4,97,2,52,28,17,1,489,5,28,Matches
43,44,Gustavo Assuncao,pt POR,MF,Famalicão,21,2000,6.7,322,300,21,21,1,3,1,0,0,0,0,0,266,1,4,Matches
44,45,Fernando Augusto,br BRA,GK,Arouca,24,1997,6.9,247,166,81,19,0,0,0,0,0,0,0,0,163,0,0,Matches
45,46,Javier Avilés,es ESP,"MF,FW",Tondela,23,1997,1.7,51,45,6,1,0,1,9,5,0,0,0,0,27,0,3,Matches
46,47,Chidozie Awaziem,ng NGA,DF,Boavista,24,1997,3.0,123,120,3,3,0,3,0,0,0,0,0,0,105,0,0,Matches
47,48,Abdoulaye Ba,sn SEN,DF,Arouca,30,1991,14.9,737,691,45,45,1,20,0,0,0,0,0,0,611,1,6,Matches
