,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
0,1,Rodrigo Abascal,uy URU,DF,Boavista,27,1994,27,2387,88,78.0,26.5,27,88,24,0,,2,1.14,29,41,-12,-0.45,-0.32,28.3,39.2,-10.8,-0.39,-0.25,Matches
1,2,Giorgi Aburjania,ge GEO,MF,Gil Vicente FC,26,1995,26,774,30,25.3,8.6,7,75,0,19,13,4,1.42,17,12,+5,+0.58,+0.58,12.4,14.5,-2.1,-0.24,-0.13,Matches
2,3,Elias Achouri,tn TUN,FW,Estoril,22,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
3,4,Antonio Adán,es ESP,GK,Sporting CP,34,1987,33,2970,90,97.1,33.0,33,90,33,0,,1,2.48,69,23,+46,+1.39,-2.61,69.5,21.5,+48.0,+1.46,+0.89,Matches
4,5,Emmanuel Adeyemo,ng NGA,MF,FC Vizela,19,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
5,6,João Afonso Crispim,br BRA,MF,Gil Vicente FC,26,1995,4,18,5,0.6,0.2,0,,0,4,5,4,1.00,0,1,-1,-5.00,-5.18,0.1,1.0,-0.9,-4.62,-4.50,Matches
6,7,João Afonso,pt POR,DF,Santa Clara,31,1990,15,1119,75,36.6,12.4,12,89,11,3,16,17,1.07,13,27,-14,-1.13,-1.03,17.3,17.0,+0.3,+0.02,+0.05,Matches
7,8,Lucas Áfrico,br BRA,DF,Estoril,26,1995,11,967,88,31.6,10.7,11,88,10,0,,0,1.82,16,9,+7,+0.65,+1.25,12.7,13.5,-0.8,-0.07,+0.49,Matches
8,9,Salvador Agra,pt POR,"FW,MF",Tondela,29,1991,32,2608,82,85.2,29.0,31,83,13,1,26,0,0.88,33,49,-16,-0.55,+1.44,31.3,44.2,-12.9,-0.44,+1.69,Matches
9,10,Mohamed Aidara,ci CIV,DF,FC Vizela,24,1996,18,1350,75,44.1,15.0,14,89,12,4,27,10,1.28,18,29,-11,-0.73,-0.21,18.4,28.7,-10.4,-0.69,-0.55,Matches
10,11,Chima Akas,ng NGA,DF,B-SAD,27,1994,25,1751,70,57.2,19.5,21,79,12,4,22,6,0.92,11,29,-18,-0.93,+0.04,16.0,34.7,-18.7,-0.96,-0.48,Matches
11,12,Rafael Alcobia,pt POR,DF,Tondela,18,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
12,13,Alex,br BRA,DF,Famalicão,22,1999,19,1477,78,48.3,16.4,17,85,14,2,17,6,1.42,24,26,-2,-0.12,+0.11,27.8,21.7,+6.1,+0.37,+0.58,Matches
13,14,Almoatasembellah Ali,ly LBY,MF,Braga,25,1996,30,2565,86,83.8,28.5,30,86,24,0,,0,1.87,42,27,+15,+0.53,-0.56,41.8,31.4,+10.4,+0.36,-0.65,Matches
14,15,Ali Alipour,ir IRN,FW,Marítimo,25,1995,34,1797,53,58.7,20.0,16,82,10,18,27,0,1.12,24,25,-1,-0.05,+0.23,22.4,32.7,-10.2,-0.51,+0.15,Matches
15,16,Allano,br BRA,"FW,MF",Santa Clara,26,1995,19,1092,57,35.7,12.1,14,74,3,5,10,0,1.00,11,18,-7,-0.58,-0.17,14.7,14.2,+0.5,+0.04,+0.08,Matches
16,17,André Almeida,pt POR,DF,Benfica,30,1990,15,805,54,26.3,8.9,9,76,5,6,21,8,1.94,26,13,+13,+1.45,+0.06,23.4,7.8,+15.6,+1.74,+0.74,Matches
17,18,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Vitória,21,2000,31,1819,59,59.4,20.2,20,76,6,11,27,0,1.39,31,23,+8,+0.40,+0.32,28.6,29.0,-0.4,-0.02,-0.16,Matches
18,19,Baptiste Aloé,fr FRA,DF,Arouca,27,1994,1,67,67,2.2,0.7,1,67,0,0,,2,0.00,0,1,-1,-1.34,-0.65,0.6,1.2,-0.6,-0.79,-0.27,Matches
19,20,Omri Altman,il ISR,MF,Arouca,27,1994,5,137,27,4.5,1.5,1,45,0,4,23,4,0.40,1,6,-5,-3.28,-2.70,1.3,2.6,-1.3,-0.88,-0.37,Matches
20,21,Alejandro Alvarado Jr.,us USA,"MF,FW",FC Vizela,18,2003,4,59,15,1.9,0.7,1,51,0,3,3,6,0.75,0,1,-1,-1.53,-0.93,0.4,0.2,+0.2,+0.25,+0.64,Matches
21,22,Luís Alves,pt POR,DF,Paços,19,2001,6,307,51,10.0,3.4,3,64,1,3,38,17,1.17,3,4,-1,-0.29,+0.16,3.7,6.2,-2.5,-0.73,-0.16,Matches
22,23,Marcelo Alves,br BRA,DF,Tondela,23,1998,9,725,81,23.7,8.1,9,81,6,0,,1,0.78,9,15,-6,-0.74,+0.03,8.2,13.2,-5.0,-0.62,+0.10,Matches
23,24,Ricardo Miguel Martins Alves,pt POR,"DF,MF",Tondela,30,1991,17,827,49,27.0,9.2,8,84,5,9,17,11,0.61,8,25,-17,-1.85,-1.49,9.1,16.8,-7.7,-0.84,-0.20,Matches
24,25,Pedro Amador,pt POR,"MF,DF",Moreirense,22,1998,20,1200,60,39.2,13.3,13,81,6,7,22,10,0.90,13,19,-6,-0.45,+0.13,14.9,18.1,-3.2,-0.24,-0.34,Matches
25,26,Amarildo,br BRA,DF,Famalicão,22,1999,1,1,1,0.0,0.0,0,,0,1,1,2,0.00,0,0,0,0.00,+0.18,0.0,0.0,0.0,-3.92,-4.00,Matches
26,27,André Amaro,co COL,DF,Vitória,18,2002,7,564,81,18.4,6.3,6,90,6,1,24,14,1.57,11,7,+4,+0.64,+0.46,9.0,10.4,-1.3,-0.21,-0.32,Matches
27,28,Artur Jorge Marques Amorim,pt POR,DF,Moreirense,26,1994,23,1996,87,65.2,22.2,23,87,19,0,,8,1.04,25,36,-11,-0.50,+0.10,27.0,33.7,-6.7,-0.30,-0.77,Matches
