,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
0,1,Rodrigo Abascal,uy URU,DF,Boavista,27,1994,26.5,1729,184,935,740,68,13,1729,4,7,57.1,12,1,1039,5,Matches
1,2,Giorgi Aburjania,ge GEO,MF,Gil Vicente FC,26,1995,8.6,493,11,90,292,118,11,493,4,7,57.1,5,5,336,14,Matches
2,3,Antonio Adán,es ESP,GK,Sporting CP,34,1987,33.0,1148,999,1142,7,0,0,1148,1,1,100.0,2,0,594,0,Matches
3,4,João Afonso Crispim,br BRA,MF,Gil Vicente FC,26,1995,0.2,23,0,4,18,1,0,23,0,0,,0,0,16,0,Matches
4,5,João Afonso,pt POR,DF,Santa Clara,31,1990,12.4,601,84,392,191,24,17,601,2,3,66.7,4,0,356,0,Matches
5,6,Lucas Áfrico,br BRA,DF,Estoril,26,1995,10.7,606,73,349,250,11,3,606,2,2,100.0,5,1,418,0,Matches
6,7,Salvador Agra,pt POR,"FW,MF",Tondela,29,1991,29.0,1188,18,168,511,525,50,1187,22,50,44.0,47,35,800,131,Matches
7,8,Mohamed Aidara,ci CIV,DF,FC Vizela,24,1996,15.0,732,135,484,233,23,15,732,1,1,100.0,8,2,413,2,Matches
8,9,Chima Akas,ng NGA,DF,B-SAD,27,1994,19.5,943,93,394,400,157,10,943,3,8,37.5,19,4,461,17,Matches
9,10,Alex,br BRA,DF,Famalicão,22,1999,16.4,880,124,520,348,13,7,880,2,3,66.7,6,2,563,2,Matches
10,11,Almoatasembellah Ali,ly LBY,MF,Braga,25,1996,28.5,2001,60,434,1315,264,10,2001,7,15,46.7,27,18,1378,7,Matches
11,12,Ali Alipour,ir IRN,FW,Marítimo,25,1995,20.0,550,18,47,247,260,79,549,15,26,57.7,58,15,388,109,Matches
12,13,Allano,br BRA,"FW,MF",Santa Clara,26,1995,12.1,633,19,104,311,234,27,631,27,49,55.1,48,14,444,60,Matches
13,14,André Almeida,pt POR,DF,Benfica,30,1990,8.9,690,26,162,306,227,20,690,2,11,18.2,13,2,470,24,Matches
14,15,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Vitória,21,2000,20.2,995,17,135,560,326,24,994,49,72,68.1,32,25,674,52,Matches
15,16,Baptiste Aloé,fr FRA,DF,Arouca,27,1994,0.7,42,7,23,18,1,1,42,0,0,,0,0,26,0,Matches
16,17,Omri Altman,il ISR,MF,Arouca,27,1994,1.5,69,1,11,28,31,5,69,0,1,0.0,4,1,43,6,Matches
17,18,Alejandro Alvarado Jr.,us USA,"MF,FW",FC Vizela,18,2003,0.7,31,1,7,17,7,1,31,0,0,,0,0,17,2,Matches
18,19,Luís Alves,pt POR,DF,Paços,19,2001,3.4,239,11,77,116,49,2,239,4,10,40.0,4,1,142,7,Matches
19,20,Marcelo Alves,br BRA,DF,Tondela,23,1998,8.1,366,51,263,102,2,1,366,1,1,100.0,2,1,241,0,Matches
20,21,Ricardo Miguel Martins Alves,pt POR,"DF,MF",Tondela,30,1991,9.2,476,46,221,227,30,12,476,1,2,50.0,2,5,298,2,Matches
21,22,Pedro Amador,pt POR,"MF,DF",Moreirense,22,1998,13.3,666,34,182,276,216,22,666,10,24,41.7,20,8,311,33,Matches
