,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
0,1,Tammy Abraham,eng ENG,FW,Roma,23,1997,34.3,94,2.74,62,1,6,17,7,1,14,0.41,6,0,2,3,3,0,Matches
1,2,Francesco Acerbi,it ITA,DF,Lazio,33,1988,28.2,19,0.68,13,1,0,1,2,2,2,0.07,1,0,0,0,1,0,Matches
2,3,Michel Aebischer,ch SUI,MF,Bologna,24,1997,4.9,10,2.05,9,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3,4,Felix Afena-Gyan,gh GHA,"FW,MF",Roma,18,2003,7.4,23,3.10,14,0,2,2,5,0,2,0.27,1,0,1,0,0,0,Matches
4,5,Kevin Agudelo,co COL,"MF,FW",Spezia,22,1998,13.7,40,2.91,22,0,6,4,4,4,3,0.22,1,0,0,0,0,2,Matches
5,6,Ola Aina,ng NGA,DF,Torino,24,1996,16.0,38,2.38,29,2,3,0,3,1,1,0.06,1,0,0,0,0,0,Matches
6,7,Marley Aké,fr FRA,"FW,MF",Juventus,20,2001,0.9,1,1.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
7,8,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,28,1992,3.5,4,1.15,2,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
8,9,Luis Alberto,es ESP,MF,Lazio,28,1992,26.1,120,4.59,83,26,3,3,5,0,16,0.61,6,7,1,2,0,0,Matches
9,10,Giorgio Altare,it ITA,DF,Cagliari,22,1998,16.3,27,1.66,16,3,1,7,0,0,0,0.00,0,0,0,0,0,0,Matches
10,11,Wisdom Amey,it ITA,DF,Bologna,15,2005,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
11,12,Kelvin Amian,fr FRA,DF,Spezia,23,1998,29.4,34,1.16,22,3,3,3,2,1,1,0.03,1,0,0,0,0,0,Matches
12,13,Nadiem Amiri,de GER,"MF,FW",Genoa,24,1996,7.6,29,3.83,23,4,1,0,1,0,1,0.13,1,0,0,0,0,0,Matches
13,14,Ethan Ampadu,wls WAL,"MF,DF",Venezia,20,2000,25.4,41,1.62,35,4,1,0,0,1,7,0.28,5,1,0,0,0,1,Matches
14,15,Sofyan Amrabat,ma MAR,MF,Fiorentina,24,1996,10.5,17,1.62,16,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
