,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
0,1,Tammy Abraham,eng ENG,FW,Roma,23,1997,34.3,9,0,0,38,49,17,16,5,13,1,1,0,68,78,80,49.4,Matches
1,2,Francesco Acerbi,it ITA,DF,Lazio,33,1988,28.2,2,1,0,18,16,4,3,34,12,1,0,0,162,69,43,61.6,Matches
2,3,Michel Aebischer,ch SUI,MF,Bologna,24,1997,4.9,1,0,0,13,4,0,7,6,5,0,0,0,27,5,4,55.6,Matches
3,4,Felix Afena-Gyan,gh GHA,"FW,MF",Roma,18,2003,7.4,5,1,1,15,24,4,8,3,3,0,0,0,31,11,15,42.3,Matches
4,5,Kevin Agudelo,co COL,"MF,FW",Spezia,22,1998,13.7,2,1,0,36,24,0,22,8,26,0,0,0,67,15,14,51.7,Matches
5,6,Ola Aina,ng NGA,DF,Torino,24,1996,16.0,4,0,0,18,28,1,34,28,19,0,0,0,101,17,25,40.5,Matches
6,7,Marley Aké,fr FRA,"FW,MF",Juventus,20,2001,0.9,1,0,0,6,2,0,1,1,0,0,0,0,3,1,0,100.0,Matches
7,8,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,28,1992,3.5,1,0,0,13,8,0,0,2,10,0,1,0,13,4,4,50.0,Matches
8,9,Luis Alberto,es ESP,MF,Lazio,28,1992,26.1,5,0,0,13,26,1,143,13,17,0,0,0,136,6,12,33.3,Matches
9,10,Giorgio Altare,it ITA,DF,Cagliari,22,1998,16.3,5,0,0,35,10,1,27,30,28,0,1,0,126,46,34,57.5,Matches
10,11,Wisdom Amey,it ITA,DF,Bologna,15,2005,0.8,0,0,0,1,2,0,0,3,2,0,0,0,4,3,1,75.0,Matches
11,12,Kelvin Amian,fr FRA,DF,Spezia,23,1998,29.4,9,2,1,36,14,1,24,32,42,0,0,0,105,41,29,58.6,Matches
12,13,Nadiem Amiri,de GER,"MF,FW",Genoa,24,1996,7.6,0,0,0,7,19,1,20,0,4,0,0,0,40,3,7,30.0,Matches
13,14,Ethan Ampadu,wls WAL,"MF,DF",Venezia,20,2000,25.4,13,2,1,46,27,0,20,51,43,0,0,0,157,66,33,66.7,Matches
14,15,Sofyan Amrabat,ma MAR,MF,Fiorentina,24,1996,10.5,6,0,0,25,14,0,6,5,13,0,0,0,67,6,13,31.6,Matches
15,16,Felipe Anderson,br BRA,FW,Lazio,28,1993,32.1,2,0,0,43,37,7,86,20,45,0,0,0,150,11,20,35.5,Matches
16,17,Ebenezer Annan,gh GHA,DF,Bologna,18,2002,0.3,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,,Matches
17,18,Cristian Ansaldi,ar ARG,DF,Torino,34,1986,7.7,2,0,0,13,4,2,57,6,9,0,0,0,36,3,3,50.0,Matches
18,19,Janis Antiste,fr FRA,FW,Spezia,18,2002,8.8,0,0,0,15,6,5,12,4,11,0,0,0,36,16,19,45.7,Matches
19,20,Mattia Aramu,it ITA,"MF,FW",Venezia,26,1995,23.3,6,0,0,29,81,7,144,8,15,1,1,0,91,11,27,28.9,Matches
20,21,Marko Arnautović,at AUT,FW,Bologna,32,1989,29.9,6,0,0,45,21,14,12,7,9,0,0,0,77,25,41,37.9,Matches
21,22,Tolgay Arslan,de GER,MF,Udinese,30,1990,18.4,9,0,0,28,36,0,33,13,20,1,0,0,140,6,8,42.9,Matches
22,23,Arthur,br BRA,FW,Fiorentina,23,1998,8.3,1,0,0,16,10,1,2,1,5,0,0,0,15,12,26,31.6,Matches
23,24,Kristoffer Askildsen,no NOR,MF,Sampdoria,20,2001,8.4,5,0,0,17,14,0,2,15,6,0,0,1,43,21,10,67.7,Matches
24,25,Kristjan Asllani,al ALB,MF,Empoli,19,2002,15.0,2,0,0,13,23,0,29,19,9,0,0,0,122,4,6,40.0,Matches
25,26,Emil Audero,it ITA,GK,Sampdoria,24,1997,28.4,2,0,0,0,6,0,0,2,1,0,0,0,31,7,0,100.0,Matches
26,27,Tommaso Augello,it ITA,DF,Sampdoria,26,1994,26.6,0,0,0,12,21,1,74,29,20,0,0,0,172,33,19,63.5,Matches
27,28,Ramzi Aya,it ITA,DF,Salernitana,30,1990,1.5,1,0,0,1,0,0,1,0,1,0,0,0,8,0,1,0.0,Matches
28,29,Kaan Ayhan,tr TUR,DF,Sassuolo,26,1994,15.0,2,1,0,13,5,1,2,13,12,0,1,0,68,24,34,41.4,Matches
29,30,Milan Badelj,hr CRO,MF,Genoa,32,1989,31.6,4,0,0,39,19,0,10,85,37,1,0,0,258,34,28,54.8,Matches
30,31,Nicola Bagnolini,it ITA,GK,Bologna,17,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
31,32,Issa Bah,lu LUX,FW,Venezia,19,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100.0,Matches
