,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
0,1,Tammy Abraham,eng ENG,FW,Roma,23,1997,34.3,485,696,69.7,6820,1621,293,401,73.1,134,180,74.4,28,39,71.8,4,4.9,2.4,-0.9,38,35,27,3,53,Matches
1,2,Francesco Acerbi,it ITA,DF,Lazio,33,1988,28.2,1837,2043,89.9,34996,12270,678,731,92.7,919,968,94.9,211,296,71.3,0,0.7,0.8,-0.7,5,119,6,0,78,Matches
2,3,Michel Aebischer,ch SUI,MF,Bologna,24,1997,4.9,205,239,85.8,3121,883,105,113,92.9,78,84,92.9,12,22,54.5,0,0.5,0.3,-0.5,6,14,4,1,15,Matches
3,4,Felix Afena-Gyan,gh GHA,"FW,MF",Roma,18,2003,7.4,114,152,75.0,1530,229,67,81,82.7,34,45,75.6,6,7,85.7,0,0.7,0.2,-0.7,6,4,4,1,6,Matches
4,5,Kevin Agudelo,co COL,"MF,FW",Spezia,22,1998,13.7,280,389,72.0,3788,1164,165,211,78.2,90,108,83.3,7,20,35.0,1,1.1,0.7,-0.1,10,33,11,1,32,Matches
5,6,Ola Aina,ng NGA,DF,Torino,24,1996,16.0,535,755,70.9,8693,3540,272,316,86.1,202,280,72.1,44,93,47.3,0,1.6,1.4,-1.6,16,43,20,4,52,Matches
6,7,Marley Aké,fr FRA,"FW,MF",Juventus,20,2001,0.9,12,16,75.0,184,58,7,8,87.5,1,2,50.0,2,2,100.0,0,0.0,0.0,0.0,0,2,1,1,3,Matches
7,8,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,28,1992,3.5,89,106,84.0,1077,154,61,68,89.7,24,25,96.0,1,1,100.0,0,0.0,0.1,0.0,2,6,1,0,1,Matches
8,9,Luis Alberto,es ESP,MF,Lazio,28,1992,26.1,1626,1970,82.5,25003,8249,896,986,90.9,553,631,87.6,115,235,48.9,9,7.9,6.7,+1.1,65,235,44,5,157,Matches
9,10,Giorgio Altare,it ITA,DF,Cagliari,22,1998,16.3,531,799,66.5,10947,4885,175,221,79.2,250,330,75.8,100,208,48.1,0,0.6,0.6,-0.6,8,50,6,3,49,Matches
10,11,Wisdom Amey,it ITA,DF,Bologna,15,2005,0.8,20,29,69.0,419,59,8,9,88.9,7,10,70.0,4,8,50.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
11,12,Kelvin Amian,fr FRA,DF,Spezia,23,1998,29.4,887,1133,78.3,13080,5926,525,593,88.5,286,367,77.9,53,97,54.6,1,1.2,1.5,-0.2,12,53,7,2,44,Matches
12,13,Nadiem Amiri,de GER,"MF,FW",Genoa,24,1996,7.6,222,299,74.2,3236,970,122,144,84.7,74,93,79.6,10,33,30.3,1,2.1,1.4,-1.1,20,16,9,1,24,Matches
13,14,Ethan Ampadu,wls WAL,"MF,DF",Venezia,20,2000,25.4,867,1165,74.4,15853,6626,385,445,86.5,359,443,81.0,103,209,49.3,3,1.7,1.5,+1.3,15,96,12,7,87,Matches
14,15,Sofyan Amrabat,ma MAR,MF,Fiorentina,24,1996,10.5,645,716,90.1,12507,3260,238,264,90.2,321,336,95.5,78,95,82.1,0,0.3,0.7,-0.3,8,74,9,1,46,Matches
15,16,Felipe Anderson,br BRA,FW,Lazio,28,1993,32.1,1118,1436,77.9,16073,3918,652,765,85.2,341,420,81.2,60,106,56.6,8,6.7,5.2,+1.3,50,60,61,13,99,Matches
16,17,Ebenezer Annan,gh GHA,DF,Bologna,18,2002,0.3,4,11,36.4,51,17,3,4,75.0,1,5,20.0,0,2,0.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
17,18,Cristian Ansaldi,ar ARG,DF,Torino,34,1986,7.7,285,407,70.0,5390,2749,121,140,86.4,107,143,74.8,46,100,46.0,3,2.2,2.1,+0.8,17,40,16,12,39,Matches
