,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
0,1,Tammy Abraham,eng ENG,FW,Roma,23,1997,34.3,696,627,67,6,5,1,16,2,0,0,0,0,485,2,20,Matches
1,2,Francesco Acerbi,it ITA,DF,Lazio,33,1988,28.2,2043,1955,87,77,1,34,3,1,0,0,0,0,1837,1,6,Matches
2,3,Michel Aebischer,ch SUI,MF,Bologna,24,1997,4.9,239,225,13,5,0,1,7,1,7,0,4,0,205,1,5,Matches
3,4,Felix Afena-Gyan,gh GHA,"FW,MF",Roma,18,2003,7.4,152,145,7,0,0,2,8,5,0,0,0,0,114,0,4,Matches
4,5,Kevin Agudelo,co COL,"MF,FW",Spezia,22,1998,13.7,389,375,11,1,0,1,22,4,4,3,1,0,280,3,22,Matches
5,6,Ola Aina,ng NGA,DF,Torino,24,1996,16.0,755,600,151,9,1,0,34,142,0,0,0,0,535,4,30,Matches
6,7,Marley Aké,fr FRA,"FW,MF",Juventus,20,2001,0.9,16,16,0,0,0,0,1,0,0,0,0,0,12,0,1,Matches
7,8,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,28,1992,3.5,106,106,0,0,0,0,0,0,0,0,0,0,89,0,8,Matches
8,9,Luis Alberto,es ESP,MF,Lazio,28,1992,26.1,1970,1751,211,82,18,9,143,12,104,47,40,0,1626,8,29,Matches
9,10,Giorgio Altare,it ITA,DF,Cagliari,22,1998,16.3,799,712,83,12,0,3,27,71,0,0,0,0,531,4,11,Matches
10,11,Wisdom Amey,it ITA,DF,Bologna,15,2005,0.8,29,25,4,4,0,0,0,0,0,0,0,0,20,0,0,Matches
11,12,Kelvin Amian,fr FRA,DF,Spezia,23,1998,29.4,1133,862,267,18,1,1,24,249,0,0,0,0,887,4,35,Matches
12,13,Nadiem Amiri,de GER,"MF,FW",Genoa,24,1996,7.6,299,255,41,13,2,0,20,2,12,2,7,0,222,3,3,Matches
13,14,Ethan Ampadu,wls WAL,"MF,DF",Venezia,20,2000,25.4,1165,1037,123,41,4,10,20,80,0,0,0,0,867,5,26,Matches
14,15,Sofyan Amrabat,ma MAR,MF,Fiorentina,24,1996,10.5,716,685,31,31,1,9,6,0,0,0,0,0,645,0,8,Matches
15,16,Felipe Anderson,br BRA,FW,Lazio,28,1993,32.1,1436,1342,90,6,5,6,86,32,13,8,3,0,1118,4,36,Matches
