,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
0,1,Tammy Abraham,eng ENG,FW,Roma,23,1997,37,3084,83,90.2,34.3,36,85,23,1,32,0,1.70,54,38,+16,+0.47,+0.47,63.9,36.3,+27.6,+0.80,+0.57,Matches
1,2,Salim Abubakar,gh GHA,MF,Sassuolo,18,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
2,3,Francesco Acerbi,it ITA,DF,Lazio,33,1988,30,2536,85,74.2,28.2,29,87,27,1,7,0,1.67,59,48,+11,+0.39,-0.42,41.7,39.5,+2.2,+0.08,-0.54,Matches
3,4,Marius Adamonis,lt LTU,GK,Lazio,24,1997,0,,,,,0,,0,0,,36,,,,,,,,,,,,Matches
4,5,Michel Aebischer,ch SUI,MF,Bologna,24,1997,12,443,37,13.0,4.9,4,76,2,8,18,4,1.42,3,2,+1,+0.20,+0.57,5.4,8.7,-3.4,-0.70,-0.45,Matches
5,6,Felix Afena-Gyan,gh GHA,"FW,MF",Roma,18,2003,17,668,39,19.5,7.4,6,66,0,11,25,8,1.65,13,9,+4,+0.54,+0.15,12.6,7.9,+4.7,+0.64,-0.14,Matches
6,7,Vittorio Agostinelli,it ITA,MF,Fiorentina,19,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
7,8,Lucien Agoume,fr FRA,MF,Inter,19,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
8,9,Kevin Agudelo,co COL,"FW,MF",Genoa,22,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
9,10,Kevin Agudelo,co COL,"MF,FW",Spezia,22,1998,23,1237,54,36.2,13.7,12,77,3,11,28,0,0.91,16,23,-7,-0.51,+0.44,16.1,26.5,-10.4,-0.76,+0.04,Matches
10,11,Ola Aina,ng NGA,DF,Torino,24,1996,21,1437,68,42.0,16.0,17,80,7,4,19,12,1.29,17,19,-2,-0.13,-0.44,21.4,18.2,+3.2,+0.20,-0.08,Matches
11,12,Marley Aké,fr FRA,"FW,MF",Juventus,20,2001,4,77,19,2.3,0.9,0,,0,4,19,8,0.50,1,4,-3,-3.51,-4.13,0.7,3.3,-2.6,-3.12,-3.58,Matches
12,13,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,28,1992,10,315,32,9.2,3.5,4,62,0,6,11,21,1.50,6,8,-2,-0.57,-1.18,3.1,6.3,-3.2,-0.91,-1.25,Matches
13,14,Luis Alberto,es ESP,MF,Lazio,28,1992,34,2353,69,68.8,26.1,27,80,11,7,29,1,1.74,51,35,+16,+0.61,+0.36,40.6,32.4,+8.1,+0.31,+0.30,Matches
14,15,Giorgio Altare,it ITA,DF,Cagliari,22,1998,19,1466,77,42.9,16.3,17,82,12,2,34,18,0.95,14,23,-9,-0.55,+0.60,19.9,25.9,-6.0,-0.37,+0.36,Matches
15,16,Giuseppe Ambrosino,it ITA,FW,Napoli,17,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
16,17,Wisdom Amey,it ITA,DF,Bologna,15,2005,1,71,71,2.1,0.8,1,71,0,0,,4,3.00,1,0,+1,+1.27,+1.59,0.8,0.8,0.0,0.00,+0.31,Matches
17,18,Kelvin Amian,fr FRA,DF,Spezia,23,1998,32,2646,83,77.4,29.4,31,84,26,1,45,1,1.00,36,56,-20,-0.68,+0.48,34.3,54.7,-20.4,-0.69,+0.42,Matches
18,19,Nadiem Amiri,de GER,"MF,FW",Genoa,24,1996,13,683,53,20.0,7.6,9,65,2,4,25,0,1.00,4,10,-6,-0.79,+0.10,8.4,10.5,-2.2,-0.29,+0.18,Matches
19,20,Ethan Ampadu,wls WAL,"MF,DF",Venezia,20,2000,29,2282,79,66.7,25.4,26,84,18,3,34,0,0.69,20,44,-24,-0.95,-0.08,24.5,53.6,-29.1,-1.15,-0.22,Matches
20,21,Sofyan Amrabat,ma MAR,MF,Fiorentina,24,1996,23,944,41,27.6,10.5,8,84,6,15,18,8,1.78,12,13,-1,-0.10,-0.42,13.2,13.2,+0.1,+0.01,-0.70,Matches
21,22,Felipe Anderson,br BRA,FW,Lazio,28,1993,38,2888,76,84.4,32.1,33,82,16,5,36,0,1.68,61,50,+11,+0.34,-1.01,51.5,43.3,+8.2,+0.26,+0.24,Matches
22,23,Lorenzo Andrenacci,it ITA,GK,Genoa,26,1995,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
23,24,Samuele Angori,it ITA,DF,Torino,17,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
24,25,Ebenezer Annan,gh GHA,DF,Bologna,18,2002,1,25,25,0.7,0.3,0,,0,1,25,2,0.00,0,1,-1,-3.60,-3.33,0.4,0.7,-0.3,-1.10,-0.80,Matches
25,26,Cristian Ansaldi,ar ARG,DF,Torino,34,1986,19,691,36,20.2,7.7,5,74,2,14,23,10,1.21,12,12,0,0.00,-0.16,10.8,11.4,-0.5,-0.07,-0.40,Matches
26,27,Janis Antiste,fr FRA,FW,Spezia,18,2002,18,796,44,23.3,8.8,9,70,2,9,18,17,0.72,8,23,-15,-1.70,-1.18,12.8,15.2,-2.4,-0.27,+0.68,Matches
27,28,Andrei Anton,it ITA,DF,Torino,17,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
28,29,Mattia Aramu,it ITA,"MF,FW",Venezia,26,1995,32,2100,66,61.4,23.3,25,75,7,7,31,0,0.81,24,39,-15,-0.64,+0.72,26.6,45.1,-18.5,-0.79,+0.73,Matches
29,30,Simone Aresti,it ITA,GK,Cagliari,35,1986,0,,,,,0,,0,0,,36,,,,,,,,,,,,Matches
30,31,Marko Arnautović,at AUT,FW,Bologna,32,1989,33,2694,82,78.8,29.9,32,84,20,1,13,1,1.24,35,43,-8,-0.27,+0.10,41.2,45.6,-4.5,-0.15,+0.74,Matches
31,32,Tolgay Arslan,de GER,MF,Udinese,30,1990,30,1658,55,48.5,18.4,22,67,0,8,24,6,1.27,26,20,+6,+0.33,+0.48,25.4,25.4,0.0,0.00,-0.06,Matches
32,33,Arthur,br BRA,FW,Fiorentina,23,1998,14,749,54,21.9,8.3,8,78,2,6,21,2,1.57,11,11,0,0.00,-0.27,15.6,10.3,+5.3,+0.63,+0.15,Matches
33,34,Kristoffer Askildsen,no NOR,MF,Sampdoria,20,2001,19,754,40,22.0,8.4,7,80,2,12,16,13,0.89,6,11,-5,-0.60,-0.19,8.1,12.5,-4.4,-0.53,+0.03,Matches
34,35,Kristjan Asllani,al ALB,MF,Empoli,19,2002,23,1353,59,39.6,15.0,14,87,12,9,15,10,0.96,13,24,-11,-0.73,-0.34,15.4,29.6,-14.1,-0.94,-0.39,Matches
35,36,Christian Aucelli,it ITA,MF,Sassuolo,19,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
36,37,Emil Audero,it ITA,GK,Sampdoria,24,1997,29,2560,88,74.9,28.4,29,88,27,0,,7,1.00,36,48,-12,-0.42,+0.10,30.6,46.9,-16.3,-0.57,-0.08,Matches
37,38,Tommaso Augello,it ITA,DF,Sampdoria,26,1994,36,2395,67,70.0,26.6,25,85,15,11,25,0,1.00,30,37,-7,-0.26,+0.62,28.7,40.3,-11.6,-0.44,+0.39,Matches
38,39,Ramzi Aya,it ITA,DF,Salernitana,30,1990,2,135,68,3.9,1.5,2,68,1,0,,4,0.00,0,8,-8,-5.33,-4.32,0.7,4.9,-4.2,-2.78,-2.10,Matches
39,40,Kaan Ayhan,tr TUR,DF,Sassuolo,26,1994,23,1354,59,39.6,15.0,14,87,13,9,15,11,1.52,27,28,-1,-0.07,-0.02,27.0,26.9,+0.1,+0.01,+0.47,Matches
40,41,Milan Badelj,hr CRO,MF,Genoa,32,1989,34,2844,84,83.2,31.6,34,84,24,0,,1,0.74,20,47,-27,-0.85,+0.08,33.0,45.6,-12.5,-0.40,+0.20,Matches
41,42,Nicola Bagnolini,it ITA,GK,Bologna,17,2004,1,3,3,0.1,0.0,0,,0,1,3,9,3.00,0,0,0,0.00,+0.29,0.3,0.1,+0.1,+3.77,+4.08,Matches
42,43,Issa Bah,lu LUX,FW,Venezia,19,2002,1,9,9,0.3,0.1,0,,0,1,9,1,0.00,0,0,0,0.00,+0.92,0.0,0.1,-0.1,-0.47,+0.60,Matches
43,44,Nedim Bajrami,al ALB,"MF,FW",Empoli,22,1999,35,2054,59,60.1,22.8,23,74,5,12,29,3,1.06,33,39,-6,-0.26,+0.66,33.8,41.1,-7.4,-0.32,+0.96,Matches
