,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
0,Arminia,26,34.0,586,17.24,402,52,38,39,34,21,43,1.26,32,2,1,4,3,1
1,Augsburg,26,34.0,610,17.94,427,70,23,35,29,26,59,1.74,36,8,2,8,4,1
2,Bayern Munich,30,34.0,1160,34.12,862,91,64,84,36,23,158,4.65,119,13,9,10,5,2
3,Bochum,28,34.0,693,20.38,458,77,29,43,58,28,60,1.76,38,5,4,5,6,2
4,Dortmund,33,34.0,783,23.03,556,70,50,51,43,13,137,4.03,94,7,12,12,10,2
5,Eint Frankfurt,27,34.0,765,22.5,517,88,35,61,38,26,74,2.18,49,8,4,8,4,1
6,Freiburg,26,34.0,788,23.18,521,99,21,66,56,25,91,2.68,56,12,2,9,10,2
7,Greuther Fürth,29,34.0,533,15.68,355,43,37,30,35,33,44,1.29,27,3,4,4,5,1
8,Hertha BSC,36,34.0,643,18.91,427,77,30,41,41,27,59,1.74,35,8,1,4,8,3
9,Hoffenheim,32,34.0,791,23.26,578,70,39,52,27,25,102,3.0,81,3,5,8,1,4
10,Köln,26,34.0,800,23.53,583,88,26,43,37,23,91,2.68,66,8,5,8,2,2
11,Leverkusen,29,34.0,801,23.56,588,63,53,50,30,17,132,3.88,99,5,13,10,5,0
12,M'Gladbach,26,34.0,872,25.65,640,79,33,46,53,21,93,2.74,68,4,4,11,5,1
13,Mainz 05,28,34.0,758,22.29,516,81,32,59,48,22,80,2.35,60,4,3,6,4,3
14,RB Leipzig,29,34.0,765,22.5,541,75,45,45,42,17,128,3.76,86,10,10,7,13,2
15,Stuttgart,34,34.0,792,23.29,540,76,52,57,42,25,71,2.09,43,8,5,10,4,1
16,Union Berlin,28,34.0,692,20.35,489,60,29,58,36,20,72,2.12,49,2,6,11,2,2
17,Wolfsburg,30,34.0,732,21.53,496,70,43,51,51,21,68,2.0,46,3,3,8,7,1
