,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog
0,Arminia,26,34.0,9382,13509,69.4,182066,82695,3765,4741,79.4,4032,5157,78.2,1304,2711,48.1,18,21.8,22.4,-3.8,247,763,195,55,704
1,Augsburg,26,34.0,9181,13036,70.4,181255,75935,3586,4450,80.6,3892,4935,78.9,1455,2827,51.5,26,26.7,25.8,-0.7,264,657,218,85,679
2,Bayern Munich,30,34.0,20087,23780,84.5,342875,124219,9343,10393,89.9,8473,9518,89.0,1747,2675,65.3,70,71.3,80.3,-1.3,516,1677,500,71,1707
3,Bochum,28,34.0,9827,13976,70.3,204552,86403,3526,4391,80.3,4255,5335,79.8,1803,3414,52.8,22,31.5,29.2,-9.5,283,786,185,70,739
4,Dortmund,33,34.0,17410,21052,82.7,292378,101967,8010,8996,89.0,7168,8170,87.7,1495,2454,60.9,57,47.7,46.0,9.3,331,1091,301,48,1177
5,Eint Frankfurt,27,34.0,12628,17023,74.2,229563,88660,5346,6380,83.8,5660,6861,82.5,1313,2783,47.2,33,37.6,33.1,-4.6,331,908,223,78,958
6,Freiburg,26,34.0,11641,15652,74.4,219063,88321,4842,5855,82.7,4953,5947,83.3,1504,2875,52.3,37,37.6,39.9,-0.6,333,919,293,73,920
7,Greuther Fürth,29,34.0,10179,13970,72.9,187414,77504,4297,5106,84.2,4427,5407,81.9,1187,2565,46.3,15,21.3,19.8,-6.3,208,737,150,43,768
8,Hertha BSC,36,34.0,10314,14077,73.3,185733,76968,4615,5523,83.6,4151,5105,81.3,1226,2478,49.5,23,27.9,26.4,-4.9,271,650,181,56,745
9,Hoffenheim,32,34.0,14323,18141,79.0,256560,98185,6165,7101,86.8,6198,7189,86.2,1564,2758,56.7,42,50.6,53.2,-8.6,336,1046,343,112,1109
10,Köln,26,34.0,12637,16911,74.7,245199,96600,4662,5646,82.6,5989,7240,82.7,1722,3053,56.4,40,43.0,42.3,-3.0,355,921,319,125,1012
11,Leverkusen,29,34.0,14735,18338,80.4,258287,94645,6448,7325,88.0,6309,7257,86.9,1474,2580,57.1,58,50.2,47.1,7.8,351,991,296,60,1047
12,M'Gladbach,26,34.0,14723,18273,80.6,254436,95362,6639,7592,87.4,6334,7234,87.6,1332,2401,55.5,38,44.8,39.5,-6.8,363,933,256,46,1089
13,Mainz 05,28,34.0,10773,15000,71.8,190321,80918,4904,5893,83.2,4358,5557,78.4,1175,2534,46.4,36,40.7,35.9,-4.7,317,878,255,72,923
14,RB Leipzig,29,34.0,16163,19771,81.8,265026,97085,7780,8702,89.4,6442,7384,87.2,1269,2311,54.9,53,51.9,56.9,1.1,329,1144,376,75,1196
15,Stuttgart,34,34.0,13754,17354,79.3,244826,91546,6094,7015,86.9,5735,6674,85.9,1484,2611,56.8,31,37.1,37.8,-6.1,337,976,239,60,982
16,Union Berlin,28,34.0,10673,14818,72.0,204003,82839,4154,5080,81.8,4744,5871,80.8,1458,2914,50.0,33,37.1,31.7,-4.1,299,815,248,111,862
17,Wolfsburg,30,34.0,12596,16439,76.6,238876,90060,4894,5882,83.2,5811,6785,85.6,1568,2774,56.5,25,36.1,38.8,-11.1,295,862,253,69,973
