,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
0,Arminia,26,25.8,34,3060,90,100,34.0,374,82,224,150,21,148,0.82,27,53,-26,-0.76,32.5,70.6,-38.1,-1.12
1,Augsburg,26,26.6,34,3060,90,100,34.0,374,80,205,169,23,136,1.12,39,56,-17,-0.5,40.7,64.5,-23.8,-0.7
2,Bayern Munich,30,26.8,34,3060,90,100,34.0,374,82,224,149,21,153,2.26,97,37,60,1.76,95.4,39.5,56.0,1.65
3,Bochum,28,28.0,34,3060,90,100,34.0,374,82,232,140,20,155,1.24,38,52,-14,-0.41,47.5,60.3,-12.7,-0.37
4,Dortmund,33,25.9,34,3060,90,100,34.0,374,83,231,142,19,148,2.03,85,52,33,0.97,68.0,50.9,17.1,0.5
5,Eint Frankfurt,27,26.2,34,3060,90,100,34.0,374,82,232,144,21,160,1.24,45,49,-4,-0.12,48.7,52.8,-4.1,-0.12
6,Freiburg,26,26.5,34,3060,90,100,34.0,374,83,219,157,17,145,1.62,58,46,12,0.35,55.0,50.8,4.2,0.12
7,Greuther Fürth,29,25.9,34,3060,90,100,34.0,374,83,236,139,19,151,0.53,28,82,-54,-1.59,33.7,67.5,-33.8,-0.99
8,Hertha BSC,36,26.7,34,3060,90,100,34.0,374,80,222,152,24,151,0.97,37,71,-34,-1.0,37.2,58.4,-21.1,-0.62
9,Hoffenheim,32,26.1,34,3060,90,100,34.0,374,81,219,155,22,141,1.35,58,60,-2,-0.06,62.9,58.1,4.9,0.14
10,Köln,26,27.0,34,3060,90,100,34.0,374,82,216,158,19,148,1.53,52,49,3,0.09,56.2,56.2,0.0,0.0
11,Leverkusen,29,24.4,34,3060,90,100,34.0,374,83,219,154,17,136,1.88,80,47,33,0.97,68.5,49.7,18.8,0.55
12,M'Gladbach,26,26.0,34,3060,90,100,34.0,374,84,256,118,20,181,1.32,54,61,-7,-0.21,63.7,62.5,1.2,0.04
13,Mainz 05,28,26.2,34,3060,90,100,34.0,374,82,221,150,18,148,1.35,50,45,5,0.15,56.4,48.2,8.2,0.24
14,RB Leipzig,29,25.3,34,3060,90,100,34.0,374,81,220,154,22,148,1.71,72,37,35,1.03,69.5,43.9,25.6,0.75
15,Stuttgart,34,24.0,34,3060,90,100,34.0,374,83,240,135,20,170,0.97,41,59,-18,-0.53,49.5,61.6,-12.0,-0.35
16,Union Berlin,28,28.3,34,3060,90,100,34.0,374,83,220,154,18,151,1.68,50,44,6,0.18,53.9,42.8,11.1,0.33
17,Wolfsburg,30,26.0,34,3060,90,100,34.0,374,82,232,139,21,161,1.24,43,54,-11,-0.32,51.1,52.5,-1.4,-0.04
