,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog
0,Arminia,26,40.7,34.0,17533,2301,6763,7249,3737,550,17531,284,568,50.0,618,306,9206,682
1,Augsburg,26,41.5,34.0,16942,2234,6471,6985,3700,603,16937,262,511,51.3,597,298,9026,657
2,Bayern Munich,30,64.5,34.0,27519,2048,7344,13148,7287,1256,27514,493,832,59.3,598,338,19867,1674
3,Bochum,28,44.7,34.0,17867,2414,6793,7472,3831,585,17861,233,461,50.5,615,286,9613,717
4,Dortmund,33,59.2,34.0,24677,2175,7521,12098,5243,825,24666,352,636,55.3,579,310,17217,1155
5,Eint Frankfurt,27,49.6,34.0,20914,2290,7022,9695,4415,661,20912,285,544,52.4,631,294,12439,935
6,Freiburg,26,49.0,34.0,19357,2320,6627,8317,4590,737,19351,226,420,53.8,538,219,11429,901
7,Greuther Fürth,29,43.6,34.0,17830,2396,6670,7885,3468,498,17825,266,536,49.6,621,308,10013,751
8,Hertha BSC,36,43.7,34.0,17947,2262,6958,7812,3375,539,17944,281,526,53.4,537,316,10128,723
9,Hoffenheim,32,53.2,34.0,21656,2386,7447,9412,4981,852,21656,250,526,47.5,551,241,14092,1083
10,Köln,26,54.8,34.0,20745,2455,7548,8812,4613,769,20744,252,509,49.5,584,258,12431,989
11,Leverkusen,29,53.7,34.0,22080,2357,7506,10533,4286,786,22075,401,706,56.8,608,295,14520,1024
12,M'Gladbach,26,54.0,34.0,22130,2221,7639,10518,4165,752,22123,364,621,58.6,590,323,14562,1074
13,Mainz 05,28,46.5,34.0,18968,1955,6493,8403,4282,746,18964,269,506,53.2,670,295,10582,896
14,RB Leipzig,29,56.1,34.0,23407,2047,6979,11464,5183,918,23398,347,561,61.9,647,356,15993,1170
15,Stuttgart,34,50.7,34.0,21442,2344,7251,10027,4430,666,21439,372,693,53.7,707,302,13589,966
16,Union Berlin,28,43.7,34.0,18437,2039,6518,8303,3831,646,18432,244,413,59.1,572,231,10523,845
17,Wolfsburg,30,50.5,34.0,20305,2347,7255,9289,3969,634,20301,319,541,59.0,603,284,12434,949
