,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Arminia,26,34.0,26,361,109,30.2,10.62,3.21,0.07,0.22,19.7,10,2,2,32.5,30.9,0.09,-6.5,-6.9
1,Augsburg,26,34.0,39,362,117,32.3,10.65,3.44,0.09,0.29,17.8,11,5,5,40.7,36.8,0.1,-1.7,-2.8
2,Bayern Munich,30,34.0,92,668,255,38.2,19.65,7.5,0.13,0.34,16.7,12,5,5,95.4,91.6,0.14,-3.4,-4.6
3,Bochum,28,34.0,37,409,136,33.3,12.03,4.0,0.08,0.24,18.8,17,4,6,47.5,42.8,0.11,-10.5,-9.8
4,Dortmund,33,34.0,81,442,165,37.3,13.0,4.85,0.16,0.42,16.7,20,11,11,68.0,59.8,0.14,13.0,10.2
5,Eint Frankfurt,27,34.0,43,446,136,30.5,13.12,4.0,0.09,0.31,17.8,14,1,2,48.7,47.1,0.11,-5.7,-5.1
6,Freiburg,26,34.0,55,457,153,33.5,13.44,4.5,0.11,0.33,16.7,20,5,6,55.0,50.3,0.11,0.0,-0.3
7,Greuther Fürth,29,34.0,26,309,96,31.1,9.09,2.82,0.07,0.22,18.2,13,5,5,33.7,29.9,0.1,-7.7,-8.9
8,Hertha BSC,36,34.0,35,365,119,32.6,10.74,3.5,0.09,0.27,17.5,15,3,3,37.2,34.9,0.1,-2.2,-2.9
9,Hoffenheim,32,34.0,55,452,150,33.2,13.29,4.41,0.12,0.37,15.1,13,0,0,62.9,62.9,0.14,-7.9,-7.9
10,Köln,26,34.0,52,467,149,31.9,13.74,4.38,0.11,0.34,16.3,9,1,1,56.2,55.4,0.12,-4.2,-4.4
11,Leverkusen,29,34.0,76,453,184,40.6,13.32,5.41,0.16,0.4,16.4,11,2,6,68.5,63.7,0.14,7.5,10.3
12,M'Gladbach,26,34.0,54,489,174,35.6,14.38,5.12,0.1,0.28,17.1,14,5,7,63.7,58.1,0.12,-9.7,-9.1
13,Mainz 05,28,34.0,49,465,151,32.5,13.68,4.44,0.1,0.3,17.6,22,4,4,56.4,53.3,0.12,-7.4,-8.3
14,RB Leipzig,29,34.0,72,429,169,39.4,12.62,4.97,0.15,0.38,16.3,18,8,9,69.5,63.3,0.15,2.5,0.7
15,Stuttgart,34,34.0,40,449,153,34.1,13.21,4.5,0.09,0.25,17.5,10,1,3,49.5,47.2,0.11,-9.5,-8.2
16,Union Berlin,28,34.0,50,408,149,36.5,12.0,4.38,0.11,0.3,16.2,7,5,5,53.9,50.1,0.13,-3.9,-5.1
17,Wolfsburg,30,34.0,42,416,137,32.9,12.24,4.03,0.09,0.28,17.9,19,3,4,51.1,48.2,0.12,-9.1,-9.2
