,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Barnsley,34,46.0,782,476,376,323,83,347,727,47.7,380,556,138,418,543,1325,1013,10
1,Birmingham City,35,46.0,761,435,370,319,72,342,640,53.4,298,471,128,343,518,1279,890,7
2,Blackburn,32,46.0,716,417,336,298,82,312,655,47.6,343,485,136,349,497,1213,902,5
3,Blackpool,34,46.0,706,433,326,281,99,263,602,43.7,339,486,165,321,445,1151,881,6
4,Bournemouth,32,46.0,655,385,303,260,92,301,620,48.5,319,424,114,310,445,1100,899,9
5,Bristol City,30,46.0,703,388,328,285,90,294,646,45.5,352,492,181,311,547,1250,999,14
6,Cardiff City,32,46.0,680,402,354,256,70,289,591,48.9,302,408,141,267,447,1127,902,8
7,Coventry City,25,46.0,744,448,392,285,67,355,768,46.2,413,479,151,328,455,1199,826,5
8,Derby County,31,46.0,615,378,304,247,64,309,614,50.3,305,429,149,280,394,1009,950,20
9,Fulham,29,46.0,624,385,270,283,71,297,629,47.2,332,423,111,312,449,1073,692,15
10,Huddersfield,28,46.0,584,355,274,256,54,256,534,47.9,278,415,154,261,385,969,1050,12
11,Hull City,34,46.0,719,453,368,266,85,353,705,50.1,352,462,162,300,487,1206,939,10
12,Luton Town,29,46.0,688,400,340,260,88,292,594,49.2,302,493,145,348,491,1179,1025,12
13,Middlesbrough,30,46.0,718,432,338,295,85,330,640,51.6,310,464,135,329,396,1114,685,12
14,Millwall,26,46.0,722,412,361,287,74,361,733,49.2,372,526,198,328,503,1225,897,10
15,Nott'ham Forest,33,46.0,700,413,376,250,74,287,623,46.1,336,478,140,338,486,1186,842,12
16,P'borough Utd,33,46.0,797,452,416,319,62,397,787,50.4,390,520,174,346,475,1272,917,14
17,Preston,29,46.0,753,467,363,301,89,343,689,49.8,346,507,158,349,537,1290,891,6
18,QPR,27,46.0,685,403,350,280,55,293,582,50.3,289,448,163,285,506,1191,876,16
19,Reading,36,46.0,745,442,346,309,90,312,687,45.4,375,493,185,308,470,1215,930,14
20,Sheffield Utd,33,46.0,690,402,332,268,90,309,615,50.2,306,382,101,281,412,1102,773,13
21,Stoke City,34,46.0,684,424,337,265,82,281,594,47.3,313,451,128,323,497,1181,872,13
22,Swansea City,31,46.0,568,355,266,223,79,286,618,46.3,332,371,110,261,347,915,694,18
23,West Brom,29,46.0,657,412,310,274,73,306,627,48.8,321,448,117,331,472,1129,795,14
