,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
0,Barnsley,34,46.0,784,17.04,528,81,41,47,61,26,56,1.22,39,4,4,3,5,1
1,Birmingham City,35,46.0,876,19.04,582,122,52,50,45,25,81,1.76,54,6,8,5,5,3
2,Blackburn,32,46.0,870,18.91,569,105,54,51,50,41,101,2.2,54,12,10,10,9,6
3,Blackpool,34,46.0,865,18.8,554,99,53,59,64,36,93,2.02,53,6,10,11,10,3
4,Bournemouth,32,46.0,977,21.24,725,86,53,58,32,23,129,2.8,92,10,9,10,5,3
5,Bristol City,30,46.0,829,18.02,571,102,34,49,43,30,99,2.15,68,9,7,8,4,3
6,Cardiff City,32,46.0,860,18.7,579,104,42,56,45,34,88,1.91,55,14,7,5,4,3
7,Coventry City,25,46.0,1100,23.91,804,93,57,75,47,24,96,2.09,71,7,4,8,5,1
8,Derby County,31,46.0,800,17.39,542,67,51,56,55,29,76,1.65,46,5,5,9,8,3
9,Fulham,29,46.0,1313,28.54,992,104,63,85,50,19,175,3.8,133,13,8,13,7,1
10,Huddersfield,28,46.0,869,18.89,623,93,30,60,43,20,97,2.11,61,12,4,13,5,2
11,Hull City,34,46.0,832,18.09,592,66,47,47,46,34,69,1.5,53,1,6,5,1,3
12,Luton Town,29,46.0,762,16.57,504,109,35,53,41,20,96,2.09,63,9,6,6,8,4
13,Middlesbrough,30,46.0,936,20.35,663,75,53,53,66,26,91,1.98,63,2,9,7,7,3
14,Millwall,26,46.0,896,19.48,577,123,46,58,58,34,91,1.98,60,11,3,6,9,2
15,Nott'ham Forest,33,46.0,992,21.57,688,85,86,56,47,30,121,2.63,77,12,10,11,7,4
16,P'borough Utd,33,46.0,750,16.3,530,51,45,38,54,32,67,1.46,49,2,5,5,6,0
17,Preston,29,46.0,882,19.17,633,88,39,64,39,19,86,1.87,57,5,4,9,8,3
18,QPR,27,46.0,933,20.28,681,78,41,59,44,30,108,2.35,78,8,6,8,6,2
19,Reading,36,46.0,826,17.96,566,82,41,46,60,31,101,2.2,63,9,8,8,6,7
20,Sheffield Utd,33,46.0,1008,21.91,758,92,46,45,39,28,112,2.43,86,7,5,7,3,4
21,Stoke City,34,46.0,919,19.98,630,108,41,69,43,28,92,2.0,61,6,5,10,6,4
22,Swansea City,31,46.0,889,19.33,684,46,61,41,33,24,106,2.3,84,1,12,6,1,2
23,West Brom,29,46.0,1081,23.5,752,129,47,75,54,24,81,1.76,58,5,4,6,5,3
