,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog
0,Barnsley,34,46.0,12951,19062,67.9,226059,97189,6117,7445,82.2,4921,6560,75.0,1372,3684,37.2,25,32.8,28.1,-7.8,342,1071,238,61,1039
1,Birmingham City,35,46.0,10453,16436,63.6,212979,96229,4252,5512,77.1,4082,5563,73.4,1849,4380,42.2,34,42.1,34.4,-8.1,391,1199,258,105,991
2,Blackburn,32,46.0,12419,18060,68.8,228437,92131,5560,6753,82.3,4866,6422,75.8,1593,3750,42.5,40,40.4,31.7,-0.4,380,1074,262,75,984
3,Blackpool,34,46.0,12904,18738,68.9,255205,101765,5081,6302,80.6,5671,7262,78.1,1900,4143,45.9,34,38.5,35.8,-4.5,356,1008,261,67,915
4,Bournemouth,32,46.0,19162,24374,78.6,338582,114007,8397,9669,86.8,8394,9841,85.3,1863,3602,51.7,52,56.0,50.8,-4.0,448,1431,416,84,1346
5,Bristol City,30,46.0,12709,18618,68.3,237395,103268,5613,6865,81.8,4989,6713,74.3,1711,3896,43.9,50,48.0,42.5,2.0,363,1050,272,91,1050
6,Cardiff City,32,46.0,12696,18709,67.9,245400,104360,5525,6842,80.8,4956,6609,75.0,1922,4220,45.5,44,46.8,41.9,-2.8,376,1123,242,112,915
7,Coventry City,25,46.0,18210,23946,76.0,327479,129097,8061,9398,85.8,7545,9163,82.3,2078,3996,52.0,43,54.4,45.8,-11.4,483,1447,379,96,1556
8,Derby County,31,46.0,16605,21955,75.6,284044,102920,8005,9105,87.9,6636,7975,83.2,1474,3612,40.8,29,30.6,29.8,-1.6,320,1080,226,51,936
9,Fulham,29,46.0,22414,27253,82.2,398122,133199,9677,10815,89.5,10078,11488,87.7,2163,3673,58.9,78,70.4,63.9,7.6,572,1665,532,134,1593
10,Huddersfield,28,46.0,16187,21347,75.8,287494,103540,7375,8531,86.4,6685,8067,82.9,1753,3620,48.4,39,41.6,31.0,-2.6,382,1168,226,70,1045
11,Hull City,34,46.0,14590,20147,72.4,268010,102157,6399,7574,84.5,6041,7465,80.9,1753,4013,43.7,29,36.7,35.7,-7.7,346,1101,280,105,941
12,Luton Town,29,46.0,10981,17232,63.7,218387,96912,4468,5712,78.2,4524,6248,72.4,1730,4210,41.1,45,44.5,41.8,0.5,341,1045,279,92,946
13,Middlesbrough,30,46.0,14149,19620,72.1,255558,98340,6291,7481,84.1,5801,7226,80.3,1631,3745,43.6,40,51.2,46.0,-11.2,398,1281,312,62,1148
14,Millwall,26,46.0,13074,19267,67.9,248190,102098,5738,7123,80.6,5134,6759,76.0,1901,4225,45.0,35,40.3,41.5,-5.3,377,1101,294,112,1042
15,Nott'ham Forest,33,46.0,15502,20609,75.2,291945,107356,6132,7157,85.7,7096,8560,82.9,1909,3823,49.9,51,48.9,38.1,2.1,434,1130,272,62,1036
16,P'borough Utd,33,46.0,15414,20758,74.3,286032,109604,6769,7948,85.2,6408,7847,81.7,1866,3914,47.7,27,32.5,30.5,-5.5,304,1142,232,64,1042
17,Preston,29,46.0,14633,20629,70.9,270274,109914,6533,7865,83.1,5801,7444,77.9,1892,4095,46.2,35,39.5,37.8,-4.5,379,1327,359,99,1243
18,QPR,27,46.0,18023,23631,76.3,319993,117766,8079,9295,86.9,7589,9142,83.0,1860,3992,46.6,42,43.1,40.7,-1.1,391,1280,316,103,1164
19,Reading,36,46.0,15999,21199,75.5,278835,105492,7561,8704,86.9,6305,7634,82.6,1669,3665,45.5,38,37.5,33.0,0.5,343,1057,258,92,998
20,Sheffield Utd,33,46.0,18864,24646,76.5,335509,125916,8738,10074,86.7,7562,9077,83.3,2082,4113,50.6,51,58.3,53.9,-7.3,442,1573,492,126,1492
21,Stoke City,34,46.0,16974,22680,74.8,300352,113563,7484,8711,85.9,7527,9081,82.9,1574,3671,42.9,41,41.7,35.7,-0.7,405,1263,294,99,1238
22,Swansea City,31,46.0,24765,29305,84.5,388637,127184,13177,14205,92.8,8976,10147,88.5,1682,3235,52.0,46,41.9,38.4,4.1,379,1568,286,54,1239
23,West Brom,29,46.0,13656,20142,67.8,260064,108454,5759,7191,80.1,5564,7401,75.2,1942,4365,44.5,34,54.2,49.0,-20.2,451,1213,355,136,1224
